step,run_id,rel_resid
0,A_w100_T10000_centered_lr0.01_s0,1.0
0,A_w100_T10000_centered_lr0.01_s1,1.0
0,A_w100_T10000_centered_lr0.01_s2,1.0
0,A_w100_T10000_centered_lr0.01_s3,1.0
0,A_w100_T10000_centered_lr0.01_s4,1.0
10000,A_w100_T10000_centered_lr0.01_s0,0.031207948923110962
10000,A_w100_T10000_centered_lr0.01_s1,0.032209042459726334
10000,A_w100_T10000_centered_lr0.01_s2,0.032741643488407135
10000,A_w100_T10000_centered_lr0.01_s3,0.02206416428089142
10000,A_w100_T10000_centered_lr0.01_s4,0.027120284736156464
100000,A_w100_T10000_centered_lr0.01_s0,0.016486162319779396
100000,A_w100_T10000_centered_lr0.01_s1,0.01783233880996704
100000,A_w100_T10000_centered_lr0.01_s2,0.012627743184566498
100000,A_w100_T10000_centered_lr0.01_s3,0.03630964830517769
100000,A_w100_T10000_centered_lr0.01_s4,0.015107177197933197
1000000,A_w100_T10000_centered_lr0.01_s0,0.02205449715256691
1000000,A_w100_T10000_centered_lr0.01_s1,0.015527360141277313
1000000,A_w100_T10000_centered_lr0.01_s2,0.036560479551553726
1000000,A_w100_T10000_centered_lr0.01_s3,0.017523130401968956
1000000,A_w100_T10000_centered_lr0.01_s4,0.043042995035648346
300000,A_w100_T10000_centered_lr0.01_s0,0.0219875480979681
300000,A_w100_T10000_centered_lr0.01_s1,0.023504585027694702
300000,A_w100_T10000_centered_lr0.01_s2,0.026470504701137543
300000,A_w100_T10000_centered_lr0.01_s3,0.03420839458703995
300000,A_w100_T10000_centered_lr0.01_s4,0.03824041783809662
50000,A_w100_T10000_centered_lr0.01_s0,0.0389501117169857
50000,A_w100_T10000_centered_lr0.01_s1,0.03134750947356224
50000,A_w100_T10000_centered_lr0.01_s2,0.013690812513232231
50000,A_w100_T10000_centered_lr0.01_s3,0.0180711317807436
50000,A_w100_T10000_centered_lr0.01_s4,0.014228913001716137
0,A_w5_T10000_centered_lr0.01_s0,1.0
0,A_w5_T10000_centered_lr0.01_s1,1.0
0,A_w5_T10000_centered_lr0.01_s2,1.0
0,A_w5_T10000_centered_lr0.01_s3,1.0
0,A_w5_T10000_centered_lr0.01_s4,1.0
10000,A_w5_T10000_centered_lr0.01_s0,0.0417352132499218
10000,A_w5_T10000_centered_lr0.01_s1,0.019571371376514435
10000,A_w5_T10000_centered_lr0.01_s2,0.04393395781517029
10000,A_w5_T10000_centered_lr0.01_s3,0.029774922877550125
10000,A_w5_T10000_centered_lr0.01_s4,0.020771723240613937
100000,A_w5_T10000_centered_lr0.01_s0,0.010596695356070995
100000,A_w5_T10000_centered_lr0.01_s1,0.022987060248851776
100000,A_w5_T10000_centered_lr0.01_s2,0.028532903641462326
100000,A_w5_T10000_centered_lr0.01_s3,0.03182315453886986
100000,A_w5_T10000_centered_lr0.01_s4,0.019794780761003494
1000000,A_w5_T10000_centered_lr0.01_s0,0.023515278473496437
1000000,A_w5_T10000_centered_lr0.01_s1,0.029877547174692154
1000000,A_w5_T10000_centered_lr0.01_s2,0.03127456083893776
1000000,A_w5_T10000_centered_lr0.01_s3,0.019610093906521797
1000000,A_w5_T10000_centered_lr0.01_s4,0.0421999990940094
300000,A_w5_T10000_centered_lr0.01_s0,0.04114668071269989
300000,A_w5_T10000_centered_lr0.01_s1,0.01376630924642086
300000,A_w5_T10000_centered_lr0.01_s2,0.01702663116157055
300000,A_w5_T10000_centered_lr0.01_s3,0.03264494985342026
300000,A_w5_T10000_centered_lr0.01_s4,0.023586295545101166
50000,A_w5_T10000_centered_lr0.01_s0,0.024638228118419647
50000,A_w5_T10000_centered_lr0.01_s1,0.012313079088926315
50000,A_w5_T10000_centered_lr0.01_s2,0.02708270773291588
50000,A_w5_T10000_centered_lr0.01_s3,0.030445337295532227
50000,A_w5_T10000_centered_lr0.01_s4,0.02865058183670044
