step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
0,A_w100_T10000_std_lr0.01_s0,0.32,0.0139394,0.31,7.71293,5.12547,0.180499,0.503283,0,10.304,16.1361,0.638569,19.4182,0.101892,9.8143,8.8981,0.32,1.35205,nan,nan,nan,0.139878,nan,0.112384,1.42148,nan
0,A_w100_T10000_std_lr0.01_s1,0.17,0.0161616,0.15,8.32129,4.95173,0.181989,0.499111,0.00020202,13.7431,30.7635,0.446736,19.4858,0.101473,9.85485,9.48561,0.17,2.31772,nan,nan,nan,0.10027,nan,0.105423,1.39252,nan
0,A_w100_T10000_std_lr0.01_s2,0.22,0.00505051,0.2,9.59821,5.10632,0.177025,0.50095,0,0.902601,16.1992,0.055719,19.4826,0.090065,11.1031,10.2467,0.22,1.00337,nan,nan,nan,0.0863746,nan,0.0975927,1.37185,nan
0,A_w100_T10000_std_lr0.01_s3,0.21,0.0282828,0.2,6.99807,4.9574,0.18021,0.498879,0,3.47559,18.2415,0.190532,19.4476,0.0925671,10.803,9.93625,0.21,1.03575,nan,nan,nan,0.183857,nan,0.100642,1.39545,nan
0,A_w100_T10000_std_lr0.01_s4,0.32,0.0230303,0.26,6.81361,5.08487,0.180232,0.499202,0,9.62594,50.8494,0.189303,19.4672,0.0928604,10.7689,9.63917,0.32,2.11632,nan,nan,nan,0.166564,nan,0.103743,1.39587,nan
0,A_w100_T10000_centered_lr0.01_s0,0.19,0.00444444,0.17,10.2245,5.23618,0.181438,0.500061,0,0.57613,13.8467,0.0416078,19.4686,0.106151,9.42052,8.73155,0.19,1.12625,nan,nan,nan,0.0701484,nan,0.114527,1.41174,nan
0,A_w100_T10000_centered_lr0.01_s1,0.23,0.019596,0.22,7.51063,4.78061,0.183867,0.498556,0,3.13456,50.8066,0.0616959,19.35,0.0992326,10.0773,9.97921,0.23,2.15021,nan,nan,nan,0.142612,nan,0.100208,1.41651,nan
0,A_w100_T10000_centered_lr0.01_s2,0.32,0.0161616,0.3,7.57512,4.72328,0.17787,0.500515,0,1.76711,53.1078,0.033274,19.5169,0.088441,11.307,9.99018,0.32,2.64738,nan,nan,nan,0.246414,nan,0.100098,1.40195,nan
0,A_w100_T10000_centered_lr0.01_s3,0.21,0.0256566,0.21,6.71806,4.94792,0.184968,0.502475,0,36.6145,50.2286,0.728957,19.4017,0.114352,8.74491,7.37236,0.21,2.91936,nan,nan,nan,0.00445411,nan,0.135642,1.38996,nan
0,A_w100_T10000_centered_lr0.01_s4,0.24,0.00666667,0.2,9.88241,5.3806,0.177145,0.498909,0,39.1394,48.6315,0.804815,19.5766,0.0931066,10.7404,9.77072,0.24,4.29016,nan,nan,nan,0.0349555,nan,0.102347,1.41974,nan
1000,A_w100_T10000_std_lr0.01_s0,0.34,0.000808081,0.32,14.0545,5.73486,0.181402,0.504475,0,0.176285,12.9142,0.0136505,19.3944,0.102559,9.75049,8.71379,0.34,0.322291,nan,nan,nan,0.0464771,nan,0.114761,1.40305,0.985837
1000,A_w100_T10000_std_lr0.01_s1,0.19,0.00363636,0.19,13.1966,5.20438,0.182647,0.498586,0.00020202,0.661881,27.002,0.0245123,19.4758,0.10114,9.88725,9.56954,0.19,0.487683,nan,nan,nan,0.0432126,nan,0.104498,1.38574,0.970747
