arm,cond,seed,lr,task,fresh_online_acc,continual_online_acc,fresh_gap
ELU,std,0,0.0001,29,0.6822516026,0.6560496795,0.02620192308
ELU,std,1,0.0001,29,0.5459134615,0.5375,0.008413461538
ELU,std,2,0.0001,29,0.5630208333,0.5455929487,0.01742788462
ELU,std,3,0.0001,29,0.6675080128,0.6467548077,0.02075320513
ELU,std,4,0.0001,29,0.6116987179,0.5951522436,0.01654647436
ELU,std,5,0.0001,29,0.6081730769,0.5991586538,0.009014423077
ELU,std,6,0.0001,29,0.6336538462,0.6333733974,0.0002804487179
ELU,std,7,0.0001,29,0.6598157051,0.6539262821,0.005889423077
ELU,std,8,0.0001,29,0.6103365385,0.6185496795,-0.008213141026
ELU,std,9,0.0001,29,0.7165064103,0.7050080128,0.01149839744
