width,quantity,expected,observed,err,ok
10,b_mean,-0.079,-0.07893908105790615,0.0007711258492892962,True
10,b_min,-1.106,-1.1060988903045654,8.941257193972471e-05,True
10,b_neg_frac,0.5,0.5,0.0,True
20,b_mean,-0.116,-0.1161831046687439,0.001578488523654284,True
20,b_min,-0.618,-0.6180083751678467,1.3552051531854215e-05,True
20,b_neg_frac,0.69,0.69,0.0,True
20,dead_frac_strict,0.38,0.38,0.0,True
20,dead_wflip_mean,-1.463,-1.462996411512569,2.452828045784879e-06,True
20,dead_b_mean,-0.151,-0.15084491709345266,0.0010270391162075366,True
20,dead_b_dominant_frac,0.053,0.05263157894736842,0.00036842105263158037,True
