width,seed,run_id,h,b_mean,b_min,b_std,b_neg_frac,dead_frac_strict,dead_wflip_mean,dead_b_mean,dead_b_dominant_frac,alive_b_mean,w_norm_mean,beta_mean
10,0,A_w10_T10000_std_lr0.01_bfull_s0_none,10,-0.19704774180427193,-1.1060988903045654,0.4041734292601301,0.5,0.1,-1.8505763113498688,0.0,0.0,-0.21894193533807993,3.4631133770730727,-0.041877437106747954
10,1,A_w10_T10000_std_lr0.01_bfull_s1_none,10,-0.05497219208627939,-0.4010612666606903,0.20051140981068058,0.6,0.1,-1.2911723293364048,0.0,0.0,-0.06108021342919932,3.292895424617343,-0.02094242454350219
10,2,A_w10_T10000_std_lr0.01_bfull_s2_none,10,-0.05819776020944119,-0.3008677363395691,0.17964045027124412,0.6,0.2,-1.2611880181357265,-0.07623051851987839,0.0,-0.053689570631831884,2.8826705514365005,-0.021423214244853283
10,3,A_w10_T10000_std_lr0.01_bfull_s3_none,10,-0.05168137364089489,-0.5441977381706238,0.2926167067354946,0.4,0.2,-2.1151371151208878,-0.2388007789850235,0.0,-0.004901522304862738,3.827461905992608,-0.01970469845060368
10,4,A_w10_T10000_std_lr0.01_bfull_s4_none,10,-0.03279633754864335,-0.38499948382377625,0.19039250610923725,0.4,0.3,-1.5635769665241241,-0.2374573548634847,0.0,0.054915527014860084,3.2891087460113453,-0.019281042837642343
20,0,A_w20_T10000_std_lr0.01_bfull_s0_none,20,-0.15218903119675814,-0.6180083751678467,0.25050000633009334,0.75,0.3,-1.7223703703299786,-0.17836687030891576,0.0,-0.14096995729154774,2.970898882289731,-0.0474877246877872
20,1,A_w20_T10000_std_lr0.01_bfull_s1_none,20,-0.1192482526646927,-0.3372030258178711,0.13400479514965882,0.85,0.55,-1.4125894019380212,-0.15988307590173048,0.09090909090909091,-0.06958346870831317,2.858347065013954,-0.04339785539672246
20,2,A_w20_T10000_std_lr0.01_bfull_s2_none,20,-0.06884206458926201,-0.49617257714271545,0.18718357135570723,0.55,0.35,-0.9925733937748841,-0.08054312637874059,0.0,-0.06254149285646585,2.7004919458734165,-0.030227274038570985
20,3,A_w20_T10000_std_lr0.01_bfull_s3_none,20,-0.1556390359532088,-0.5488970875740051,0.21821872801797418,0.8,0.45,-1.5473953556372888,-0.20721853162265486,0.1111111111111111,-0.11343763040548022,2.9402679314564986,-0.05271582764240135
20,4,A_w20_T10000_std_lr0.01_bfull_s4_none,20,-0.08499713893979788,-0.5892044305801392,0.21768764533560692,0.5,0.25,-1.7693172074039467,-0.09488462470471859,0.0,-0.08170131035149097,2.898738023091931,-0.028782826432990277
