zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,acc,dead_hard,dead_soft,sat,immobile_units,gate_neg_frac,inv_units,beyond_frac,frozen_frac,frozen_units,zc_bad_lo,zc_bad_hi,zc_mut_fires,past_zc_frac,past_zc_units,task,step,clamp,pressure,arm,iv,seed
1.0717669787297137,1.0957717170044632,0.356417696071957,0.801953125,0.37659267818185865,0.3585774876797149,0.3581462332003163,0.7007617187499999,0.04396179966072505,0.0871329261039042,-0.0025169110939331717,0.0032929390218960942,0.005892740866581195,1.1779937490726475,0.02424353980051819,0.03415562886929289,0.36156500776397754,0.6056479859678897,0.17175451360705474,0.767960609530354,0.801330579513709,0.396826833486557,0.9043999910354614,0,0,0.03197265788912773,0,0.02103515714406967,0,0.02103515714406967,0.0,0,0,0,127,0.02103515714406967,0,1,625,ref,0.0,SILU,none,1
0.3883423753674818,1.3015239136747994,0.8533368247744313,0.59341796875,0.24043841454680717,0.487043710031076,0.7159588941365616,0.5876025390624999,0.06948848288667735,0.17036384932692372,-0.0026407567327662875,0.002065522170638048,0.008231688893334489,1.6138397305139909,0.02875970441964455,0.043146721625051426,0.2403472759105698,0.8367998013475919,0.1540982658015213,0.8416274695912582,0.5968429563165555,0.32813993096351624,0.9182000160217285,0,0,0.1770898401737213,0,0.14546875655651093,4,0.14546875655651093,0.0,0,0,0,369,0.14546875655651093,4,2,625,ref,0.0,SILU,none,1
-0.0599350358136207,1.353785388858172,1.617265889672188,0.47947265625,-0.04401577462035989,0.5586022757287696,0.8164597665177944,0.48141113281250003,0.07222442846544838,0.24200823976608885,-0.002196165782176837,-0.0005920526560903493,0.00863205969328253,1.9123761841026938,0.02757555544085335,0.05204068588507926,-0.03307302314991154,0.8732422290086634,0.23211694819120998,0.907743683857671,0.4803279816536024,0.2626221477985382,0.9192000031471252,0,1,0.2902539074420929,0,0.2540820240974426,20,0.2540820240974426,0.0,0,0,0,479,0.2540820240974426,20,3,625,ref,0.0,SILU,none,1
-0.5962904774588832,1.3877870949909639,2.8919368358894832,0.3816796875,-0.3390208423690078,0.6579606797182842,1.3212327866218616,0.3912890625,0.1260820646365094,0.3048436653030804,0.0019865261157568097,-0.0033442719935668106,0.010931789700623126,2.1388391929604187,0.02576910026720725,0.058991697191302164,-0.31681080499003544,1.1113138221465664,0.21758215344799292,0.9814956441351299,0.36982485930246106,0.265065461397171,0.9262999892234802,0,1,0.4421679675579071,0,0.4080273509025574,36,0.4080273509025574,0.0,0,0,0,431,0.4080273509025574,36,4,625,ref,0.0,SILU,none,1
-0.7178719820355829,1.3862170935745326,3.346075763406067,0.3629296875,-0.54582009133813,0.7435171632941011,1.914182229655556,0.35687988281250005,0.19046025734241048,0.3586472145839493,0.0037103001865472457,-0.005293394810475849,0.013015308435386296,2.31958063481608,0.026458637811083464,0.06404812158493031,-0.5157851438401557,1.3288802575260892,0.3357192152994949,1.0492584547204344,0.3516008911444996,0.2560182511806488,0.9229999780654907,0,2,0.4661523401737213,0,0.43296873569488525,39,0.43296873569488525,0.0,0,0,0,407,0.43296873569488525,39,5,625,ref,0.0,SILU,none,1
-1.1143212257268607,1.4454005816199103,3.442623736085287,0.3103515625,-0.8559428674957679,0.8279877029981666,2.480134069112376,0.30634765625,0.2701965683920179,0.40821846579013227,0.007148602134029838,-0.008145976040007831,0.014618845692390456,2.477704956514695,0.022144726260848985,0.068395921869619,-0.8123112346723123,1.4986459135640993,0.44483669268140347,1.1069264940460324,0.29214022734468403,0.23039023578166962,0.928600013256073,1,3,0.5307812690734863,0,0.4982617199420929,46,0.4982617199420929,0.0,0,0,0,420,0.4982617199420929,46,6,625,ref,0.0,SILU,none,1
-1.488355646772805,1.5088634536447256,4.218297661810805,0.2784375,-1.1657030266393882,0.902867651615046,2.8319771487530647,0.2621752929687501,0.3558838095051506,0.45411095404632357,0.005175232781393891,-0.011071571795552999,0.01569412308034193,2.6114257117098907,0.01762532471679151,0.07381842805437201,-1.1165222637764571,1.6168708235692195,0.38259229790797533,1.1615586819407582,0.2543484517114018,0.23357543349266052,0.9301000237464905,0,3,0.5941015481948853,0,0.5683398246765137,52,0.5683398246765137,0.0,0,0,0,331,0.5683398246765137,52,7,625,ref,0.0,SILU,none,1
-1.6707819861997666,1.5300473266109298,4.115785455180416,0.24548828125,-1.3814770824742164,0.9645346148132498,3.11198383464385,0.23840087890624997,0.4296200890142168,0.49665422039772095,0.0040527137610062445,-0.013189795618386912,0.0164725394748525,2.7443184802366978,0.012856391795212403,0.07784363921098167,-1.3382774101208645,1.702980046598506,0.41067029950814327,1.224600208175005,0.2211276088897521,0.25146782398223877,0.9182000160217285,1,2,0.6341601610183716,0,0.6085351705551147,61,0.6085351705551147,0.0,0,0,0,322,0.6085351705551147,61,8,625,ref,0.0,SILU,none,1
-1.7768724505239208,1.5622552314584581,4.495776463222444,0.2420703125,-1.5657779313221158,1.0350119521352548,3.661941548432338,0.2319482421875,0.512308517299957,0.5451034061167658,0.01383781764610792,-0.014805840535792442,0.017658188185069798,2.8680015596651924,0.008686916527803987,0.08124434786572082,-1.507990990581036,1.8299301771251102,0.46313159552495464,1.2796884215741964,0.2183349502492183,0.22569985687732697,0.9329000115394592,0,4,0.6366601586341858,0,0.6097265481948853,59,0.6097265481948853,0.0,0,0,0,358,0.6097265481948853,59,9,625,ref,0.0,SILU,none,1
-1.9458143093245541,1.6363144829424383,5.019001454518675,0.23453125,-1.703864151141551,1.0827057615687385,3.8902252655205602,0.2181982421875,0.5625535279666853,0.5923050900168272,0.01739314815062926,-0.01605929294505834,0.01803341980780042,2.9882743573198263,0.004889752061717445,0.08653425119946552,-1.640189077112314,1.875129528883967,0.5499535441183074,1.343328767290229,0.21034097986737113,0.25197458267211914,0.9280999898910522,4,6,0.6525976657867432,0,0.6278320550918579,63,0.6278320550918579,0.0,0,0,0,310,0.6278320550918579,63,10,625,ref,0.0,SILU,none,1
-2.0547865480838583,1.6183235384117836,5.069488582520339,0.22328125,-1.9112373176620132,1.1372074428938836,4.1492580174510705,0.20442871093749998,0.6507632271152172,0.6305238944252011,0.011953646632827023,-0.0180552281462625,0.018669389194980793,3.0963193933275064,-0.0005374831054359674,0.09156498876313068,-1.8500755468882075,1.9483902677578093,0.6208484464122591,1.3981268004862184,0.1986422561027644,0.2260866016149521,0.935699999332428,1,2,0.6618945598602295,0,0.6376953125,63,0.6376953125,0.0,0,0,0,326,0.6376953125,63,11,625,ref,0.0,SILU,none,1
-2.039303297699358,1.6650603594948232,5.075023527064505,0.2248828125,-1.9909958112976134,1.1790165126498777,4.414733046735225,0.2066357421875,0.6991413412314574,0.6729458157772512,0.017992780092369993,-0.01884653819026286,0.01922214481220871,3.2009017810201668,-0.0035567519604228436,0.09504220951643393,-1.934154885146707,2.0094691552778876,0.6688004221345666,1.4475805355899454,0.20268237047424162,0.2399633377790451,0.9309999942779541,3,6,0.6541211009025574,0,0.6288672089576721,66,0.6288672089576721,0.0,0,0,0,328,0.6288672089576721,66,12,625,ref,0.0,SILU,none,1
