zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,acc,dead_hard,dead_soft,sat,immobile_units,gate_neg_frac,inv_units,beyond_frac,frozen_frac,frozen_units,zc_bad_lo,zc_bad_hi,zc_mut_fires,past_zc_frac,past_zc_units,task,step,clamp,pressure,arm,iv,seed
0.8830413790729316,1.109237804836597,0.4353221921056684,0.75587890625,0.26740257395626094,0.3680501130068522,0.2857189961947931,0.6591552734375,0.043733256545960476,0.092538167737704,-0.0008105385993077703,0.0023690019001374823,0.005269562535317384,1.192704676822637,0.028201434867733043,0.035014849049042236,0.27087680578986595,0.5339369021481404,0.1830619418062826,0.7935221553311875,0.7528234396448876,0.2643474042415619,0.9128999710083008,0,0,0.05234374850988388,0,0.0,0,0.0,0.0,0,0,0,0,0.037324219942092896,0,1,625,ref,0.0,SILUF,none,0
0.3864987288097136,1.3360269065822121,0.6967518150433086,0.58974609375,0.1801429506752769,0.5112205864617726,0.7423889933929221,0.5969287109375,0.09570619849735586,0.16625730418112097,-0.0006170146561580189,0.0016652268299986997,0.008383142381496077,1.6232317364954554,0.03323551526525989,0.047646155153719706,0.2038177079667389,0.8406004155675989,0.21362414546715902,0.8721384140470531,0.6030207763892217,0.2163509726524353,0.9271000027656555,0,0,0.16285155713558197,0,0.0,0,0.0,0.0,0,0,0,0,0.12904296815395355,1,2,625,ref,0.0,SILUF,none,0
-0.0968293590545766,1.3923766507567021,1.4496527662181733,0.44017578125,-0.009003444780907198,0.6021074328928915,0.9732824105035669,0.497744140625,0.12239945261501543,0.2438468620152226,-0.003712953885370034,-0.00017065408871799515,0.009664119288489778,1.9104939352724173,0.034463768401765266,0.05941978632595852,0.01698233696998183,0.9713793838525477,0.27425617958231086,0.9472386953921909,0.4626106637782258,0.2514151632785797,0.9144999980926514,0,0,0.31562501192092896,0,0.0,0,0.0,0.0,0,0,0,0,0.2706054747104645,16,3,625,ref,0.0,SILUF,none,0
-0.5598749217824833,1.368275648034129,2.5997368010240876,0.35947265625,-0.28710162873868533,0.683686926730421,1.296908777831894,0.39131347656250004,0.17004588639491536,0.2943801723188894,0.003001755068283371,-0.002985325610289513,0.010994518695501807,2.102247016591656,0.0308017851706245,0.06892417895504284,-0.2750084380116815,1.108840733968533,0.21267310564083813,1.0084155477267058,0.38017697057267485,0.22717955708503723,0.9241999983787537,0,0,0.45335936546325684,0,0.0,0,0.0,0.0,0,0,0,0,0.41257813572883606,38,4,625,ref,0.0,SILUF,none,0
-0.6426243216985259,1.3656268631730069,2.2883068659938215,0.32486328125,-0.4688969012290725,0.761952035839423,1.6368946791805028,0.34847656250000003,0.22501910685253976,0.35168208752117214,0.0038697105461296174,-0.004624704089618194,0.012262273622227869,2.261938745520395,0.030557327561546117,0.07356424164104455,-0.4431872398396318,1.2413377211521295,0.2671405976026002,1.0681377976991095,0.3501657872594184,0.20532220602035522,0.9247000217437744,0,0,0.46269530057907104,0,0.0,0,0.0,0.0,0,0,0,0,0.4174218773841858,34,5,625,ref,0.0,SILUF,none,0
-0.8717523982675701,1.408571956326119,2.190210775554986,0.28708984375,-0.6854571266540294,0.8247131380400027,1.8007315632556324,0.3041259765625,0.2723793574641171,0.40004812948661195,0.007724273105059727,-0.006528182696044401,0.012856240613512857,2.4157008067161017,0.029373870445415378,0.07811765063114215,-0.6393588803042085,1.305358555548211,0.36674780475239455,1.124438625706548,0.3093159624733208,0.20569948852062225,0.9309999942779541,0,1,0.5243164300918579,0,0.0,0,0.0,0.0,0,0,0,0,0.4777148365974426,50,6,625,ref,0.0,SILUF,none,0
-0.9806826971656147,1.4363764968871175,2.7114051294709016,0.28544921875,-0.8159844964880085,0.8660243168054294,1.8485488994231878,0.29070068359375,0.302381876825524,0.4381505983983033,0.0094656420744837,-0.00776122443921619,0.01306000119950972,2.5481541206471956,0.030153750577010214,0.08233736619495174,-0.7648890982646926,1.325819070463286,0.44987388275319196,1.1771788086199708,0.3051454750251817,0.20314155519008636,0.9276000261306763,0,0,0.5432226657867432,0,0.0,0,0.0,0.0,0,0,0,0,0.5068163871765137,46,7,625,ref,0.0,SILUF,none,0
-1.0386251659797372,1.463670583883271,2.712362790571606,0.28658203125,-0.9384428003838121,0.9257878633832419,2.2133539232086377,0.27806640625,0.3684247094691685,0.47881592452155286,0.00984253399698731,-0.00888080505673281,0.014224637683289736,2.6783774288547786,0.030147090384270995,0.0872530005647359,-0.8795831471071875,1.444039582352037,0.5859878969899102,1.217555302833473,0.30697895723793533,0.21556931734085083,0.9265999794006348,0,0,0.5352538824081421,0,0.0,0,0.0,0.0,0,0,0,0,0.498046875,50,8,625,ref,0.0,SILUF,none,0
-1.3519031947015165,1.4100394517995785,2.9017532678788354,0.2378515625,-1.118448699730147,0.9734411993060499,2.241874616389509,0.24939208984375003,0.41655636273556906,0.5208591014451599,0.010172304325672185,-0.010664475467976237,0.014290403073786127,2.779284472459783,0.027286304691806436,0.09147349409999579,-1.0651592267916965,1.4530935259353916,0.5908135819088667,1.2554412325081064,0.2559015994421042,0.1829237937927246,0.9323999881744385,0,3,0.6126171946525574,0,0.0,0,0.0,0.0,0,0,0,0,0.5776171684265137,57,9,625,ref,0.0,SILUF,none,0
-1.250476472625214,1.5316104282760326,3.2293601065880155,0.27501953125,-1.2625348645836987,1.027504312640365,2.3818924279381504,0.23961669921875,0.47480439345108894,0.5708234321158299,0.010137286927630542,-0.01203142371199991,0.014752989869428364,2.8881974568447992,0.027758852276019753,0.09485673528105582,-1.2047138662395205,1.5017543014953423,0.5342939814129926,1.2986671339093707,0.29224184634563505,0.2414577603340149,0.9240000247955322,0,0,0.5711523294448853,0,0.0,0,0.0,0.0,0,0,0,0,0.5387499928474426,49,10,625,ref,0.0,SILUF,none,0
