arm,stage,activation,wd_b,target_dose,is_control,V1,V2,V2_co_satisfied,BL_onset_state,onset_state,status,NUMERIC_DIVERGENCE,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,median_strict_dead_frac_5m,median_submerged_frac_5m,median_w_norm_5m,median_eval_loss_exact_5m
BL_933,1,bwd_leaky,0.0,9.33,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,missing,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BL_1216,1,bwd_leaky,0.0,12.16,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,missing,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
FL_933,1,fwd_leaky,0.0,9.33,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,present,COMPLETE,0,3,0.06673951117773441,0.6524528500599973,"[0.0580827657585987, 0.033371590446087784, 0.00593198510305506, 0.04158699219062208, 0.1482928672876158, 0.0001833252212834006, 0.015346208434844761, 0.009421836473390899, 0.007254716197001784, 0.18843286457737266]",-1.645311001190628,10,0.6915028921812392,1.0,"[0.5001087756664997, 0.4198536444027602, 0.6338601453971016, 0.5239245590972403, 0.6308331348179707, 0.252305169884235, 0.4852409489809929, 0.6140301801309079, 0.47329128205589904, 0.27467384451334254]",-0.3074890405969295,0.996,0.996,3.94757266219304,0.8953014686684568
FL_1216,1,fwd_leaky,0.0,12.16,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,present,COMPLETE,0,10,0.6915028921812392,1.0,"[0.2685353558579689, 0.17967525664363998, 0.3757567211597832, 0.2757530031035669, 0.4492689407128571, 0.17116613579790516, 0.15208059243066124, 0.25317254463803673, 0.3767453332463836, 0.2796452140942913]",-0.5652391376723126,10,0.6915028921812392,1.0,"[0.5086331068252694, 0.4052111511543953, 0.653614052520769, 0.608325996490858, 0.4886238208199686, 0.49917237015736327, 0.3862401853380887, 0.618511703557946, 0.5386432423667903, 0.4151584979498111]",-0.29767241826405977,0.9985,0.9985,3.8658920403880703,1.0049841561038948
RW_933,2,relu,0.001,9.33,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,present,COMPLETE,0,2,0.025210726326833355,0.5560954623076415,"[5.42995903581719e-06, 3.4878954410004946e-06, 0.00015284660554461949, 0.0028998578722974734, 0.30657748640780635, 2.917798738430339e-05, 2.8923341860132244e-05, 0.0001354922801264343, 0.00015515713600847987, 0.09614831298189383]",-3.841914825203632,10,0.6915028921812392,1.0,"[0.29386705449046213, 0.34232650687399846, 0.42304918310208584, 0.36832074272095927, 0.42520418133837107, 0.49251754376856755, 0.22885867660792228, 0.6886430017945407, 0.29806448313198425, 0.21746950242003943]",-0.4496666468773793,0.9575,0.9575,4.423165708872787,0.47327513126818704
RW_1216,2,relu,0.001,12.16,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,present,COMPLETE,0,10,0.6915028921812392,1.0,"[0.25836007240291764, 0.07669944686377227, 0.32552049827626833, 0.15427534862462006, 0.45257575631433006, 0.16350928303918977, 0.19588369169381797, 0.14472799881231774, 0.22330228039670025, 0.34520507185153304]",-0.6795542807665578,10,0.6915028921812392,1.0,"[0.9820838012501912, 0.9873757030720036, 0.9122482859394692, 0.6061905751115951, 0.9814545483139746, 0.7118808344399131, 0.47025340667057003, 0.6864558575676866, 0.48278415510770795, 0.33093787956026105]",-0.1554900419663283,0.9850000000000001,0.9850000000000001,3.906442002533577,0.7882788320960641
BLW_933,2,bwd_leaky,0.001,9.33,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,missing,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
BLW_1216,2,bwd_leaky,0.001,12.16,0,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,missing,NUMERIC_DIVERGENCE,1,,,,,,,,,,,,,,
R_933,0,relu,0.0,9.33,1,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,present,COMMITTED_OTHER_RUN,0,3,,,"[0.00012244687527438068, 0.0006465155072805243, 0.026292290533084246, 0.11167375700267065, 0.1517642046216435, 0.005190652618805798, 0.03921716467634085, 0.002606762114828096, 0.02386125828625133, 0.08909592848918908]",-1.6012391177882543,10,,,"[0.46562605868100454, 0.8091302660125453, 0.8587544537644476, 0.7087422482335748, 0.5231436268746211, 0.8412842809402197, 0.3424444297915313, 0.809666914854289, 0.4652291590142763, 0.3377733220813829]",-0.21544536957589316,,,,
R_1216,0,relu,0.0,12.16,1,INCONCLUSIVE_DIVERGENCE,INCONCLUSIVE_DIVERGENCE,,missing,present,COMMITTED_OTHER_RUN,0,10,,,"[0.22008817205469797, 0.1553162042192267, 0.16558869134419346, 0.326407317592699, 0.3986922998381343, 0.2618935638191647, 0.150005670193653, 0.2079232060873296, 0.2635425968032131, 0.22852036903437875]",-0.6492391899413728,10,,,"[0.49785829368919127, 0.5669833542872723, 0.9638110689756122, 0.999884664334106, 0.4006331885271228, 0.6785477511014105, 0.36832435436972844, 0.6728659568821506, 0.39763733408382784, 0.3909596477422529]",-0.2746619723906341,,,,
