arm,seed,is_control,source,events_within_task,events_across_boundary,units_within_task,units_across_boundary,opportunities_within_task,opportunities_across_boundary,n_units,n_records,rate_within_task
FL_933,0,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1199,0,99,362874,90765,100,5001,0.0
FL_933,1,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1115,0,97,369004,92319,100,5001,0.0
FL_933,2,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1228,0,99,360442,90157,100,5001,0.0
FL_933,3,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1186,0,99,363150,90851,100,5001,0.0
FL_933,4,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1124,0,100,365762,91489,100,5001,0.0
FL_933,5,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1488,0,100,339744,85000,100,5001,0.0
FL_933,6,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1337,0,100,356210,89111,100,5001,0.0
FL_933,7,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1398,0,100,360340,90170,100,5001,0.0
FL_933,8,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1299,0,100,357192,89363,100,5001,0.0
FL_933,9,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,1271,0,100,362822,90785,100,5001,0.0
FL_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,576,0,99,385013,96237,100,5001,0.0
FL_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,492,0,95,387030,96741,100,5001,0.0
FL_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,525,0,97,382583,95618,100,5001,0.0
FL_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,494,0,95,385313,96287,100,5001,0.0
FL_1216,4,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,547,0,95,386890,96705,100,5001,0.0
FL_1216,5,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,683,0,95,379849,94969,100,5001,0.0
FL_1216,6,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,571,0,100,383801,95927,100,5001,0.0
FL_1216,7,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,553,0,96,386473,96589,100,5001,0.0
FL_1216,8,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,544,0,98,385057,96232,100,5001,0.0
FL_1216,9,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,0,446,0,92,388432,97080,100,5001,0.0
RW_933,0,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,405,2289,98,100,319306,79526,100,5001,0.0012683757899945507
RW_933,1,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,398,2028,97,100,332440,82799,100,5001,0.0011972085188304657
RW_933,2,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,385,2295,98,100,325902,81154,100,5001,0.0011813367208547356
RW_933,3,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,382,2384,94,100,324723,80918,100,5001,0.0011763872592948452
RW_933,4,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,284,1940,92,100,344554,85934,100,5001,0.0008242539630943191
RW_933,5,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,504,2486,98,100,300827,74689,100,5001,0.0016753815315779502
RW_933,6,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,452,2247,98,100,320375,79642,100,5001,0.001410846664065548
RW_933,7,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,378,2180,94,100,329513,82077,100,5001,0.0011471474570047312
RW_933,8,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,456,2106,97,100,329765,82086,100,5001,0.0013828029050990858
RW_933,9,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,342,2258,97,100,323626,80654,100,5001,0.001056775413594705
RW_1216,0,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,59,751,38,100,379651,94862,100,5001,0.00015540588593207974
RW_1216,1,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,74,822,41,99,377412,94275,100,5001,0.0001960721969624707
RW_1216,2,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,71,864,51,99,373789,93374,100,5001,0.00018994673465511292
RW_1216,3,0,/home/issan/Projects/claude/proj_004_drift/results/bwd_leak_0902/logs,53,718,40,98,380224,94989,100,5001,0.0001393915165797004
