arm,seed,is_control,source,median_s__all,median_M__all,median_B__all,median_denom__all,median_zbar__all,median_wmu__all,median_b_raw__all,median_s__p_hat_positive,median_M__p_hat_positive,median_B__p_hat_positive,median_denom__p_hat_positive,median_zbar__p_hat_positive,median_wmu__p_hat_positive,median_b_raw__p_hat_positive,median_M_plus_median_B__all,median_M_plus_median_B__p_hat_positive,n_records,n_na_M,n_na_B,alive_units_median,alive_records_used
FL_933,0,0,this_run,-3.3317387223243715,-2.236596965789795,-1.124019980430603,1.5507510304450989,-4.986387443542481,-3.3084104109288397,-1.6936617981164546,nan,nan,nan,nan,nan,nan,nan,-3.360616946220398,nan,10,0,0,0.0,0
FL_933,1,0,this_run,-3.375224158167839,-2.19400440454483,-1.1984713077545166,1.7464823126792908,-5.597099304199219,-3.5423523393616336,-2.0342899100500986,nan,nan,nan,nan,nan,nan,nan,-3.3924757122993467,nan,10,0,0,0.0,0
FL_933,2,0,this_run,-3.4311099469661714,-2.296168941259384,-1.101582646369934,1.3591111898422241,-4.6057525992393495,-3.0437025651039042,-1.4884346749250277,nan,nan,nan,nan,nan,nan,nan,-3.397751587629318,nan,10,0,0,0.0,0
FL_933,3,0,this_run,-3.233173355460167,-2.1129191160202025,-1.1224617958068848,1.453765630722046,-4.695302152633667,-3.0813365547943556,-1.6816357888629434,-1.7118127942085266,-0.9297965168952942,-0.7353969812393188,2.1231648921966553,-2.33029842376709,-1.329199261118319,-1.4974785193167577,-3.2353809118270873,-1.665193498134613,10,0,0,1.0,1
FL_933,4,0,this_run,-3.2966572046279907,-2.235705500841141,-1.105127876996994,1.7918311953544617,-5.888216757774353,-3.863001147457376,-1.8152986902576842,nan,nan,nan,nan,nan,nan,nan,-3.340833377838135,nan,10,0,0,0.0,0
FL_933,5,0,this_run,-3.068287640810013,-1.8898415625095368,-1.1856963694095612,1.3842585682868958,-4.29968353509903,-2.5597262545835067,-1.644134852901282,-1.0931909402133897,-0.4005606306018308,-0.6552185863256454,2.381052613258362,-2.5745218336582183,-0.9716511725662157,-1.652989858581409,-3.075537931919098,-1.0557792169274762,10,0,0,4.0,10
FL_933,6,0,this_run,-3.258516025543213,-2.0841496169567106,-1.1686924695968628,1.4689703583717346,-4.87067449092865,-3.104308932038292,-1.6983157262447883,nan,nan,nan,nan,nan,nan,nan,-3.2528420865535734,nan,10,0,0,0.0,0
FL_933,7,0,this_run,-3.2624396115541456,-2.131077289581299,-1.111030101776123,1.6120299100875854,-5.088517427444458,-3.2602209352156706,-1.7608212937291134,nan,nan,nan,nan,nan,nan,nan,-3.242107391357422,nan,10,0,0,0.0,0
FL_933,8,0,this_run,-3.222384861111641,-2.0798619627952575,-1.1325674057006836,1.7954035997390747,-5.174570465087891,-3.3240639100944627,-1.7516831803702857,nan,nan,nan,nan,nan,nan,nan,-3.212429368495941,nan,10,0,0,1.0,0
FL_933,9,0,this_run,-3.0448982939124107,-1.9631732940673827,-1.073124349117279,1.5796281695365906,-4.600415420532227,-2.8775823255293376,-1.6483421378534864,-1.021732861797015,-0.6460824807484945,-0.41473114987214404,2.1927953561147056,-2.610459844271342,-1.3245598103552088,-0.9535588601611819,-3.0362976431846618,-1.0608136306206386,10,0,0,2.0,3
FL_1216,0,0,this_run,-3.3953518725931646,-2.9057146310806274,-0.47872668504714966,1.5149166584014893,-5.0266234397888185,-4.258824962916992,-0.662262611590867,nan,nan,nan,nan,nan,nan,nan,-3.384441316127777,nan,10,0,0,0.0,0
FL_1216,1,0,this_run,-3.296682223677635,-2.8133577942848205,-0.4991377145051956,1.910573124885559,-6.0031424283981325,-5.1225897681172,-0.8034035589497908,nan,nan,nan,nan,nan,nan,nan,-3.312495508790016,nan,10,0,0,0.0,0
FL_1216,2,0,this_run,-3.3656314626336097,-2.872636544704437,-0.4878890812397003,1.5481162667274475,-5.1420005559921265,-4.430765678601747,-0.6587920150071866,nan,nan,nan,nan,nan,nan,nan,-3.3605256259441374,nan,10,0,0,0.0,0
FL_1216,3,0,this_run,-3.3311421878635885,-2.898314082622528,-0.44548431038856506,1.4854410886764526,-4.981530570983887,-4.304556798377088,-0.6555946340514893,nan,nan,nan,nan,nan,nan,nan,-3.343798393011093,nan,10,0,0,0.0,0
FL_1216,4,0,this_run,-3.1097044229507445,-2.666721320152283,-0.46025483310222626,1.8239755630493164,-5.696556282043457,-4.859263161511729,-0.7007203542498743,nan,nan,nan,nan,nan,nan,nan,-3.126976153254509,nan,10,0,0,1.0,0
FL_1216,5,0,this_run,-3.1077903218567373,-2.581572949886322,-0.5346127897500992,1.8184328198432922,-5.2726980447769165,-4.351009555410533,-0.7597890701816752,-0.8537026643753052,-0.6666836738586426,-0.1870189905166626,2.2528040409088135,-1.9232248067855835,-1.5019076744766835,-0.42131713756262457,-3.116185739636421,-0.8537026643753052,10,0,0,2.0,1
FL_1216,6,0,this_run,-3.2134575113654136,-2.7186342239379884,-0.5477568805217743,1.600553274154663,-5.219524717330932,-4.3712332944237176,-0.830664332480173,nan,nan,nan,nan,nan,nan,nan,-3.2663911044597627,nan,10,0,0,1.0,0
FL_1216,7,0,this_run,-3.260360810905695,-2.8009982109069824,-0.443149670958519,1.7094364166259766,-5.333875012397766,-4.6015984974004835,-0.7185723388085741,nan,nan,nan,nan,nan,nan,nan,-3.2441478818655014,nan,10,0,0,0.0,0
FL_1216,8,0,this_run,-3.166197766363621,-2.6478761792182923,-0.5455927848815918,1.6871863007545471,-5.051041531562805,-4.196875274636325,-0.7465126662783117,nan,nan,nan,nan,nan,nan,nan,-3.193468964099884,nan,10,0,0,0.0,0
FL_1216,9,0,this_run,-3.1727087371051312,-2.66342933177948,-0.44777804613113403,1.599907398223877,-4.765436363220215,-4.080899577718549,-0.6697049727294484,nan,nan,nan,nan,nan,nan,nan,-3.111207377910614,nan,10,0,0,0.0,0
RW_933,0,0,this_run,-3.08043780125026,-3.0742631316185,-2.7620583011866984e-06,1.482558649778366,-4.2741419792175295,-4.248530233889374,-3.2924796679537856e-06,-1.0097766286926344,-1.121929831802845,0.1131459791213274,2.0071663856506348,-2.09898878633976,-2.291259766472235,0.2338035573804692,-3.074265893676801,-1.0087838526815176,10,0,0,4.5,8
RW_933,1,0,this_run,-3.1450901246614658,-3.143591749668121,-0.00027792680339189246,1.4239118337631225,-4.696249628067017,-4.67992035560003,-0.0004264027503665771,-1.0499612850137054,-1.0456399977207185,0.00746282787877135,1.8095203995704652,-1.9649621784687041,-2.037362456423969,0.01748924562599055,-3.143869676471513,-1.038177169841947,10,0,0,2.5,5
RW_933,2,0,this_run,-3.1757960382524395,-3.1747934818267822,-0.001862538221757859,1.3112468481063844,-4.12312935590744,-4.102909660726749,-0.0022705722466701307,-1.5595039151608945,-1.6001268178224564,0.04144936533411965,1.7227247416973115,-2.7023949563503264,-2.7683335934616773,0.0695784913964533,-3.17665602004854,-1.5586774524883367,10,0,0,5.0,10
RW_933,3,0,this_run,-3.216118689859453,-3.2105402827262877,-2.0380265914354824e-05,1.3744589745998383,-4.32862024307251,-4.3127325204530225,-2.842858592449886e-05,-1.0076273881519835,-1.1090173721313477,0.13655123052497706,1.562228222688039,-1.3291257942716281,-1.4891708608972607,0.242631488715254,-3.210560662992202,-0.9724661416063706,10,0,0,4.0,6
RW_933,4,0,this_run,-3.065175692740803,-3.0587596535682677,-9.085852834687103e-05,1.5323727965354919,-4.564637279510498,-4.541291688373548,-0.00013744806691216768,-1.4138499602675438,-1.3912802293896676,-0.0050355538725852965,1.883608889579773,-2.7702526837587356,-2.732549574604709,-0.010519053827669555,-3.0588505120966145,-1.3963157832622528,10,0,0,3.0,5
RW_933,5,0,this_run,-2.7481871817845955,-2.7339579463005066,-0.00020532886701403187,1.4782809257507323,-3.982666289806366,-3.9602643029290165,-0.0003012980616342621,-1.7175631476566195,-1.6855930984020233,-0.024713851913111283,1.661988627910614,-2.8874016642570495,-2.866889292992574,-0.043127444877620824,-2.7341632751675204,-1.7103069503151347,10,0,0,8.0,10
RW_933,6,0,this_run,-3.155605208160883,-3.1524966955184937,-0.00010415653596282937,1.3462011694908143,-4.099586248397827,-4.082253500588671,-0.0001218872996790385,-0.33425630314741284,-0.3749784152023494,0.09590287011815235,1.9629016667604446,-0.6875928770168684,-0.7660148609102568,0.1697945942941793,-3.1526008520544564,-0.2790755450841971,10,0,0,3.0,8
RW_933,7,0,this_run,-3.149006447388653,-3.146046769618988,-0.00011572795410756953,1.5261314690113068,-4.4098351240158085,-4.3879263679359255,-0.0001660212707811744,-1.6624684035450628,-1.6812589317560196,0.01609697916501318,2.0122325718402863,-3.28172904253006,-3.3203251348576828,0.032769865300376164,-3.146162497573096,-1.6651619525910064,10,0,0,2.0,4
RW_933,8,0,this_run,-3.0763567751316225,-3.0677771091461183,-0.001464930412475951,1.441389513015747,-4.3188833594322205,-4.297897428800219,-0.002165074749525593,-1.4721212902572005,-1.4492178201675414,0.0007174018159275874,2.350715082883835,-3.3115590691566466,-3.2994514209524923,-0.0030713674019709645,-3.069242039558594,-1.448500418351614,10,0,0,7.0,10
RW_933,9,0,this_run,-2.8063277143071153,-2.794899821281433,-0.0018301276140846312,1.5475508570671082,-4.1959421038627625,-4.155908537463118,-0.002584043578781086,-1.3323160654399544,-1.371147982776165,0.02039879682706669,1.7550739645957947,-2.3872288540005684,-2.475548598545437,0.034151846699143076,-2.7967299488955177,-1.3507491859490983,10,0,0,5.5,8
RW_1216,0,0,this_run,-3.3220994999166416,-3.3219223856925963,-7.419130712343556e-13,1.6334429383277893,-5.263069796562195,-5.262144835076725,-1.107658128494984e-12,nan,nan,nan,nan,nan,nan,nan,-3.3219223856933384,nan,10,0,0,1.0,0
RW_1216,1,0,this_run,-3.2013281078155957,-3.1998819708824158,-4.52102467268789e-10,1.7686123847961426,-5.460598301887512,-5.451314590322925,-6.966588953350537e-10,nan,nan,nan,nan,nan,nan,nan,-3.199881971334518,nan,10,0,0,0.0,0
RW_1216,2,0,this_run,-3.1678578495210705,-3.1663355112075804,-4.099707955063092e-10,1.5010575652122498,-4.74555459022522,-4.747711648072955,-6.20381008192699e-10,-1.8289679130539298,-1.7566863894462585,-0.05172616941854358,2.4291695952415466,-3.54359370470047,-3.4218955718871626,-0.1273425085348503,-3.166335511617551,-1.8084125588648021,10,0,0,2.0,4
RW_1216,3,0,this_run,-3.3387220207202013,-3.3385759711265566,-6.484551687280237e-10,1.505606573820114,-4.900926804542541,-4.902381036461994,-1.1565607881198735e-09,nan,nan,nan,nan,nan,nan,nan,-3.3385759717750116,nan,10,0,0,1.0,0
RW_1216,4,0,this_run,-3.1111672069157055,-3.1103413105010986,-3.425478206642296e-09,1.8622843027114868,-5.663696527481079,-5.657558983504536,-5.428609594111635e-09,nan,nan,nan,nan,nan,nan,nan,-3.1103413139265768,nan,10,0,0,0.5,0
RW_1216,5,0,this_run,-2.987047322202705,-2.9864103317260744,-3.4098529416715093e-10,1.5662163555622102,-4.873026895523071,-4.856263503154781,-5.520242540807195e-10,-1.6210876238765195,-1.5747286677360535,-0.048500074190087616,2.3281574845314026,-3.825568377971649,-3.6699381418125014,-0.12488790301502012,-2.98641033206706,-1.623228741926141,10,0,0,2.0,2
RW_1216,6,0,this_run,-3.2380194917147462,-3.2374261617660522,-1.3690923589271265e-09,1.4295171618461608,-4.445898509025573,-4.430482713883275,-1.7319856936724197e-09,nan,nan,nan,nan,nan,nan,nan,-3.2374261631351446,nan,10,0,0,1.0,0
RW_1216,7,0,this_run,-3.181452297717099,-3.180039942264557,-1.0781121884129164e-09,1.725358134508133,-4.928468108177185,-4.925655506198936,-1.7504670607997606e-09,-1.9212421774864197,-1.8449785709381104,-0.02646353840827942,2.9772660732269287,-5.7200493812561035,-5.492992105084738,-0.08267213376191762,-3.180039943342669,-1.8714421093463898,10,0,0,1.5,1
RW_1216,8,0,this_run,-3.013657955609373,-3.010584127902985,-1.8189260719836397e-08,1.572647935152054,-4.925130391120911,-4.918942454670561,-2.7399319442118725e-08,-1.5355356744091426,-1.5586681280817305,0.018198467059327022,2.2105574948447093,-3.3638180664607455,-3.4308873330791516,0.04265359320024003,-3.0105841460922456,-1.5404696610224036,10,0,0,3.0,7
RW_1216,9,0,this_run,-3.062713303355163,-3.061094892024994,-1.223883936904424e-11,1.628230094909668,-4.8478715181350704,-4.839171127661497,-1.1258492122650555e-11,-0.3557722554542124,-0.4184641148895025,0.0585222658701241,2.4104135632514954,-0.9219457600265741,-1.0824262983913853,0.1448538319952153,-3.0610948920372327,-0.3599418490193784,10,0,0,2.0,4
R_933,0,1,results/gate_dose_0830/logs,-3.3514567077159882,-2.2114273607730865,-1.2029787480831147,1.4924206256866455,-4.892298150062561,-3.119868773662432,-1.688480233802521,-1.5446874052286148,-0.5682943612337112,-0.8273271322250366,2.1296375393867493,-3.8930675983428955,-1.4734653079646733,-1.7399462668816597,-3.414406108856201,-1.3956214934587479,10,0,0,1.5,2
R_933,1,1,results/gate_dose_0830/logs,-3.4991060584783553,-2.2883795619010927,-1.2204889059066772,1.4616068303585052,-4.920749163627624,-3.248818645459862,-1.6635942029447492,nan,nan,nan,nan,nan,nan,nan,-3.50886846780777,nan,10,0,0,1.0,0
R_933,2,1,results/gate_dose_0830/logs,-3.2966459333896636,-2.196259784698486,-1.112321376800537,1.2964797616004944,-4.3292147517204285,-2.837645258097262,-1.3873516726423027,-1.7765903522570927,-1.1126130918661754,-0.6768881777922312,1.8466595808664958,-3.1251977682113647,-2.0829767707325963,-1.2137174121490517,-3.3085811614990233,-1.7895012696584067,10,0,0,2.0,3
R_933,3,1,results/gate_dose_0830/logs,-3.216940236091614,-2.121363973617554,-1.073240488767624,1.3658538937568665,-4.3818704843521115,-2.8574715294985245,-1.5633639546473574,nan,nan,nan,nan,nan,nan,nan,-3.1946044623851777,nan,10,0,0,1.0,0
R_933,4,1,results/gate_dose_0830/logs,-3.1931545794010163,-2.1344441056251524,-1.1271476745605469,1.5932186603546143,-5.059590697288513,-3.1506283659244767,-1.6909014155811413,-1.3512151446193457,-0.1634672787040472,-0.7700293660163879,1.7204927802085876,-2.7826799154281616,-0.4073932987128914,-1.6703948478946913,-3.2615917801856993,-0.9334966447204351,10,0,0,1.0,1
R_933,5,1,results/gate_dose_0830/logs,-2.945322495698929,-1.8206242620944977,-1.213363343477249,1.3107679188251495,-3.833523857593536,-2.3611677954125776,-1.571503668058132,-1.813847579061985,-0.7253815904259682,-0.9605878055095672,1.6303364396095277,-2.840800142288208,-1.1920524108434851,-1.4007680546700747,-3.0339876055717467,-1.6859693959355355,10,0,0,2.5,5
R_933,6,1,results/gate_dose_0830/logs,-3.281814217567444,-2.0971466541290282,-1.0737575888633728,1.311874544620514,-4.252496731281281,-2.7999400825959513,-1.4568249272482916,-0.6124305129051208,-0.27296003699302673,-0.3394704759120941,1.8253147602081299,-1.1178784370422363,-0.49823798447032885,-0.6196404703372238,-3.170904242992401,-0.6124305129051208,10,0,0,2.0,1
R_933,7,1,results/gate_dose_0830/logs,-3.2718412935733796,-2.2162962913513184,-1.0916998147964478,1.459394371509552,-4.726675701141358,-3.0651946485208486,-1.5036453711901772,-1.7525602951645851,-1.4992167949676514,-0.33899757266044617,1.9556198120117188,-3.4273416996002197,-3.250277778675809,-0.5392510060920799,-3.3079961061477663,-1.8382143676280975,10,0,0,1.0,1
R_933,8,1,results/gate_dose_0830/logs,-3.2138761281967163,-2.03000670671463,-1.1144059598445892,1.4176977455615998,-4.405888605117798,-2.8448148795029176,-1.5156334892999652,-1.3322742283344269,-0.6959119141101837,-0.5173074901103973,1.7941200733184814,-2.5301526188850403,-1.2459335306514454,-1.2139223354198307,-3.1444126665592194,-1.213219404220581,10,0,0,2.0,2
R_933,9,1,results/gate_dose_0830/logs,-2.984526996314526,-1.8974587559700011,-1.02342689037323,1.545667552947998,-4.428253388404846,-2.7972135503226645,-1.5296282443434208,-1.5831895768642426,-0.7598887979984283,-0.7665942013263702,1.7726079821586609,-2.838675856590271,-1.3624011508305784,-1.5610727959966368,-2.920885646343231,-1.5264829993247986,10,0,0,2.0,2
R_1216,0,1,results/gate_dose_0830/logs,-3.2334224089980124,-2.7392903923988343,-0.5150199621915817,1.6705101430416107,-5.11494677066803,-4.330068312641591,-0.7538218537399146,-1.4747286885976791,-1.0617081820964813,-0.41626307368278503,1.7234450578689575,-2.5299971103668213,-1.8132132313333216,-0.7171520010440879,-3.254310354590416,-1.4779712557792664,10,0,0,1.0,1
