endpoint,contrast,high,low,status,cross_run,n_paired,label,ci_below_zero,equivalence_margin,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate,sign_n_positive,sign_n_negative,sign_p_two_sided,seed_values
P3prime,BL_933_minus_R_933,BL_933,R_933,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BL_1216_minus_R_1216,BL_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,FL_933_minus_R_933,FL_933,R_933,OK,1,10,,,,-0.10496235731359307,-0.20807004227053122,0.04437756785068456,-0.26470935722482447,1.1233486839961513,1,4,6,0.75390625,"[0.03102719786692887, -0.28492051923719325, -0.13187555653599609, -0.13121956530386916, 0.08129355783066283, -0.5230166248098748, 0.1513673370424754, -0.12011667558316878, 0.007461577870706282, -0.08980803904401735]"
P3prime,FL_1216_minus_R_1216,FL_1216,R_1216,OK,1,10,,,,-0.013640877838875298,-0.15100020286961577,0.05342736622439284,-0.3247935019844845,0.44653543267361234,1,5,5,1.0,"[0.009298878577969683, -0.14588892053572153, -0.1686705288525962, -0.21581353126265504, 0.08622771189009226, -0.13332987688663533, 0.02062702055869342, -0.03658063425572028, 0.1318140622512799, 0.026081997280254732]"
P3prime,BLW_933_minus_R_933,BLW_933,R_933,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,BLW_1216_minus_R_1216,BLW_1216,R_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime,RW_933_minus_R_933,RW_933,R_933,OK,1,10,,,,-0.19662153766629942,-0.28426214418551765,-0.14062519841415044,-0.20989634466410031,-0.188826207192163,1,0,10,0.001953125,"[-0.19988637759890737, -0.37357791798987733, -0.3074781416831384, -0.28426214418551765, -0.09002341235263123, -0.2325210694354497, -0.17502272408863706, -0.0703122548021645, -0.19335669773369146, -0.19122698447566966]"
P3prime,RW_1216_minus_R_1216,RW_1216,R_1216,OK,1,10,,,,0.05254637005383145,-0.03185069783366172,0.24091212718051516,-0.07132748370096047,0.2499810993953463,1,7,3,0.34375,"[0.29504280141264655, 0.24091212718051516, -0.02387885366435832, -0.2173407276779299, 0.38912326850887646, 0.020826885373249393, 0.10610151415044117, 0.008684059160002727, 0.0842658547344135, -0.07238545482732617]"
P3prime_delta,BLW_933_minus_BL_933,BLW_933,BL_933,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P3prime_delta,BLW_1216_minus_BL_1216,BLW_1216,BL_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BL_933_minus_LR_933,BL_933,LR_933,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,BL_1216_minus_LR_1216,BL_1216,LR_1216,NUMERIC_DIVERGENCE,0,,,,,,,,,,,,,,[]
P5,FL_933_minus_LR_933,FL_933,LR_933,OK,1,10,SHORT_OF_LR,0,0.15,2.3251621004262413,1.7423488130724136,3.1743869376148663,-99024914045967.56,3.3380939776029335,1,10,0,0.001953125,"[3.84700320815526, 1.872585541070169, 2.1977502528141417, 1.670785017307011, 1.7423488130724136, 3.9051006676222064, 2.5017706670744726, 2.6703097194139835, 1.6011408993852991, 2.4525739480383404]"
P5,FL_1216_minus_LR_1216,FL_1216,LR_1216,OK,1,10,SHORT_OF_LR,0,0.15,2.308206378752711,1.8055119172859597,2.8367066171811546,0.47354971735142715,11783021627903.752,1,10,0,0.001953125,"[2.9076028761557815, 2.220812171598525, 2.235868886645361, 1.7543334034421778, 2.3805438708600617, 2.8367066171811546, 3.1794359317011307, 1.7398239857170317, 2.796611704718302, 1.8055119172859597]"
P6,dose933,,,NOT_RUN,1,,,,,,,,,,,,,,[]
P6,dose1216,,,NOT_RUN,1,,,,,,,,,,,,,,[]
