id,pass,assertion,note
B1,True,set(REQUIRED) is a subset of npz.files,"n_seed=10, missing=[[], [], [], [], [], [], [], [], [], []]"
B2,True,np.diff(step) distribution and record count are the known grid,"expected={1: 19900, 900: 199, 1000: 801} n_step=20901; seen=[(20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801}), (20901, {1: 19900, 900: 199, 1000: 801})]"
B3,True,F_gate == F_self + F_rest (float32 tolerance),"max_abs=1.6763806343078613e-08, bad=0; max_abs=2.8594513423740864e-08, bad=0; max_abs=2.8870999813079834e-08, bad=0; max_abs=2.7881469577550888e-08, bad=0; max_abs=2.6077032089233398e-08, bad=0; max_abs=1.4901161193847656e-08, bad=0; max_abs=1.4901161193847656e-08, bad=0; max_abs=1.4901161193847656e-08, bad=0; max_abs=2.9802322387695312e-08, bad=0; max_abs=2.9802322387695312e-08, bad=0"
B4,True,x == cos_u_mu * w_norm and finite,"seeds_ok=[True, True, True, True, True, True, True, True, True, True]"
B5,True,"60 starts per boundary on [b-100, b-41] with contiguous records","n_boundary=[99, 99, 99, 99, 99, 99, 99, 99, 99, 99], n_start=[5940, 5940, 5940, 5940, 5940, 5940, 5940, 5940, 5940, 5940]"
B6,True,flip_state_start == flip_state_end on every main pair,"dropped=[{1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}, {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 40: 0}]"
B7,True,median(mu_norm) >= 1.0 on the analysed logs,"median=[3.2016, 3.0414, 2.8723, 3.0414, 3.2016, 2.8723, 3.0414, 3.0414, 2.8723, 2.8723], q05=[2.6926, 2.2913, 2.0616, 2.6926, 2.5, 2.2913, 2.6926, 2.5, 2.0616, 2.0616], frac<0.5=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B8,True,the same threshold rejects centered (out of scope for this spec),"median=[0.1174, 0.1181, 0.1179, 0.1123, 0.1179, 0.1131, 0.1165, 0.1209, 0.1163, 0.1167], q05=[0.0447, 0.0436, 0.0445, 0.0463, 0.0442, 0.0427, 0.0425, 0.0454, 0.0443, 0.0454], frac<0.5=[0.6699, 0.6693, 0.669, 0.6704, 0.6695, 0.6697, 0.6698, 0.6698, 0.6696, 0.6694]"
B9,True,src/ratchet_log.py exposes --seeds and --outdir,"{""--seeds"": true, ""--outdir"": true}"
B10,True,implemented per-pair H equals disp - f0 and is finite,"max_abs=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
