variant,k,M,ci_lo,ci_hi,n_pair,n_seed_contrib,delta_vs_main,rel_delta_vs_main,ci_method,note
win_lo_m1,1,1.1677591669705404e-05,-3.632610815625399e-05,5.6169058322275e-05,283378,10,-2.8665044254205322e-06,-0.19709058621946016,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,1,5.31305405188898e-05,-4.27383243029023e-05,0.00022115526542216974,82985,10,3.858644442376386e-05,2.653065833131773,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
win_hi_m1,1,1.619309907860456e-05,-6.305525876259878e-05,9.333096960275985e-05,161964,10,1.6490029834786229e-06,0.11337954402207519,studentized,"window upper edge -1 band: x in [0.1, 0.8)"
win_hi_p1,1,1.2109410532748867e-05,-6.286071349483447e-05,7.654538813414277e-05,163826,10,-2.434685562377069e-06,-0.16740026650353257,studentized,"window upper edge +1 band: x in [0.1, 1.0)"
a_no_near,1,1.4551091024687794e-05,-6.178210649923956e-05,8.073830630974367e-05,163012,10,6.9949295618579424e-09,0.0004809463246191082,studentized,population A_no_near: p_hat_start >= 0.05
pair_weight,1,1.9173804859342156e-05,-2.9520974682850508e-05,6.25119633191446e-05,163072,10,4.6297087642162195e-06,0.31832220675217776,percentile,pair-equal weighting instead of seed-equal
no_blip,1,3.09546436877471e-05,-3.1998982188956246e-05,9.986486486572338e-05,159726,10,1.6410547592621164e-05,1.1283305256846259,studentized,"window minus band [0.6,0.7) (spec 5-4 blip contribution)"
no_strict_off,1,1.4544096095125936e-05,-6.178449979355484e-05,8.072114294873866e-05,163072,10,0.0,0.0,studentized,window minus pairs that are strict-off at the end (spec 5-6)
win_lo_m1,2,1.4799391620303469e-05,-3.057798769529925e-05,6.301709475434391e-05,283378,10,-8.175622764027103e-06,-0.3558484285260359,studentized,"window lower edge -1 band: x in [0.0, 0.9)"
win_lo_p1,2,6.461182246191962e-05,-4.024880412736948e-05,0.00024409366839673983,82985,10,4.163680807758905e-05,1.8122647229325,studentized,"window lower edge +1 band: x in [0.2, 0.9)"
