arm,step,dtype,mode,t,metric,mean,lo,hi,sd,n
LR_a0p1_q0,200000,float64,switch,0,W,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,bias,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,loss,2.565925264397271,1.5933980594463977,3.5384524693481447,1.3594992888637256,10
LR_a0p1_q0,200000,float64,switch,0,cos_change,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,length,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,direction,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,centered_norm_change,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,fraction_units_down,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,oldmean_W,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,radial,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,tangent,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,self_pos,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,self_neg,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,rest_pos,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,rest_neg,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,pos,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,neg,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,down,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,up,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,common_mu,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,input_correlation,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,centered_transport,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,rowmean_transport,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,E,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,R,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,J,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,W_round,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,z_learning,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,0,input_jump,0.04935360881328721,0.01632690762178709,0.08238031000478732,0.046168144762209755,10
LR_a0p1_q0,200000,float64,switch,0,z_own_task_change,0.04935360881328721,0.01632690762178709,0.08238031000478732,0.046168144762209755,10
LR_a0p1_q0,200000,float64,control,0,W,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,bias,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,loss,0.0011224776960655025,0.000301071037179227,0.001943884354951778,0.0011482473322483864,10
LR_a0p1_q0,200000,float64,control,0,cos_change,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,length,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,direction,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,centered_norm_change,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,fraction_units_down,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,oldmean_W,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,radial,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,tangent,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,self_pos,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,self_neg,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,rest_pos,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,rest_neg,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,pos,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,neg,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,down,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,up,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,common_mu,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,input_correlation,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,centered_transport,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,rowmean_transport,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,E,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,R,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,J,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,W_round,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,z_learning,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,input_jump,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,control,0,z_own_task_change,0.0,0.0,0.0,0.0,10
LR_a0p1_q0,200000,float64,switch,1,W,-0.0006848768450159017,-0.004355319644658463,0.002985565954626659,0.005130925233275204,10
LR_a0p1_q0,200000,float64,switch,1,bias,-8.774746869644567e-05,-0.0004959133170534806,0.00032041837966058926,0.0005705765121582163,10
LR_a0p1_q0,200000,float64,switch,1,loss,2.483481493854193,1.416733332903617,3.550229654804769,1.4912111032228175,10
LR_a0p1_q0,200000,float64,switch,1,cos_change,-0.00017136449519982534,-0.0008226107827467952,0.0004798817923471445,0.0009103795351822271,10
LR_a0p1_q0,200000,float64,switch,1,length,6.999409063656734e-05,2.907002761621367e-06,0.0001370811785115133,9.378128220334407e-05,10
LR_a0p1_q0,200000,float64,switch,1,direction,-0.00075487093565247,-0.004418144859672366,0.0029084029883674257,0.005120903836175615,10
LR_a0p1_q0,200000,float64,switch,1,centered_norm_change,-0.00023295434065432734,-0.0010097788906062008,0.000543870209297546,0.0010859258413082678,10
LR_a0p1_q0,200000,float64,switch,1,fraction_units_down,0.495,0.4466876569775581,0.5433123430224419,0.06753599863118269,10
