arm,step,mode,metric,mean,lo,hi,sd,n
LR_a0p1_q0,200000,old,force,1.227421396039013e-05,-1.5615158122462442e-05,4.0163586043242704e-05,3.898665386477203e-05,10
LR_a0p1_q0,200000,old,bias,1.4234921104659138e-06,-1.7403744033532554e-06,4.587358624285083e-06,4.422780415499215e-06,10
LR_a0p1_q0,200000,old,radial,4.244865096397069e-07,3.6153739201353575e-09,8.453576453592785e-07,5.883372792053966e-07,10
LR_a0p1_q0,200000,old,tangent,1.1849727450750424e-05,-1.605665940657799e-05,3.975611430807884e-05,3.901043887940434e-05,10
LR_a0p1_q0,200000,old,h,-0.0002846984220931826,-0.0009174717248570164,0.00034807488067065123,0.0008845560830998431,10
LR_a0p1_q0,200000,old,hself,0.0936824190243917,0.07695857113741585,0.11040626691136755,0.023378327304023627,10
LR_a0p1_q0,200000,old,hrest,-0.0939671174464849,-0.11069025579506091,-0.07724397909790888,0.023377335437734348,10
LR_a0p1_q0,200000,old,common,1.3164000943605521e-05,-1.609442730277623e-05,4.242242918998727e-05,4.090046241558417e-05,10
LR_a0p1_q0,200000,old,correlation,-8.897869832153926e-07,-2.3971819795878494e-06,6.176080131570641e-07,2.107192904396553e-06,10
LR_a0p1_q0,200000,old,loss,0.001122477696065502,0.0003010710371792266,0.0019438843549517775,0.0011482473322483864,10
LR_a0p1_q0,200000,old,h_pos,9.994844405760696e-06,-1.1847575934698103e-05,3.1837264746219495e-05,3.053359820552919e-05,10
LR_a0p1_q0,200000,old,h_neg,2.2793695546294306e-06,-4.651331026825288e-06,9.210070136084149e-06,9.688451350099823e-06,10
LR_a0p1_q0,200000,old,hs_pos,-0.0049778723936717085,-0.005736299255570255,-0.004219445531773162,0.0010602076467961694,10
LR_a0p1_q0,200000,old,hs_neg,0.0008806607727823228,0.0006947306356754105,0.0010665909098892352,0.00025991240953300733,10
LR_a0p1_q0,200000,old,hr_pos,0.004987867238077469,0.00423265179311724,0.0057430826830376985,0.0010557183954706928,10
LR_a0p1_q0,200000,old,hr_neg,-0.0008783814032276932,-0.001067681392018246,-0.0006890814144371406,0.0002646231373606331,10
LR_a0p1_q0,200000,input_only,force,-0.0007044164594628368,-0.0010804619817688821,-0.00032837093715679154,0.0005256753924752998,10
LR_a0p1_q0,200000,input_only,bias,-7.524171954059123e-05,-0.0001151053339163513,-3.537810516483117e-05,5.572549037136827e-05,10
LR_a0p1_q0,200000,input_only,radial,-4.932648265961762e-06,-1.3265266736390814e-05,3.3999702044672907e-06,1.1648197425483101e-05,10
LR_a0p1_q0,200000,input_only,tangent,-0.000699483811196875,-0.0010681668846592518,-0.0003308007377344982,0.0005153833986716215,10
LR_a0p1_q0,200000,input_only,h,0.015048343908118244,0.007075621032966233,0.023021066783270254,0.01114509807427365,10
LR_a0p1_q0,200000,input_only,hself,0.10228904365774853,0.08477970774493922,0.11979837957055785,0.02447636384952623,10
LR_a0p1_q0,200000,input_only,hrest,-0.0872406997496303,-0.10577386321319897,-0.06870753628606162,0.025907576076897035,10
LR_a0p1_q0,200000,input_only,common,-0.0006958114202028538,-0.0010644574094568968,-0.0003271654309488108,0.000515331558522985,10
LR_a0p1_q0,200000,input_only,correlation,-8.605039259982777e-06,-2.3636787973613552e-05,6.426709453647999e-06,2.1012935764189292e-05,10
LR_a0p1_q0,200000,input_only,loss,0.9913487762982799,0.8403844827573781,1.1423130698391817,0.21103353064867522,10
LR_a0p1_q0,200000,input_only,h_pos,-0.0007466904399839351,-0.0010789568638309547,-0.00041442401613691536,0.0004644764327761243,10
LR_a0p1_q0,200000,input_only,h_neg,4.227398052109828e-05,-1.6267797751996425e-05,0.00010081575879419298,8.183576307781585e-05,10
LR_a0p1_q0,200000,input_only,hs_pos,-0.005640296411093997,-0.00648566904829047,-0.004794923773897524,0.0011817494598020137,10
LR_a0p1_q0,200000,input_only,hs_neg,0.0009155495597017213,0.0007245412090886971,0.0011065579103147454,0.00026701126251636005,10
LR_a0p1_q0,200000,input_only,hr_pos,0.004893605971110062,0.004026346585131486,0.005760865357088638,0.001212345024896063,10
LR_a0p1_q0,200000,input_only,hr_neg,-0.000873275579180623,-0.001068004613425162,-0.000678546544936084,0.0002722124195897878,10
LR_a0p1_q0,200000,target_only,force,-0.0006544736139294986,-0.001252268320316614,-5.667890754238326e-05,0.0008356593770154079,10
LR_a0p1_q0,200000,target_only,bias,-7.474807523900708e-05,-0.00014152196777385606,-7.974182704158093e-06,9.334346530735422e-05,10
LR_a0p1_q0,200000,target_only,radial,1.4711065873004322e-05,-1.333345313661014e-05,4.2755584882618784e-05,3.9203534313492055e-05,10
LR_a0p1_q0,200000,target_only,tangent,-0.0006691846798025029,-0.0012764584720657073,-6.191088753929844e-05,0.0008489102253639353,10
LR_a0p1_q0,200000,target_only,h,0.014949615047801415,0.0015948365408316144,0.028304393554771216,0.018668693061470846,10
LR_a0p1_q0,200000,target_only,hself,0.0936824190243917,0.07695857113741585,0.11040626691136755,0.023378327304023627,10
LR_a0p1_q0,200000,target_only,hrest,-0.0787328039765903,-0.09944701787429745,-0.058018590078883145,0.028956474348423508,10
LR_a0p1_q0,200000,target_only,common,-0.000691246355174336,-0.0013087500124649004,-7.374269788377151e-05,0.0008632105905969783,10
LR_a0p1_q0,200000,target_only,correlation,3.6772741244837394e-05,9.410671460707991e-06,6.41348110289668e-05,3.8249536078780046e-05,10
LR_a0p1_q0,200000,target_only,loss,2.8774873855322634,1.9498108513484094,3.8051639197161173,1.2968023743687687,10
LR_a0p1_q0,200000,target_only,h_pos,-0.0006857812050971553,-0.0012559586573077746,-0.00011560375288653603,0.0007970531177537847,10
LR_a0p1_q0,200000,target_only,h_neg,3.1307591167656626e-05,-0.00010140239367678386,0.00016401757601209712,0.00018551576665687864,10
LR_a0p1_q0,200000,target_only,hs_pos,-0.0049778723936717085,-0.005736299255570255,-0.004219445531773162,0.0010602076467961694,10
LR_a0p1_q0,200000,target_only,hs_neg,0.0008806607727823228,0.0006947306356754105,0.0010665909098892352,0.00025991240953300733,10
LR_a0p1_q0,200000,target_only,hr_pos,0.004292091188574555,0.0034224289612300486,0.005161753415919061,0.0012157039655114048,10
LR_a0p1_q0,200000,target_only,hr_neg,-0.0008493531816146661,-0.0010410262206605565,-0.0006576801425687757,0.0002679404328749858,10
LR_a0p1_q0,200000,new,force,-0.0010661461951976703,-0.0017415651194905763,-0.00039072727090476433,0.0009441705513088366,10
LR_a0p1_q0,200000,new,bias,-0.00011454625143209065,-0.0001859265760326629,-4.316592683151842e-05,9.97828133129107e-05,10
