arm,step,dtype,t,label,switch_mean,control_mean,negative_seeds,mean,lo,hi,sd,n
LR_a0p1_q0,200000,float64,100,SWITCH_ADDS_DOWNWARD,-0.04071877923757401,4.291628591432057e-05,10,-0.04076169552348834,-0.07078779453882222,-0.010735596508154456,0.024935371104016016,10
LR_a0p1_q0,200000,float64,10000,SWITCH_ADDS_DOWNWARD,-0.04540572454971377,0.0003551701872874169,9,-0.04576089473700119,-0.08856024009390967,-0.002961549380092715,0.03554299740830288,10
LR_a0p1_q0,200000,float32,100,SWITCH_ADDS_DOWNWARD,-0.04071877277437642,4.2910772765574384e-05,10,-0.04076168354714199,-0.07078773252717027,-0.010735634567113708,0.024935329551867908,10
LR_a0p1_q0,200000,float32,10000,SWITCH_ADDS_DOWNWARD,-0.045411528710576105,0.0003534179486950072,9,-0.04576494665927111,-0.08855896004579283,-0.0029709332727493945,0.03553856943848097,10
LR_a0p1_q0,1000000,float64,100,UNRESOLVED,-0.015027229250603902,0.00010886181779057547,7,-0.015136091068394478,-0.03867827240366396,0.00840609026687501,0.019550759087725484,10
LR_a0p1_q0,1000000,float64,10000,UNRESOLVED,-0.001526244952922419,0.001455031617502876,5,-0.002981276570425297,-0.027004228727606862,0.021041675586756264,0.019950018373929734,10
LR_a0p1_q0,1000000,float32,100,UNRESOLVED,-0.01502720296088316,0.0001088894514169434,7,-0.0151360924123001,-0.038678235896067885,0.008406051071467684,0.019550727653697326,10
LR_a0p1_q0,1000000,float32,10000,UNRESOLVED,-0.0015261150166624633,0.001454682435435985,5,-0.002980797452098447,-0.02700387164607903,0.021042276741882138,0.019950119720190874,10
LR_a0p1_q0,5000000,float64,100,UNRESOLVED,-0.02081735844099369,0.00033687176931624323,9,-0.021154230210309932,-0.0514249798602571,0.009116519439637233,0.025138542830113363,10
LR_a0p1_q0,5000000,float64,10000,UNRESOLVED,-0.0034846454817053047,0.0034107163514886904,5,-0.006895361833193989,-0.05771955077547761,0.04392882710908963,0.04220728146167998,10
LR_a0p1_q0,5000000,float32,100,UNRESOLVED,-0.020817369859195092,0.0003368789399143173,9,-0.021154248799109408,-0.051424937282925604,0.009116439684706788,0.025138492034298236,10
LR_a0p1_q0,5000000,float32,10000,UNRESOLVED,-0.0034732578774586296,0.003393957754762138,5,-0.006867215632220765,-0.05771704541800076,0.04398261415355923,0.04222857506854099,10
LR_a0p7_q0,200000,float64,100,UNRESOLVED,-0.0006966362058554627,0.00045122393333602305,7,-0.0011478601391914866,-0.011988487993475027,0.009692767715092053,0.009002670590310352,10
LR_a0p7_q0,200000,float64,10000,UNRESOLVED,0.0007031915243577758,-0.00017000701640231596,4,0.0008731985407600909,-0.04652904686528771,0.04827544394680788,0.03936550598064085,10
LR_a0p7_q0,200000,float32,100,UNRESOLVED,-0.0006966535910835745,0.0004512023022378484,7,-0.0011478558933214228,-0.011988503319316288,0.009692791532673441,0.009002686843766546,10
LR_a0p7_q0,200000,float32,10000,UNRESOLVED,0.0008258526241857664,-0.00016524800981216364,4,0.0009911006339979322,-0.046367897844674225,0.04835009911267009,0.03932959128580589,10
LR_a0p7_q0,1000000,float64,100,UNRESOLVED,-0.005555035598516828,0.0011413178703083271,8,-0.006696353468825157,-0.014391704384625507,0.0009989974469751918,0.0063906547022014966,10
LR_a0p7_q0,1000000,float64,10000,UNRESOLVED,0.012139254711392595,-0.0043687983458317375,4,0.016508053057224324,-0.02198723504929026,0.05500334116373891,0.03196866480063732,10
LR_a0p7_q0,1000000,float32,100,UNRESOLVED,-0.005555035466887622,0.0011413106388452414,8,-0.006696346105732864,-0.014391720504827853,0.0009990282933621244,0.006390674204057742,10
LR_a0p7_q0,1000000,float32,10000,UNRESOLVED,0.012070144040286505,-0.004326164646553167,4,0.016396308686839674,-0.022087233549432872,0.05487985092311222,0.03195891036556151,10
LR_a0p7_q0,5000000,float64,100,UNRESOLVED,-0.007405067570537841,0.0011141187646163382,8,-0.008519186335154177,-0.020474187877637613,0.0034358152073292597,0.00992810953759501,10
LR_a0p7_q0,5000000,float64,10000,UNRESOLVED,-0.0004898830553223723,-0.0010082156014043307,5,0.0005183325460819614,-0.03778821699461452,0.038824882086778444,0.03181192561923681,10
LR_a0p7_q0,5000000,float32,100,UNRESOLVED,-0.007405062980365124,0.0011141305149171988,8,-0.00851919349528232,-0.02047420312873307,0.0034358161381684293,0.009928116256791946,10
LR_a0p7_q0,5000000,float32,10000,UNRESOLVED,-0.0004714913898054145,-0.0010273181928083432,5,0.0005558268030029297,-0.0377754331168712,0.03888708672287706,0.03183244651589411,10
