arm,step,mode,metric,seed,value
LR_a0p1_q0,200000,old,force,0,-2.3093387335850074e-06
LR_a0p1_q0,200000,old,force,1,-2.5719858843302227e-05
LR_a0p1_q0,200000,old,force,2,9.911256208528336e-05
LR_a0p1_q0,200000,old,force,3,5.5883430850352466e-06
LR_a0p1_q0,200000,old,force,4,-1.7066228125755657e-05
LR_a0p1_q0,200000,old,force,5,-2.1263343521194075e-06
LR_a0p1_q0,200000,old,force,6,-4.726673991940344e-06
LR_a0p1_q0,200000,old,force,7,6.560044871148956e-05
LR_a0p1_q0,200000,old,force,8,-1.907328088416339e-06
LR_a0p1_q0,200000,old,force,9,6.2965478572121225e-06
LR_a0p1_q0,200000,old,bias,0,-1.7355037688299111e-07
LR_a0p1_q0,200000,old,bias,1,-2.923366068365933e-06
LR_a0p1_q0,200000,old,bias,2,1.1274982310055711e-05
LR_a0p1_q0,200000,old,bias,3,6.150467453784756e-07
LR_a0p1_q0,200000,old,bias,4,-1.6655475961134576e-06
LR_a0p1_q0,200000,old,bias,5,-2.730304659181685e-07
LR_a0p1_q0,200000,old,bias,6,-5.457021147380905e-07
LR_a0p1_q0,200000,old,bias,7,7.516677020762505e-06
LR_a0p1_q0,200000,old,bias,8,-2.9621942493954807e-07
LR_a0p1_q0,200000,old,bias,9,7.05631075420635e-07
LR_a0p1_q0,200000,old,radial,0,1.327285248751736e-06
LR_a0p1_q0,200000,old,radial,1,1.0689926882278517e-06
LR_a0p1_q0,200000,old,radial,2,2.393070368964832e-07
LR_a0p1_q0,200000,old,radial,3,1.1525295956466276e-06
LR_a0p1_q0,200000,old,radial,4,-5.106640988868379e-07
LR_a0p1_q0,200000,old,radial,5,7.52913729497573e-08
LR_a0p1_q0,200000,old,radial,6,1.3658682139477289e-08
LR_a0p1_q0,200000,old,radial,7,5.522021074202147e-07
LR_a0p1_q0,200000,old,radial,8,1.288748996204193e-07
LR_a0p1_q0,200000,old,radial,9,1.973875636313397e-07
LR_a0p1_q0,200000,old,tangent,0,-3.6366239823367274e-06
LR_a0p1_q0,200000,old,tangent,1,-2.6788851531530077e-05
LR_a0p1_q0,200000,old,tangent,2,9.887325504838686e-05
LR_a0p1_q0,200000,old,tangent,3,4.43581348938862e-06
LR_a0p1_q0,200000,old,tangent,4,-1.6555564026868823e-05
LR_a0p1_q0,200000,old,tangent,5,-2.201625725069166e-06
LR_a0p1_q0,200000,old,tangent,6,-4.740332674079822e-06
LR_a0p1_q0,200000,old,tangent,7,6.504824660406935e-05
LR_a0p1_q0,200000,old,tangent,8,-2.0362029880367573e-06
LR_a0p1_q0,200000,old,tangent,9,6.0991602935807815e-06
LR_a0p1_q0,200000,old,h,0,3.471007537659846e-05
LR_a0p1_q0,200000,old,h,1,0.0005846732136731866
LR_a0p1_q0,200000,old,h,2,-0.002254996462011142
LR_a0p1_q0,200000,old,h,3,-0.00012300934907569482
LR_a0p1_q0,200000,old,h,4,0.0003331095192226917
LR_a0p1_q0,200000,old,h,5,5.460609318363369e-05
LR_a0p1_q0,200000,old,h,6,0.00010914042294761813
LR_a0p1_q0,200000,old,h,7,-0.001503335404152501
LR_a0p1_q0,200000,old,h,8,5.924388498790999e-05
LR_a0p1_q0,200000,old,h,9,-0.00014112621508412696
LR_a0p1_q0,200000,old,hself,0,0.11325753921320289
LR_a0p1_q0,200000,old,hself,1,0.09535609524309281
LR_a0p1_q0,200000,old,hself,2,0.09245254630676784
LR_a0p1_q0,200000,old,hself,3,0.14209203845622653
LR_a0p1_q0,200000,old,hself,4,0.0846711400701466
LR_a0p1_q0,200000,old,hself,5,0.08253693621494566
LR_a0p1_q0,200000,old,hself,6,0.05462050552391735
LR_a0p1_q0,200000,old,hself,7,0.08692092387194184
LR_a0p1_q0,200000,old,hself,8,0.1067402532215507
LR_a0p1_q0,200000,old,hself,9,0.07817621212212486
LR_a0p1_q0,200000,old,hrest,0,-0.11322282913782632
LR_a0p1_q0,200000,old,hrest,1,-0.09477142202941964
LR_a0p1_q0,200000,old,hrest,2,-0.09470754276877899
LR_a0p1_q0,200000,old,hrest,3,-0.14221504780530217
LR_a0p1_q0,200000,old,hrest,4,-0.08433803055092397
LR_a0p1_q0,200000,old,hrest,5,-0.08248233012176204
LR_a0p1_q0,200000,old,hrest,6,-0.05451136510096974
LR_a0p1_q0,200000,old,hrest,7,-0.08842425927609436
LR_a0p1_q0,200000,old,hrest,8,-0.10668100933656274
LR_a0p1_q0,200000,old,hrest,9,-0.078317338337209
LR_a0p1_q0,200000,old,common,0,-1.6049385228436993e-06
LR_a0p1_q0,200000,old,common,1,-2.7034356846472326e-05
LR_a0p1_q0,200000,old,common,2,0.00010426743968403825
LR_a0p1_q0,200000,old,common,3,5.6877561013483574e-06
LR_a0p1_q0,200000,old,common,4,-1.5402452859174073e-05
LR_a0p1_q0,200000,old,common,5,-2.5248986520925938e-06
LR_a0p1_q0,200000,old,common,6,-5.046479078123258e-06
LR_a0p1_q0,200000,old,common,7,6.951183126804194e-05
LR_a0p1_q0,200000,old,common,8,-2.7393427478443795e-06
LR_a0p1_q0,200000,old,common,9,6.525451089176969e-06
LR_a0p1_q0,200000,old,correlation,0,-7.044002107412978e-07
LR_a0p1_q0,200000,old,correlation,1,1.3144980031701045e-06
LR_a0p1_q0,200000,old,correlation,2,-5.154877598754923e-06
LR_a0p1_q0,200000,old,correlation,3,-9.941301631311484e-08
LR_a0p1_q0,200000,old,correlation,4,-1.6637752665815886e-06
LR_a0p1_q0,200000,old,correlation,5,3.9856429997318524e-07
LR_a0p1_q0,200000,old,correlation,6,3.1980508618291276e-07
LR_a0p1_q0,200000,old,correlation,7,-3.911382556552404e-06
LR_a0p1_q0,200000,old,correlation,8,8.32014659428046e-07
LR_a0p1_q0,200000,old,correlation,9,-2.2890323196484743e-07
LR_a0p1_q0,200000,old,loss,0,0.0026159473011749816
LR_a0p1_q0,200000,old,loss,1,0.0003232940279874025
LR_a0p1_q0,200000,old,loss,2,0.0010783082957214263
LR_a0p1_q0,200000,old,loss,3,0.00037250925274983867
LR_a0p1_q0,200000,old,loss,4,0.0032398100574248367
LR_a0p1_q0,200000,old,loss,5,0.00022161982700819312
LR_a0p1_q0,200000,old,loss,6,5.779131169561329e-05
LR_a0p1_q0,200000,old,loss,7,0.0019718126622309665
LR_a0p1_q0,200000,old,loss,8,0.0013340296825719552
LR_a0p1_q0,200000,old,loss,9,9.654542089810746e-06
LR_a0p1_q0,200000,old,h_pos,0,3.9198849409885945e-06
LR_a0p1_q0,200000,old,h_pos,1,-2.479131735198016e-05
LR_a0p1_q0,200000,old,h_pos,2,7.855538621137973e-05
LR_a0p1_q0,200000,old,h_pos,3,-1.7690913357634708e-06
LR_a0p1_q0,200000,old,h_pos,4,-1.0503207351515274e-05
LR_a0p1_q0,200000,old,h_pos,5,-2.1380481479773057e-06
LR_a0p1_q0,200000,old,h_pos,6,-3.462459907381018e-06
LR_a0p1_q0,200000,old,h_pos,7,4.8950492975252075e-05
LR_a0p1_q0,200000,old,h_pos,8,5.696170072924934e-06
LR_a0p1_q0,200000,old,h_pos,9,5.490633951678875e-06
LR_a0p1_q0,200000,old,h_neg,0,-6.229223674573592e-06
LR_a0p1_q0,200000,old,h_neg,1,-9.28541491322064e-07
LR_a0p1_q0,200000,old,h_neg,2,2.0557175873903613e-05
LR_a0p1_q0,200000,old,h_neg,3,7.357434420798712e-06
LR_a0p1_q0,200000,old,h_neg,4,-6.563020774240385e-06
LR_a0p1_q0,200000,old,h_neg,5,1.1713795857897532e-08
LR_a0p1_q0,200000,old,h_neg,6,-1.2642140845593274e-06
LR_a0p1_q0,200000,old,h_neg,7,1.6649955736237492e-05
LR_a0p1_q0,200000,old,h_neg,8,-7.603498161341281e-06
LR_a0p1_q0,200000,old,h_neg,9,8.059139055332456e-07
LR_a0p1_q0,200000,old,hs_pos,0,-0.005870267218155187
LR_a0p1_q0,200000,old,hs_pos,1,-0.005076329174977372
LR_a0p1_q0,200000,old,hs_pos,2,-0.004592551411976607
LR_a0p1_q0,200000,old,hs_pos,3,-0.0072207011767262755
LR_a0p1_q0,200000,old,hs_pos,4,-0.0051039252096785215
LR_a0p1_q0,200000,old,hs_pos,5,-0.004220357531030995
LR_a0p1_q0,200000,old,hs_pos,6,-0.003242819315254463
LR_a0p1_q0,200000,old,hs_pos,7,-0.004575241434105058
LR_a0p1_q0,200000,old,hs_pos,8,-0.00536615034888511
LR_a0p1_q0,200000,old,hs_pos,9,-0.0045103811159274984
LR_a0p1_q0,200000,old,hs_neg,0,0.000905224106707907
LR_a0p1_q0,200000,old,hs_neg,1,0.000898187617600513
LR_a0p1_q0,200000,old,hs_neg,2,0.0004995343767185833
LR_a0p1_q0,200000,old,hs_neg,3,0.0009953521000246731
LR_a0p1_q0,200000,old,hs_neg,4,0.0014041367502625488
LR_a0p1_q0,200000,old,hs_neg,5,0.0005831250192663638
LR_a0p1_q0,200000,old,hs_neg,6,0.0008900043811828446
LR_a0p1_q0,200000,old,hs_neg,7,0.0007930822871839668
LR_a0p1_q0,200000,old,hs_neg,8,0.0007247906372555213
LR_a0p1_q0,200000,old,hs_neg,9,0.0011131704516203057
LR_a0p1_q0,200000,old,hr_pos,0,0.005874187103096176
LR_a0p1_q0,200000,old,hr_pos,1,0.00505153785762539
LR_a0p1_q0,200000,old,hr_pos,2,0.004671106798187988
LR_a0p1_q0,200000,old,hr_pos,3,0.007218932085390513
LR_a0p1_q0,200000,old,hr_pos,4,0.005093422002327007
LR_a0p1_q0,200000,old,hr_pos,5,0.004218219482883019
LR_a0p1_q0,200000,old,hr_pos,6,0.0032393568553470823
LR_a0p1_q0,200000,old,hr_pos,7,0.004624191927080309
LR_a0p1_q0,200000,old,hr_pos,8,0.005371846518958036
LR_a0p1_q0,200000,old,hr_pos,9,0.004515871749879179
LR_a0p1_q0,200000,old,hr_neg,0,-0.0009114533303824808
LR_a0p1_q0,200000,old,hr_neg,1,-0.0008991161590918349
LR_a0p1_q0,200000,old,hr_neg,2,-0.0004789772008446796
LR_a0p1_q0,200000,old,hr_neg,3,-0.0009879946656038744
LR_a0p1_q0,200000,old,hr_neg,4,-0.0014106997710367892
LR_a0p1_q0,200000,old,hr_neg,5,-0.0005831133054705057
LR_a0p1_q0,200000,old,hr_neg,6,-0.000891268595267404
LR_a0p1_q0,200000,old,hr_neg,7,-0.000776432331447729
LR_a0p1_q0,200000,old,hr_neg,8,-0.0007323941354168621
LR_a0p1_q0,200000,old,hr_neg,9,-0.001112364537714772
LR_a0p1_q0,200000,input_only,force,0,-0.0008345956042692236
LR_a0p1_q0,200000,input_only,force,1,-0.0009574573837100097
LR_a0p1_q0,200000,input_only,force,2,-0.0017401027296555641
LR_a0p1_q0,200000,input_only,force,3,-0.0004856246718638497
LR_a0p1_q0,200000,input_only,force,4,-0.0013249049087124913
LR_a0p1_q0,200000,input_only,force,5,-0.0003478450298211489
LR_a0p1_q0,200000,input_only,force,6,-0.0006749803191454665
LR_a0p1_q0,200000,input_only,force,7,-0.0002302720237158223
LR_a0p1_q0,200000,input_only,force,8,-0.0004321065206124077
LR_a0p1_q0,200000,input_only,force,9,-1.627540312238407e-05
LR_a0p1_q0,200000,input_only,bias,0,-8.895808466331305e-05
LR_a0p1_q0,200000,input_only,bias,1,-9.858179994752181e-05
LR_a0p1_q0,200000,input_only,bias,2,-0.00018797029342783293
LR_a0p1_q0,200000,input_only,bias,3,-5.237999007280527e-05
LR_a0p1_q0,200000,input_only,bias,4,-0.00013806186911404886
LR_a0p1_q0,200000,input_only,bias,5,-3.8329753480863096e-05
LR_a0p1_q0,200000,input_only,bias,6,-7.370953704913241e-05
LR_a0p1_q0,200000,input_only,bias,7,-2.4967405141741932e-05
LR_a0p1_q0,200000,input_only,bias,8,-4.75649792784892e-05
LR_a0p1_q0,200000,input_only,bias,9,-1.8934832301636882e-06
LR_a0p1_q0,200000,input_only,radial,0,-2.685602375220095e-06
LR_a0p1_q0,200000,input_only,radial,1,-6.084059799063102e-06
LR_a0p1_q0,200000,input_only,radial,2,-2.699124170374976e-05
LR_a0p1_q0,200000,input_only,radial,3,-3.7254792762612097e-06
LR_a0p1_q0,200000,input_only,radial,4,-1.716705145882664e-05
LR_a0p1_q0,200000,input_only,radial,5,6.906954647984787e-06
LR_a0p1_q0,200000,input_only,radial,6,-3.209650322131176e-06
LR_a0p1_q0,200000,input_only,radial,7,-3.251175114509819e-06
LR_a0p1_q0,200000,input_only,radial,8,-8.618643656168216e-06
LR_a0p1_q0,200000,input_only,radial,9,1.5499466398327614e-05
LR_a0p1_q0,200000,input_only,tangent,0,-0.0008319100018940033
LR_a0p1_q0,200000,input_only,tangent,1,-0.0009513733239109466
LR_a0p1_q0,200000,input_only,tangent,2,-0.0017131114879518146
LR_a0p1_q0,200000,input_only,tangent,3,-0.0004818991925875886
LR_a0p1_q0,200000,input_only,tangent,4,-0.0013077378572536643
LR_a0p1_q0,200000,input_only,tangent,5,-0.00035475198446913376
LR_a0p1_q0,200000,input_only,tangent,6,-0.0006717706688233355
LR_a0p1_q0,200000,input_only,tangent,7,-0.0002270208486013125
LR_a0p1_q0,200000,input_only,tangent,8,-0.0004234878769562396
LR_a0p1_q0,200000,input_only,tangent,9,-3.177486952071164e-05
LR_a0p1_q0,200000,input_only,h,0,0.017791616932662603
LR_a0p1_q0,200000,input_only,h,1,0.019716359989504363
LR_a0p1_q0,200000,input_only,h,2,0.037594058685566575
LR_a0p1_q0,200000,input_only,h,3,0.010475998014561052
LR_a0p1_q0,200000,input_only,h,4,0.02761237382280977
LR_a0p1_q0,200000,input_only,h,5,0.00766595069617262
LR_a0p1_q0,200000,input_only,h,6,0.014741907409826489
LR_a0p1_q0,200000,input_only,h,7,0.004993481028348389
LR_a0p1_q0,200000,input_only,h,8,0.009512995855697842
LR_a0p1_q0,200000,input_only,h,9,0.0003786966460327426
LR_a0p1_q0,200000,input_only,hself,0,0.12516369193485785
LR_a0p1_q0,200000,input_only,hself,1,0.10872480591945657
LR_a0p1_q0,200000,input_only,hself,2,0.10014984601992177
LR_a0p1_q0,200000,input_only,hself,3,0.15217568169194107
LR_a0p1_q0,200000,input_only,hself,4,0.098047724755336
LR_a0p1_q0,200000,input_only,hself,5,0.08833184395140925
LR_a0p1_q0,200000,input_only,hself,6,0.06454786118472643
LR_a0p1_q0,200000,input_only,hself,7,0.08939946188007925
LR_a0p1_q0,200000,input_only,hself,8,0.11393428128524515
LR_a0p1_q0,200000,input_only,hself,9,0.08241523795451194
LR_a0p1_q0,200000,input_only,hrest,0,-0.10737207500219523
LR_a0p1_q0,200000,input_only,hrest,1,-0.08900844592995223
LR_a0p1_q0,200000,input_only,hrest,2,-0.06255578733435521
LR_a0p1_q0,200000,input_only,hrest,3,-0.14169968367738003
LR_a0p1_q0,200000,input_only,hrest,4,-0.07043535093252622
LR_a0p1_q0,200000,input_only,hrest,5,-0.08066589325523663
LR_a0p1_q0,200000,input_only,hrest,6,-0.04980595377489994
LR_a0p1_q0,200000,input_only,hrest,7,-0.08440598085173089
LR_a0p1_q0,200000,input_only,hrest,8,-0.10442128542954733
LR_a0p1_q0,200000,input_only,hrest,9,-0.0820365413084792
LR_a0p1_q0,200000,input_only,common,0,-0.0008226559893373111
LR_a0p1_q0,200000,input_only,common,1,-0.0009116530383204981
LR_a0p1_q0,200000,input_only,common,2,-0.0017382893110969946
LR_a0p1_q0,200000,input_only,common,3,-0.0004843934389764698
LR_a0p1_q0,200000,input_only,common,4,-0.0012767521238304755
LR_a0p1_q0,200000,input_only,common,5,-0.00035446133299966146
LR_a0p1_q0,200000,input_only,common,6,-0.0006816422852880576
LR_a0p1_q0,200000,input_only,common,7,-0.0002308905981485896
LR_a0p1_q0,200000,input_only,common,8,-0.0004398657551390784
LR_a0p1_q0,200000,input_only,common,9,-1.7510328891403342e-05
LR_a0p1_q0,200000,input_only,correlation,0,-1.1939614931912477e-05
LR_a0p1_q0,200000,input_only,correlation,1,-4.5804345389511476e-05
LR_a0p1_q0,200000,input_only,correlation,2,-1.8134185585690112e-06
LR_a0p1_q0,200000,input_only,correlation,3,-1.2312328873799355e-06
LR_a0p1_q0,200000,input_only,correlation,4,-4.815278488201548e-05
LR_a0p1_q0,200000,input_only,correlation,5,6.616303178512535e-06
