seed,env,act,iv,layer,unit_id,task,q_lowgate,sink,entry,exit,persistent_latest5
0,PM,ELU1,ref,1,67,1,0.0,0,0,0,
0,PM,ELU1,ref,1,68,1,0.0,0,0,0,
0,PM,ELU1,ref,1,69,1,0.0,0,0,0,
0,PM,ELU1,ref,1,70,1,0.0,0,0,0,
0,PM,ELU1,ref,1,71,1,0.0,0,0,0,
0,PM,ELU1,ref,1,72,1,0.004166666883975267,0,0,0,
0,PM,ELU1,ref,1,73,1,0.0,0,0,0,
0,PM,ELU1,ref,1,74,1,0.0,0,0,0,
0,PM,ELU1,ref,1,75,1,0.004999999888241291,0,0,0,
0,PM,ELU1,ref,1,76,1,0.0,0,0,0,
0,PM,ELU1,ref,1,77,1,0.0,0,0,0,
0,PM,ELU1,ref,1,78,1,0.0,0,0,0,
0,PM,ELU1,ref,1,79,1,0.0,0,0,0,
0,PM,ELU1,ref,1,80,1,0.0,0,0,0,
0,PM,ELU1,ref,1,81,1,0.0,0,0,0,
0,PM,ELU1,ref,1,82,1,0.0,0,0,0,
0,PM,ELU1,ref,1,83,1,0.0,0,0,0,
0,PM,ELU1,ref,1,84,1,0.0,0,0,0,
0,PM,ELU1,ref,1,85,1,0.0,0,0,0,
0,PM,ELU1,ref,1,86,1,0.0,0,0,0,
0,PM,ELU1,ref,1,87,1,0.005833333358168602,0,0,0,
0,PM,ELU1,ref,1,88,1,0.0,0,0,0,
0,PM,ELU1,ref,1,89,1,0.0,0,0,0,
0,PM,ELU1,ref,1,90,1,0.0,0,0,0,
0,PM,ELU1,ref,1,91,1,0.0,0,0,0,
0,PM,ELU1,ref,1,92,1,0.025833334773778915,0,0,0,
0,PM,ELU1,ref,1,93,1,0.0,0,0,0,
0,PM,ELU1,ref,1,94,1,0.0,0,0,0,
0,PM,ELU1,ref,1,95,1,0.0,0,0,0,
0,PM,ELU1,ref,1,96,1,0.0,0,0,0,
0,PM,ELU1,ref,1,97,1,0.0,0,0,0,
0,PM,ELU1,ref,1,98,1,0.0,0,0,0,
0,PM,ELU1,ref,1,99,1,0.014166667126119137,0,0,0,
0,PM,ELU1,ref,1,0,2,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,1,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,2,2,0.0008333333535119891,0,0,0,
0,PM,ELU1,ref,1,3,2,0.0024999999441206455,0,0,0,
0,PM,ELU1,ref,1,4,2,0.08749999850988388,0,0,0,
0,PM,ELU1,ref,1,5,2,0.0,0,0,0,
0,PM,ELU1,ref,1,6,2,0.05000000074505806,0,0,0,
0,PM,ELU1,ref,1,7,2,0.0,0,0,0,
0,PM,ELU1,ref,1,8,2,0.18583333492279053,0,0,0,
0,PM,ELU1,ref,1,9,2,0.012500000186264515,0,0,0,
0,PM,ELU1,ref,1,10,2,0.028333334252238274,0,0,0,
0,PM,ELU1,ref,1,11,2,0.0,0,0,0,
0,PM,ELU1,ref,1,12,2,0.034166667610406876,0,0,0,
0,PM,ELU1,ref,1,13,2,0.08250000327825546,0,0,0,
0,PM,ELU1,ref,1,14,2,0.009166667237877846,0,0,0,
