seed,env,act,iv,layer,task,occupancy,entries,exits,persistent_latest5
0,PM,ELU1,ref,1,1,0,0,0,
0,PM,ELU1,ref,1,2,0,0,0,
0,PM,ELU1,ref,1,3,0,0,0,
0,PM,ELU1,ref,1,4,2,2,0,
0,PM,ELU1,ref,1,5,3,2,1,0
0,PM,ELU1,ref,1,6,3,0,0,0
0,PM,ELU1,ref,1,7,5,3,1,0
0,PM,ELU1,ref,1,8,1,0,4,0
0,PM,ELU1,ref,1,9,2,2,1,0
0,PM,ELU1,ref,1,10,3,3,2,0
0,PM,ELU1,ref,1,11,1,0,2,0
0,PM,ELU1,ref,1,12,4,3,0,0
0,PM,ELU1,ref,1,13,7,6,3,0
0,PM,ELU1,ref,1,14,7,4,4,0
0,PM,ELU1,ref,1,15,9,5,3,0
0,PM,ELU1,ref,1,16,2,1,8,0
0,PM,ELU1,ref,1,17,5,4,1,0
0,PM,ELU1,ref,1,18,8,5,2,0
0,PM,ELU1,ref,1,19,5,1,4,1
0,PM,ELU1,ref,1,20,7,5,3,0
0,PM,ELU1,ref,1,21,8,4,3,0
0,PM,ELU1,ref,1,22,6,4,6,0
0,PM,ELU1,ref,1,23,5,4,5,0
0,PM,ELU1,ref,1,24,7,4,2,0
0,PM,ELU1,ref,1,25,9,6,4,0
0,PM,ELU1,ref,1,26,9,8,8,0
0,PM,ELU1,ref,1,27,13,9,5,0
0,PM,ELU1,ref,1,28,7,3,9,0
0,PM,ELU1,ref,1,29,8,4,3,0
0,PM,ELU1,ref,1,30,6,4,6,1
0,PM,ELU1,ref,1,31,7,5,4,1
0,PM,ELU1,ref,1,32,9,9,7,0
0,PM,ELU1,ref,1,33,12,10,7,0
0,PM,ELU1,ref,1,34,11,6,7,0
0,PM,ELU1,ref,1,35,15,12,8,0
0,PM,ELU1,ref,1,36,14,9,10,0
0,PM,ELU1,ref,1,37,10,7,11,0
0,PM,ELU1,ref,1,38,7,5,8,0
0,PM,ELU1,ref,1,39,9,7,5,0
0,PM,ELU1,ref,1,40,10,6,5,0
0,PM,ELU1,ref,1,41,7,3,6,0
0,PM,ELU1,ref,1,42,9,8,6,0
0,PM,ELU1,ref,1,43,11,9,7,0
0,PM,ELU1,ref,1,44,8,5,8,0
0,PM,ELU1,ref,1,45,10,9,7,0
0,PM,ELU1,ref,1,46,9,6,7,0
0,PM,ELU1,ref,1,47,7,5,7,0
0,PM,ELU1,ref,1,48,10,8,5,0
0,PM,ELU1,ref,1,49,6,4,8,0
0,PM,ELU1,ref,1,50,6,6,6,0
0,PM,ELU1,ref,2,1,0,0,0,
0,PM,ELU1,ref,2,2,0,0,0,
0,PM,ELU1,ref,2,3,0,0,0,
0,PM,ELU1,ref,2,4,1,1,0,
0,PM,ELU1,ref,2,5,0,0,1,0
0,PM,ELU1,ref,2,6,3,3,0,0
0,PM,ELU1,ref,2,7,2,2,3,0
0,PM,ELU1,ref,2,8,15,13,0,0
0,PM,ELU1,ref,2,9,1,0,14,0
0,PM,ELU1,ref,2,10,12,11,0,0
0,PM,ELU1,ref,2,11,1,0,11,0
0,PM,ELU1,ref,2,12,4,4,1,0
0,PM,ELU1,ref,2,13,5,4,3,0
0,PM,ELU1,ref,2,14,11,10,4,0
0,PM,ELU1,ref,2,15,18,12,5,0
0,PM,ELU1,ref,2,16,13,7,12,0
0,PM,ELU1,ref,2,17,24,17,6,0
0,PM,ELU1,ref,2,18,26,11,9,1
0,PM,ELU1,ref,2,19,11,4,19,2
0,PM,ELU1,ref,2,20,18,13,6,1
0,PM,ELU1,ref,2,21,30,22,10,4
0,PM,ELU1,ref,2,22,24,10,16,3
0,PM,ELU1,ref,2,23,14,5,15,1
0,PM,ELU1,ref,2,24,31,22,5,1
0,PM,ELU1,ref,2,25,20,8,19,2
0,PM,ELU1,ref,2,26,29,17,8,2
0,PM,ELU1,ref,2,27,23,9,15,2
0,PM,ELU1,ref,2,28,18,9,14,3
0,PM,ELU1,ref,2,29,24,14,8,2
0,PM,ELU1,ref,2,30,37,23,10,3
0,PM,ELU1,ref,2,31,31,12,18,3
0,PM,ELU1,ref,2,32,29,16,18,3
0,PM,ELU1,ref,2,33,29,12,12,3
0,PM,ELU1,ref,2,34,30,19,18,3
0,PM,ELU1,ref,2,35,29,15,16,2
0,PM,ELU1,ref,2,36,29,15,15,5
0,PM,ELU1,ref,2,37,23,6,12,4
0,PM,ELU1,ref,2,38,29,15,9,5
0,PM,ELU1,ref,2,39,21,9,17,5
0,PM,ELU1,ref,2,40,29,18,10,4
0,PM,ELU1,ref,2,41,31,16,14,4
0,PM,ELU1,ref,2,42,22,12,21,3
0,PM,ELU1,ref,2,43,37,26,11,3
0,PM,ELU1,ref,2,44,37,16,16,4
0,PM,ELU1,ref,2,45,38,15,14,6
0,PM,ELU1,ref,2,46,35,12,15,5
0,PM,ELU1,ref,2,47,33,15,17,8
0,PM,ELU1,ref,2,48,41,16,8,8
0,PM,ELU1,ref,2,49,21,7,27,3
0,PM,ELU1,ref,2,50,45,32,8,3
0,PM,ELU1,wclamp,1,1,0,0,0,
0,PM,ELU1,wclamp,1,2,0,0,0,
0,PM,ELU1,wclamp,1,3,0,0,0,
0,PM,ELU1,wclamp,1,4,2,2,0,
0,PM,ELU1,wclamp,1,5,3,2,1,0
0,PM,ELU1,wclamp,1,6,3,0,0,0
0,PM,ELU1,wclamp,1,7,5,3,1,0
0,PM,ELU1,wclamp,1,8,1,0,4,0
0,PM,ELU1,wclamp,1,9,2,2,1,0
0,PM,ELU1,wclamp,1,10,3,3,2,0
0,PM,ELU1,wclamp,1,11,1,0,2,0
0,PM,ELU1,wclamp,1,12,4,3,0,0
0,PM,ELU1,wclamp,1,13,3,2,3,0
0,PM,ELU1,wclamp,1,14,6,6,3,0
0,PM,ELU1,wclamp,1,15,6,4,4,0
0,PM,ELU1,wclamp,1,16,2,1,5,0
0,PM,ELU1,wclamp,1,17,5,4,1,0
0,PM,ELU1,wclamp,1,18,5,2,2,0
0,PM,ELU1,wclamp,1,19,8,4,1,0
0,PM,ELU1,wclamp,1,20,7,5,6,0
0,PM,ELU1,wclamp,1,21,5,4,6,1
0,PM,ELU1,wclamp,1,22,6,4,3,1
0,PM,ELU1,wclamp,1,23,5,3,4,1
0,PM,ELU1,wclamp,1,24,8,5,2,1
0,PM,ELU1,wclamp,1,25,6,2,4,1
0,PM,ELU1,wclamp,1,26,5,3,4,0
0,PM,ELU1,wclamp,1,27,5,3,3,1
0,PM,ELU1,wclamp,1,28,7,5,3,1
0,PM,ELU1,wclamp,1,29,6,4,5,1
0,PM,ELU1,wclamp,1,30,6,4,4,1
0,PM,ELU1,wclamp,1,31,5,2,3,2
0,PM,ELU1,wclamp,1,32,5,2,2,1
0,PM,ELU1,wclamp,1,33,5,3,3,1
0,PM,ELU1,wclamp,1,34,9,6,2,1
0,PM,ELU1,wclamp,1,35,10,3,2,2
0,PM,ELU1,wclamp,1,36,11,5,4,2
0,PM,ELU1,wclamp,1,37,10,5,6,1
0,PM,ELU1,wclamp,1,38,7,5,8,2
0,PM,ELU1,wclamp,1,39,11,6,2,2
0,PM,ELU1,wclamp,1,40,8,4,7,2
0,PM,ELU1,wclamp,1,41,10,7,5,2
0,PM,ELU1,wclamp,1,42,10,5,5,3
0,PM,ELU1,wclamp,1,43,10,6,6,3
0,PM,ELU1,wclamp,1,44,9,3,4,3
0,PM,ELU1,wclamp,1,45,10,4,3,3
0,PM,ELU1,wclamp,1,46,12,6,4,3
0,PM,ELU1,wclamp,1,47,13,6,5,3
0,PM,ELU1,wclamp,1,48,12,7,8,4
0,PM,ELU1,wclamp,1,49,7,2,7,3
0,PM,ELU1,wclamp,1,50,10,5,2,3
0,PM,ELU1,wclamp,2,1,0,0,0,
0,PM,ELU1,wclamp,2,2,0,0,0,
0,PM,ELU1,wclamp,2,3,0,0,0,
0,PM,ELU1,wclamp,2,4,1,1,0,
0,PM,ELU1,wclamp,2,5,0,0,1,0
0,PM,ELU1,wclamp,2,6,3,3,0,0
0,PM,ELU1,wclamp,2,7,2,2,3,0
0,PM,ELU1,wclamp,2,8,15,13,0,0
0,PM,ELU1,wclamp,2,9,1,0,14,0
0,PM,ELU1,wclamp,2,10,12,11,0,0
0,PM,ELU1,wclamp,2,11,1,0,11,0
0,PM,ELU1,wclamp,2,12,4,4,1,0
0,PM,ELU1,wclamp,2,13,1,1,4,0
0,PM,ELU1,wclamp,2,14,9,9,1,0
0,PM,ELU1,wclamp,2,15,11,9,7,0
0,PM,ELU1,wclamp,2,16,12,8,7,0
0,PM,ELU1,wclamp,2,17,11,7,8,0
0,PM,ELU1,wclamp,2,18,24,17,4,1
0,PM,ELU1,wclamp,2,19,9,4,19,1
0,PM,ELU1,wclamp,2,20,14,10,5,1
0,PM,ELU1,wclamp,2,21,6,2,10,1
0,PM,ELU1,wclamp,2,22,15,12,3,1
0,PM,ELU1,wclamp,2,23,20,12,7,1
0,PM,ELU1,wclamp,2,24,24,15,11,1
0,PM,ELU1,wclamp,2,25,18,11,17,1
0,PM,ELU1,wclamp,2,26,10,5,13,1
0,PM,ELU1,wclamp,2,27,15,11,6,0
0,PM,ELU1,wclamp,2,28,9,7,13,0
0,PM,ELU1,wclamp,2,29,13,12,8,0
0,PM,ELU1,wclamp,2,30,21,14,6,0
0,PM,ELU1,wclamp,2,31,13,6,14,0
0,PM,ELU1,wclamp,2,32,15,10,8,0
0,PM,ELU1,wclamp,2,33,19,13,9,0
0,PM,ELU1,wclamp,2,34,14,5,10,2
0,PM,ELU1,wclamp,2,35,24,16,6,1
0,PM,ELU1,wclamp,2,36,12,5,17,1
0,PM,ELU1,wclamp,2,37,17,9,4,3
0,PM,ELU1,wclamp,2,38,16,10,11,1
0,PM,ELU1,wclamp,2,39,17,10,9,1
0,PM,ELU1,wclamp,2,40,20,13,10,1
0,PM,ELU1,wclamp,2,41,16,8,12,2
0,PM,ELU1,wclamp,2,42,23,16,9,2
0,PM,ELU1,wclamp,2,43,15,10,18,3
0,PM,ELU1,wclamp,2,44,20,12,7,1
0,PM,ELU1,wclamp,2,45,12,6,14,2
0,PM,ELU1,wclamp,2,46,20,17,9,2
0,PM,ELU1,wclamp,2,47,11,3,12,2
0,PM,ELU1,wclamp,2,48,18,11,4,2
0,PM,ELU1,wclamp,2,49,16,5,7,1
0,PM,ELU1,wclamp,2,50,17,10,9,4
0,PM,LR,ref,1,1,0,0,0,
0,PM,LR,ref,1,2,0,0,0,
0,PM,LR,ref,1,3,0,0,0,
0,PM,LR,ref,1,4,0,0,0,
0,PM,LR,ref,1,5,0,0,0,0
0,PM,LR,ref,1,6,0,0,0,0
0,PM,LR,ref,1,7,0,0,0,0
0,PM,LR,ref,1,8,0,0,0,0
0,PM,LR,ref,1,9,0,0,0,0
0,PM,LR,ref,1,10,0,0,0,0
0,PM,LR,ref,1,11,0,0,0,0
0,PM,LR,ref,1,12,0,0,0,0
0,PM,LR,ref,1,13,0,0,0,0
0,PM,LR,ref,1,14,0,0,0,0
0,PM,LR,ref,1,15,0,0,0,0
0,PM,LR,ref,1,16,0,0,0,0
0,PM,LR,ref,1,17,0,0,0,0
0,PM,LR,ref,1,18,0,0,0,0
0,PM,LR,ref,1,19,0,0,0,0
0,PM,LR,ref,1,20,0,0,0,0
0,PM,LR,ref,1,21,0,0,0,0
0,PM,LR,ref,1,22,0,0,0,0
0,PM,LR,ref,1,23,0,0,0,0
0,PM,LR,ref,1,24,0,0,0,0
0,PM,LR,ref,1,25,0,0,0,0
0,PM,LR,ref,1,26,0,0,0,0
0,PM,LR,ref,1,27,0,0,0,0
0,PM,LR,ref,1,28,0,0,0,0
0,PM,LR,ref,1,29,0,0,0,0
0,PM,LR,ref,1,30,0,0,0,0
0,PM,LR,ref,1,31,0,0,0,0
0,PM,LR,ref,1,32,0,0,0,0
0,PM,LR,ref,1,33,0,0,0,0
0,PM,LR,ref,1,34,0,0,0,0
0,PM,LR,ref,1,35,0,0,0,0
0,PM,LR,ref,1,36,0,0,0,0
0,PM,LR,ref,1,37,0,0,0,0
0,PM,LR,ref,1,38,0,0,0,0
0,PM,LR,ref,1,39,0,0,0,0
0,PM,LR,ref,1,40,0,0,0,0
0,PM,LR,ref,1,41,0,0,0,0
0,PM,LR,ref,1,42,0,0,0,0
0,PM,LR,ref,1,43,0,0,0,0
0,PM,LR,ref,1,44,0,0,0,0
0,PM,LR,ref,1,45,0,0,0,0
0,PM,LR,ref,1,46,0,0,0,0
0,PM,LR,ref,1,47,0,0,0,0
0,PM,LR,ref,1,48,0,0,0,0
0,PM,LR,ref,1,49,0,0,0,0
0,PM,LR,ref,1,50,0,0,0,0
0,PM,LR,ref,2,1,0,0,0,
0,PM,LR,ref,2,2,0,0,0,
0,PM,LR,ref,2,3,0,0,0,
0,PM,LR,ref,2,4,0,0,0,
0,PM,LR,ref,2,5,0,0,0,0
0,PM,LR,ref,2,6,0,0,0,0
0,PM,LR,ref,2,7,0,0,0,0
0,PM,LR,ref,2,8,0,0,0,0
0,PM,LR,ref,2,9,0,0,0,0
0,PM,LR,ref,2,10,0,0,0,0
0,PM,LR,ref,2,11,0,0,0,0
0,PM,LR,ref,2,12,0,0,0,0
0,PM,LR,ref,2,13,0,0,0,0
0,PM,LR,ref,2,14,0,0,0,0
0,PM,LR,ref,2,15,0,0,0,0
0,PM,LR,ref,2,16,0,0,0,0
0,PM,LR,ref,2,17,0,0,0,0
0,PM,LR,ref,2,18,0,0,0,0
0,PM,LR,ref,2,19,0,0,0,0
0,PM,LR,ref,2,20,0,0,0,0
0,PM,LR,ref,2,21,0,0,0,0
0,PM,LR,ref,2,22,0,0,0,0
0,PM,LR,ref,2,23,0,0,0,0
0,PM,LR,ref,2,24,0,0,0,0
0,PM,LR,ref,2,25,0,0,0,0
0,PM,LR,ref,2,26,0,0,0,0
0,PM,LR,ref,2,27,0,0,0,0
0,PM,LR,ref,2,28,0,0,0,0
0,PM,LR,ref,2,29,0,0,0,0
0,PM,LR,ref,2,30,0,0,0,0
0,PM,LR,ref,2,31,0,0,0,0
0,PM,LR,ref,2,32,0,0,0,0
0,PM,LR,ref,2,33,0,0,0,0
0,PM,LR,ref,2,34,0,0,0,0
0,PM,LR,ref,2,35,0,0,0,0
0,PM,LR,ref,2,36,0,0,0,0
0,PM,LR,ref,2,37,0,0,0,0
0,PM,LR,ref,2,38,0,0,0,0
0,PM,LR,ref,2,39,0,0,0,0
0,PM,LR,ref,2,40,0,0,0,0
0,PM,LR,ref,2,41,0,0,0,0
0,PM,LR,ref,2,42,0,0,0,0
0,PM,LR,ref,2,43,0,0,0,0
0,PM,LR,ref,2,44,0,0,0,0
0,PM,LR,ref,2,45,0,0,0,0
0,PM,LR,ref,2,46,0,0,0,0
0,PM,LR,ref,2,47,0,0,0,0
0,PM,LR,ref,2,48,0,0,0,0
0,PM,LR,ref,2,49,0,0,0,0
0,PM,LR,ref,2,50,0,0,0,0
0,PM,LR,wclamp,1,1,0,0,0,
0,PM,LR,wclamp,1,2,0,0,0,
0,PM,LR,wclamp,1,3,0,0,0,
0,PM,LR,wclamp,1,4,0,0,0,
0,PM,LR,wclamp,1,5,0,0,0,0
0,PM,LR,wclamp,1,6,0,0,0,0
0,PM,LR,wclamp,1,7,0,0,0,0
0,PM,LR,wclamp,1,8,0,0,0,0
0,PM,LR,wclamp,1,9,0,0,0,0
0,PM,LR,wclamp,1,10,0,0,0,0
0,PM,LR,wclamp,1,11,0,0,0,0
0,PM,LR,wclamp,1,12,0,0,0,0
0,PM,LR,wclamp,1,13,0,0,0,0
0,PM,LR,wclamp,1,14,0,0,0,0
0,PM,LR,wclamp,1,15,0,0,0,0
0,PM,LR,wclamp,1,16,0,0,0,0
0,PM,LR,wclamp,1,17,0,0,0,0
0,PM,LR,wclamp,1,18,0,0,0,0
0,PM,LR,wclamp,1,19,0,0,0,0
0,PM,LR,wclamp,1,20,0,0,0,0
0,PM,LR,wclamp,1,21,0,0,0,0
0,PM,LR,wclamp,1,22,0,0,0,0
0,PM,LR,wclamp,1,23,0,0,0,0
0,PM,LR,wclamp,1,24,0,0,0,0
0,PM,LR,wclamp,1,25,0,0,0,0
0,PM,LR,wclamp,1,26,0,0,0,0
0,PM,LR,wclamp,1,27,0,0,0,0
0,PM,LR,wclamp,1,28,0,0,0,0
0,PM,LR,wclamp,1,29,0,0,0,0
0,PM,LR,wclamp,1,30,0,0,0,0
0,PM,LR,wclamp,1,31,0,0,0,0
0,PM,LR,wclamp,1,32,0,0,0,0
0,PM,LR,wclamp,1,33,0,0,0,0
0,PM,LR,wclamp,1,34,0,0,0,0
0,PM,LR,wclamp,1,35,0,0,0,0
0,PM,LR,wclamp,1,36,0,0,0,0
0,PM,LR,wclamp,1,37,0,0,0,0
0,PM,LR,wclamp,1,38,0,0,0,0
0,PM,LR,wclamp,1,39,0,0,0,0
0,PM,LR,wclamp,1,40,0,0,0,0
0,PM,LR,wclamp,1,41,0,0,0,0
0,PM,LR,wclamp,1,42,0,0,0,0
0,PM,LR,wclamp,1,43,0,0,0,0
0,PM,LR,wclamp,1,44,0,0,0,0
0,PM,LR,wclamp,1,45,0,0,0,0
0,PM,LR,wclamp,1,46,0,0,0,0
0,PM,LR,wclamp,1,47,0,0,0,0
0,PM,LR,wclamp,1,48,0,0,0,0
0,PM,LR,wclamp,1,49,0,0,0,0
0,PM,LR,wclamp,1,50,0,0,0,0
0,PM,LR,wclamp,2,1,0,0,0,
0,PM,LR,wclamp,2,2,0,0,0,
0,PM,LR,wclamp,2,3,0,0,0,
0,PM,LR,wclamp,2,4,0,0,0,
0,PM,LR,wclamp,2,5,0,0,0,0
0,PM,LR,wclamp,2,6,0,0,0,0
0,PM,LR,wclamp,2,7,0,0,0,0
0,PM,LR,wclamp,2,8,0,0,0,0
0,PM,LR,wclamp,2,9,0,0,0,0
0,PM,LR,wclamp,2,10,0,0,0,0
0,PM,LR,wclamp,2,11,0,0,0,0
0,PM,LR,wclamp,2,12,0,0,0,0
0,PM,LR,wclamp,2,13,0,0,0,0
0,PM,LR,wclamp,2,14,0,0,0,0
0,PM,LR,wclamp,2,15,0,0,0,0
0,PM,LR,wclamp,2,16,0,0,0,0
0,PM,LR,wclamp,2,17,0,0,0,0
0,PM,LR,wclamp,2,18,0,0,0,0
0,PM,LR,wclamp,2,19,0,0,0,0
0,PM,LR,wclamp,2,20,0,0,0,0
0,PM,LR,wclamp,2,21,0,0,0,0
0,PM,LR,wclamp,2,22,0,0,0,0
0,PM,LR,wclamp,2,23,0,0,0,0
0,PM,LR,wclamp,2,24,0,0,0,0
0,PM,LR,wclamp,2,25,0,0,0,0
