event_id,seed,env,act,iv,layer,unit_id,entry_task,entry_q,followup_eligible,censor_reason,exit_within5,first_exit_task,q_lt_0_5_within5,first_q_lt_0_5_task
1,0,PM,ELU1,ref,1,63,4,0.9750000238418579,1,,1,5,1,5
2,0,PM,ELU1,ref,1,72,4,0.9633333683013916,1,,1,8,1,8
3,0,PM,ELU1,ref,1,49,5,1.0,1,,1,9,0,
4,0,PM,ELU1,ref,1,51,5,0.9650000333786011,1,,1,7,1,7
5,0,PM,ELU1,ref,1,8,7,0.9750000238418579,1,,1,8,1,8
6,0,PM,ELU1,ref,1,62,7,0.9808333516120911,1,,1,8,1,8
7,0,PM,ELU1,ref,1,83,7,0.9500000476837158,1,,1,8,1,10
8,0,PM,ELU1,ref,1,12,9,0.9516667127609253,1,,1,10,1,10
9,0,PM,ELU1,ref,1,37,9,0.9750000238418579,1,,1,10,1,11
10,0,PM,ELU1,ref,1,51,10,0.9800000190734863,1,,1,11,0,
11,0,PM,ELU1,ref,1,64,10,0.9741666913032532,1,,1,11,1,11
12,0,PM,ELU1,ref,1,72,10,0.9950000047683716,1,,1,14,1,14
13,0,PM,ELU1,ref,1,5,12,0.9708333611488342,1,,1,13,1,13
14,0,PM,ELU1,ref,1,8,12,0.9541667103767395,1,,1,13,1,13
15,0,PM,ELU1,ref,1,51,12,0.9958333373069763,1,,1,13,1,16
16,0,PM,ELU1,ref,1,12,13,0.9508333802223206,1,,1,14,1,14
17,0,PM,ELU1,ref,1,21,13,0.9866666793823242,1,,1,16,1,17
18,0,PM,ELU1,ref,1,39,13,0.9616667032241821,1,,1,14,1,14
19,0,PM,ELU1,ref,1,62,13,0.9550000429153442,1,,1,16,1,16
20,0,PM,ELU1,ref,1,64,13,0.9791666865348816,1,,1,14,1,14
21,0,PM,ELU1,ref,1,94,13,0.9775000214576721,1,,1,15,1,15
22,0,PM,ELU1,ref,1,43,14,0.9608333706855774,1,,1,16,1,17
23,0,PM,ELU1,ref,1,51,14,0.9983333349227905,1,,1,16,1,16
24,0,PM,ELU1,ref,1,58,14,0.9825000166893005,1,,1,15,1,16
25,0,PM,ELU1,ref,1,77,14,0.9825000166893005,1,,1,15,1,16
26,0,PM,ELU1,ref,1,8,15,0.9808333516120911,1,,1,16,1,19
27,0,PM,ELU1,ref,1,37,15,0.9900000095367432,1,,1,20,1,20
28,0,PM,ELU1,ref,1,38,15,0.9800000190734863,1,,1,16,1,18
29,0,PM,ELU1,ref,1,72,15,0.9675000309944153,1,,1,16,1,16
30,0,PM,ELU1,ref,1,83,15,0.9583333730697632,1,,1,16,1,20
31,0,PM,ELU1,ref,1,41,16,0.971666693687439,1,,1,17,1,18
32,0,PM,ELU1,ref,1,8,17,0.9991666674613953,1,,1,19,1,19
33,0,PM,ELU1,ref,1,51,17,1.0,1,,1,20,1,20
34,0,PM,ELU1,ref,1,72,17,0.9800000190734863,1,,1,18,1,19
35,0,PM,ELU1,ref,1,83,17,0.9700000286102295,1,,1,18,1,20
36,0,PM,ELU1,ref,1,21,18,0.9583333730697632,1,,1,22,1,22
37,0,PM,ELU1,ref,1,54,18,0.9916666746139526,1,,1,20,1,20
38,0,PM,ELU1,ref,1,61,18,0.9808333516120911,1,,1,19,1,19
39,0,PM,ELU1,ref,1,65,18,0.9808333516120911,1,,1,19,1,19
40,0,PM,ELU1,ref,1,97,18,0.9850000143051147,1,,1,19,1,20
41,0,PM,ELU1,ref,1,39,19,0.9983333349227905,1,,1,22,1,22
42,0,PM,ELU1,ref,1,1,20,0.9766666889190674,1,,1,21,1,25
43,0,PM,ELU1,ref,1,4,20,0.9766666889190674,1,,1,22,0,
44,0,PM,ELU1,ref,1,10,20,0.9566667079925537,1,,1,21,1,21
45,0,PM,ELU1,ref,1,33,20,0.96833336353302,1,,1,21,1,23
46,0,PM,ELU1,ref,1,78,20,0.9700000286102295,1,,1,23,0,
47,0,PM,ELU1,ref,1,29,21,0.9633333683013916,1,,1,22,1,23
48,0,PM,ELU1,ref,1,37,21,0.9983333349227905,1,,1,22,1,22
49,0,PM,ELU1,ref,1,41,21,0.9833333492279053,1,,1,22,1,22
50,0,PM,ELU1,ref,1,65,21,0.996666669845581,1,,1,23,1,23
51,0,PM,ELU1,ref,1,1,22,0.9975000023841858,1,,1,25,1,25
52,0,PM,ELU1,ref,1,13,22,0.9891666769981384,1,,1,23,1,23
53,0,PM,ELU1,ref,1,91,22,0.996666669845581,1,,1,23,1,23
54,0,PM,ELU1,ref,1,97,22,0.9533333778381348,1,,1,23,1,25
55,0,PM,ELU1,ref,1,21,23,0.996666669845581,1,,1,24,0,
