arm,p_lo,p_hi,n,dz_per_task,se
LR,0,0.02,6500,0.08254568828469759,0.006712330419378863
LR,0.02,0.05,6412,0.034940198727603025,0.0072697670465851376
LR,0.05,0.08,3021,-0.039399088679242786,0.010960992454695968
LR,0.08,0.12,2078,-0.08605019954298232,0.013401230466461255
LR,0.12,0.16,1278,-0.12736534733317026,0.018014717682821677
LR,0.16,0.2,852,-0.13549872864741214,0.022371105363706748
LR,0.2,0.25,710,-0.182851520814011,0.026026109216875006
LR,0.25,0.32,678,-0.20026490064934838,0.025621659190410068
LR,0.32,0.4,563,-0.19171257530487174,0.028302289429701047
LR,0.4,0.55,697,-0.24393649284440266,0.02441926065692943
LR,0.55,1.0,1211,-0.15777403187022115,0.01739988822805123
LR,zero_crossing,,24000,0.05,-0.022920738107500286
ELU1,0,0.02,7179,-0.016358856641894338,0.007592100117182595
ELU1,0.02,0.05,4560,0.03792064027951456,0.010363320500023254
ELU1,0.05,0.08,2394,-0.02149338025105001,0.014250684964976392
ELU1,0.08,0.12,2015,-0.07458982773658732,0.015410592276144962
ELU1,0.12,0.16,1299,-0.11677854931891894,0.019231711666188717
ELU1,0.16,0.2,935,-0.14130478388716378,0.02150257067035983
ELU1,0.2,0.25,859,-0.1527647637423573,0.023067382963637962
ELU1,0.25,0.32,865,-0.13567716378001018,0.023381275515717573
ELU1,0.32,0.4,724,-0.18270404995311446,0.023424510243966558
ELU1,0.4,0.55,1015,-0.174816950950263,0.02009615477941688
ELU1,0.55,1.0,2155,-0.12330394127206028,0.01088088845798661
ELU1,zero_crossing,,24000,0.05,-0.05225473689224331
SNA,0,0.02,291,-0.008513542298324147,0.030061429641690354
SNA,0.02,0.05,1164,0.22255171784280497,0.012744178406437132
SNA,0.05,0.08,1827,0.16634446282320814,0.009987644941545921
SNA,0.08,0.12,2706,0.1113691667408146,0.00821611763513009
SNA,0.12,0.16,2692,0.05763777441626386,0.00801771978068335
SNA,0.16,0.2,2429,0.0216922308095128,0.00850690706425992
SNA,0.2,0.25,2701,-0.015424943282299044,0.007954018495756998
SNA,0.25,0.32,2992,-0.05954354369001818,0.00786248564253857
SNA,0.32,0.4,2453,-0.08282820261687478,0.00860502114017898
SNA,0.4,0.55,2907,-0.14353656477802137,0.007866975862444513
SNA,0.55,1.0,1838,-0.2135340525463256,0.009996479125115556
SNA,zero_crossing,,24000,0.2,-0.00679294345963856
