arm,p_lo,p_hi,n,gpos,gneg,gnet,dz_per_task,se_dz
LR,0,0.02,425,0.00013769471564048055,-0.0005185719906506428,-0.0003808772750101622,0.06405985356376047,0.023768819814200346
LR,0.02,0.05,121,-0.0015375616607672617,1.34058533563796e-05,-0.0015241558074108826,0.08325192591556109,0.057579621834057355
LR,0.05,0.08,75,-0.00012757531878528636,1.076734977214938e-05,-0.00011680796901313623,0.05530655126117028,0.06947383667145604
LR,0.08,0.12,78,0.000669029561608573,0.0007919367310347798,0.001460966292643353,0.03166511868651233,0.07277512845769321
LR,0.12,0.16,46,0.013178413630163501,-0.0009589336649187387,0.012219479965244761,-0.264119405064809,0.09381734856157183
LR,0.16,0.2,31,-0.002942661163656487,0.0028894069870450843,-5.3254176611404824e-05,-0.015298884199460006,0.14242182631034286
LR,0.2,0.25,32,0.020198895571126762,-0.0016618893627795318,0.01853700620834723,-0.4006759126934977,0.10425366161629662
LR,0.25,0.32,34,0.015423096901789097,-0.0003776255871522547,0.015045471314636842,-0.3090616472845893,0.09011336890693236
LR,0.32,0.4,31,0.004914557774442095,0.0005805201903858554,0.005495077964827951,-0.03599796594373433,0.1103986281235286
LR,0.4,0.55,42,0.018422408070398785,-0.0018220143569678837,0.016600393713430903,-0.29400404465912966,0.11224937109934519
LR,0.55,1.0,84,0.02744063737226513,-0.0007568705318574596,0.026683766840407658,-0.34427894251715063,0.06294975518225006
LR,balance,,834,0.08190704819588446,-0.0004803767960375111,0.2504797061746489,0.005830705305871761,0.0
ELU1,0,0.02,419,-0.0013695624543028778,-7.374815491100709e-05,-0.0014433106092138846,-0.0071767679775484065,0.03038904511027109
ELU1,0.02,0.05,109,-0.0015598793844627402,-0.000833867039572101,-0.0023937464240348406,0.06471541684240027,0.06635034556137372
ELU1,0.05,0.08,60,0.0010045786852867595,0.001368530033441807,0.002373108718728567,-0.08906587589127489,0.09590597829432014
ELU1,0.08,0.12,49,0.011209951752565015,-0.0026567978004742063,0.00855315395209081,-0.26035104510180906,0.10210360266792906
ELU1,0.12,0.16,32,0.006369135492311196,0.0015445625887169434,0.00791369808102814,-0.1612771898287117,0.14782618647076248
ELU1,0.16,0.2,44,0.0068640682440660565,0.00153114906176966,0.008395217305835716,-0.2363269604415139,0.10958253922940932
ELU1,0.2,0.25,31,0.0059419555548516955,0.00512852637592154,0.011070481930773233,-0.27107521189416717,0.13686869616590672
ELU1,0.25,0.32,41,0.012344995662924395,-0.004349115649515839,0.007995880013408558,-0.1671862428562248,0.11435560079233892
ELU1,0.32,0.4,37,-0.0014074863625304053,-0.0026478254542140157,-0.004055311816744423,0.002668865374882318,0.09813823561317501
ELU1,0.4,0.55,48,0.0232909912976772,-0.005055842939310329,0.018235148358366867,-0.32602486033047623,0.10504473967610171
ELU1,0.55,1.0,126,0.018249884359804708,-0.0071115263244412,0.01113835803536351,-0.1675078432243594,0.04527992290165518
ELU1,balance,,805,0.041025599145469896,0.00015346829863725482,0.8411299671972318,-0.003754839678224111,0.0
SNA,0,0.02,83,0.00999618221311093,-0.026659235245193633,-0.0166630530320827,0.34685381590566605,0.04866062138420986
SNA,0.02,0.05,89,0.0161927666046337,-0.028851089411282907,-0.012658322806649202,0.2998868024982877,0.03791529116246217
SNA,0.05,0.08,64,0.019457974583274883,-0.028972215121059637,-0.009514240537784758,0.22132536545786943,0.04970069913943902
SNA,0.08,0.12,95,0.019789648572795873,-0.02422426182793937,-0.004434613255143498,0.14242316449609885,0.03525475326179522
SNA,0.12,0.16,67,0.01743947103277024,-0.021486848810794375,-0.004047377778024134,0.11576944855993417,0.044900352488255815
SNA,0.16,0.2,66,0.01678617179352371,-0.01986919410453071,-0.0030830223110070026,0.07851050496234036,0.0408232610808743
SNA,0.2,0.25,76,0.018777368717307154,-0.019141510567326745,-0.0003641418500195965,0.0036585467766149303,0.039954310914801956
SNA,0.25,0.32,97,0.01792645833776458,-0.0160281147324211,0.001898343605343478,-0.017349351952547113,0.03676936938949165
SNA,0.32,0.4,77,0.024950767759716504,-0.018797655680623925,0.006153112079092577,-0.1305095950536208,0.042062697551329194
SNA,0.4,0.55,111,0.027067793628313744,-0.013768310630710122,0.013299482997603631,-0.2466427958435543,0.03609058022123254
SNA,0.55,1.0,172,0.03756475684944885,-0.015684669375391036,0.02188008747405781,-0.3396570020025505,0.02941247326777299
SNA,balance,,986,0.08969119725553676,-0.027927334416327273,0.929224142262989,0.23743991715727117,0.0
