act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,shell,0.001,0.001,5,1,0.95755,1,1,0.2300000042,0.2300000042,-0.01430532895,0.8740818501,-2.467517614,0.401666671,56.36697198,0.09000000358,0.09000000358,0.7176614404,0.4968931377,-0.03061770834,0.9333333373,21.27537237,1.460113168,1.097964644,2.409515858,0.1131195636,0.3465035527,0.3627444894,0.1131195636
R,shell,0.001,0.001,5,2,0.9542354167,1,1,0.3000000119,0.3000000119,-0.3606835902,0.9124468565,-1.231676698,0.2700000107,56.62825888,0.05999999866,0.05999999866,0.4762848914,0.4237045944,-0.00298136007,0.8933333158,23.31072316,1.5079211,1.149758697,2.599225521,0.1269321366,0.3691605748,0.404488418,0.1269321366
R,shell,0.001,0.001,5,3,0.94619375,1,1,0.3000000119,0.3000000119,-0.3524175584,0.8760668635,-1.759151459,0.2308333367,52.42530248,0.03999999911,0.03999999911,0.4201688468,0.3955295384,-0.005713905673,0.8774999976,22.0155136,1.463238001,1.099768281,2.562342882,0.1157702964,0.3494810502,0.396510473,0.1157702964
R,shell,0.001,0.001,5,4,0.94523125,1,1,0.3600000143,0.3600000143,-0.1549764425,0.7768571377,-1.777932167,0.2275000066,46.26639919,0.07999999821,0.07999999821,0.428403616,0.3898964226,-0.007121434435,0.9008333087,17.64465419,1.315675855,1.065020442,2.570530891,0.1047535033,0.328676161,0.383903701,0.1047535033
R,shell,0.001,0.001,5,5,0.9462104167,1,1,0.2899999917,0.2899999917,-0.1171109527,0.7651178837,-1.246249557,0.2025000006,39.55712432,0.1599999964,0.1599999964,0.547206223,0.3947071135,-0.001532075461,0.9499999881,14.37853416,1.16434145,1.030166626,2.579715252,0.1097458688,0.3376581528,0.3973824291,0.1097458688
R,shell,0.001,0.001,5,6,0.9477479167,1,1,0.3199999928,0.3199999928,-0.3076901734,0.8850061297,-1.035075188,0.2491666675,52.44748042,0.1099999994,0.1099999994,0.3714239895,0.4024660587,-0.01395304222,0.8466666937,20.15020221,1.375149846,1.00339365,2.536007643,0.1194391857,0.3564037254,0.4204519109,0.1194391857
R,shell,0.001,0.001,5,7,0.9455333333,0.8058333397,0.8058333397,0.2800000012,0.2800000012,-0.6086444855,0.9622418284,-3.813093662,0.1233333349,50.32060531,0.07999999821,0.07999999821,0.1538369209,0.3713636696,-0.105286859,0.6499999762,26.92218391,1.359956861,1.061979651,2.59513402,0.125180906,0.366575154,0.4293304491,0.125180906
R,shell,0.001,0.001,5,8,0.94911875,0.9983333349,0.9983333349,0.3600000143,0.3600000143,-0.4379038513,0.9436574578,-3.402229309,0.2008333355,51.52137753,0.05999999866,0.05999999866,0.3963492215,0.4454874396,-0.1515700668,0.8091666698,23.96420701,1.508998275,1.120022297,2.617847204,0.1412925491,0.3953828507,0.4600386755,0.1412925491
R,shell,0.001,0.001,5,9,0.94828125,0.9950000048,0.9950000048,0.3300000131,0.3300000131,-0.1864309311,0.7951700687,-1.483753085,0.2574999928,52.19599482,0.07999999821,0.07999999821,0.2948184609,0.3770379424,-0.00366957346,0.8466666937,18.8894486,1.277172804,1.014756083,2.59474349,0.1073972567,0.3332421909,0.4012715089,0.1073972567
R,shell,0.001,0.001,5,10,0.9373,0.9991666675,0.9991666675,0.3199999928,0.3199999928,-0.07426955551,0.7790207863,-2.647227287,0.2066666633,37.98847712,0.2199999988,0.2199999988,0.409710139,0.3272810876,-0.00599840004,0.9133333564,14.45666557,0.8725084662,0.8865556121,2.624853134,0.1108159069,0.3389932643,0.4039091174,0.1108159069
R,shell,0.001,0.001,5,11,0.9330791667,1,1,0.3400000036,0.3400000036,-0.1571351141,0.8042849302,-1.778962851,0.2316666692,45.97486258,0.150000006,0.150000006,0.4760771096,0.4150664806,-0.0009051710367,0.8841666579,18.01478828,1.273002982,1.044983864,2.544605255,0.1061328157,0.3313746137,0.3975542439,0.1061328157
R,shell,0.001,0.001,5,12,0.94104375,1,1,0.4099999964,0.4099999964,-0.461728096,0.9012281895,-2.598706722,0.1658333391,43.89462187,0.05999999866,0.05999999866,0.4591571689,0.408428967,-0.07410211861,0.8833333254,19.7337636,1.388725996,1.091756105,2.707942724,0.1450393569,0.4003371702,0.4683725523,0.1450393569
R,shell,0.001,0.001,5,13,0.9342104167,1,1,0.2599999905,0.2599999905,-0.09702059627,0.7751636505,-0.9758728147,0.2425000072,48.31755986,0.0700000003,0.0700000003,0.4944446683,0.3686489761,-0.03563179821,0.9383333325,16.08564689,1.198789597,0.9849503636,2.554396391,0.1056379928,0.3307375665,0.3978950109,0.1056379928
R,shell,0.001,0.001,5,14,0.93326875,1,1,0.3000000119,0.3000000119,-0.2195392847,0.9017769098,-1.33874619,0.2808333337,51.90264427,0.1199999973,0.1199999973,0.3810246885,0.4050226808,-0.0139085846,0.8316666484,22.18574905,1.40626812,1.003116608,2.512976646,0.1175365075,0.3534973939,0.4221864666,0.1175365075
R,shell,0.001,0.001,5,15,0.9451333333,1,1,0.2199999988,0.2199999988,-0.1555187702,0.806368947,-0.8064138293,0.2800000012,53.27283299,0.05999999866,0.05999999866,0.4107203782,0.3691563308,-0.004152545705,0.896666646,18.48376091,1.238646388,0.9350194335,2.513619423,0.10237948,0.3247209386,0.3961483617,0.10237948
R,shell,0.001,0.001,5,16,0.9354708333,1,1,0.2700000107,0.2700000107,-0.2979286909,0.7924166322,-0.8424440026,0.2450000048,50.49964717,0.07999999821,0.07999999821,0.3876981139,0.3609748185,-0.001407333999,0.8741666675,18.36310778,1.2796067,0.9911220074,2.568744421,0.1084166268,0.3352676212,0.4075598552,0.1084166268
