arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
LR,base,1001,raw,0,0.001,1,base,30000,True,0.8728895833,1,1,0,0,-5.840376854,8.832313538,-42.23390579,0.3302500546,62.48397451,0,0,-0.9127594233,8.551129341,-7.565718174,0.4915001094,65.24284413,6.714368343,1.511094213,2.183917761
LR,base,1002,raw,1,0.001,1,base,30000,True,0.86555,1,1,0,0,-5.97721386,8.980024338,-47.10519791,0.310000062,61.53481064,0,0,-0.7903176546,8.326122284,-7.380120754,0.491500169,64.26266115,6.738646507,1.543457985,2.203619003
LR,base,1003,raw,2,0.001,1,base,30000,True,0.867725,1,1,0,0,-6.007157326,8.701726913,-34.21592331,0.3280000687,62.70606135,0,0,-1.125235438,7.569243908,-7.821850777,0.4975001216,65.48801414,6.752528667,1.531999588,2.115565062
LR,base,1004,raw,3,0.001,1,base,30000,True,0.8555895833,1,1,0,0,-5.355484486,9.720590591,-43.34751892,0.3662500978,64.35216132,0,0,-1.601221919,9.305473328,-8.937581062,0.4727500975,67.19244953,7.42626524,1.580937386,2.04659462
LR,base,1005,raw,4,0.001,1,base,30000,True,0.8541458333,1,1,0,0,-10.5255003,9.206552505,-42.90393829,0.2042499781,62.15097944,0,0,-2.838775635,8.158176422,-10.35449219,0.3977501094,68.54319629,7.467846394,1.64067173,2.103243589
LR,base,1001,raw,0,0.001,2,base,30000,True,0.8579625,1,1,0,0,-17.27252769,11.73096466,-49.85082245,0.1539999545,65.28954535,0,0,-9.350270271,9.928414345,-17.47026825,0.2372499853,73.09021606,10.57930183,2.210418224,2.995160818
LR,base,1002,raw,1,0.001,2,base,30000,True,0.8513583333,1,1,0,0,-19.64046097,12.51157093,-45.78701782,0.150249958,65.39063829,0,0,-8.489345551,10.48589325,-18.75135422,0.2567500174,75.67101874,10.78883362,2.220496416,2.952779531
LR,base,1003,raw,2,0.001,2,base,30000,True,0.8751520833,1,1,0,0,-12.43889236,11.48389626,-63.57643509,0.2147499621,66.90695618,0,0,-6.701088905,10.8223505,-19.67154312,0.3220000863,72.45512845,9.810666084,2.07573843,2.682107449
LR,base,1004,raw,3,0.001,2,base,30000,True,0.84991875,1,1,0,0,-19.62905884,12.91513348,-49.6031189,0.1689999402,67.93298307,0,0,-9.205791473,11.37522221,-21.99702644,0.253000021,74.98115431,11.40086937,2.333363056,3.024705172
LR,base,1005,raw,4,0.001,2,base,30000,True,0.8396041667,1,1,0,0,-18.12744331,13.07303429,-43.96031952,0.1599999517,69.0429693,0,0,-9.644440651,10.96502495,-22.0272007,0.2334999889,74.9942697,11.36545944,2.371183395,2.970788956
