arm,age,coordinate,branch,time,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,whole,B,0,K,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,K_source_positive,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,K_source_negative,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,mean_B_delta,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_qpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_qpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_qneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_qneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_qpos_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_qpos_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_qpos_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_qpos_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_qneg_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_qneg_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_qneg_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_qneg_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,C_newly_activated,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,0,Cbias_newly_activated,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,K,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,K_source_positive,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,K_source_negative,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,mean_B_delta,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_qpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_qpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_qneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_qneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_qpos_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_qpos_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_qpos_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_qpos_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_qneg_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_qneg_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_qneg_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_qneg_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,C_newly_activated,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control,0,Cbias_newly_activated,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,1,K,0.0011160881147085871,-0.0023284880692334723,0.004560664298650647,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,1,K_source_positive,0.001110906729986255,-0.0020815763457576585,0.004303389805730169,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,1,K_source_negative,5.181384722331901e-06,-0.0008730715266380199,0.0008834342960826838,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,1,mean_B_delta,0.000259305865584592,-0.002221739992832717,0.0027403517240019008,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,1,C_qpos,0.004790446347169237,-0.020324328182808857,0.029905220877147334,UNRESOLVED,10
LR_a0p1_q0,200000,whole,B,1,Cbias_qpos,0.005142703674444285,-0.022646432565449376,0.03293183991433794,UNRESOLVED,10
