arm,age,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,control_Cn_qneg_zpos,1.837083364471482e-16,-7.452179356944793e-16,1.1126346085887758e-15,UNRESOLVED,10
LR_a0p1_q0,200000,control_Cwhole_qneg_zpos,0.01309136039103335,-0.0036441743370147096,0.02982689511908141,UNRESOLVED,10
LR_a0p1_q0,200000,control_Cn_qneg_zneg,-1.8057856720062253e-16,-8.811707458378517e-16,5.200136114366067e-16,UNRESOLVED,10
LR_a0p1_q0,200000,control_Cwhole_qneg_zneg,0.002739200152872253,-0.0019313154287400455,0.007409715734484551,UNRESOLVED,10
LR_a0p1_q0,200000,Kn_diff,0.0003189358131243024,-0.0003496093063692057,0.0009874809326178105,UNRESOLVED,10
LR_a0p1_q0,200000,Sn,0.021047136317429316,0.0036186605143531426,0.03847561212050549,POSITIVE,10
LR_a0p1_q0,1000000,null_weight_energy_fraction,0.20945499871157502,0.19154263074392539,0.22736736667922466,POSITIVE,10
LR_a0p1_q0,1000000,null_B_field_RMS,0.32641642583350344,0.3183049218359349,0.334527929831072,POSITIVE,10
LR_a0p1_q0,1000000,total_input_jump_RMS,0.34141656422375793,0.33479770982526313,0.34803541862225273,POSITIVE,10
LR_a0p1_q0,1000000,null_field_energy_over_jump_energy,0.9143246778849994,0.8887431584834328,0.939906197286566,POSITIVE,10
LR_a0p1_q0,1000000,span_jump_energy_over_jump_energy,0.29719138767942305,0.27048436018820154,0.32389841517064455,POSITIVE,10
LR_a0p1_q0,1000000,cross_over_jump_energy,-0.21151606556441935,-0.22927007059521926,-0.19376206053361944,NEGATIVE,10
LR_a0p1_q0,1000000,null_field_signed_mean,-0.0941555721996336,-0.10695046879612731,-0.08136067560313988,NEGATIVE,10
LR_a0p1_q0,1000000,null_field_positive_fraction,0.3949333333333333,0.3801463850251176,0.409720281641549,POSITIVE,10
LR_a0p1_q0,1000000,null_field_positive_energy_fraction,0.2721733796644831,0.24847782928315676,0.2958689300458094,POSITIVE,10
LR_a0p1_q0,1000000,B_Kn,0.00027944378741920757,-0.00014781684131466387,0.0007067044161530791,UNRESOLVED,10
LR_a0p1_q0,1000000,B_mean_transport_null,-0.0018856718465252535,-0.004367602555588442,0.0005962588625379351,UNRESOLVED,10
LR_a0p1_q0,1000000,B_mean_transport_span,-0.010696401774227118,-0.030993244073761732,0.009600440525307497,UNRESOLVED,10
LR_a0p1_q0,1000000,B_mean_transport_W,-0.012582073620752374,-0.03528126921480486,0.010117121973300109,UNRESOLVED,10
LR_a0p1_q0,1000000,B_mean_transport_bias,-0.002036450167788142,-0.004743954101205034,0.0006710537656287496,UNRESOLVED,10
LR_a0p1_q0,1000000,B_null_weight_norm2_change,0.03122664755946424,-0.10204661014099768,0.16449990525992617,UNRESOLVED,10
LR_a0p1_q0,1000000,B_Cn_qpos,0.02883965950656441,0.011118438975391616,0.0465608800377372,POSITIVE,10
LR_a0p1_q0,1000000,B_Cwhole_qpos,0.22522456902648197,0.06422729924653589,0.386221838806428,POSITIVE,10
LR_a0p1_q0,1000000,B_Cn_qneg,-0.003609514734077345,-0.009440436148410912,0.0022214066802562207,UNRESOLVED,10
LR_a0p1_q0,1000000,B_Cwhole_qneg,-0.023637444025830404,-0.07532155986337162,0.028046671811710815,UNRESOLVED,10
LR_a0p1_q0,1000000,B_Cn_qpos_zpos,0.10198238402746922,0.03748331414689772,0.1664814539080407,POSITIVE,10
LR_a0p1_q0,1000000,B_Cwhole_qpos_zpos,0.6257338982033248,0.005541003964440794,1.2459267924422088,POSITIVE,10
LR_a0p1_q0,1000000,B_Cn_qpos_zneg,0.021115379282594725,0.005988662093049345,0.036242096472140106,POSITIVE,10
LR_a0p1_q0,1000000,B_Cwhole_qpos_zneg,0.18167328669911326,0.04863943414381855,0.31470713925440796,POSITIVE,10
LR_a0p1_q0,1000000,B_Cn_qneg_zpos,-0.09394211336213429,-0.17009066871755657,-0.017793558006711993,NEGATIVE,10
LR_a0p1_q0,1000000,B_Cwhole_qneg_zpos,-0.817807163139084,-2.0203432166292394,0.3847288903510713,UNRESOLVED,10
LR_a0p1_q0,1000000,B_Cn_qneg_zneg,-0.0012291121059558369,-0.007144450657501996,0.0046862264455903215,UNRESOLVED,10
LR_a0p1_q0,1000000,B_Cwhole_qneg_zneg,0.00036637315578331997,-0.04619654509380468,0.04692929140537132,UNRESOLVED,10
