arm,age,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,Kn_diff,0.0003189358131243024,-0.0008064230221107586,0.0014442946483593632,UNRESOLVED,10
LR_a0p1_q0,200000,Sn,0.021047136317429316,-0.00829013450810799,0.050384407142966624,UNRESOLVED,10
LR_a0p1_q0,1000000,Kn_diff,0.0002794437874191179,-0.00043976200658626957,0.0009986495814245054,UNRESOLVED,10
LR_a0p1_q0,1000000,Sn,0.032449174240641906,0.0018418395062628108,0.063056508975021,POSITIVE,10
LR_a0p1_q0,5000000,Kn_diff,0.00031818035536073936,-0.00019155476707792042,0.0008279154777993991,UNRESOLVED,10
LR_a0p1_q0,5000000,Sn,0.010185189151664453,-0.06573151632003,0.08610189462335892,UNRESOLVED,10
LR_a0p7_q0,200000,Kn_diff,0.0028976078355925187,0.0012943882633115935,0.004500827407873444,POSITIVE,10
LR_a0p7_q0,200000,Sn,0.0254971417791647,-0.007902928093314013,0.05889721165164341,UNRESOLVED,10
LR_a0p7_q0,1000000,Kn_diff,0.003338324185199753,0.0008111254815705905,0.005865522888828915,POSITIVE,10
LR_a0p7_q0,1000000,Sn,0.002663528299128149,-0.026690420452788167,0.03201747705104446,UNRESOLVED,10
LR_a0p7_q0,5000000,Kn_diff,0.002853539598774156,0.00039971681901418595,0.005307362378534126,POSITIVE,10
LR_a0p7_q0,5000000,Sn,0.00941815684787187,-0.058453659867658755,0.07728997356340249,UNRESOLVED,10
