arm,age,coordinate,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,whole,RMS_B_over_A,0.9535240517504656,0.9517251680512442,0.955322935449687,POSITIVE,10
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,0.0024832074707422888,-0.0006414412131853422,0.00560785615466992,UNRESOLVED,10
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,0.531,0.48196339868302057,0.5800366013169794,POSITIVE,10
LR_a0p1_q0,200000,whole,A_radial_norm_budget,2.0349290190894638,-0.33128596801619237,4.4011440061951195,UNRESOLVED,10
LR_a0p1_q0,200000,whole,A_u_norm2,3.0692559309441427,2.0013141288848164,4.137197733003469,POSITIVE,10
LR_a0p1_q0,200000,whole,A_norm2_change,5.1041849500336065,1.945849240807605,8.262520659259607,POSITIVE,10
LR_a0p1_q0,200000,whole,A_D_norm2,3.268779582106709,2.08893006479647,4.448629099416948,POSITIVE,10
LR_a0p1_q0,200000,whole,A_normalized_visibility,3.7651636633207963,2.965460597600752,4.5648667290408405,POSITIVE,10
LR_a0p1_q0,200000,whole,A_q_RMS,0.31989258435463236,0.2783403740856132,0.36144479462365153,POSITIVE,10
LR_a0p1_q0,200000,whole,B_q_RMS,0.3050611606721378,0.2652562086261638,0.3448661127181118,POSITIVE,10
LR_a0p1_q0,200000,whole,q_mean_A,-0.044583220328976665,-0.0698467329064962,-0.01931970775145712,NEGATIVE,10
LR_a0p1_q0,200000,whole,q_mean_B,-0.042210431971825,-0.06631011576956247,-0.01811074817408753,NEGATIVE,10
LR_a0p1_q0,200000,whole,q_mean_jump,0.002372788357151669,0.0011850553733795237,0.003560521340923815,POSITIVE,10
LR_a0p1_q0,200000,whole,B_q_positive_energy_fraction,0.3582551069580238,0.2751046175033934,0.44140559641265426,POSITIVE,10
LR_a0p1_q0,200000,whole,u_null_energy_fraction,0.02004680100558642,0.014475055204095649,0.02561854680707719,POSITIVE,10
LR_a0p1_q0,200000,whole,D_null_relative_norm,3.378401552213861e-14,2.7875117425054142e-14,3.9692913619223075e-14,POSITIVE,10
LR_a0p1_q0,200000,whole,functional_RMS_B_over_A,0.9564612842276151,0.946014211086998,0.9669083573682322,POSITIVE,10
LR_a0p1_q0,200000,whole,unit_output_contrib_RMS_B_over_A,0.9618106346309651,0.9499856028291421,0.973635666432788,POSITIVE,10
LR_a0p1_q0,200000,whole,network_output_ablation_RMS_B_over_A,0.8863864621771487,0.8455039585079465,0.9272689658463509,POSITIVE,10
LR_a0p1_q0,200000,whole,delta_RMS_B_over_A,0.953329385716968,0.9517213750927314,0.9549373963412047,POSITIVE,10
LR_a0p1_q0,200000,whole,delta_mean_jump,0.00229392630417484,0.0011010721873745285,0.003486780420975152,POSITIVE,10
LR_a0p1_q0,200000,whole,p_RMS_B_over_A,1.0392364687006044,1.0278838372930765,1.0505891001081322,POSITIVE,10
LR_a0p1_q0,200000,whole,p_mean_jump,-7.886205297683267e-05,-0.00016448790646011882,6.763800506453486e-06,UNRESOLVED,10
LR_a0p1_q0,200000,whole,A_p_u_cross_energy,-0.2788354661297528,-0.5025983352055163,-0.05507259705398926,NEGATIVE,10
LR_a0p1_q0,200000,whole,B_p_u_cross_energy,-0.2681805172908379,-0.4826270740261057,-0.053733960555570115,NEGATIVE,10
LR_a0p1_q0,200000,centered,RMS_B_over_A,0.9046607559809022,0.8900935611975102,0.9192279507642943,POSITIVE,10
LR_a0p1_q0,200000,centered,A_alpha_norm_weighted,0.0022696603189648504,-0.0010088818259329892,0.00554820246386269,UNRESOLVED,10
LR_a0p1_q0,200000,centered,A_fraction_alpha_negative,0.541,0.49991279317558207,0.5820872068244181,POSITIVE,10
LR_a0p1_q0,200000,centered,A_radial_norm_budget,1.8511203686304547,-0.48161831751697703,4.183859054777886,UNRESOLVED,10
LR_a0p1_q0,200000,centered,A_u_norm2,2.306606293765997,1.4128158932467598,3.2003966942852338,POSITIVE,10
LR_a0p1_q0,200000,centered,A_norm2_change,4.157726662396451,1.138461496726456,7.176991828066446,POSITIVE,10
LR_a0p1_q0,200000,centered,A_D_norm2,2.5627497349216397,1.5266628508120064,3.598836619031273,POSITIVE,10
LR_a0p1_q0,200000,centered,A_normalized_visibility,0.9063324334757077,0.6593045534758002,1.1533603134756152,POSITIVE,10
LR_a0p1_q0,200000,centered,A_q_RMS,0.13229013087003863,0.11404514649459235,0.1505351152454849,POSITIVE,10
LR_a0p1_q0,200000,centered,B_q_RMS,0.11966405347600739,0.10311939641985249,0.1362087105321623,POSITIVE,10
