arm,age,coordinate,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,whole,G,-0.04759375697790877,-0.05099046466779704,-0.0441970492880205,NEGATIVE,10
LR_a0p1_q0,200000,whole,S,0.5037784739317217,-0.10690969509302284,1.1144666429564662,UNRESOLVED,10
LR_a0p1_q0,200000,whole,Kdiff,0.10605552379572987,-0.13945468097783265,0.35156572856929236,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,G,-0.04266473256534196,-0.04942748370578484,-0.035901981424899074,NEGATIVE,10
LR_a0p1_q0,1000000,whole,S,0.3609624967847516,-0.09710154003458843,0.8190265336040916,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,Kdiff,0.2672785198192501,-0.002096946522173959,0.5366539861606742,UNRESOLVED,10
LR_a0p1_q0,5000000,whole,G,-0.04998637995785599,-0.05147032981206376,-0.04850243010364823,NEGATIVE,10
LR_a0p1_q0,5000000,whole,S,0.00993274058170448,-0.5193516824279051,0.539217163591314,UNRESOLVED,10
LR_a0p1_q0,5000000,whole,Kdiff,0.24736868791669736,-0.06469093421468769,0.5594283100480824,UNRESOLVED,10
LR_a0p7_q0,200000,whole,G,-0.04803143035492531,-0.05085124945134201,-0.045211611258508616,NEGATIVE,10
LR_a0p7_q0,200000,whole,S,0.25457184060439064,-0.08050057604330185,0.5896442572520831,UNRESOLVED,10
LR_a0p7_q0,200000,whole,Kdiff,0.4682387412162502,0.31564478653417655,0.6208326958983239,POSITIVE,10
LR_a0p7_q0,1000000,whole,G,-0.049471033779467245,-0.05271444787037299,-0.046227619688561504,NEGATIVE,10
LR_a0p7_q0,1000000,whole,S,-0.006135591889495421,-0.27715019655249956,0.2648790127735087,UNRESOLVED,10
LR_a0p7_q0,1000000,whole,Kdiff,0.5084932812202069,0.3482347275780901,0.6687518348623236,POSITIVE,10
LR_a0p7_q0,5000000,whole,G,-0.0462320411090949,-0.052839539876220545,-0.03962454234196926,NEGATIVE,10
LR_a0p7_q0,5000000,whole,S,0.08465070697608101,-0.2645281156380502,0.4338295295902122,UNRESOLVED,10
LR_a0p7_q0,5000000,whole,Kdiff,0.5111976127399118,0.3453563337142434,0.6770388917655803,POSITIVE,10
