arm,age,coordinate,metric,seed,value
LR_a0p1_q0,200000,whole,G,0,-0.04886815190829949
LR_a0p1_q0,200000,whole,G,1,-0.044664952771876515
LR_a0p1_q0,200000,whole,G,2,-0.050285993118419706
LR_a0p1_q0,200000,whole,G,3,-0.049914161556622594
LR_a0p1_q0,200000,whole,G,4,-0.04733177308256552
LR_a0p1_q0,200000,whole,G,5,-0.04822788601341966
LR_a0p1_q0,200000,whole,G,6,-0.051089776579128346
LR_a0p1_q0,200000,whole,G,7,-0.04606687129651887
LR_a0p1_q0,200000,whole,G,8,-0.04679633723787168
LR_a0p1_q0,200000,whole,G,9,-0.0426916662143653
LR_a0p1_q0,200000,whole,RMS_B_over_A,0,0.9523066812400925
LR_a0p1_q0,200000,whole,RMS_B_over_A,1,0.9563178398040093
LR_a0p1_q0,200000,whole,RMS_B_over_A,2,0.9509574183290691
LR_a0p1_q0,200000,whole,RMS_B_over_A,3,0.9513110800583507
LR_a0p1_q0,200000,whole,RMS_B_over_A,4,0.9537709095774406
LR_a0p1_q0,200000,whole,RMS_B_over_A,5,0.9529166059657208
LR_a0p1_q0,200000,whole,RMS_B_over_A,6,0.9501933615935976
LR_a0p1_q0,200000,whole,RMS_B_over_A,7,0.9549780994317896
LR_a0p1_q0,200000,whole,RMS_B_over_A,8,0.9542817294534865
LR_a0p1_q0,200000,whole,RMS_B_over_A,9,0.9582067920510984
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,0,0.0002369087726449549
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,1,0.0108256506371151
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,2,-0.0017536407059764792
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,3,0.0005711387954053404
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,4,0.010098894903211312
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,5,0.0025651307831473917
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,6,-0.0002580305260778275
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,7,0.0003269353253870227
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,8,0.00023800021163843202
LR_a0p1_q0,200000,whole,A_alpha_norm_weighted,9,0.001981086510927639
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,0,0.57
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,1,0.49
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,2,0.62
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,3,0.61
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,4,0.45
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,5,0.51
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,6,0.46
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,7,0.61
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,8,0.45
LR_a0p1_q0,200000,whole,A_fraction_alpha_negative,9,0.54
LR_a0p1_q0,200000,whole,A_radial_norm_budget,0,0.4098753047500784
LR_a0p1_q0,200000,whole,A_radial_norm_budget,1,7.976970853250917
LR_a0p1_q0,200000,whole,A_radial_norm_budget,2,-0.956318251814275
LR_a0p1_q0,200000,whole,A_radial_norm_budget,3,0.5257107874261039
LR_a0p1_q0,200000,whole,A_radial_norm_budget,4,8.236484141872467
LR_a0p1_q0,200000,whole,A_radial_norm_budget,5,1.7084998409304155
LR_a0p1_q0,200000,whole,A_radial_norm_budget,6,-0.09694292028821239
