arm,age,time,branch,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,0,B,Kn,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,mean_transport_null,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,mean_transport_span,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,mean_transport_W,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,mean_transport_bias,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,null_weight_norm2_change,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cn_qpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cwhole_qpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cn_qneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cwhole_qneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cn_qpos_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cwhole_qpos_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cn_qpos_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cwhole_qpos_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cn_qneg_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cwhole_qneg_zpos,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cn_qneg_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,B,Cwhole_qneg_zneg,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,control,Kn,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,control,mean_transport_null,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,control,mean_transport_span,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,control,mean_transport_W,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,control,mean_transport_bias,0.0,0.0,0.0,UNRESOLVED,10
LR_a0p1_q0,200000,0,control,null_weight_norm2_change,0.0,0.0,0.0,UNRESOLVED,10
