arm,age,dtype,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,float64,S,0.5037784739317217,-0.10690969509302284,1.1144666429564662,UNRESOLVED,10
LR_a0p1_q0,200000,float64,Kdiff,0.10605552379572987,-0.13945468097783265,0.35156572856929236,UNRESOLVED,10
LR_a0p1_q0,200000,float32,S,0.5028037992733918,-0.10808148741715029,1.113689085963934,UNRESOLVED,10
LR_a0p1_q0,200000,float32,Kdiff,0.10544932630521323,-0.14178739992818984,0.3526860525386163,UNRESOLVED,10
LR_a0p1_q0,200000,float32,G,-0.04759454813358756,-0.05098932474304494,-0.044199771524130176,NEGATIVE,10
LR_a0p1_q0,1000000,float64,S,0.3609624967847516,-0.09710154003458843,0.8190265336040916,UNRESOLVED,10
LR_a0p1_q0,1000000,float64,Kdiff,0.2672785198192501,-0.002096946522173959,0.5366539861606742,UNRESOLVED,10
LR_a0p1_q0,1000000,float32,S,0.36096628945136705,-0.09709656432121222,0.8190291432239463,UNRESOLVED,10
LR_a0p1_q0,1000000,float32,Kdiff,0.2672765127029648,-0.002103013949037502,0.5366560393549671,UNRESOLVED,10
LR_a0p1_q0,1000000,float32,G,-0.04266469429941457,-0.04942775830272859,-0.03590163029610056,NEGATIVE,10
LR_a0p1_q0,5000000,float64,S,0.00993274058170448,-0.5193516824279051,0.539217163591314,UNRESOLVED,10
LR_a0p1_q0,5000000,float64,Kdiff,0.24736868791669736,-0.06469093421468769,0.5594283100480824,UNRESOLVED,10
LR_a0p1_q0,5000000,float32,S,0.006916343740087783,-0.5210623589841826,0.5348950464643581,UNRESOLVED,10
LR_a0p1_q0,5000000,float32,Kdiff,0.24807642408117286,-0.06421022837780238,0.5603630765401482,UNRESOLVED,10
LR_a0p1_q0,5000000,float32,G,-0.049985949959319834,-0.05146860371403341,-0.04850329620460626,NEGATIVE,10
LR_a0p7_q0,200000,float64,S,0.25457184060439064,-0.08050057604330185,0.5896442572520831,UNRESOLVED,10
LR_a0p7_q0,200000,float64,Kdiff,0.4682387412162502,0.31564478653417655,0.6208326958983239,POSITIVE,10
LR_a0p7_q0,200000,float32,S,0.25414965683448787,-0.08285830927888993,0.5911576229478657,UNRESOLVED,10
LR_a0p7_q0,200000,float32,Kdiff,0.4681986847398661,0.3152906374687753,0.6211067320109569,POSITIVE,10
LR_a0p7_q0,200000,float32,G,-0.048036347517472364,-0.05084872691726035,-0.04522396811768438,NEGATIVE,10
LR_a0p7_q0,1000000,float64,S,-0.006135591889495421,-0.27715019655249956,0.2648790127735087,UNRESOLVED,10
LR_a0p7_q0,1000000,float64,Kdiff,0.5084932812202069,0.3482347275780901,0.6687518348623236,POSITIVE,10
LR_a0p7_q0,1000000,float32,S,-0.006179422872253964,-0.2769042943106676,0.26454544856615964,UNRESOLVED,10
LR_a0p7_q0,1000000,float32,Kdiff,0.5087112379805632,0.3486091826608784,0.668813293300248,POSITIVE,10
LR_a0p7_q0,1000000,float32,G,-0.04947294801095359,-0.05271582266054512,-0.046230073361362055,NEGATIVE,10
LR_a0p7_q0,5000000,float64,S,0.08465070697608101,-0.2645281156380502,0.4338295295902122,UNRESOLVED,10
LR_a0p7_q0,5000000,float64,Kdiff,0.5111976127399118,0.3453563337142434,0.6770388917655803,POSITIVE,10
LR_a0p7_q0,5000000,float32,S,0.08277027754484895,-0.2686949232233351,0.434235478313033,UNRESOLVED,10
LR_a0p7_q0,5000000,float32,Kdiff,0.5108484278329336,0.3457190687962086,0.6759777868696586,POSITIVE,10
LR_a0p7_q0,5000000,float32,G,-0.04622710973001517,-0.05282975282153962,-0.039624466638490716,NEGATIVE,10
