arm,age,coordinate,dtype,seed,rank,D_null_rel_norm,u_null_energy_fraction
LR_a0p1_q0,200000,whole,float64,0,6,2.8900310060357e-14,0.022794188006456946
LR_a0p1_q0,200000,whole,float64,1,6,2.627589820147151e-14,0.026434522627784198
LR_a0p1_q0,200000,whole,float64,2,6,4.328565941800259e-14,0.007604766911238776
LR_a0p1_q0,200000,whole,float64,3,6,3.31097641777293e-14,0.012890421180202333
LR_a0p1_q0,200000,whole,float64,4,6,2.4882395308207894e-14,0.02524555592332838
LR_a0p1_q0,200000,whole,float64,5,6,3.587788977696509e-14,0.01740276107397858
LR_a0p1_q0,200000,whole,float64,6,6,4.583454668275362e-14,0.014872256103575291
LR_a0p1_q0,200000,whole,float64,7,6,4.193929549480475e-14,0.01715856245641856
LR_a0p1_q0,200000,whole,float64,8,6,3.5917138273176824e-14,0.021142777949902304
LR_a0p1_q0,200000,whole,float64,9,6,2.1817257827917485e-14,0.03492219782297883
LR_a0p1_q0,200000,whole,float32,0,6,1.5074949430820894e-05,
LR_a0p1_q0,200000,whole,float32,1,6,1.3022115646629788e-05,
LR_a0p1_q0,200000,whole,float32,2,6,2.555400481319679e-05,
LR_a0p1_q0,200000,whole,float32,3,6,1.3941409178840749e-05,
LR_a0p1_q0,200000,whole,float32,4,6,1.2809471891605273e-05,
LR_a0p1_q0,200000,whole,float32,5,6,1.6276478608420766e-05,
LR_a0p1_q0,200000,whole,float32,6,6,1.7608857212652865e-05,
LR_a0p1_q0,200000,whole,float32,7,6,2.0368997491989986e-05,
LR_a0p1_q0,200000,whole,float32,8,6,1.946413117437325e-05,
LR_a0p1_q0,200000,whole,float32,9,6,1.0136924789531252e-05,
LR_a0p1_q0,200000,centered,float64,0,6,3.0593194837516285e-14,0.041911560632959526
LR_a0p1_q0,200000,centered,float64,1,6,2.5443273581844616e-14,0.03289802425402407
LR_a0p1_q0,200000,centered,float64,2,6,4.7662750849278146e-14,0.02113180610660169
LR_a0p1_q0,200000,centered,float64,3,6,3.461399085521171e-14,0.026127119809159986
LR_a0p1_q0,200000,centered,float64,4,6,2.632476718780854e-14,0.042879840197610805
LR_a0p1_q0,200000,centered,float64,5,6,3.6318428971129195e-14,0.024359744463077534
LR_a0p1_q0,200000,centered,float64,6,6,5.171785226240853e-14,0.02325864753200256
LR_a0p1_q0,200000,centered,float64,7,6,4.466734492657005e-14,0.026972011805285512
LR_a0p1_q0,200000,centered,float64,8,6,3.814443307492669e-14,0.03763538669693393
LR_a0p1_q0,200000,centered,float64,9,6,2.1910485533722115e-14,0.05434023601030394
LR_a0p1_q0,200000,centered,float32,0,6,1.6081186181429832e-05,
LR_a0p1_q0,200000,centered,float32,1,6,1.2218820003932061e-05,
LR_a0p1_q0,200000,centered,float32,2,6,2.80457843669446e-05,
LR_a0p1_q0,200000,centered,float32,3,6,1.5396719171520692e-05,
LR_a0p1_q0,200000,centered,float32,4,6,1.3711105565695952e-05,
LR_a0p1_q0,200000,centered,float32,5,6,1.735894750069467e-05,
LR_a0p1_q0,200000,centered,float32,6,6,2.0459040124283767e-05,
LR_a0p1_q0,200000,centered,float32,7,6,2.1723041293127146e-05,
LR_a0p1_q0,200000,centered,float32,8,6,2.0379097007464e-05,
LR_a0p1_q0,200000,centered,float32,9,6,1.0515893126684341e-05,
LR_a0p1_q0,1000000,whole,float64,0,6,2.6063738497453024e-14,0.018568618597908898
LR_a0p1_q0,1000000,whole,float64,1,6,2.821285152403116e-14,0.004200861935986303
LR_a0p1_q0,1000000,whole,float64,2,6,2.387937620627163e-14,0.007196436086816307
LR_a0p1_q0,1000000,whole,float64,3,6,3.9967626103039166e-14,0.014106180943823434
LR_a0p1_q0,1000000,whole,float64,4,6,3.1492495498120494e-14,0.0044586862425002914
LR_a0p1_q0,1000000,whole,float64,5,6,2.602272850407479e-14,0.01773071191275423
LR_a0p1_q0,1000000,whole,float64,6,6,2.8139474468442803e-14,0.010370461785378714
LR_a0p1_q0,1000000,whole,float64,7,6,2.4432167655892607e-14,0.027180709771352073
LR_a0p1_q0,1000000,whole,float64,8,6,3.092604596974853e-14,0.019422045961749172
LR_a0p1_q0,1000000,whole,float64,9,6,2.5922400649600628e-14,0.022370741180170264
LR_a0p1_q0,1000000,whole,float32,0,6,1.2541576865093605e-05,
LR_a0p1_q0,1000000,whole,float32,1,6,2.834922357242645e-05,
LR_a0p1_q0,1000000,whole,float32,2,6,1.2022489977810452e-05,
LR_a0p1_q0,1000000,whole,float32,3,6,2.712026524968234e-05,
LR_a0p1_q0,1000000,whole,float32,4,6,1.8204457783104207e-05,
LR_a0p1_q0,1000000,whole,float32,5,6,1.534846375290625e-05,
LR_a0p1_q0,1000000,whole,float32,6,6,3.357519871792549e-05,
LR_a0p1_q0,1000000,whole,float32,7,6,1.2404291862053573e-05,
LR_a0p1_q0,1000000,whole,float32,8,6,1.5751014948276048e-05,
LR_a0p1_q0,1000000,whole,float32,9,6,1.2607769075237468e-05,
LR_a0p1_q0,1000000,centered,float64,0,6,2.6992743111657334e-14,0.024877331385409564
LR_a0p1_q0,1000000,centered,float64,1,6,2.869608227598179e-14,0.008600279052370279
LR_a0p1_q0,1000000,centered,float64,2,6,2.389711730702119e-14,0.011310149616918506
LR_a0p1_q0,1000000,centered,float64,3,6,4.408843912639442e-14,0.03032914154802662
LR_a0p1_q0,1000000,centered,float64,4,6,3.3400760266439996e-14,0.009631701452797825
LR_a0p1_q0,1000000,centered,float64,5,6,2.4951405531726244e-14,0.018426530584508032
LR_a0p1_q0,1000000,centered,float64,6,6,2.6926124289246408e-14,0.011896751213417647
