arm,age,coordinate,metric,mean,lo,hi,label,n
LR_a0p1_q0,200000,whole,unit_flip_fraction_B_RMS_above_A,0.15,0.0867054975656291,0.21329450243437087,POSITIVE,10
LR_a0p1_q0,200000,whole,B_energy_share_units_with_RMS_increase,0.06437733112666194,0.03757529401178077,0.0911793682415431,POSITIVE,10
LR_a0p1_q0,200000,whole,mean_projection_RMS_B_over_A,0.951105321402433,0.9497644818109677,0.9524461609938982,POSITIVE,10
LR_a0p1_q0,200000,whole,mean_projection_change_RMS,0.01818008557014667,0.015716686055742463,0.02064348508455088,POSITIVE,10
LR_a0p1_q0,200000,whole,B_minus_A_sign_positive_fraction,0.5494666666666665,0.513877808157542,0.5850555251757911,POSITIVE,10
LR_a0p1_q0,200000,whole,B_norm2_change,3.8892994557268947,1.9743052728277832,5.804293638626007,POSITIVE,10
LR_a0p1_q0,200000,whole,B_positive_source_event_fraction,0.1635706,0.12149302053658778,0.20564817946341224,POSITIVE,10
LR_a0p1_q0,200000,whole,control_norm2_change,0.4607594082851258,-0.032801990544768345,0.95432080711502,UNRESOLVED,10
LR_a0p1_q0,200000,whole,control_positive_source_event_fraction,0.1651038,0.12109179668543132,0.20911580331456867,POSITIVE,10
LR_a0p1_q0,200000,centered,unit_flip_fraction_B_RMS_above_A,0.1288,0.08144679084446471,0.17615320915553528,POSITIVE,10
LR_a0p1_q0,200000,centered,B_energy_share_units_with_RMS_increase,0.11919597098735128,0.07130146296570791,0.16709047900899465,POSITIVE,10
LR_a0p1_q0,200000,centered,mean_projection_RMS_B_over_A,0.8715615083648046,0.8689404408591102,0.8741825758704991,POSITIVE,10
LR_a0p1_q0,200000,centered,mean_projection_change_RMS,0.018237186294159637,0.015565332696217382,0.020909039892101893,POSITIVE,10
LR_a0p1_q0,200000,centered,B_minus_A_sign_positive_fraction,0.5487333333333334,0.5073158166119536,0.5901508500547132,POSITIVE,10
LR_a0p1_q0,200000,centered,B_norm2_change,3.1009846656105418,1.093811353503289,5.108157977717795,POSITIVE,10
LR_a0p1_q0,200000,centered,B_positive_source_event_fraction,0.1635706,0.12149302053658778,0.20564817946341224,POSITIVE,10
LR_a0p1_q0,200000,centered,control_norm2_change,0.4567035019370073,-0.015790952011745685,0.9291979558857604,UNRESOLVED,10
LR_a0p1_q0,200000,centered,control_positive_source_event_fraction,0.1651038,0.12109179668543132,0.20911580331456867,POSITIVE,10
LR_a0p1_q0,1000000,whole,unit_flip_fraction_B_RMS_above_A,0.24673333333333333,0.18483917081292123,0.30862749585374544,POSITIVE,10
LR_a0p1_q0,1000000,whole,B_energy_share_units_with_RMS_increase,0.101406466646547,0.05836891232905255,0.14444402096404144,POSITIVE,10
LR_a0p1_q0,1000000,whole,mean_projection_RMS_B_over_A,0.9537394936338746,0.9506471487029475,0.9568318385648016,POSITIVE,10
LR_a0p1_q0,1000000,whole,mean_projection_change_RMS,0.022312979101812423,0.019230617095759833,0.025395341107865014,POSITIVE,10
LR_a0p1_q0,1000000,whole,B_minus_A_sign_positive_fraction,0.4591333333333334,0.41885438594126756,0.4994122807253992,POSITIVE,10
LR_a0p1_q0,1000000,whole,B_norm2_change,8.808705486670032,-1.2889824222522321,18.906393395592296,UNRESOLVED,10
LR_a0p1_q0,1000000,whole,B_positive_source_event_fraction,0.037240999999999996,0.030300185599675695,0.0441818144003243,POSITIVE,10
LR_a0p1_q0,1000000,whole,control_norm2_change,3.4011970623156755,1.2671630708991426,5.5352310537322085,POSITIVE,10
LR_a0p1_q0,1000000,whole,control_positive_source_event_fraction,0.0374712,0.029466461840846586,0.04547593815915342,POSITIVE,10
LR_a0p1_q0,1000000,centered,unit_flip_fraction_B_RMS_above_A,0.2392,0.19010182754635158,0.2882981724536484,POSITIVE,10
LR_a0p1_q0,1000000,centered,B_energy_share_units_with_RMS_increase,0.18714050418572642,0.12583087336431137,0.24845013500714147,POSITIVE,10
LR_a0p1_q0,1000000,centered,mean_projection_RMS_B_over_A,0.8752340301507144,0.8707059665312261,0.8797620937702028,POSITIVE,10
LR_a0p1_q0,1000000,centered,mean_projection_change_RMS,0.022579959814887324,0.019729217766553276,0.025430701863221373,POSITIVE,10
LR_a0p1_q0,1000000,centered,B_minus_A_sign_positive_fraction,0.4570666666666667,0.4211383057220665,0.49299502761126685,POSITIVE,10
LR_a0p1_q0,1000000,centered,B_norm2_change,8.415840878614159,-2.081563199667624,18.91324495689594,UNRESOLVED,10
LR_a0p1_q0,1000000,centered,B_positive_source_event_fraction,0.037240999999999996,0.030300185599675695,0.0441818144003243,POSITIVE,10
LR_a0p1_q0,1000000,centered,control_norm2_change,3.630107052876066,1.2779304898014825,5.982283615950649,POSITIVE,10
LR_a0p1_q0,1000000,centered,control_positive_source_event_fraction,0.0374712,0.029466461840846586,0.04547593815915342,POSITIVE,10
LR_a0p1_q0,5000000,whole,unit_flip_fraction_B_RMS_above_A,0.13586666666666666,0.04984362763847475,0.22188970569485858,POSITIVE,10
LR_a0p1_q0,5000000,whole,B_energy_share_units_with_RMS_increase,0.027472798108946907,0.01129487000324942,0.04365072621464439,POSITIVE,10
LR_a0p1_q0,5000000,whole,mean_projection_RMS_B_over_A,0.9491352956042108,0.9480588509673022,0.9502117402411194,POSITIVE,10
LR_a0p1_q0,5000000,whole,mean_projection_change_RMS,0.02346358094196042,0.021643844624394382,0.02528331725952646,POSITIVE,10
LR_a0p1_q0,5000000,whole,B_minus_A_sign_positive_fraction,0.44733333333333336,0.3859102748999972,0.5087563917666695,POSITIVE,10
LR_a0p1_q0,5000000,whole,B_norm2_change,1.235117527723302,-0.6974020915618495,3.1676371470084534,UNRESOLVED,10
LR_a0p1_q0,5000000,whole,B_positive_source_event_fraction,0.04146949999999999,0.031713370949520904,0.05122562905047908,POSITIVE,10
LR_a0p1_q0,5000000,whole,control_norm2_change,0.24208532260713786,-0.2803447922456458,0.7645154374599216,UNRESOLVED,10
LR_a0p1_q0,5000000,whole,control_positive_source_event_fraction,0.0408435,0.030897997851796994,0.050789002148203005,POSITIVE,10
LR_a0p1_q0,5000000,centered,unit_flip_fraction_B_RMS_above_A,0.11253333333333333,0.05495663963890323,0.17011002702776343,POSITIVE,10
