seed,condition,layer,variant,f,f_lower,f_upper,r,p,p_bias,mu_norm,trSigma,effective_rank,gaussian_proxy,positive_units,negative_units,all_zero_units,uncertain_values
20,raw,1,main,0.22,0.22,0.22,1.9264805377800323,0.22721514745688376,0.22754959026687482,26.351507278675108,187.10339637376902,9.644271423469531,0.2,11,11,0,0
20,raw,1,bias0,0.24,0.24,0.24,1.9264805377800323,0.22721514745688376,0.22754959026687482,26.351507278675108,187.10339637376902,9.644271423469531,0.21,13,11,0,0
20,raw,2,main,0.3,0.3,0.3,1.941679735755654,0.23087380221016074,0.2892201498167071,1.896732449158744,0.9542385378789006,8.065618144568889,0.32,15,15,0,0
20,raw,2,bias0,0.24,0.24,0.24,1.945368376499123,0.23175929305234308,0.28952859397741904,1.907787786805539,0.9617372220285967,8.104981182986077,0.21,11,13,0,0
20,std,1,main,0.0,0.0,0.0,0.13248461324171104,5.042157320191128e-69,9.22648931179089e-68,7.225530650453132,2974.4632722529054,9.723973901108499,0.0,0,0,0,0
20,std,1,bias0,0.0,0.0,0.0,0.13248461324171104,5.042157320191128e-69,9.22648931179089e-68,7.225530650453132,2974.4632722529054,9.723973901108499,0.0,0,0,0,0
20,std,2,main,0.02,0.02,0.02,0.6922505971370957,0.0007778536283107485,0.0019724617070146794,2.360544767004761,11.627806717642555,14.220077358190636,0.0,0,2,0,0
20,std,2,bias0,0.01,0.01,0.01,0.6930346822935703,0.0007886286239461263,0.0019866315687633415,2.36748096723567,11.669790365714082,14.216262432142868,0.0,0,1,0,0
20,C,1,main,0.0,0.0,0.0,9.727105684833925e-17,0.0,3.3037871045242447e-222,1.33052938364857e-15,187.10339637376902,9.644271423469531,0.0,0,0,0,0
20,C,1,bias0,0.0,0.0,0.0,9.727105684833925e-17,0.0,3.3037871045242447e-222,1.33052938364857e-15,187.10339637376902,9.644271423469531,0.0,0,0,0,0
20,C,2,main,0.1,0.1,0.1,0.6737381381067866,0.0005546023154771648,0.08854557362927523,0.5670181073286583,0.7082907855914793,14.75639124832206,0.08,2,8,0,0
20,C,2,bias0,0.01,0.01,0.01,0.6758341314216578,0.000577029904225063,0.0870806288712011,0.572849909282179,0.7184581162531899,14.759873605462412,0.0,0,1,0,0
20,gamma025,1,main,0.0,0.0,0.0,0.48162013444500806,1.363585727840993e-06,1.7921655365571307e-06,6.587876819668777,187.10339637376902,9.644271423469531,0.0,0,0,0,0
20,gamma025,1,bias0,0.0,0.0,0.0,0.48162013444500806,1.363585727840993e-06,1.7921655365571307e-06,6.587876819668777,187.10339637376902,9.644271423469531,0.0,0,0,0,0
20,gamma025,2,main,0.13,0.13,0.13,0.8144882617389722,0.00428734187993564,0.09997209555167656,0.7045107493375253,0.7481791278193305,11.185805107134595,0.1,5,8,0,0
20,gamma025,2,bias0,0.01,0.01,0.01,0.8185854014129414,0.00448438336120985,0.09899080541206338,0.7129404605781393,0.7585400820604705,11.205012166753944,0.0,0,1,0,0
20,gamma050,1,main,0.0,0.0,0.0,0.9632402688900162,0.015729710926847322,0.016031342375681764,13.175753639337556,187.10339637376902,9.644271423469531,0.0,0,0,0,0
20,gamma050,1,bias0,0.0,0.0,0.0,0.9632402688900162,0.015729710926847322,0.016031342375681764,13.175753639337556,187.10339637376902,9.644271423469531,0.0,0,0,0,0
20,gamma050,2,main,0.18,0.18,0.18,1.1361974625827078,0.040610435300320054,0.1403723111305253,1.0378190705120933,0.8343257808241176,8.773956420724843,0.16,8,10,0,0
20,gamma050,2,bias0,0.03,0.03,0.03,1.1400397266280626,0.041292102372566114,0.13994394916630645,1.0475168920126963,0.8442714422808886,8.804002840257796,0.0,1,2,0,0
20,gamma075,1,main,0.09,0.09,0.09,1.4448604033350243,0.1073793297273995,0.10782909390291376,19.763630459006333,187.10339637376902,9.644271423469531,0.04,2,7,0,0
20,gamma075,1,bias0,0.08,0.08,0.08,1.4448604033350243,0.1073793297273995,0.10782909390291376,19.763630459006333,187.10339637376902,9.644271423469531,0.05,2,6,0,0
20,gamma075,2,main,0.23,0.23,0.23,1.523606546176067,0.12679354535639314,0.20863278991488848,1.4514171652195542,0.9074837354683564,8.140360156708292,0.2,11,12,0,0
20,gamma075,2,bias0,0.12,0.12,0.12,1.5271547217318808,0.12767824937548022,0.20864240631090647,1.4618987571909838,0.9163650464411129,8.177195262064812,0.07,5,7,0,0
20,gamma150,1,main,0.47,0.47,0.47,2.8897208066700486,0.4207951926634569,0.42094380002363463,39.527260918012665,187.10339637376902,9.644271423469531,0.51,21,26,0,0
20,gamma150,1,bias0,0.47,0.47,0.47,2.8897208066700486,0.4207951926634569,0.42094380002363463,39.527260918012665,187.10339637376902,9.644271423469531,0.49,22,25,0,0
20,gamma150,2,main,0.45,0.45,0.45,2.81332899514898,0.4082925087356329,0.4358215843219358,2.8173062759379883,1.002829453783501,8.149530131014073,0.43,21,24,0,0
20,gamma150,2,bias0,0.46,0.46,0.46,2.819014552096949,0.4092385084877425,0.4365313034465156,2.8292612139475097,1.007282888498756,8.182838211203318,0.44,24,22,0,0
20,gamma200,1,main,0.63,0.63,0.63,3.8529610755600645,0.5459887038532568,0.5460609566426265,52.703014557350215,187.10339637376902,9.644271423469531,0.63,33,30,0,0
20,gamma200,1,bias0,0.63,0.63,0.63,3.8529610755600645,0.5459887038532568,0.5460609566426265,52.703014557350215,187.10339637376902,9.644271423469531,0.65,33,30,0,0
20,gamma200,2,main,0.53,0.53,0.53,3.707163602126722,0.5303133801867249,0.5442885605962033,3.7501368613814297,1.023318275562589,8.195461029046907,0.54,25,28,0,0
20,gamma200,2,bias0,0.52,0.52,0.52,3.7150996900485413,0.5311921616342675,0.5450606705409476,3.762581687113761,1.0257249766259762,8.218183696962972,0.52,26,26,0,0
21,raw,1,main,0.24,0.24,0.24,1.92156601479913,0.22602877897071888,0.22635785791645918,26.549875794489353,190.9037103064227,9.074136130037036,0.2,14,10,0,0
21,raw,1,bias0,0.23,0.23,0.23,1.92156601479913,0.22602877897071888,0.22635785791645918,26.549875794489353,190.9037103064227,9.074136130037036,0.22,13,10,0,0
21,raw,2,main,0.34,0.34,0.34,2.0606787925963794,0.2589302785428419,0.3028888807134838,2.2321318932378067,1.1733271023887637,6.644597048866484,0.32,16,18,0,0
21,raw,2,bias0,0.28,0.28,0.28,2.065388883493992,0.2600179947351532,0.3039974123528909,2.2320055583114966,1.1678494839525557,6.585082724627152,0.23,18,10,0,0
21,std,1,main,0.0,0.0,0.0,0.12636364646378986,1.0933207048991652e-75,3.3964629237821174e-74,6.96164981614398,3035.149221175052,9.143425898641036,0.0,0,0,0,0
21,std,1,bias0,0.0,0.0,0.0,0.12636364646378986,1.0933207048991652e-75,3.3964629237821174e-74,6.96164981614398,3035.149221175052,9.143425898641036,0.0,0,0,0,0
21,std,2,main,0.01,0.01,0.01,0.6966717747827004,0.0008401072148500747,0.0019841482170400637,2.4554305956716833,12.422210795125508,12.209105185147575,0.0,1,0,0,0
21,std,2,bias0,0.0,0.0,0.0,0.6965149449032523,0.0008378360556740207,0.0019813638072189127,2.4538719788837424,12.412033068982046,12.119826200987694,0.0,0,0,0,0
21,C,1,main,0.0,0.0,0.0,9.939647459109231e-17,0.0,1.1184307195801519e-226,1.3733403039392748e-15,190.90371030642274,9.074136130037036,0.0,0,0,0,0
21,C,1,bias0,0.0,0.0,0.0,9.939647459109231e-17,0.0,1.1184307195801519e-226,1.3733403039392748e-15,190.90371030642274,9.074136130037036,0.0,0,0,0,0
21,C,2,main,0.15,0.15,0.15,0.675749653798646,0.0005761126156789802,0.08115082382866842,0.5875872733949519,0.756089310060755,13.003098193108507,0.14,7,8,0,0
21,C,2,bias0,0.0,0.0,0.0,0.6696956136719501,0.0005132597372560109,0.08102828322714746,0.5808512055077288,0.7522719719031452,12.636751397624817,0.0,0,0,0,0
21,gamma025,1,main,0.0,0.0,0.0,0.48039150369978245,1.2814576124638171e-06,1.6797660629653231e-06,6.637468948622338,190.90371030642274,9.074136130037036,0.0,0,0,0,0
21,gamma025,1,bias0,0.0,0.0,0.0,0.48039150369978245,1.2814576124638171e-06,1.6797660629653231e-06,6.637468948622338,190.90371030642274,9.074136130037036,0.0,0,0,0,0
21,gamma025,2,main,0.18,0.18,0.18,0.8511366213806729,0.006271747618990908,0.0872658788024595,0.801976012748469,0.8878185260372097,9.06229259573653,0.14,8,10,0,0
21,gamma025,2,bias0,0.0,0.0,0.0,0.8470991705049723,0.006028042356876378,0.08707894640400689,0.7965228144282671,0.8841540207887666,8.874184304730182,0.0,0,0,0,0
21,gamma050,1,main,0.0,0.0,0.0,0.9607830073995649,0.015464932274899945,0.015758411325001012,13.274937897244676,190.90371030642274,9.074136130037036,0.0,0,0,0,0
21,gamma050,1,bias0,0.0,0.0,0.0,0.9607830073995649,0.015464932274899945,0.015758411325001012,13.274937897244676,190.90371030642274,9.074136130037036,0.0,0,0,0,0
21,gamma050,2,main,0.21,0.21,0.21,1.1919228038794623,0.050966643326312046,0.13252964798950848,1.2094723568013754,1.0296642539745915,7.294051657380217,0.18,10,11,0,0
21,gamma050,2,bias0,0.03,0.03,0.03,1.1911252517481152,0.050811611678129816,0.13268174776940403,1.2063177228375723,1.0256721263147057,7.181913874024702,0.0,2,1,0,0
21,gamma075,1,main,0.08,0.08,0.08,1.4411745110993484,0.10648345345331096,0.10692472133953056,19.91240684586703,190.90371030642274,9.074136130037036,0.06,5,3,0,0
21,gamma075,1,bias0,0.08,0.08,0.08,1.4411745110993484,0.10648345345331096,0.10692472133953056,19.91240684586703,190.90371030642274,9.074136130037036,0.04,4,4,0,0
21,gamma075,2,main,0.25,0.25,0.25,1.608953036293916,0.14821175900450093,0.21237029675601404,1.7043823039693886,1.1221406560732579,6.7781921342141604,0.24,13,12,0,0
21,gamma075,2,bias0,0.14,0.14,0.14,1.6112461548600572,0.1487898851584977,0.21310987925718708,1.703101479447278,1.1172677538916822,6.699476169040988,0.07,8,6,0,0
21,gamma150,1,main,0.42,0.42,0.42,2.8823490221986967,0.41960807700870356,0.4197546039387855,39.82481369173406,190.90371030642274,9.074136130037036,0.42,27,15,0,0
21,gamma150,1,bias0,0.42,0.42,0.42,2.8823490221986967,0.41960807700870356,0.4197546039387855,39.82481369173406,190.90371030642274,9.074136130037036,0.43,27,15,0,0
21,gamma150,2,main,0.51,0.51,0.51,3.0031558117295853,0.4385557097218224,0.4582901684941987,3.317122394589151,1.2200208770169567,6.6150066973497825,0.49,28,23,0,0
21,gamma150,2,bias0,0.45,0.45,0.45,3.0099608635193422,0.4395915690852633,0.4592981097775668,3.317909724307614,1.2150871638602603,6.575983786332427,0.46,30,15,0,0
21,gamma200,1,main,0.53,0.53,0.53,3.84313202959826,0.5449623857875551,0.5450336786474098,53.09975158897871,190.90371030642274,9.074136130037036,0.53,33,20,0,0
21,gamma200,1,bias0,0.53,0.53,0.53,3.84313202959826,0.5449623857875551,0.5450336786474098,53.09975158897871,190.90371030642274,9.074136130037036,0.54,34,19,0,0
21,gamma200,2,main,0.62,0.62,0.62,3.959699683017972,0.556863828377212,0.5666592157455643,4.41287798873258,1.2419935546202194,6.622821475203036,0.62,36,26,0,0
21,gamma200,2,bias0,0.54,0.54,0.54,3.966439629395753,0.5575343056549354,0.567314141636313,4.41392703071641,1.2383648074465026,6.594512076852311,0.57,33,21,0,0
22,raw,1,main,0.21,0.21,0.21,1.88198681000492,0.21641665958703157,0.2167532410734235,26.117046932720577,192.5816876880249,8.878657636112775,0.18,16,5,0,0
22,raw,1,bias0,0.2,0.2,0.2,1.88198681000492,0.21641665958703157,0.2167532410734235,26.117046932720577,192.5816876880249,8.878657636112775,0.17,15,5,0,0
22,raw,2,main,0.34,0.34,0.34,2.0655195127390145,0.2600481355611483,0.3076141204406383,2.138495479126823,1.071909373794948,7.453119084743155,0.31,16,18,0,0
22,raw,2,bias0,0.28,0.28,0.28,2.0601277410527823,0.2588029043652557,0.3066204196522331,2.1318544750575175,1.0708454865487071,7.448057943722506,0.22,12,16,0,0
22,std,1,main,0.0,0.0,0.0,0.10604333408433539,1.1347380165788044e-106,1.0211133987600044e-103,5.8693742324426745,3063.4927334798585,8.945233730163206,0.0,0,0,0,0
22,std,1,bias0,0.0,0.0,0.0,0.10604333408433539,1.1347380165788044e-106,1.0211133987600044e-103,5.8693742324426745,3063.4927334798585,8.945233730163206,0.0,0,0,0,0
22,std,2,main,0.01,0.01,0.01,0.6730377603294585,0.0005472607623319706,0.0015827779668885337,2.2520844794821118,11.196711646577509,13.629180517839705,0.0,0,1,0,0
22,std,2,bias0,0.01,0.01,0.01,0.6726573822361386,0.0005433052472958033,0.0015748537326453489,2.25068405282021,11.19544193620123,13.645466692160957,0.0,0,1,0,0
22,C,1,main,0.0,0.0,0.0,9.377667243558802e-17,0.0,1.1879288050729359e-228,1.3013745591491225e-15,192.5816876880249,8.878657636112775,0.0,0,0,0,0
22,C,1,bias0,0.0,0.0,0.0,9.377667243558802e-17,0.0,1.1879288050729359e-228,1.3013745591491225e-15,192.5816876880249,8.878657636112775,0.0,0,0,0,0
22,C,2,main,0.14,0.14,0.14,0.6712436659109661,0.0005287982294403342,0.08820677567672726,0.5650412717600423,0.708598029524483,13.610581569983218,0.11,5,9,0,0
22,C,2,bias0,0.01,0.01,0.01,0.6680170428411378,0.0004968148753753219,0.0879559091408883,0.5620496235746305,0.7079037898599816,13.67083761015603,0.0,0,1,0,0
22,gamma025,1,main,0.0,0.0,0.0,0.47049670250122994,7.635875829370699e-07,1.021448612970438e-06,6.529261733180143,192.5816876880249,8.878657636112775,0.0,0,0,0,0
22,gamma025,1,bias0,0.0,0.0,0.0,0.47049670250122994,7.635875829370699e-07,1.021448612970438e-06,6.529261733180143,192.5816876880249,8.878657636112775,0.0,0,0,0,0
22,gamma025,2,main,0.15,0.15,0.15,0.845013582458717,0.005904645719533779,0.09321414036260445,0.7693251307344899,0.8288815240163552,9.95394680095686,0.13,5,10,0,0
22,gamma025,2,bias0,0.01,0.01,0.01,0.8392056706198088,0.005569881190748192,0.09259467731868867,0.7632425639636775,0.8271577515958746,10.012408171960663,0.0,0,1,0,0
22,gamma050,1,main,0.0,0.0,0.0,0.94099340500246,0.013427479541629666,0.013701006059439259,13.058523466360288,192.5816876880249,8.878657636112775,0.0,0,0,0,0
22,gamma050,1,bias0,0.0,0.0,0.0,0.94099340500246,0.013427479541629666,0.013701006059439259,13.058523466360288,192.5816876880249,8.878657636112775,0.0,0,0,0,0
22,gamma050,2,main,0.18,0.18,0.18,1.1895711052633846,0.050510051117602615,0.13865380693481882,1.1592976370546062,0.9497495317438347,8.16132716979835,0.16,6,12,0,0
22,gamma050,2,bias0,0.03,0.03,0.03,1.1832259107245346,0.04928633705928112,0.13756894778767167,1.1522911165885754,0.9483946265467202,8.180116026716199,0.01,0,3,0,0
22,gamma075,1,main,0.02,0.02,0.02,1.4114901075036903,0.09932182826876879,0.09976237980501099,19.587785199540438,192.5816876880249,8.878657636112775,0.01,2,0,0,0
22,gamma075,1,bias0,0.02,0.02,0.02,1.4114901075036903,0.09932182826876879,0.09976237980501099,19.587785199540438,192.5816876880249,8.878657636112775,0.01,2,0,0,0
22,gamma075,2,main,0.25,0.25,0.25,1.6101073407002036,0.14850276571844576,0.217884579945625,1.6330359348639518,1.028683616191192,7.596800891943791,0.21,10,15,0,0
22,gamma075,2,bias0,0.11,0.11,0.11,1.6042157858660537,0.14701767615094125,0.21673087215044945,1.6261430456435553,1.0275238737771906,7.596261319119043,0.07,3,8,0,0
22,gamma150,1,main,0.46,0.46,0.46,2.8229802150073806,0.40989685292822875,0.4100493345188188,39.175570399080875,192.5816876880249,8.878657636112775,0.47,30,16,0,0
22,gamma150,1,bias0,0.47,0.47,0.47,2.8229802150073806,0.40989685292822875,0.4100493345188188,39.175570399080875,192.5816876880249,8.878657636112775,0.47,31,16,0,0
22,gamma150,2,main,0.53,0.53,0.53,3.01397637407787,0.44020126743343324,0.46158152536916186,3.1771102672501543,1.1111812097411333,7.452430980214559,0.53,23,30,0,0
22,gamma150,2,bias0,0.54,0.54,0.54,3.0094462518796377,0.4395133501010764,0.4609876742768763,3.170820625217768,1.110120611765792,7.45004534641467,0.52,22,32,0,0
22,gamma200,1,main,0.59,0.59,0.59,3.7639736200098395,0.5365381807958023,0.536612821715857,52.234093865441146,192.5816876880249,8.878657636112775,0.57,36,23,0,0
22,gamma200,1,bias0,0.58,0.58,0.58,3.7639736200098395,0.5365381807958023,0.536612821715857,52.234093865441146,192.5816876880249,8.878657636112775,0.59,36,22,0,0
22,gamma200,2,main,0.6,0.6,0.6,3.977734521056113,0.5586536798144112,0.5692725563927429,4.225654049325009,1.1285382643549409,7.48508806348154,0.61,27,33,0,0
22,gamma200,2,bias0,0.61,0.61,0.61,3.974008173317213,0.5582849649034094,0.5689400857818656,4.219562224796206,1.127398050295905,7.482773031000409,0.6,24,37,0,0
23,raw,1,main,0.28,0.28,0.28,1.8845189447477666,0.21703458299919953,0.21737743207275845,25.88623041502247,188.6846669864966,8.943180629487852,0.27,14,14,0,0
23,raw,1,bias0,0.29,0.29,0.29,1.8845189447477666,0.21703458299919953,0.21737743207275845,25.88623041502247,188.6846669864966,8.943180629487852,0.26,13,16,0,0
23,raw,2,main,0.35,0.35,0.35,2.1568049016473196,0.28076233717798804,0.329004420143037,2.1271177733275284,0.972660656026352,6.215453535974928,0.37,20,15,0,0
23,raw,2,bias0,0.28,0.28,0.28,2.1292069107686946,0.2745743307285399,0.323986877995957,2.098189707466551,0.9710772290605791,6.217876109445745,0.25,18,10,0,0
23,std,1,main,0.0,0.0,0.0,0.10683020019313953,3.907527761782876e-105,3.312829113876242e-102,5.851417231332344,3000.0883748762467,9.04481876902925,0.0,0,0,0,0
23,std,1,bias0,0.0,0.0,0.0,0.10683020019313953,3.907527761782876e-105,3.312829113876242e-102,5.851417231332344,3000.0883748762467,9.04481876902925,0.0,0,0,0,0
23,std,2,main,0.01,0.01,0.01,0.6836885958102771,0.00066737542375702,0.0017294976835294294,2.3607239977679693,11.922676440475527,11.603192928136524,0.0,0,1,0,0
23,std,2,bias0,0.0,0.0,0.0,0.6825350315898543,0.0006534661949504333,0.0017071796446987816,2.353409614998294,11.888995246356039,11.64428547190892,0.0,0,0,0,0
23,C,1,main,0.0,0.0,0.0,9.137356691587462e-17,0.0,4.559464236960057e-224,1.2551305008734683e-15,188.68466698649658,8.943180629487852,0.0,0,0,0,0
23,C,1,bias0,0.0,0.0,0.0,9.137356691587462e-17,0.0,4.559464236960057e-224,1.2551305008734683e-15,188.68466698649658,8.943180629487852,0.0,0,0,0,0
