arm,seed,task,mean,sdB,sdW,u_pos,p_pos_gauss,q90_zbar,top2W_mean,top2W_q90,r_B,r_W
LR_none,0,20,-1.7325007572845357,1.6632052626458953,1.5967944169095345,0.16,0.20958941417992338,0.40584710484484354,1.461088076534533,4.535987802318273,1.0416638259840534,1.084986732755272
LR_none,0,21,-1.856966053111307,1.5898097544894623,1.6656847235641985,0.14,0.20426685525660254,0.3976468789499438,1.47440339401709,4.2431481767368435,1.1680429358716804,1.1148364554474683
LR_none,0,22,-1.9276103493189003,1.678509112793666,1.6976855013803802,0.14,0.2006669230949813,0.5593384268453339,1.4677606534418595,4.350235981246607,1.1484062461303155,1.1354343002585399
LR_none,0,23,-1.928739005164037,1.7753319092785351,1.7191884651483331,0.16,0.21024830150327867,0.5224090712678197,1.5096379251326297,4.698978812358923,1.0864103749184815,1.1218892193984233
LR_none,0,24,-1.933294152951714,1.5598502859849586,1.7420084792929535,0.12,0.1973266769941883,0.28979314284380436,1.5507228056341922,4.447172850971398,1.2394100705190092,1.1098075445283708
LR_none,0,25,-2.0149359259062147,1.730148154942249,1.7504886596315348,0.12,0.20008378137179567,0.33534810707444285,1.486041393356854,4.19901144212337,1.1646031122539744,1.1510705395431378
LR_none,0,26,-2.0302833195672267,1.818000810639693,1.772750444221562,0.15,0.20460354302666672,0.49607534942072695,1.515217568875897,4.480957057293697,1.1167670045498157,1.145273056444643
LR_none,0,27,-2.018221561901215,1.8284221172574424,1.8180992051703015,0.13,0.20536514175631823,0.5472746999821484,1.6179768484393877,4.678425189733091,1.1038050474517689,1.1100722975741952
LR_none,0,28,-2.225386425497108,1.792670328082445,1.8491372146178948,0.1,0.18951197838817394,-0.08984092915213808,1.4728880037386818,4.173948052722637,1.2413807439304938,1.2034728455546018
LR_none,0,29,-2.1429087931377118,1.9897923541306344,1.8735703646772128,0.17,0.21277568266317406,0.6576276827779043,1.6042319362167143,4.213656993899214,1.0769509635963879,1.143756772384101
LR_none,0,30,-2.3326299881481334,1.9017659992410996,1.9139506553772825,0.14,0.18871311618830533,0.2271411739318377,1.4952713226064314,4.0021327892996945,1.2265599390666204,1.2187513725051182
LR_none,0,31,-2.1961968282803377,1.798406465327079,1.8596576906147109,0.13,0.19123351476502562,0.26966071047975726,1.5231185529490838,4.501901054563078,1.221190465349507,1.1809683251729965
LR_none,0,32,-2.4711366984568395,1.9288954787709045,1.8605927437659084,0.11,0.17026644330308763,0.1918514960141188,1.2500487890749783,4.329297887844704,1.2811148792942644,1.3281448649827408
LR_none,0,33,-2.3041589168556755,1.9496915730542823,1.9007789296945667,0.15,0.19878071476712417,0.6834912994715474,1.497398942533458,4.7106340257786,1.1818068809961073,1.2122182547688107
LR_none,0,34,-2.4256219855026755,2.0242921336415285,1.9599474908053418,0.14,0.18348692803079591,0.4534900546994382,1.494272996108008,4.868995911189754,1.1982568845629948,1.2375953931837165
LR_none,0,35,-2.5167899443400628,1.9284872737472636,1.9652631466287969,0.12,0.172124337893316,0.02558563439341029,1.4137363489175316,4.131328770506632,1.3050591407065197,1.2806376330097842
