arm,iv,u_pos_inv_t20,u_pos_inv_t40,r_t20,r_t25,r_t40,p_cur_t20,p_cur_t21,p_cur_t40,z_t20,z_t40,s_t20,s_t40,u_pos_inv_t20_seeds,r_t40_seeds,seed,task,restoration,dz_needed_level,dz_realised
LR_none,k0.7,0.06,0.05,1.8827647608364655,1.677966349545254,1.6778052822308054,0.11708984375,0.197421875,0.1776953125,-1.8314665544548012,-2.3736899364684656,0.9727537887638847,1.4157668736144482,0.110;0.060;0.060,1.61;1.69;1.68,,,,,
LR_none,k1.0,0.06,0.05,1.545901689255153,1.5810855232613397,1.6478553555688433,0.154921875,0.19103515625,0.164765625,-1.8337053943866517,-2.642326783150655,1.1861720619958496,1.6301234813421857,0.110;0.060;0.060,1.59;1.66;1.65,,,,,
LR_none,k1.4,0.06,0.08,1.2169475464176718,1.4504388265963788,1.4954990511796948,0.2029296875,0.1928125,0.19,-1.8366905140677687,-2.874135009155024,1.5092602137819615,1.921856792144281,0.110;0.050;0.060,1.41;1.61;1.50,,,,,
LR_none,bplus,0.12,0.05,1.245901687593642,1.46364170004682,1.594414730366844,0.208515625,0.21689453125,0.17296875,-1.477853773817059,-2.579046549388791,1.1861720619958496,1.6908080767580593,0.140;0.090;0.120,1.47;1.59;1.60,,,,,
LR_none,bminus,0.05,0.03,1.845901692449668,1.7329922753340057,1.7162163384389804,0.1140625,0.17798828125,0.15193359375,-2.189557016774651,-2.721197084540266,1.1861720619958496,1.5855792906711204,0.090;0.050;0.050,1.66;1.76;1.72,,,,,
SNA_none,k0.7,0.1,0.06,1.1397485904068068,0.9534997174750794,0.8532829739321428,0.20962890625,0.2915234375,0.28486328125,-0.767600140147621,-0.860546340355183,0.6721918227837816,1.0085122598773637,0.160;0.060;0.100,0.76;0.85;0.94,,,,,
SNA_none,k1.0,0.1,0.1,0.8846277429273952,0.8878221046703931,0.8799883661695854,0.2609765625,0.28484375,0.281640625,-0.7805752403772537,-1.0189344354610146,0.882377075123359,1.157895347976285,0.190;0.070;0.100,0.85;0.88;0.93,,,,,
SNA_none,k1.4,0.1,0.06,0.6765454992657427,0.8378839688659733,0.8307918221111195,0.30505859375,0.27541015625,0.2803515625,-0.7978753695710621,-1.1424651056413924,1.1793373401153346,1.3839220705486295,0.200;0.070;0.100,0.78;0.83;0.92,,,,,
SNA_none,bplus,0.25,0.09,0.5846277590493014,0.860895032176601,0.9024765727444345,0.34416015625,0.293046875,0.2819140625,-0.5158621320658464,-1.0350561543703334,0.882377075123359,1.1469063969413897,0.270;0.170;0.250,0.70;0.90;0.91,,,,,
SNA_none,bminus,0.08,0.11,1.1846277276604196,0.9847285624826393,0.8348369581996413,0.190859375,0.27208984375,0.27537109375,-1.045288349443032,-0.9981690643922927,0.882377075123359,1.1956455144785199,0.100;0.050;0.080,0.81;0.83;1.03,,,,,
LR_none,k0.7,,,,,,,,,,,,,,,0,30,1.5159913035990489,0.2886478976430379,0.4375877026289938
LR_none,k0.7,,,,,,,,,,,,,,,0,40,0.9468444613990535,0.2886478976430379,0.27330466317779134
LR_none,k1.4,,,,,,,,,,,,,,,0,30,0.30075436547776296,-0.44397771265317953,-0.13352823525527557
LR_none,k1.4,,,,,,,,,,,,,,,0,40,0.41094081499014246,-0.44397771265317953,-0.1824485630751569
LR_none,k0.7,,,,,,,,,,,,,,,1,30,1.0426213284933763,0.36387998015362844,0.3793890283199195
LR_none,k0.7,,,,,,,,,,,,,,,1,40,0.7839231626799708,0.36387998015362844,0.2852539448779574
LR_none,k1.4,,,,,,,,,,,,,,,1,30,0.6136703869160852,-0.5407166254796478,-0.3318217807700554
LR_none,k1.4,,,,,,,,,,,,,,,1,40,0.8670829543826852,-0.5407166254796478,-0.468846169104729
LR_none,k0.7,,,,,,,,,,,,,,,2,30,1.0275072754565477,0.3299236691072122,0.3389989703529792
LR_none,k0.7,,,,,,,,,,,,,,,2,40,0.9353306809230609,0.3299236691072122,0.30858773007868345
LR_none,k1.4,,,,,,,,,,,,,,,2,30,0.7477138945585579,-0.4994625196244757,-0.37345506573444687
LR_none,k1.4,,,,,,,,,,,,,,,2,40,0.3702824000581847,-0.4994625196244757,-0.18494218050565903
SNA_none,k0.7,,,,,,,,,,,,,,,0,30,0.8316277481389688,0.16961083127239718,0.14105307367104225
SNA_none,k0.7,,,,,,,,,,,,,,,0,40,1.135349041453722,0.16961083127239718,0.1925674947052851
SNA_none,k1.4,,,,,,,,,,,,,,,0,30,0.5217542979888657,-0.24023514004694432,-0.12534371684745027
SNA_none,k1.4,,,,,,,,,,,,,,,0,40,0.4943422187505881,-0.24023514004694432,-0.11875837215266472
SNA_none,k0.7,,,,,,,,,,,,,,,1,30,-0.5360571914684525,0.20273045796281525,-0.10867511992065992
SNA_none,k0.7,,,,,,,,,,,,,,,1,40,0.7748563942591709,0.20273045796281525,0.15708699166357742
SNA_none,k1.4,,,,,,,,,,,,,,,1,30,1.0097031359268445,-0.28590309115199,-0.2886772477073427
SNA_none,k1.4,,,,,,,,,,,,,,,1,40,0.4260040186437953,-0.28590309115199,-0.12179586577343104
SNA_none,k0.7,,,,,,,,,,,,,,,2,30,0.731620344949921,0.1847943943512239,0.13519933854005417
SNA_none,k0.7,,,,,,,,,,,,,,,2,40,0.4984843249054991,0.1847943943512239,0.09211710891449043
SNA_none,k1.4,,,,,,,,,,,,,,,2,30,0.48242157121660023,-0.26269928895897265,-0.12673180373707127
SNA_none,k1.4,,,,,,,,,,,,,,,2,40,0.6805654830616739,-0.26269928895897265,-0.17878406849032147
