arm,quantity,t20,t100,ratio_100_over_20,sd_t40_100,cv_t40_100
LR_none,u_pos,0.13,0.1,0.8461538461538461,0.021587120290336423,0.20134775805971283
LR_none,p_pos_gauss,0.18149959050621686,0.17190067209920273,0.8602333688341968,0.010970700498124535,0.0653538233227519
LR_none,q90_zbar,0.0990982103325992,-0.014587578738888229,-0.035943532834773084,0.2910071498276521,10.134712861015492
LR_none,r_B,1.312611354738123,1.1964459302464625,1.1068012596128212,0.08235638808047059,0.058125797354732875
LR_none,r_W,1.1481896207354958,1.356866902299521,1.1817446158678502,0.048660945871053435,0.0354941826853205
LR_none,top2W_mean,1.402482460999785,1.7592215864490675,1.304138375948161,0.14591039117837037,0.08934808116023042
LR_none,mean,-1.8904627651684123,-3.8716563144462013,1.9633096722098795,0.3577350702632306,0.10712904901055184
LR_none,sdB,1.4402303913831185,3.2656031023094405,1.9682143232259162,0.32122742071170557,0.12665274991342348
LR_none,sdW,1.5967944169095345,2.7353927091284227,1.7119657024427055,0.23137606225873456,0.09393117176841717
SNA_none,u_pos,0.16,0.1,0.7692307692307693,0.02873766283557653,0.21562438116948743
SNA_none,p_pos_gauss,0.2900747888088743,0.29234959455385834,0.9380426837516146,0.015206888817689413,0.05096448005497263
SNA_none,q90_zbar,0.21272033500411022,-0.003499692106048266,-0.08254907982205241,0.15518340502806716,0.8552015742837075
SNA_none,r_B,0.7446261752220532,0.5275804584524797,0.7085172077051296,0.06348359112982567,0.13189547328702192
SNA_none,r_W,0.6514083942435795,0.7470413148786563,1.139049938725902,0.05482808861768278,0.0907892735582259
SNA_none,top2W_mean,1.6671328716586138,2.3102366138566848,1.4316171293998623,0.1608006103565892,0.07717743269421382
SNA_none,mean,-0.8052729546011821,-1.3774134919134797,1.709460219933744,0.14845044526590848,0.11330349590560902
SNA_none,sdB,1.0288463926947111,2.9478582287312762,2.7258489005683098,0.41743955509166136,0.15747682217979958
SNA_none,sdW,1.219884375859885,1.8438250528850821,1.5114752589444285,0.1349512960429387,0.0795300042233933
LR_l2,u_pos,0.3,0.33,1.1034482758620692,0.035365029331963393,0.09203356609427334
LR_l2,p_pos_gauss,0.3350148789230898,0.37012779285873804,1.0506174936787576,0.020237977351585935,0.05375180420047536
LR_l2,q90_zbar,0.5890817173337574,0.9035665368435718,1.6999689549666417,0.12865759392024845,0.1493671366752052
LR_l2,r_B,0.27199333492105826,0.1540452793404539,0.8040811882177122,0.0725354905203239,0.5436112064549748
LR_l2,r_W,0.25048330677879127,0.14519046903580574,0.8011525144894988,0.06613218069136782,0.5456779940665517
LR_l2,top2W_mean,1.4559000492071759,1.5632513305772076,1.0578739169306055,0.06540855797739313,0.042186270298715974
LR_l2,mean,-0.2084453724150367,-0.12236792517955507,0.7732848038268555,0.05425799470413279,0.5433398025943408
LR_l2,sdB,0.7663620598480277,0.7843281589119161,1.0208434938064812,0.03844303039871697,0.051593710437818685
LR_l2,sdW,0.8139257718452696,0.8032259773155387,0.9774497903913159,0.018771531592910368,0.022883721148757273
SNA_l2,u_pos,0.35,0.32,0.8421052631578947,0.050644860628589194,0.14503927222272023
SNA_l2,p_pos_gauss,0.3977448310938578,0.40854452032733496,1.010603707324402,0.020555863305804438,0.05106852944752546
SNA_l2,q90_zbar,0.467023547113381,0.39027632930773554,0.9825109041504978,0.06713653598430665,0.17135952796552037
SNA_l2,r_B,0.2728333685260234,0.24292960763268398,0.9555693689159233,0.044500258873260125,0.17483107254677668
SNA_l2,r_W,0.3048271386423684,0.2798652832951487,1.0127921504115378,0.05533784310794748,0.1727051179397919
SNA_l2,top2W_mean,1.422284930967555,1.4162922821096695,0.9757954602272048,0.045709000926241736,0.03240175859281876
SNA_l2,mean,-0.2557562451145986,-0.23043023137202717,0.9903088842944011,0.04805947782315432,0.17841101158079894
SNA_l2,sdB,0.9157134846146312,1.0053604182209697,1.0724894297812866,0.05616113256290882,0.05758745063023639
SNA_l2,sdW,0.8420542630739525,0.8263271487094909,0.9778007105327576,0.013647588318111274,0.01624645076386432
