arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.9822583333,1,1,0,0,-1.956481934,16.8210907,-8.773367882,0.4937501252,72.03502524,0,0,-7.564565659,13.2348814,-16.43795776,0.3617500961,76.07417549,3.653212309,0.9934191704,1.275191903,1600,1700,1200,883
LR,std,0,0,0.001,2,none,0.9786354167,1,1,0,0,-3.287904978,24.37611008,-10.1079607,0.4937501252,73.89307598,0,0,-23.99666595,21.85112953,-33.94071198,0.1974999756,78.80399888,5.596037388,1.273625255,1.330919743,1700,2700,1200,988
LR,std,0,0,0.001,3,none,0.9870229167,1,1,0,0,-4.129442215,25.59447098,-10.58581257,0.4885001183,75.88026323,0,0,-27.05736542,24.32979774,-44.76820755,0.2019999623,74.24634306,6.515197754,1.392282724,1.227894902,1000,1300,1200,865
LR,std,0,0,0.001,4,none,0.9907020833,1,1,0,0,-4.316626549,28.31155968,-11.47806931,0.4862501025,76.4289091,0,0,-29.73998833,28.35948563,-47.25797653,0.2102499753,78.7281823,7.403812885,1.494872689,1.089386463,700,1100,1200,674
LR,std,0,0,0.001,5,none,0.9926395833,1,1,0,0,-4.475078583,28.71258736,-13.81750965,0.4810001254,77.00072478,0,0,-31.73067093,29.99523735,-52.83594513,0.2214999944,71.68110205,8.052797318,1.584235072,1.038485765,600,800,1200,741
LR,std,0,0,0.001,6,none,0.9933479167,1,1,0,0,-5.421390057,31.71614265,-16.96894646,0.4705000818,76.99985955,0,0,-32.89141846,33.69337082,-54.41583252,0.2124999762,77.7831805,8.632842064,1.632464409,0.9841989279,600,700,1200,961
LR,std,0,0,0.001,7,none,0.9940229167,1,1,0,0,-4.786101818,31.3324604,-18.12930679,0.4870001376,77.89999538,0,0,-34.41521072,34.03276825,-57.76395416,0.2327499986,77.2108804,9.214741707,1.698194504,0.970906198,500,600,1200,878
LR,std,0,0,0.001,8,none,0.9939770833,1,1,0,0,-5.719175339,33.21839142,-14.62056637,0.4757500887,78.34428949,0,0,-36.1701889,36.25249481,-67.74815369,0.2192499787,80.74609544,9.838832855,1.77758503,0.9427650571,600,600,1200,872
LR,std,0,0,0.001,9,none,0.9946854167,1,1,0,0,-4.811401367,33.717556,-14.14141273,0.4832500815,78.73730935,0,0,-40.63742828,37.77316666,-63.8546257,0.2079999745,77.99445268,10.25896549,1.818319917,0.9450851083,400,500,1200,1030
LR,std,0,0,0.001,10,none,0.9952666667,1,1,0,0,-6.44416523,35.16944504,-14.12082863,0.4697501361,78.57604659,0,0,-42.2146225,39.48925781,-76.18695831,0.2147499621,77.59915573,10.72648048,1.861977816,0.929605484,400,500,1200,801
LR,std,0,0,0.001,11,none,0.9953104167,1,1,0,0,-5.898449421,36.11598969,-15.81630611,0.4780001044,78.81835599,0,0,-46.26675797,40.93466568,-70.26215363,0.2004999518,74.45192189,11.13685131,1.905045033,0.9232156277,400,500,1200,833
LR,std,0,0,0.001,12,none,0.995175,1,1,0,0,-6.781512737,36.42221069,-15.46178055,0.4825001061,79.24601083,0,0,-41.29211044,42.45827866,-77.25458527,0.2117499858,80.72095954,11.53823376,1.971133947,0.9504820108,500,500,1200,816
LR,std,0,0,0.001,13,none,0.9956666667,1,1,0,0,-7.198442459,37.59513855,-17.10616302,0.4697501361,78.78110481,0,0,-47.69181061,43.84317017,-77.46620178,0.2057499737,77.09523104,11.98978996,1.979923606,0.9324452877,400,500,1200,901
LR,std,0,0,0.001,14,none,0.9954166667,1,1,0,0,-7.0116539,39.35905457,-14.33757401,0.4810000658,78.82814514,0,0,-49.88817978,44.9445076,-82.83407593,0.2034999579,80.03195547,12.3742218,2.019701481,0.9235366583,400,500,1200,974
LR,std,0,0,0.001,15,none,0.9960625,1,1,0,0,-7.784023762,39.7226181,-15.50248909,0.4690001011,79.36723514,0,0,-50.56839752,45.48669434,-79.43436432,0.1982499659,77.92231536,12.75123596,2.0235219,0.9084952474,400,400,1200,970
LR,std,0,0,0.001,16,none,0.99619375,1,1,0,0,-8.352031708,40.13248825,-19.0906105,0.4630000889,79.02359349,0,0,-45.18109512,46.34017563,-80.7399826,0.2207500041,83.0405297,12.99368286,2.03489399,0.9451708794,300,400,1200,1059
LR,std,0,0,0.001,17,none,0.9963395833,1,1,0,0,-8.476695061,41.01387024,-20.86826134,0.4622501135,78.73293996,0,0,-53.60131454,48.5033989,-98.49144745,0.206499964,75.11227422,13.3992939,2.055350304,0.9553870559,300,400,1200,946
