exp,width,batch,c,run_id,metric,t50
A,10,1,,A_w10_T10000_std_lr0.01_s4,trC,41100.0
A,10,1,,A_w10_T10000_std_lr0.01_s4,dead,19900.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s0,srank_drop,9000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s0,srank_alive_drop,9000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s0,post_err,90000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s0,trC,20200.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s0,dead,350300.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s1,srank_drop,11900.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s1,srank_alive_drop,12700.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s1,post_err,210000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s1,trC,19900.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s1,dead,740100.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s2,srank_drop,72700.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s2,srank_alive_drop,110700.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s2,post_err,100000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s2,trC,190200.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s2,dead,160200.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s3,srank_drop,14000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s3,srank_alive_drop,19000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s3,post_err,350000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s3,trC,70300.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s3,dead,900000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s4,srank_drop,15000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s4,srank_alive_drop,31800.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s4,post_err,640000.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s4,trC,10300.0
A,10,full,,A_w10_T10000_std_lr0.01_bfull_s4,dead,295000.0
A,20,1,,A_w20_T10000_std_lr0.01_s0,srank_drop,16000.0
A,20,1,,A_w20_T10000_std_lr0.01_s0,srank_alive_drop,20000.0
A,20,1,,A_w20_T10000_std_lr0.01_s0,post_err,90000.0
A,20,1,,A_w20_T10000_std_lr0.01_s0,trC,111400.0
A,20,1,,A_w20_T10000_std_lr0.01_s0,dead,40300.0
A,20,1,,A_w20_T10000_std_lr0.01_s1,srank_drop,7000.0
A,20,1,,A_w20_T10000_std_lr0.01_s1,srank_alive_drop,10500.0
A,20,1,,A_w20_T10000_std_lr0.01_s1,post_err,380000.0
A,20,1,,A_w20_T10000_std_lr0.01_s1,trC,390300.0
A,20,1,,A_w20_T10000_std_lr0.01_s1,dead,40600.0
A,20,1,,A_w20_T10000_std_lr0.01_s2,srank_drop,7000.0
A,20,1,,A_w20_T10000_std_lr0.01_s2,srank_alive_drop,10100.0
A,20,1,,A_w20_T10000_std_lr0.01_s2,post_err,20000.0
A,20,1,,A_w20_T10000_std_lr0.01_s2,trC,10300.0
A,20,1,,A_w20_T10000_std_lr0.01_s2,dead,50100.0
A,20,1,,A_w20_T10000_std_lr0.01_s3,srank_drop,3000.0
A,20,1,,A_w20_T10000_std_lr0.01_s3,srank_alive_drop,30000.0
A,20,1,,A_w20_T10000_std_lr0.01_s3,post_err,360000.0
A,20,1,,A_w20_T10000_std_lr0.01_s3,trC,
A,20,1,,A_w20_T10000_std_lr0.01_s3,dead,32700.0
A,20,1,,A_w20_T10000_std_lr0.01_s4,srank_drop,5000.0
A,20,1,,A_w20_T10000_std_lr0.01_s4,srank_alive_drop,6000.0
A,20,1,,A_w20_T10000_std_lr0.01_s4,post_err,70000.0
A,20,1,,A_w20_T10000_std_lr0.01_s4,trC,100200.0
A,20,1,,A_w20_T10000_std_lr0.01_s4,dead,60300.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s0,srank_drop,17000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s0,srank_alive_drop,17000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s0,post_err,130000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s0,trC,20200.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s0,dead,771100.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s1,srank_drop,13000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s1,srank_alive_drop,14000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s1,post_err,10000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s1,trC,110300.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s1,dead,120300.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s2,srank_drop,11900.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s2,srank_alive_drop,96000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s2,post_err,230000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s2,trC,9900.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s2,dead,650200.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s3,srank_drop,7000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s3,srank_alive_drop,8000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s3,post_err,160000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s3,trC,20300.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s3,dead,60600.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s4,srank_drop,12900.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s4,srank_alive_drop,12400.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s4,post_err,790000.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s4,trC,570300.0
A,20,full,,A_w20_T10000_std_lr0.01_bfull_s4,dead,439900.0
A,50,1,,A_w50_T10000_std_lr0.01_s0,srank_drop,18000.0
A,50,1,,A_w50_T10000_std_lr0.01_s0,srank_alive_drop,12100.0
A,50,1,,A_w50_T10000_std_lr0.01_s0,post_err,50000.0
A,50,1,,A_w50_T10000_std_lr0.01_s0,trC,10300.0
A,50,1,,A_w50_T10000_std_lr0.01_s0,dead,20300.0
A,50,1,,A_w50_T10000_std_lr0.01_s1,srank_drop,67000.0
A,50,1,,A_w50_T10000_std_lr0.01_s1,srank_alive_drop,89800.0
A,50,1,,A_w50_T10000_std_lr0.01_s1,post_err,40000.0
A,50,1,,A_w50_T10000_std_lr0.01_s1,trC,50300.0
A,50,1,,A_w50_T10000_std_lr0.01_s1,dead,100000.0
A,50,1,,A_w50_T10000_std_lr0.01_s2,srank_drop,20800.0
A,50,1,,A_w50_T10000_std_lr0.01_s2,srank_alive_drop,20700.0
A,50,1,,A_w50_T10000_std_lr0.01_s2,post_err,420000.0
A,50,1,,A_w50_T10000_std_lr0.01_s2,trC,30300.0
A,50,1,,A_w50_T10000_std_lr0.01_s2,dead,31600.0
A,50,1,,A_w50_T10000_std_lr0.01_s3,srank_drop,9900.0
A,50,1,,A_w50_T10000_std_lr0.01_s3,srank_alive_drop,34000.0
A,50,1,,A_w50_T10000_std_lr0.01_s3,post_err,50000.0
A,50,1,,A_w50_T10000_std_lr0.01_s3,trC,30200.0
A,50,1,,A_w50_T10000_std_lr0.01_s3,dead,40200.0
A,50,1,,A_w50_T10000_std_lr0.01_s4,srank_drop,32200.0
A,50,1,,A_w50_T10000_std_lr0.01_s4,srank_alive_drop,50400.0
A,50,1,,A_w50_T10000_std_lr0.01_s4,post_err,130000.0
A,50,1,,A_w50_T10000_std_lr0.01_s4,trC,20300.0
A,50,1,,A_w50_T10000_std_lr0.01_s4,dead,60000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s0,srank_drop,19800.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s0,srank_alive_drop,19000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s0,post_err,70000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s0,trC,10300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s0,dead,530200.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s1,srank_drop,30400.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s1,srank_alive_drop,40900.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s1,post_err,160000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s1,trC,20300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s1,dead,276000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s2,srank_drop,32700.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s2,srank_alive_drop,61100.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s2,post_err,200000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s2,trC,50300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s2,dead,480300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s3,srank_drop,7000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s3,srank_alive_drop,7000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s3,post_err,50000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s3,trC,90300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s3,dead,200000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s4,srank_drop,36000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s4,srank_alive_drop,100300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s4,post_err,20000.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s4,trC,30300.0
A,50,full,,A_w50_T10000_std_lr0.01_bfull_s4,dead,310000.0
A,100,1,,A_w100_T10000_std_lr0.01_s0,srank_drop,139800.0
A,100,1,,A_w100_T10000_std_lr0.01_s0,srank_alive_drop,102100.0
A,100,1,,A_w100_T10000_std_lr0.01_s0,post_err,440000.0
A,100,1,,A_w100_T10000_std_lr0.01_s0,trC,10300.0
A,100,1,,A_w100_T10000_std_lr0.01_s0,dead,90200.0
A,100,1,,A_w100_T10000_std_lr0.01_s1,srank_drop,112600.0
A,100,1,,A_w100_T10000_std_lr0.01_s1,srank_alive_drop,69000.0
A,100,1,,A_w100_T10000_std_lr0.01_s1,post_err,30000.0
A,100,1,,A_w100_T10000_std_lr0.01_s1,trC,50300.0
A,100,1,,A_w100_T10000_std_lr0.01_s1,dead,60200.0
A,100,1,,A_w100_T10000_std_lr0.01_s2,srank_drop,62700.0
A,100,1,,A_w100_T10000_std_lr0.01_s2,srank_alive_drop,51900.0
A,100,1,,A_w100_T10000_std_lr0.01_s2,post_err,400000.0
A,100,1,,A_w100_T10000_std_lr0.01_s2,trC,100300.0
A,100,1,,A_w100_T10000_std_lr0.01_s2,dead,50200.0
A,100,1,,A_w100_T10000_std_lr0.01_s3,srank_drop,124000.0
A,100,1,,A_w100_T10000_std_lr0.01_s3,srank_alive_drop,110500.0
A,100,1,,A_w100_T10000_std_lr0.01_s3,post_err,280000.0
A,100,1,,A_w100_T10000_std_lr0.01_s3,trC,20300.0
