step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
5000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.10614,3.32029,0.170784,0.478889,0,0.0248296,30.5985,0.000811464,9.25271,0.288946,3.46085,2.47417,0.4,0.351171
6000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.16718,2.83647,0.200497,0.467778,0,0.120548,64.4308,0.00187097,9.06269,0.240918,4.15078,3.32893,0.4,0.3382
6000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.5295,3.69329,0.173822,0.468889,0,0.0126167,25.1531,0.000501597,9.14817,0.240686,4.15479,3.49559,0.3,0.289592
6000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.35342,3.34578,0.185439,0.494444,0,0.278646,112.283,0.00248164,9.23736,0.283792,3.52371,3.10905,0.2,0.357389
6000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0.0222222,0.4,4.0142,2.36132,0.200892,0.474444,0,0.0716382,69.212,0.00103505,8.94252,0.277035,3.60965,2.7951,0.4,0.272037
6000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.12897,3.27211,0.17154,0.478889,0,0.0655106,35.3314,0.00185418,9.24087,0.289149,3.45842,2.49602,0.4,0.338846
7000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.15897,2.79292,0.202701,0.467778,0,0.143135,62.9723,0.00227298,8.93647,0.26754,3.73776,2.8973,0.4,0.277714
7000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.54396,3.66397,0.175956,0.468889,0,0.0118175,26.2781,0.000449707,9.13974,0.249032,4.01554,3.38793,0.3,0.286552
7000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.32737,3.26527,0.186578,0.494444,0,0.150957,116.102,0.0013002,9.22758,0.285195,3.50638,3.10154,0.2,0.354298
7000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0,0.4,4.02021,2.40472,0.202078,0.474444,0,0.0661021,71.6526,0.000922536,8.93445,0.274394,3.6444,2.83557,0.4,0.269265
7000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.16437,3.11343,0.175073,0.478889,0,0.0378781,38.1239,0.000993553,9.22727,0.288929,3.46106,2.5229,0.4,0.326175
8000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.14037,2.69597,0.209129,0.467778,0,1.08894,67.5749,0.0161146,8.82845,0.300777,3.32473,2.57969,0.4,0.235792
8000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.55565,3.64402,0.177589,0.468889,0,0.0631835,28.0661,0.00225124,9.13108,0.256381,3.90045,3.29718,0.3,0.28464
8000,A_w10_T10000_std_lr0.01_bfull_s2,0.2,0.0222222,0.2,4.30607,3.18218,0.186904,0.494444,0,0.815708,126.734,0.00643637,9.21924,0.286151,3.49465,3.09698,0.2,0.355149
8000,A_w10_T10000_std_lr0.01_bfull_s3,0.4,0,0.4,4.03254,2.45169,0.202876,0.474444,0,0.114564,79.2535,0.00144554,8.92951,0.272069,3.67554,2.87021,0.4,0.267731
8000,A_w10_T10000_std_lr0.01_bfull_s4,0.4,0,0.4,3.20952,2.90065,0.178904,0.482222,0,0.0278415,40.8617,0.000681361,9.21446,0.289235,3.4574,2.54217,0.4,0.315075
9000,A_w10_T10000_std_lr0.01_bfull_s0,0.4,0,0.4,4.09372,2.59311,0.214854,0.467778,0,0.583757,73.9536,0.00789356,8.74759,0.328437,3.04473,2.38418,0.4,0.2172
9000,A_w10_T10000_std_lr0.01_bfull_s1,0.3,0,0.3,3.56938,3.61367,0.178458,0.47,0,0.020593,27.647,0.000744854,9.11947,0.265853,3.76148,3.1835,0.3,0.275423
