exp,width,c,phase,n_seed,ddn_b1,ddn_full,r,r_lo,r_hi
A,5,,early,5,-0.009080575338639933,-0.029191919191919206,,,
A,5,,late,5,-0.01938616938616946,-0.002861952861952858,,,
A,5,,mid,5,0.015861844248940955,-0.002289562289562292,-0.14434401533826427,,
A,10,,early,5,-0.04089963277463284,-0.017260432608917454,,,
A,10,,late,5,-0.04651792651792649,-0.009475397981118797,,,
A,10,,mid,5,-0.05578288901521231,-0.007413084999291891,,,
A,20,,early,5,0.03216527490114475,-0.004130416274097675,-0.12841227960251864,-1.4322024923479124,0.14532937806421417
A,20,,late,5,0.22677626606198004,-0.004432358518955027,-0.01954507231256565,-0.12942968773642125,0.06728641482040588
A,20,,mid,5,0.0216129581257232,0.002187107482282979,0.10119426825150503,,
A,50,,early,5,0.06285246178069856,-0.0005235814110366385,-0.008330324639685405,-0.056699284131279844,0.12420557014530428
A,50,,late,5,0.28399770258980767,-0.0067668617008086645,-0.023827170568990086,-0.04886403991573847,0.01346225344126747
A,50,,mid,5,0.058693085100760344,0.002821428529083475,0.04807088474289324,-0.02913595829692519,0.2827451220783216
A,100,,early,5,0.059701068255615365,0.005308539610480488,0.08891867039550297,-0.012391204395907926,0.20582307474726277
A,100,,late,5,0.202980789776365,-0.004881178184048052,-0.02404748838264898,-0.06145098841018666,-0.009270967949971554
A,100,,mid,5,0.12495822837524287,-0.0008632623561241691,-0.006908407452223462,-0.09854429491108949,0.06399000553480741
B,100,2.0,early,5,0.001834927842648337,0.0,0.0,0.0,0.0
B,100,2.0,late,5,0.0009668567896263924,0.0,0.0,,
B,100,2.0,mid,5,0.0015035163852827869,0.0,0.0,0.0,0.0
