batch,width,n,dt50_mean,dt50_sem
1,5,3,91933.33333333333,67539.23139759422
1,10,5,11240.0,6176.29338681381
1,20,5,29480.0,8742.219397841716
1,50,5,9020.0,833.3066662399864
1,100,5,-9660.0,2863.319751616993
full,5,4,223475.0,202052.17302716643
full,10,5,452480.0,153263.03990199332
full,20,5,378940.0,133163.3455572516
full,50,5,313640.0,63913.58697491481
full,100,5,233360.0,85629.00559973823
