step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss
6000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.47097,3.03746,0.199357,0.475556,0,0.177064,15.9283,0.0111164,8.94467,0.282633,3.53816,2.86868,0.4,0.370163
6000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.23513,2.60913,0.180723,0.457778,0,0.715124,10.0583,0.0710979,9.13317,0.238807,4.18748,3.33525,0.4,0.228397
6000,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.16644,4.26535,0.187552,0.513333,0,0.704744,17.8153,0.0395583,8.95555,0.286284,3.49304,3.23952,0.3,0.333388
6000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.47585,1.61547,0.179523,0.484444,0,0.365463,14.6957,0.0248687,8.84915,0.308327,3.24331,2.58379,0.4,0.293009
6000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.33193,1.93205,0.206577,0.503333,0,3.55741,27.9064,0.127477,9.00775,0.395127,2.53083,2.03418,0.3,0.340708
7000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.51823,3.19066,0.201696,0.474444,0,0.589424,15.54,0.0379294,8.88734,0.290709,3.43986,2.79691,0.4,0.334973
7000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,3.99325,2.35053,0.181579,0.456667,0,2.81696,14.4191,0.195362,9.08979,0.247852,4.03467,3.24322,0.4,0.340636
7000,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.31417,4.39524,0.186155,0.513333,0,0.0485567,12.2562,0.00396181,8.9406,0.284676,3.51276,3.20098,0.3,0.293131
7000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.44055,1.64184,0.177562,0.484444,0,2.43341,17.0021,0.143125,8.80688,0.308432,3.2422,2.61543,0.4,0.340667
7000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.7061,2.18963,0.21896,0.503333,0,0.676953,11.6523,0.058096,8.91618,0.411573,2.4297,1.99681,0.3,0.206152
8000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.4924,3.14086,0.20775,0.474444,0,0.0967668,13.8057,0.00700919,8.81691,0.305699,3.27119,2.67958,0.4,0.333492
8000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.27813,2.57515,0.183131,0.457778,0,0.226852,8.70173,0.0260697,9.09404,0.245681,4.07031,3.13831,0.4,0.203941
8000,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.4919,4.77193,0.185075,0.512222,0,1.0068,13.3576,0.0753726,8.93698,0.282485,3.54001,3.27069,0.3,0.353358
8000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.24135,1.6298,0.178689,0.485556,0,0.174938,14.047,0.0124537,8.79526,0.300668,3.32593,2.71725,0.4,0.289307
8000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.83787,2.16418,0.229277,0.5,0,4.63783,17.6802,0.262318,8.81162,0.432508,2.31209,1.93354,0.3,0.196109
9000,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.39725,3.21433,0.204108,0.474444,0,0.978316,14.254,0.0686343,8.76605,0.313797,3.18677,2.62698,0.4,0.331707
9000,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.25698,2.53001,0.187419,0.46,0,0.0638123,7.86461,0.00811385,9.04353,0.257495,3.88357,3.02861,0.4,0.190873
9000,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.36166,4.61124,0.185997,0.512222,0,2.60245,22.8699,0.113794,8.91356,0.288465,3.46662,3.18194,0.3,0.419518
9000,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.3897,1.65034,0.180456,0.493333,0,0.635834,19.1425,0.0332157,8.75858,0.298753,3.34725,2.76779,0.4,0.265634
9000,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.72668,2.05283,0.237987,0.5,0,0.194508,7.20971,0.0269786,8.73787,0.444837,2.24801,1.9031,0.3,0.0972627
9800,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.32512,2.99104,0.199101,0.474444,0,2.30694,14.2602,0.161774,8.76341,0.315424,3.17034,2.61691,0.4,0.403326
9800,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.07454,2.39919,0.192629,0.46,0,0.488443,8.79693,0.0555243,8.99491,0.263392,3.79662,2.96296,0.4,0.196731
9800,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.36956,4.35401,0.185638,0.512222,0,0.810536,13.9991,0.0578992,8.89163,0.287364,3.47991,3.19838,0.3,0.322794
9800,A_w10_T10000_std_lr0.01_s3,0.4,0.0222222,0.4,3.64183,1.79647,0.183822,0.492222,0,0.730626,12.696,0.0575478,8.72563,0.304921,3.27954,2.73051,0.4,0.212389
9800,A_w10_T10000_std_lr0.01_s4,0.3,0,0.3,4.62468,1.96415,0.241353,0.503333,0,1.14081,7.3039,0.156192,8.68144,0.451548,2.2146,1.88854,0.3,0.0829059
9900,A_w10_T10000_std_lr0.01_s0,0.4,0,0.4,4.50224,3.26124,0.19993,0.474444,0,2.01415,14.2382,0.141461,8.74353,0.320136,3.12367,2.58961,0.4,0.345206
9900,A_w10_T10000_std_lr0.01_s1,0.4,0,0.4,4.15445,2.5005,0.192817,0.461111,0,0.215941,9.32613,0.0231544,8.99248,0.266791,3.74825,2.92454,0.4,0.185145
9900,A_w10_T10000_std_lr0.01_s2,0.3,0,0.3,6.17125,4.22985,0.187841,0.511111,0,0.426975,11.8711,0.0359675,8.89949,0.288008,3.47212,3.19995,0.3,0.330322
