exp,width,batch,c,gk,run_id,seed,s0,phase,dead_pre,ddead,ddead_norm,late_inc,excluded
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,10000.0,early,0.3499999999999999,-0.009999999999999898,-0.015384615384615224,0.020000000000000018,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,20000.0,early,0.3499999999999999,-0.019999999999999907,-0.03076923076923062,0.010000000000000009,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,30000.0,early,0.33666666666666667,0.04333333333333339,0.06532663316582923,5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,40000.0,early,0.38000000000000006,0.06999999999999995,0.11290322580645155,0.010000000000000009,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,50000.0,early,0.45,-0.043333333333333335,-0.07878787878787878,0.006666666666666654,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,60000.0,early,0.41,0.030000000000000027,0.05084745762711868,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,70000.0,early,0.44,-0.010000000000000009,-0.01785714285714287,0.020000000000000018,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,80000.0,early,0.43,0.07,0.12280701754385964,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,90000.0,early,0.5066666666666667,-0.0566666666666667,-0.11486486486486494,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,100000.0,early,0.45,-0.033333333333333326,-0.06060606060606059,-0.0033333333333332993,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,110000.0,early,0.42,-0.039999999999999925,-0.06896551724137917,5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,120000.0,early,0.36999999999999994,0.0533333333333334,0.08465608465608475,0.003333333333333355,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,130000.0,early,0.43,-0.04999999999999993,-0.0877192982456139,5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,140000.0,early,0.38000000000000006,0.036666666666666625,0.05913978494623651,-0.0033333333333332993,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,150000.0,early,0.42,-0.07999999999999996,-0.13793103448275854,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,160000.0,early,0.34,-0.010000000000000009,-0.015151515151515168,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,170000.0,early,0.33,-0.020000000000000018,-0.029850746268656747,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,180000.0,early,0.31,0.050000000000000044,0.0724637681159421,5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,190000.0,early,0.36000000000000004,0.006666666666666654,0.010416666666666649,-0.0033333333333332993,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,200000.0,early,0.36999999999999994,0.10000000000000003,0.15873015873015875,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,210000.0,early,0.46,0.02999999999999997,0.0555555555555555,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,220000.0,early,0.5,-0.003333333333333355,-0.00666666666666671,-0.003333333333333355,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,230000.0,early,0.5,-0.020000000000000018,-0.040000000000000036,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,240000.0,early,0.48,-0.04333333333333328,-0.08333333333333323,0.01666666666666672,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,250000.0,early,0.44,-0.09000000000000008,-0.16071428571428584,-5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,260000.0,early,0.3499999999999999,0.13666666666666671,0.2102564102564103,0.016666666666666663,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,270000.0,early,0.49,-0.12000000000000005,-0.23529411764705893,-5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,280000.0,early,0.36999999999999994,-0.009999999999999898,-0.01587301587301571,5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,290000.0,early,0.36000000000000004,-0.023333333333333373,-0.0364583333333334,-0.003333333333333355,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,300000.0,early,0.33,0.050000000000000044,0.07462686567164187,0.010000000000000064,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,310000.0,early,0.38000000000000006,0.036666666666666625,0.05913978494623651,-0.0033333333333332993,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,320000.0,early,0.42,-0.05999999999999994,-0.10344827586206885,5.551115123125783e-17,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,330000.0,early,0.36000000000000004,0.029999999999999916,0.046874999999999875,0.009999999999999953,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,340000.0,mid,0.4000000000000001,0.0,0.0,-0.009999999999999898,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,350000.0,mid,0.4000000000000001,0.009999999999999898,0.0166666666666665,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,360000.0,mid,0.41,0.05666666666666664,0.09604519774011294,0.016666666666666607,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,370000.0,mid,0.47,0.010000000000000009,0.018867924528301903,0.0,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,380000.0,mid,0.48,-0.006666666666666654,-0.012820512820512796,0.003333333333333355,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,390000.0,mid,0.48,0.08000000000000007,0.15384615384615397,0.020000000000000018,False
A,100,full,,A_w100,A_w100_T10000_std_lr0.01_bfull_s0,0,400000.0,mid,0.56,0.05999999999999994,0.13636363636363624,0.010000000000000009,False
