switch_step,run_id,post_err
180000,A_w100_T10000_std_lr0.01_bfull_s2,1.0423
180000,A_w100_T10000_std_lr0.01_bfull_s3,1.28185
180000,A_w100_T10000_std_lr0.01_bfull_s4,0.928016
190000,A_w100_T10000_std_lr0.01_bfull_s0,8.77246
190000,A_w100_T10000_std_lr0.01_bfull_s1,5.87583
190000,A_w100_T10000_std_lr0.01_bfull_s2,0.626356
190000,A_w100_T10000_std_lr0.01_bfull_s3,2.55578
190000,A_w100_T10000_std_lr0.01_bfull_s4,2.61924
200000,A_w100_T10000_std_lr0.01_bfull_s0,2.5013
200000,A_w100_T10000_std_lr0.01_bfull_s1,4.53993
200000,A_w100_T10000_std_lr0.01_bfull_s2,1.09254
200000,A_w100_T10000_std_lr0.01_bfull_s3,1.44634
200000,A_w100_T10000_std_lr0.01_bfull_s4,2.61567
210000,A_w100_T10000_std_lr0.01_bfull_s0,3.96128
210000,A_w100_T10000_std_lr0.01_bfull_s1,0.956211
210000,A_w100_T10000_std_lr0.01_bfull_s2,0.84421
210000,A_w100_T10000_std_lr0.01_bfull_s3,6.15733
210000,A_w100_T10000_std_lr0.01_bfull_s4,0.759094
220000,A_w100_T10000_std_lr0.01_bfull_s0,3.73711
220000,A_w100_T10000_std_lr0.01_bfull_s1,0.806269
220000,A_w100_T10000_std_lr0.01_bfull_s2,3.65419
220000,A_w100_T10000_std_lr0.01_bfull_s3,7.48873
220000,A_w100_T10000_std_lr0.01_bfull_s4,3.70413
230000,A_w100_T10000_std_lr0.01_bfull_s0,15.125
230000,A_w100_T10000_std_lr0.01_bfull_s1,1.32974
230000,A_w100_T10000_std_lr0.01_bfull_s2,1.00497
230000,A_w100_T10000_std_lr0.01_bfull_s3,1.6101
230000,A_w100_T10000_std_lr0.01_bfull_s4,1.90012
240000,A_w100_T10000_std_lr0.01_bfull_s0,3.0067
240000,A_w100_T10000_std_lr0.01_bfull_s1,7.62206
240000,A_w100_T10000_std_lr0.01_bfull_s2,4.99498
240000,A_w100_T10000_std_lr0.01_bfull_s3,1.47628
240000,A_w100_T10000_std_lr0.01_bfull_s4,0.522368
250000,A_w100_T10000_std_lr0.01_bfull_s0,8.38181
250000,A_w100_T10000_std_lr0.01_bfull_s1,0.556752
250000,A_w100_T10000_std_lr0.01_bfull_s2,2.14283
250000,A_w100_T10000_std_lr0.01_bfull_s3,1.41327
250000,A_w100_T10000_std_lr0.01_bfull_s4,1.97105
260000,A_w100_T10000_std_lr0.01_bfull_s0,3.36085
260000,A_w100_T10000_std_lr0.01_bfull_s1,0.593785
260000,A_w100_T10000_std_lr0.01_bfull_s2,1.44813
260000,A_w100_T10000_std_lr0.01_bfull_s3,1.82664
260000,A_w100_T10000_std_lr0.01_bfull_s4,0.919224
270000,A_w100_T10000_std_lr0.01_bfull_s0,3.50926
270000,A_w100_T10000_std_lr0.01_bfull_s1,1.14523
270000,A_w100_T10000_std_lr0.01_bfull_s2,0.969791
270000,A_w100_T10000_std_lr0.01_bfull_s3,1.34194
270000,A_w100_T10000_std_lr0.01_bfull_s4,4.36116
280000,A_w100_T10000_std_lr0.01_bfull_s0,4.16234
280000,A_w100_T10000_std_lr0.01_bfull_s1,1.63793
280000,A_w100_T10000_std_lr0.01_bfull_s2,0.83286
280000,A_w100_T10000_std_lr0.01_bfull_s3,1.11587
280000,A_w100_T10000_std_lr0.01_bfull_s4,2.13537
290000,A_w100_T10000_std_lr0.01_bfull_s0,4.12473
290000,A_w100_T10000_std_lr0.01_bfull_s1,1.04385
290000,A_w100_T10000_std_lr0.01_bfull_s2,0.875913
290000,A_w100_T10000_std_lr0.01_bfull_s3,0.977052
290000,A_w100_T10000_std_lr0.01_bfull_s4,1.39565
300000,A_w100_T10000_std_lr0.01_bfull_s0,16.732
300000,A_w100_T10000_std_lr0.01_bfull_s1,1.93763
300000,A_w100_T10000_std_lr0.01_bfull_s2,0.414849
300000,A_w100_T10000_std_lr0.01_bfull_s3,0.985085
300000,A_w100_T10000_std_lr0.01_bfull_s4,3.4141
310000,A_w100_T10000_std_lr0.01_bfull_s0,1.3407
310000,A_w100_T10000_std_lr0.01_bfull_s1,1.34609
310000,A_w100_T10000_std_lr0.01_bfull_s2,1.76621
310000,A_w100_T10000_std_lr0.01_bfull_s3,0.999877
310000,A_w100_T10000_std_lr0.01_bfull_s4,1.79125
320000,A_w100_T10000_std_lr0.01_bfull_s0,1.08136
320000,A_w100_T10000_std_lr0.01_bfull_s1,3.27572
320000,A_w100_T10000_std_lr0.01_bfull_s2,1.53056
320000,A_w100_T10000_std_lr0.01_bfull_s3,0.920228
320000,A_w100_T10000_std_lr0.01_bfull_s4,3.05478
330000,A_w100_T10000_std_lr0.01_bfull_s0,1.2707
330000,A_w100_T10000_std_lr0.01_bfull_s1,1.07494
330000,A_w100_T10000_std_lr0.01_bfull_s2,3.24196
330000,A_w100_T10000_std_lr0.01_bfull_s3,1.34371
330000,A_w100_T10000_std_lr0.01_bfull_s4,11.2536
340000,A_w100_T10000_std_lr0.01_bfull_s0,1.49525
340000,A_w100_T10000_std_lr0.01_bfull_s1,1.4997
340000,A_w100_T10000_std_lr0.01_bfull_s2,9.79959
340000,A_w100_T10000_std_lr0.01_bfull_s3,0.992142
340000,A_w100_T10000_std_lr0.01_bfull_s4,1.49063
350000,A_w100_T10000_std_lr0.01_bfull_s0,1.08709
350000,A_w100_T10000_std_lr0.01_bfull_s1,1.55371
350000,A_w100_T10000_std_lr0.01_bfull_s2,1.64321
350000,A_w100_T10000_std_lr0.01_bfull_s3,0.894631
350000,A_w100_T10000_std_lr0.01_bfull_s4,0.980891
360000,A_w100_T10000_std_lr0.01_bfull_s0,1.50705
360000,A_w100_T10000_std_lr0.01_bfull_s1,1.46646
360000,A_w100_T10000_std_lr0.01_bfull_s2,2.14562
360000,A_w100_T10000_std_lr0.01_bfull_s3,1.48498
360000,A_w100_T10000_std_lr0.01_bfull_s4,1.47404
370000,A_w100_T10000_std_lr0.01_bfull_s0,0.931198
370000,A_w100_T10000_std_lr0.01_bfull_s1,5.27151
370000,A_w100_T10000_std_lr0.01_bfull_s2,1.30109
370000,A_w100_T10000_std_lr0.01_bfull_s3,1.37181
370000,A_w100_T10000_std_lr0.01_bfull_s4,2.40117
380000,A_w100_T10000_std_lr0.01_bfull_s0,1.32354
380000,A_w100_T10000_std_lr0.01_bfull_s1,2.09062
380000,A_w100_T10000_std_lr0.01_bfull_s2,1.86926
380000,A_w100_T10000_std_lr0.01_bfull_s3,1.02314
380000,A_w100_T10000_std_lr0.01_bfull_s4,9.0872
390000,A_w100_T10000_std_lr0.01_bfull_s0,2.69815
390000,A_w100_T10000_std_lr0.01_bfull_s1,1.30026
390000,A_w100_T10000_std_lr0.01_bfull_s2,3.49444
390000,A_w100_T10000_std_lr0.01_bfull_s3,2.94561
390000,A_w100_T10000_std_lr0.01_bfull_s4,2.73948
400000,A_w100_T10000_std_lr0.01_bfull_s0,2.954
400000,A_w100_T10000_std_lr0.01_bfull_s1,1.13662
400000,A_w100_T10000_std_lr0.01_bfull_s2,10.6895
400000,A_w100_T10000_std_lr0.01_bfull_s3,0.754106
400000,A_w100_T10000_std_lr0.01_bfull_s4,1.26873
