arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3
SW1,4,0.001,1,none,0.9690020833,1,1,0,0,-0.1228866205,0.4755964875,-0.8241249919,0.4525326788,0.519092977,9.243406799,0,0,-1.728717923,2.349917889,-2.705472946,0.2139010727,0.4104556441,14.61971665,0,0,-3.315625191,6.822039604,-12.38451862,0.2890104651,84.27573128,0,0,1.138405323,4.338200092,-3.298786402,0.6156266332,63.22066596,1.065852404,2.225160837,3.071734428,1.207776785,1.481167555
SW1,4,0.001,2,none,0.9106833333,1,1,0,0,-0.1876223534,0.8348786831,-3.795533895,0.4274631441,0.5152857304,8.541458156,0,0,-10.71602917,5.476663113,-17.35961723,-0.006443760358,0.001731330995,11.02135841,0,0,-0.8616455197,2.812467337,-2.863509893,0.4082181454,81.95924354,0,0,1.934606552,3.739302158,-0.05143691972,0.790037334,51.12702047,1.486037612,2.708814621,5.305299282,2.570818424,3.495314837
SW1,4,0.001,3,none,0.6908208333,0.9916666746,0.9916666746,0,0,-0.6079541445,0.7919108272,-5.188883781,0.2778706551,0.3589981794,8.896811496,0,0,-9.770915031,4.718270779,-16.67235756,-0.01262308192,-0.005270528141,12.93855788,0,0,-0.1310591251,0.6489151716,-0.693960309,0.4568190575,70.72449584,0,0,0.6569336057,1.979231596,0.1008966342,0.7562525868,46.51188177,1.773065329,4.189809322,9.075340271,4.908068657,6.035308361
SW1,4,0.001,4,none,0.7261895833,0.9633333683,0.9633333683,0,0,-1.097812057,0.9685152769,-6.560195446,0.1582856178,0.2024306357,7.745219646,0,0,-9.305778503,3.858454227,-16.83744812,-0.01154360175,-0.005100095179,12.35087229,0,0,-0.1092902422,0.4035489857,-0.483409524,0.4568235874,67.23725473,0,0,0.2796155214,1.323133349,-0.2786463797,0.636272192,53.26632908,2.027377367,4.972263813,11.63993359,5.991955757,7.350075245
SW1,4,0.001,5,none,0.7884583333,1,1,0,0,-1.569996119,1.143804073,-9.359959602,0.0367221795,0.06843914092,6.682075769,0,0,-9.291318893,4.230028152,-15.04389858,-0.01349835098,-0.005892741494,12.51667692,0,0,-0.1716192961,0.5260492563,-0.5168800354,0.4375296533,70.30924245,0,0,-0.1842346191,1.893786907,-1.171099305,0.5202319622,62.65106091,2.23690629,5.887898445,13.66796112,6.640420914,8.443837166
SW1,4,0.001,6,none,0.7411020833,0.9991666675,0.9991666675,0,0,-1.912001967,1.093334675,-9.598134995,0.02186945081,0.05102724954,6.332827331,0,0,-9.351363182,3.769427299,-18.35886765,-0.01244548708,-0.005361051299,12.63205378,0,0,-0.1417220384,0.4299897552,-0.5020108223,0.4448683858,69.20064175,0,0,0.04573165253,2.019282103,-0.7270937562,0.5847627521,60.25875088,2.293530941,6.870862007,15.68070316,7.145951271,9.036309242
SW1,4,0.001,7,none,0.7540083333,0.9933333397,0.9933333397,0,0,-2.061139822,1.046278954,-10.61599445,-0.002884569578,0.01929287985,4.869679495,0,0,-9.245416641,4.262132168,-16.65960884,-0.01303867251,-0.005583327729,12.19883335,0,0,-0.1319690794,0.4410077631,-0.601918757,0.446130693,70.7621508,0,0,-0.107651636,2.165877581,-1.724250555,0.5480573773,63.94753888,2.254583359,7.507409573,17.39986038,7.496302128,9.488936424
SW1,4,0.001,8,none,0.73109375,1,1,0,0,-2.773385048,1.411613226,-7.370604038,-0.009211777709,0.0102832308,4.498201314,0,0,-11.45567608,3.89672637,-21.07978249,-0.009931883775,-0.00302549894,12.07577549,0,0,-0.1154558882,0.4007396698,-0.5453633666,0.454110533,69.78014833,0,0,-0.1050306708,2.306493998,-1.260707617,0.5518084168,64.20133346,2.369300842,7.93278265,18.83559799,7.92212677,9.840909004
SW1,4,0.001,9,none,0.67146875,0.8866667151,0.8866667151,0,0,-3.777922392,1.693496108,-7.454453468,-0.01429519989,-0.00119463366,3.80280742,0,0,-11.18517876,4.274209023,-21.07038116,-0.007034797687,-0.002244879724,12.72304355,0,0,-0.0287683811,0.3699092567,-0.4608378112,0.4872085154,68.63353389,0,0,-1.118568301,2.463672638,-3.882511854,0.290079087,70.51427706,2.629047871,8.329602242,20.67946243,8.553375244,10.16344547
SW1,4,0.001,10,none,0.75823125,0.9975000024,0.9975000024,0,0,-2.5016222,1.340395808,-7.218253613,-0.0003670672595,0.01543508377,3.952427495,0,0,-9.13031292,3.150615454,-16.28387451,-0.01174076926,-0.004540130496,11.94411725,0,0,-0.01723205857,0.5245345235,-0.7273812294,0.4930205941,63.83895988,0,0,-2.874810934,4.427810669,-7.85094595,0.1493396759,59.10735833,2.748657227,8.81093502,21.93592644,9.339132309,11.20337963
SW1,4,0.001,11,none,0.71239375,1,1,0,0,-3.144803286,1.67906642,-8.013220787,-0.01691466011,-0.00687029399,3.764024813,0,0,-8.405869484,2.856942892,-13.49944019,-0.01745317876,-0.007581764832,12.41224299,0,0,0.01461670082,0.6004500985,-1.167209029,0.5152164102,67.68392576,0,0,-6.18956089,4.597393036,-10.49767971,0.01845979504,53.6107762,2.934817553,9.232853889,23.42191124,9.778017998,12.46195793
SW1,4,0.001,12,none,0.7448229167,1,1,0,0,-4.014791012,1.677681565,-8.223706245,-0.01049487945,-0.005776426289,3.756430836,0,0,-8.258795738,3.091865063,-17.52801514,-0.01325331908,-0.006376890466,12.15110664,0,0,0.05904264003,0.5534924269,-0.9576752186,0.5317135453,66.20231442,0,0,-6.836455345,4.956584454,-11.98664951,0.003325315891,46.01938998,3.059945583,9.473350525,24.75344467,9.998571396,13.19483852
SW1,4,0.001,13,none,0.7723354167,1,1,0,0,-3.581596851,1.661234736,-10.69738293,-0.0179058183,-0.009460653178,3.514398445,0,0,-8.564036369,3.225156546,-18.32265091,-0.01408647746,-0.00744562503,11.27233563,0,0,0.1335627735,0.5731682777,-0.5680248737,0.5612334609,69.662053,0,0,-6.859144211,4.602720261,-10.59352779,0.004113097675,46.19520494,2.857753038,9.774259567,25.97437286,10.07028961,15.05170345
SW1,4,0.001,14,none,0.773475,1,1,0,0,-2.938701391,1.340695024,-13.85007381,-0.01136429794,-0.003423788119,3.792156516,0,0,-9.22988987,3.364833832,-15.11797523,-0.009510325268,-0.004209202249,12.80081573,0,0,0.01647922583,0.4613463879,-0.6853030324,0.5203173161,69.89482906,0,0,-4.915376663,2.996214151,-7.797685623,-0.01811839081,47.93360239,3.001397371,10.16271877,27.31142807,10.15645695,18.83490562
SW1,4,0.001,15,none,0.7831791667,1,1,0,0,-3.466928005,1.80490911,-15.4898634,-0.01878323033,-0.008214622736,3.559569564,0,0,-9.648015022,2.929454803,-18.38561249,-0.01130125672,-0.005287470296,12.73135886,0,0,0.03525352105,0.4477372169,-0.7131876945,0.5222189426,68.04796514,0,0,-4.662225246,2.963917732,-7.425538063,-0.02496706694,42.92444529,3.186250448,10.64461803,28.22889709,10.26763916,21.74988174
SW1,4,0.001,16,none,0.8216041667,1,1,0,0,-4.016201973,2.000824451,-16.6367321,-0.02102008276,-0.009731375612,3.511770556,0,0,-8.507096291,2.711051702,-13.95314121,-0.01087247208,-0.004588360898,12.7976519,0,0,-0.06318376213,0.5051567554,-0.9824547768,0.475314647,71.67602214,0,0,-4.819845676,2.700360775,-7.934080601,-0.02047398873,40.54373656,3.197116375,11.07689285,29.17952728,10.25524807,24.55485344
SW1,4,0.001,17,none,0.78136875,1,1,0,0,-4.807629108,1.894874573,-17.23683548,-0.01827450097,-0.007569638081,3.350191212,0,0,-7.722119331,2.528439045,-16.28922272,-0.01427305397,-0.005635335576,12.75487308,0,0,-0.05060085654,0.4932954013,-0.9260445237,0.4855597615,70.23913074,0,0,-5.008031368,2.547204256,-8.929048538,-0.02171439677,37.84127269,3.160867691,11.27281666,29.91958809,10.36543369,27.01847458
