seed,task,update,G1,Q1,Q_count1,pair_count1,neff_zero_units1,zero_count1,zero1,dead_unit1,neff1,neff_fraction1,zmean1,zsd1,diag_gdiff1,Wnorm1,bias1,G2,Q2,Q_count2,pair_count2,neff_zero_units2,zero_count2,zero2,dead_unit2,neff2,neff_fraction2,zmean2,zsd2,diag_gdiff2,Wnorm2,bias2,mu2_norm,memo_acc,memo_ce,online_acc,online_ce,major_frac,label_hash,order_hash,finite,arm
0,11,30000,0.46802026804627533,0.5021666666666667,60260,120000,0,37462,0.31218333333333337,0.0,562.9759056429175,0.4691465880357646,-10.475811645715357,226.5288060452541,0.0,21.73161435066299,-0.1105145642790012,0.017056635115643377,0.9806833333333334,117682,120000,0,112757,0.9396416666666667,0.0,20.889583921911004,0.017407986601592505,-1232.4881645314276,640.7210754816508,0.0,2.5086757401384343,-0.2557931880513206,1005.8479412423025,0.7775000333786011,0.6880359649658203,0.5776895833333333,1.276562890625,0.1075,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
1,11,30000,0.4633167964131756,0.5072833333333333,60874,120000,0,38629,0.32190833333333335,0.0,557.3811997398044,0.4644843331165037,-17.50741249825579,239.95065133266348,0.0,21.892830747148924,-0.15305357560515404,0.019618487678975657,0.9782583333333333,117391,120000,0,112544,0.9378666666666667,0.0,23.91819979051518,0.019931833158762652,-1292.209971028988,662.3312631414286,0.0,2.6418841596386597,-0.2822062175651081,1078.9089592581897,0.8300000429153442,0.5380747318267822,0.6316416666666667,1.1354694010416666,0.115,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
2,11,30000,0.46087228709763817,0.5068583333333333,60823,120000,0,37077,0.308975,0.0,554.4550018281759,0.4620458348568133,-13.792673472557746,237.38494509303578,0.0,22.16268461388638,-0.09741718592122198,0.017406395324339696,0.9803166666666666,117638,120000,0,112579,0.9381583333333334,0.0,21.251749748193017,0.017709791456827516,-1303.5441068928383,670.9532595650846,0.0,2.5698522172590152,-0.2532357947714627,1158.8207036829895,0.7358333468437195,0.7694034576416016,0.55965625,1.30829921875,0.10833333333333334,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
3,11,30000,0.46910637701171565,0.5029333333333333,60352,120000,0,39376,0.32813333333333333,0.0,564.2229553602772,0.47018579613356437,-13.217231396294292,245.92749105369546,0.0,22.84991543405614,-0.0517592350114137,0.01854076516892049,0.9790416666666667,117485,120000,0,112703,0.9391916666666668,0.0,22.602243686516857,0.018835203072097382,-1300.3840707466866,675.5959812845762,0.0,2.5742259734943076,-0.2840928755886853,1084.2830648045724,0.7750000357627869,0.6831377744674683,0.5752666666666667,1.2798643229166666,0.115,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
4,11,30000,0.4761395996340207,0.4941833333333333,59302,120000,0,37423,0.31185833333333335,0.0,572.6813569443256,0.4772344641202713,-9.135079514015747,258.85745720775367,0.0,22.718406112279634,-0.1093378846719861,0.01580421359040327,0.9821916666666667,117863,120000,0,113351,0.9445916666666667,0.0,19.41750669166307,0.016181255576385892,-1425.964026316058,806.9531774498892,0.0,2.569054666184232,-0.26787876682356,1211.7725148354655,0.7491666674613953,0.7350219488143921,0.5575020833333333,1.3181372395833333,0.11166666666666666,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
5,11,30000,0.46930377780415417,0.5003583333333333,60043,120000,0,38004,0.31670000000000004,0.0,564.5726344305525,0.4704771953587938,-13.249032082654136,248.45586502789862,0.0,21.705112141794945,-0.08349848937243223,0.015082857074125265,0.98325,117990,120000,0,113433,0.9452750000000001,0.0,18.511733076223837,0.015426444230186532,-1302.257963419148,728.4753761890464,0.0,2.482257065260758,-0.26092529716319407,1150.0650766644774,0.7250000238418579,0.7868123650550842,0.5555916666666667,1.3203470052083333,0.11166666666666666,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
6,11,30000,0.463679595346008,0.5070166666666667,60842,120000,0,38119,0.3176583333333334,0.0,557.7119880733206,0.4647599900611006,-9.635866968439645,239.54330595317342,0.0,22.87966612564898,-0.08882900945842266,0.020578060655636988,0.9770583333333334,117247,120000,0,111939,0.932825,0.0,24.976373115830985,0.020813644263192488,-1328.9988992159826,737.7853120960292,0.0,2.6545088061789968,-0.28837762102484704,1108.0749836053556,0.8083333373069763,0.5835572481155396,0.6136166666666667,1.1668274739583333,0.11166666666666666,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
7,11,30000,0.45672233582007826,0.5122083333333334,61465,120000,0,38396,0.3199666666666667,0.0,549.5110019954031,0.45792583499616935,-15.195553526632148,239.31783758570901,0.0,22.674559129671383,-0.1794629943417385,0.02325186471123089,0.9736666666666667,116840,120000,0,110690,0.9224166666666667,0.0,28.08875946815439,0.023407299556795325,-1322.2534314562,739.8175447974171,0.0,2.6440794790188296,-0.3057612705696374,1143.0598417084966,0.830833375453949,0.53806471824646,0.616175,1.1513302083333334,0.11166666666666666,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
8,11,30000,0.4782369293825132,0.4914833333333333,58978,120000,0,36079,0.30065833333333336,0.0,575.2824157467845,0.47940201312232045,-8.711496250210578,221.47479876301526,0.0,20.35295033995806,-0.10317752768285572,0.017980187906052263,0.9797333333333333,117568,120000,0,112722,0.93935,0.0,21.999552276580417,0.018332960230483683,-1163.674528417305,616.2711935325566,0.0,2.5099803761610855,-0.23903292061761022,977.8363024244061,0.7366666793823242,0.8019756078720093,0.5330854166666666,1.3858296875,0.1175,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
9,11,30000,0.4725559075640455,0.4983,59796,120000,0,38295,0.319125,0.0,568.4130204065119,0.47367751700542665,-9.434998433223397,273.1841703288618,0.0,22.96197849536263,-0.20549540615640582,0.012636122325230903,0.985725,118287,120000,0,114534,0.95445,0.0,15.570267581434923,0.012975222984529104,-1478.5922939563457,808.205038486689,0.0,2.555711352765955,-0.25074198013404386,1296.6266283987661,0.637499988079071,1.0373802185058594,0.47536666666666666,1.5355654947916666,0.11083333333333334,938ed5970a0955505cfd562b8b51a60fd4f3055c4e6c077045620d385d27f235,08c115b7e1af5ddffa1e8f86faebab67bff6f313817863cb2da1773f15baf854,True,R1_10
