arm,reference,band_frac_clamp,band_frac_ref,band_frac_relu,d_band,d_band_lo,d_band_hi,d_band_sign,d_band_p,d_log10u,d_log10u_lo,d_log10u_hi,band_up,same_direction
Gc_b1_1216,G_b1_1216,0.08549999999999999,0.0,0.0135,0.08549999999999999,0.055,0.0965,0:10,0.001953125,-0.5208113517382116,-0.7379656725155241,-0.45009220031853314,1,1
Sc_b3_1216,S_b3_1216,0.0565,0.0,0.0135,0.0565,0.039,0.088,0:10,0.001953125,-0.459963531231563,-0.651674636779666,-0.3937984416517024,1,1
Gz_b1_1216,G_b1_1216,0.07,0.0,0.0135,0.07,0.042,0.103,0:10,0.001953125,-0.7642751189842083,-1.1489026493992578,-0.5484402079991735,1,1
Sz_b3_1216,S_b3_1216,0.039,0.0,0.0135,0.039,0.028499999999999998,0.074,0:10,0.001953125,-0.46741113815215324,-0.6150980816910816,-0.2876030540063179,1,1
