arm,family,k,p_hat,count,share_of_band
S_b1_1216,silu,1,0.03125,12,0.8
S_b1_1216,silu,2,0.0625,0,0.0
S_b1_1216,silu,3,0.09375,0,0.0
S_b1_1216,silu,4,0.125,0,0.0
S_b1_1216,silu,5,0.15625,0,0.0
S_b1_1216,silu,6,0.1875,1,0.06666666666666667
S_b1_1216,silu,7,0.21875,1,0.06666666666666667
S_b1_1216,silu,8,0.25,1,0.06666666666666667
S_b1_1216,silu,9,0.28125,0,0.0
S_b1_1216,silu,10,0.3125,0,0.0
S_b1_1216,silu,11,0.34375,0,0.0
S_b1_1216,silu,12,0.375,0,0.0
S_b1_1216,silu,13,0.40625,0,0.0
S_b1_1216,silu,14,0.4375,0,0.0
S_b1_1216,silu,15,0.46875,0,0.0
S_b1_1216,silu,16,0.5,0,0.0
S_b1_1216,silu,17,0.53125,0,0.0
S_b1_1216,silu,18,0.5625,0,0.0
S_b1_1216,silu,19,0.59375,0,0.0
S_b1_1216,silu,20,0.625,0,0.0
S_b1_1216,silu,21,0.65625,0,0.0
S_b1_1216,silu,22,0.6875,0,0.0
S_b1_1216,silu,23,0.71875,0,0.0
S_b1_1216,silu,24,0.75,0,0.0
S_b1_1216,silu,25,0.78125,0,0.0
S_b1_1216,silu,26,0.8125,0,0.0
S_b1_1216,silu,27,0.84375,0,0.0
S_b1_1216,silu,28,0.875,0,0.0
S_b1_1216,silu,29,0.90625,0,0.0
S_b1_1216,silu,30,0.9375,0,0.0
S_b1_1216,silu,31,0.96875,0,0.0
G_b1_1216,gelu,1,0.03125,0,nan
G_b1_1216,gelu,2,0.0625,0,nan
G_b1_1216,gelu,3,0.09375,0,nan
G_b1_1216,gelu,4,0.125,0,nan
G_b1_1216,gelu,5,0.15625,0,nan
G_b1_1216,gelu,6,0.1875,0,nan
G_b1_1216,gelu,7,0.21875,0,nan
G_b1_1216,gelu,8,0.25,0,nan
G_b1_1216,gelu,9,0.28125,0,nan
G_b1_1216,gelu,10,0.3125,0,nan
G_b1_1216,gelu,11,0.34375,0,nan
G_b1_1216,gelu,12,0.375,0,nan
G_b1_1216,gelu,13,0.40625,0,nan
G_b1_1216,gelu,14,0.4375,0,nan
G_b1_1216,gelu,15,0.46875,0,nan
G_b1_1216,gelu,16,0.5,0,nan
G_b1_1216,gelu,17,0.53125,0,nan
G_b1_1216,gelu,18,0.5625,0,nan
G_b1_1216,gelu,19,0.59375,0,nan
G_b1_1216,gelu,20,0.625,0,nan
G_b1_1216,gelu,21,0.65625,0,nan
G_b1_1216,gelu,22,0.6875,0,nan
G_b1_1216,gelu,23,0.71875,0,nan
G_b1_1216,gelu,24,0.75,0,nan
G_b1_1216,gelu,25,0.78125,0,nan
G_b1_1216,gelu,26,0.8125,0,nan
G_b1_1216,gelu,27,0.84375,0,nan
G_b1_1216,gelu,28,0.875,0,nan
G_b1_1216,gelu,29,0.90625,0,nan
G_b1_1216,gelu,30,0.9375,0,nan
G_b1_1216,gelu,31,0.96875,0,nan
LR_a0p01_1216,leaky,1,0.03125,56,0.27450980392156865
LR_a0p01_1216,leaky,2,0.0625,27,0.1323529411764706
LR_a0p01_1216,leaky,3,0.09375,10,0.049019607843137254
LR_a0p01_1216,leaky,4,0.125,11,0.05392156862745098
LR_a0p01_1216,leaky,5,0.15625,7,0.03431372549019608
LR_a0p01_1216,leaky,6,0.1875,10,0.049019607843137254
LR_a0p01_1216,leaky,7,0.21875,9,0.04411764705882353
LR_a0p01_1216,leaky,8,0.25,10,0.049019607843137254
LR_a0p01_1216,leaky,9,0.28125,3,0.014705882352941176
LR_a0p01_1216,leaky,10,0.3125,4,0.0196078431372549
LR_a0p01_1216,leaky,11,0.34375,4,0.0196078431372549
LR_a0p01_1216,leaky,12,0.375,4,0.0196078431372549
LR_a0p01_1216,leaky,13,0.40625,2,0.00980392156862745
LR_a0p01_1216,leaky,14,0.4375,0,0.0
LR_a0p01_1216,leaky,15,0.46875,4,0.0196078431372549
LR_a0p01_1216,leaky,16,0.5,16,0.0784313725490196
LR_a0p01_1216,leaky,17,0.53125,3,0.014705882352941176
LR_a0p01_1216,leaky,18,0.5625,3,0.014705882352941176
LR_a0p01_1216,leaky,19,0.59375,4,0.0196078431372549
LR_a0p01_1216,leaky,20,0.625,2,0.00980392156862745
LR_a0p01_1216,leaky,21,0.65625,3,0.014705882352941176
LR_a0p01_1216,leaky,22,0.6875,1,0.004901960784313725
LR_a0p01_1216,leaky,23,0.71875,1,0.004901960784313725
LR_a0p01_1216,leaky,24,0.75,3,0.014705882352941176
LR_a0p01_1216,leaky,25,0.78125,1,0.004901960784313725
LR_a0p01_1216,leaky,26,0.8125,2,0.00980392156862745
LR_a0p01_1216,leaky,27,0.84375,0,0.0
LR_a0p01_1216,leaky,28,0.875,1,0.004901960784313725
LR_a0p01_1216,leaky,29,0.90625,0,0.0
LR_a0p01_1216,leaky,30,0.9375,3,0.014705882352941176
LR_a0p01_1216,leaky,31,0.96875,0,0.0
LR_a0p001_1216,leaky,1,0.03125,16,0.27586206896551724
LR_a0p001_1216,leaky,2,0.0625,5,0.08620689655172414
LR_a0p001_1216,leaky,3,0.09375,2,0.034482758620689655
LR_a0p001_1216,leaky,4,0.125,3,0.05172413793103448
LR_a0p001_1216,leaky,5,0.15625,0,0.0
LR_a0p001_1216,leaky,6,0.1875,1,0.017241379310344827
LR_a0p001_1216,leaky,7,0.21875,1,0.017241379310344827
LR_a0p001_1216,leaky,8,0.25,1,0.017241379310344827
LR_a0p001_1216,leaky,9,0.28125,1,0.017241379310344827
LR_a0p001_1216,leaky,10,0.3125,0,0.0
LR_a0p001_1216,leaky,11,0.34375,0,0.0
LR_a0p001_1216,leaky,12,0.375,1,0.017241379310344827
LR_a0p001_1216,leaky,13,0.40625,0,0.0
LR_a0p001_1216,leaky,14,0.4375,2,0.034482758620689655
LR_a0p001_1216,leaky,15,0.46875,0,0.0
LR_a0p001_1216,leaky,16,0.5,1,0.017241379310344827
LR_a0p001_1216,leaky,17,0.53125,1,0.017241379310344827
LR_a0p001_1216,leaky,18,0.5625,4,0.06896551724137931
LR_a0p001_1216,leaky,19,0.59375,2,0.034482758620689655
LR_a0p001_1216,leaky,20,0.625,1,0.017241379310344827
LR_a0p001_1216,leaky,21,0.65625,0,0.0
LR_a0p001_1216,leaky,22,0.6875,1,0.017241379310344827
LR_a0p001_1216,leaky,23,0.71875,1,0.017241379310344827
LR_a0p001_1216,leaky,24,0.75,5,0.08620689655172414
LR_a0p001_1216,leaky,25,0.78125,1,0.017241379310344827
LR_a0p001_1216,leaky,26,0.8125,1,0.017241379310344827
LR_a0p001_1216,leaky,27,0.84375,0,0.0
LR_a0p001_1216,leaky,28,0.875,4,0.06896551724137931
LR_a0p001_1216,leaky,29,0.90625,0,0.0
LR_a0p001_1216,leaky,30,0.9375,3,0.05172413793103448
LR_a0p001_1216,leaky,31,0.96875,0,0.0
LR_a0p0001_1216,leaky,1,0.03125,39,0.23636363636363636
