arm,window,u,log10_u,sub_frac,band_frac,surf_frac,surf_among_alive,band_among_alive,near_off_frac,near_on_frac,shallow_sub_frac,non_affine_frac
E_1216,15M,3.8226000281129716e-05,-4.417716304243802,0.353,0.647,0.0005,0.000715307582260372,0.9992846924177397,0.308,0.0,0.353,0.9995
G_b0p3_1216,15M,0.13338948162774503,-0.8748787485053696,0.995,0.005,0.0,0.0,1.0,0.002,0.0,0.0165,0.023
LR_1216,15M,0.001627658607177603,-2.800910164053603,0.666,0.334,0.0,0.0,1.0,0.166,0.0,nan,nan
S_b0p3_1216,15M,0.16205969681509305,-0.7904611553047929,0.994,0.006,0.0,0.0,1.0,0.003,0.0,0.027,0.033
S_b1_1216,15M,0.4505782962985947,-0.347471214237914,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0045000000000000005,0.0045000000000000005
