n_records,n_units,u,log10_u,onset,sub_frac,band_frac,surf_frac,surf_among_alive,band_among_alive,near_off_frac,near_on_frac,shallow_sub_frac,non_affine_frac,arm,family,dial,is_control,seed,window,role
10,100,0.030833723192748835,-1.5109740307571984,0,0.915,0.085,0.0,0.0,1.0,0.038,0.0,0.054,0.139,S_b1_1216,silu,1.0,0,0,1M,
10,100,0.19026244094972164,-0.720646935823292,1,0.999,0.001,0.0,0.0,1.0,0.001,0.0,0.024,0.025,S_b1_1216,silu,1.0,0,0,5M,
10,100,0.016333991975230777,-1.786907662113125,0,0.928,0.072,0.0,0.0,1.0,0.037,0.0,0.077,0.149,S_b1_1216,silu,1.0,0,1,1M,
10,100,0.13161999027471172,-0.8806781456256687,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.018,0.018,S_b1_1216,silu,1.0,0,1,5M,
10,100,0.022657211953583584,-1.6447935325868952,0,0.872,0.128,0.0,0.0,1.0,0.04,0.0,0.06,0.188,S_b1_1216,silu,1.0,0,2,1M,
10,100,0.15656099628699974,-0.8053164236775356,1,0.997,0.003,0.0,0.0,1.0,0.003,0.0,0.032,0.035,S_b1_1216,silu,1.0,0,2,5M,
10,100,0.009682543938109,-2.0140105235662547,0,0.928,0.07,0.002,0.027777777777777776,0.9722222222222222,0.041,0.001,0.085,0.15500000000000003,S_b1_1216,silu,1.0,0,3,1M,
10,100,0.23194151610181196,-0.6346215083685577,1,0.995,0.005,0.0,0.0,1.0,0.005,0.0,0.014,0.019,S_b1_1216,silu,1.0,0,3,5M,
10,100,0.06175563869822729,-1.2093233822994955,1,0.934,0.066,0.0,0.0,1.0,0.03,0.0,0.055,0.121,S_b1_1216,silu,1.0,0,4,1M,
10,100,0.21590923305886514,-0.6657287852675441,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.009,0.009,S_b1_1216,silu,1.0,0,4,5M,
10,100,0.004780136312148646,-2.3205597187079885,0,0.886,0.113,0.001,0.008771929824561403,0.9912280701754386,0.038,0.0,0.11,0.223,S_b1_1216,silu,1.0,0,5,1M,
10,100,0.16394050845784033,-0.7853137222926347,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.023,0.023,S_b1_1216,silu,1.0,0,5,5M,
10,100,0.0021561322379043033,-2.6663246069217674,0,0.848,0.152,0.0,0.0,1.0,0.046,0.0,0.085,0.237,S_b1_1216,silu,1.0,0,6,1M,
10,100,0.06655762461859045,-1.1768021860179194,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.029,0.029,S_b1_1216,silu,1.0,0,6,5M,
10,100,0.01295289333710041,-1.8876332107344507,0,0.903,0.097,0.0,0.0,1.0,0.047,0.0,0.093,0.19,S_b1_1216,silu,1.0,0,7,1M,
10,100,0.3834244923406599,-0.41632014876453066,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.01,0.01,S_b1_1216,silu,1.0,0,7,5M,
10,100,0.03293708561793006,-1.4823148312757406,0,0.893,0.107,0.0,0.0,1.0,0.047,0.0,0.117,0.224,S_b1_1216,silu,1.0,0,8,1M,
10,100,0.2315708430234027,-0.635316123317615,1,0.998,0.002,0.0,0.0,1.0,0.002,0.0,0.012,0.014,S_b1_1216,silu,1.0,0,8,5M,
10,100,0.032540375620629496,-1.4875774382146132,0,0.908,0.092,0.0,0.0,1.0,0.053,0.0,0.074,0.16599999999999998,S_b1_1216,silu,1.0,0,9,1M,
10,100,0.12431724214562756,-0.9054686328274344,1,0.996,0.004,0.0,0.0,1.0,0.001,0.0,0.019,0.023,S_b1_1216,silu,1.0,0,9,5M,
10,100,0.01575643634795128,-1.8025420006425723,0,0.926,0.074,0.0,0.0,1.0,0.047,0.0,0.105,0.179,G_b1_1216,gelu,1.0,0,0,1M,
10,100,0.9936399272654259,-0.002770965635028925,1,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,G_b1_1216,gelu,1.0,0,0,5M,
