arm,family,dial,is_control,thr_kind,shallow_thr,n_band_records,surf_frac_max_over_history,sub_frac_1M,band_frac_1M,surf_frac_1M,surf_among_alive_1M,band_among_alive_1M,near_off_frac_1M,near_on_frac_1M,shallow_sub_frac_1M,non_affine_frac_1M,log10_u_1M,n_onset_1M,sub_frac_5M,band_frac_5M,surf_frac_5M,surf_among_alive_5M,band_among_alive_5M,near_off_frac_5M,near_on_frac_5M,shallow_sub_frac_5M,non_affine_frac_5M,log10_u_5M,n_onset_5M,band_edge_share,band_near_off_share,band_near_on_share
S_b1_1216,silu,1.0,0,u_star,1.2785,15,0.01,0.9055,0.0945,0.0,0.0,1.0,0.0405,0.0,0.081,0.177,-1.71585059735001,1,0.9995,0.0005,0.0,0.0,1.0,0.0005,0.0,0.0185,0.020999999999999998,-0.7529803290579633,10,0.8,0.8,0.0
G_b1_1216,gelu,1.0,0,u_star,0.7519,0,0.03,0.922,0.0775,0.0,0.0,1.0,0.0455,0.0,0.089,0.1815,-1.7183824151466567,3,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0005,0.0005,-0.0030161538660053765,10,nan,nan,nan
LR_a0p01_1216,leaky,0.01,0,none,nan,204,0.04,0.9504999999999999,0.049,0.0,0.0,1.0,0.0155,0.0,nan,nan,-0.5613782248578784,10,0.9815,0.0185,0.0,0.0,1.0,0.0045000000000000005,0.0,nan,nan,-0.4056373773711775,10,0.27450980392156865,0.27450980392156865,0.0
LR_a0p001_1216,leaky,0.001,0,none,nan,58,0.04,0.948,0.052,0.0,0.0,1.0,0.0195,0.0,nan,nan,-0.5510004583770102,10,0.9955,0.0045000000000000005,0.0,0.0,1.0,0.001,0.0,nan,nan,-0.07125674075270039,10,0.27586206896551724,0.27586206896551724,0.0
LR_a0p0001_1216,leaky,0.0001,0,none,nan,165,0.04,0.9555,0.0445,0.0,0.0,1.0,0.0125,0.0,nan,nan,-0.49296642310585437,10,0.9804999999999999,0.0195,0.0,0.0,1.0,0.003,0.0,nan,nan,-0.24725350784406613,10,0.23636363636363636,0.23636363636363636,0.0
E_a0p1_1216,elu,0.1,0,u_fr,11.5129,1582,0.04,0.8254999999999999,0.1745,0.0,0.0,1.0,0.0985,0.0,0.8254999999999999,1.0,-1.7357812274711977,0,0.8385,0.1615,0.0,0.0,1.0,0.094,0.0,0.8385,1.0,-1.3261369570490538,5,0.6257901390644753,0.6257901390644753,0.0
E_a0p01_1216,elu,0.01,0,u_fr,9.2103,751,0.04,0.909,0.091,0.0,0.0,1.0,0.045,0.0,0.909,1.0,-0.9268564116125293,10,0.9205000000000001,0.0795,0.0,0.0,1.0,0.0435,0.0,0.9205000000000001,1.0,-0.5246541191739638,10,0.596537949400799,0.5938748335552596,0.002663115845539281
S_b0p3_1216,silu,0.3,0,u_star,4.2616,2261,0.1,0.2165,0.7815000000000001,0.003,0.003781512605042017,0.996218487394958,0.0115,0.0015,0.048,0.8325,-0.7988149831878717,10,0.7905,0.20950000000000002,0.0,0.0,1.0,0.0055,0.0,0.035,0.241,-0.6747787788837358,10,0.026094648385670056,0.026094648385670056,0.0
S_b3_1216,silu,3.0,0,u_star,0.4262,0,0.06,0.888,0.112,0.0,0.0,1.0,0.058499999999999996,0.0,0.08399999999999999,0.191,-1.0833151974667004,6,1.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,-9.021649275295343e-06,10,nan,nan,nan
G_b0p3_1216,gelu,0.3,0,u_star,2.5063,92,0.06,0.441,0.5585,0.0025,0.004512298558100085,0.9954877014418999,0.02,0.001,0.066,0.6245,-1.277795623570047,6,0.9935,0.006500000000000001,0.0,0.0,1.0,0.004,0.0,0.041999999999999996,0.049,-1.2172684323299654,6,0.42391304347826086,0.42391304347826086,0.0
G_b3_1216,gelu,3.0,0,u_star,0.2506,1,0.04,0.9584999999999999,0.0415,0.0,0.0,1.0,0.019,0.0,0.044,0.0815,-0.32228526848496947,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.610013104099653e-06,10,1.0,1.0,0.0
LR_a0p00001_1216,leaky,1e-05,0,none,nan,158,0.04,0.9535,0.0465,0.0,0.0,1.0,0.0135,0.0,nan,nan,-0.5718843959424151,10,0.9864999999999999,0.013000000000000001,0.0,0.0,1.0,0.0035,0.0005,nan,nan,-0.23369028408716708,10,0.3227848101265823,0.2911392405063291,0.03164556962025317
E_a0p001_1216,elu,0.001,0,u_fr,6.9078,295,0.04,0.948,0.052000000000000005,0.0,0.0,1.0,0.018500000000000003,0.0,0.948,1.0,-0.5950373525274206,9,0.9675,0.0325,0.0,0.0,1.0,0.012,0.0,0.965,1.0,-0.3446073256163028,10,0.43389830508474575,0.423728813559322,0.010169491525423728
S_b10_1216,silu,10.0,0,u_star,0.1278,2,0.06,0.9435,0.0565,0.0,0.0,1.0,0.023,0.0,0.040499999999999994,0.0985,-0.5546553347110341,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001,0.001,-0.000574537827625706,10,1.0,1.0,0.0
R_1216,relu,0.0,1,none,0.0,139,0.04,0.95,0.05,0.0,0.0,1.0,0.013999999999999999,0.0,nan,nan,-0.6492391899413728,10,0.9855,0.0135,0.0,0.0,1.0,0.003,0.0,nan,nan,-0.2746619723906341,10,0.2589928057553957,0.2302158273381295,0.02877697841726619
LR_1216,leaky,0.1,1,none,nan,3688,0.04,0.7084999999999999,0.2915,0.0,0.0,1.0,0.11499999999999999,0.0,nan,nan,-2.207957839412672,0,0.6415,0.3585,0.0,0.0,1.0,0.17049999999999998,0.0,nan,nan,-2.652350009361937,0,0.4628524945770065,0.4628524945770065,0.0
E_1216,elu,1.0,1,u_fr,13.8155,6335,0.1,0.352,0.6455,0.0,0.0,1.0,0.112,0.0,nan,nan,-2.254297642381876,0,0.359,0.641,0.0,0.0,1.0,0.321,0.0,nan,nan,-2.725607064304479,0,0.5041831097079715,0.5037095501183899,0.00047355958958168905
