registered,arm,seed,unit,t_sub,win_len,d_wmu,d_b,share_unit,routes_same_sign,share_in_unit_interval,d_wmu_ff,d_b_ff,n_ff_intervals,share_unit_ff,pred,pred_meanrecip,pred_ff
0,E_a0p001_1216,0,1,41000,41,-1.122361446949407,-0.10486641011050057,0.0854498286583316,1,1,-0.5089417570159487,-0.05120190228328081,37,0.09140851892769294,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,2,41000,41,-0.40369772236307533,-0.07820515798238237,0.16228406422123912,1,1,-0.14473268443403775,-0.01903318915395741,37,0.11622194989074106,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,3,31000,31,-0.6821942697592256,-0.08081081205747864,0.10591123700653375,1,1,-0.10688128031477895,-0.005727666638070006,28,0.05086333540147805,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,4,71000,71,-0.798673987035798,-0.2324776193591891,0.22545435406143133,1,1,-0.050733253887033314,-0.0007105394916559205,64,0.013811957575241018,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,5,121000,121,-0.4975620183305889,-0.12977685084693746,0.2068688187886104,1,1,-0.06375875812445331,-0.011648938043192891,109,0.15447943161259034,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,6,131000,131,-1.9474251635409559,-0.14480464440146523,0.06921067841198174,1,1,0.1580402255665776,0.020052456707990968,118,0.11259562409799494,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,7,51000,51,-2.5533580938135856,-0.2669686705538652,0.09465877285100385,1,1,-1.0697315282650175,-0.12263388345994741,46,0.10284924592246941,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,8,21000,21,-0.8934733260901737,-0.020413242384326846,0.02233673531103704,1,1,-0.2011166525166761,-0.02033723421107214,19,0.09183507461340881,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,10,121000,121,-2.689243982850087,-0.3678879578039691,0.12033761216248376,1,1,-0.5897038300607875,-0.07601653281156473,109,0.11418688243751443,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,11,21000,21,-1.2810631702411284,-0.11991624212568652,0.08559457838363235,1,1,0.10466146570015389,-0.01005033809946232,19,-0.10622786509722199,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,12,11000,11,-1.0441159856344164,-0.12555549185972747,0.10734252674837588,1,1,-0.18458665938078334,-0.05669141599117955,10,0.2349629816293173,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,13,31000,31,-2.2651396306632776,-0.25964046569251664,0.10283686332416646,1,1,-0.6999762404411092,-0.0641160786216135,28,0.08391142931558557,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,16,141000,141,-1.3447513731288012,-0.1540535063095927,0.10278423057130488,1,1,0.5618802751497529,0.007792428367970047,127,0.013678781377187085,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,20,101000,101,-2.1886316748618526,-0.22855328228682836,0.09455349356320276,1,1,-0.272868259690485,-0.01279530484256794,91,0.04479151852453849,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,21,22000,22,-1.7432300831356642,-0.21879528888009148,0.11151501504555186,1,1,-1.183988839323991,-0.14867111700346225,20,0.11155967904458568,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,22,53000,53,-2.3421163968781915,-0.13643259072679292,0.05504534766473484,1,1,-0.959760854684425,-0.054581011543230584,48,0.05380928596215569,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,24,91000,91,-2.390343639117205,-0.4567583955304855,0.1604292329435275,1,1,-0.7022742210267281,-0.15390667755372078,82,0.17975953190371174,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,25,41000,41,-2.2926407994828963,-0.24661883256291262,0.09712233812192685,1,1,-1.5661120054531468,-0.16477956030810592,37,0.09519923926351519,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,26,21000,21,-1.0382811168719819,-0.04373717481309214,0.04042184420466528,1,1,0.06063587653804259,0.011911702737658514,19,0.16419159476556358,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,27,51000,51,-1.8725707486623833,-0.3695159961933925,0.16480896514874224,1,1,-0.3682065553229743,-0.08451844256319951,46,0.18668826099249225,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,29,51000,51,-3.4879285926783865,-0.2831733809220758,0.07509035366967703,1,1,-1.627378517744507,-0.1622951431435311,46,0.09068421058563272,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,30,141000,141,-1.0181377909401803,-0.12765753337480668,0.11141390671246337,1,1,-0.15633249524412518,-0.02606661578190539,127,0.14290977425972962,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,32,161000,161,-3.147999160603632,-0.36431147869114966,0.10372416226951321,1,1,-0.480183564977549,-0.08264073991992005,145,0.146832216023391,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,34,91000,91,-1.9960062756143682,-0.1312995383543658,0.06172104522640842,1,1,-0.36821616773452176,0.011446119798535092,82,-0.032082625390651646,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,36,21000,21,-0.8882808117708363,-0.10917883849081989,0.10945689729121355,1,1,0.13186475835694056,0.02182898220725138,19,0.14202909062607047,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,37,42000,42,-0.36296356077210135,-0.07767258580144087,0.17627374968085446,1,1,-0.19535319519738792,-0.005569931477051648,38,0.02772170416239211,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,38,21000,21,-1.2684191421156825,-0.04595387697922959,0.03496258391767187,1,1,-0.39814564355269155,-0.046290192148909615,19,0.10415494978219833,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,40,51000,51,-2.860354425230625,-0.2523367381927155,0.08106706542488955,1,1,-1.1485918179418717,-0.10601288139427201,46,0.08449903100982104,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,41,41000,41,-1.2542504069806473,-0.0820820532637101,0.061423377569307,1,1,0.26142756322592875,0.01633946379774244,37,0.05882434633377128,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,43,251000,251,-5.270149608583893,-0.43313864547982917,0.07594542414565984,1,1,-2.309736114252677,-0.17879804144020328,226,0.07184873915882449,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,45,151000,151,-4.137269032521701,-0.5912705268224556,0.12504294812423314,1,1,-1.5338191613804806,-0.14125359560519613,136,0.08432684193335249,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,46,41000,41,-1.6229731408927863,-0.07378411442524868,0.04348536845443977,1,1,-0.9082779296172321,-0.08324696198940207,37,0.08395851954307616,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,47,21000,21,-2.3377454455441367,-0.11869998266199389,0.04832184802439392,1,1,-0.7891239118366582,-0.05346507056082839,19,0.06345332264931818,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,48,51000,51,-1.4139071492265387,-0.09672746162861756,0.06403101116150188,1,1,-0.12938225331333175,-0.03219528943533412,46,0.19925596643967994,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,50,21000,21,-1.5723285973712482,-0.1140993684693763,0.06765742194775679,1,1,-0.3979358676575018,-0.038651439173908564,19,0.08853083580103703,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,51,31000,31,-2.5436258447933255,-0.31928739204406753,0.11152534695629769,1,1,-0.7087879256616425,-0.15686966729165075,28,0.1812144531147371,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,55,31000,31,-0.7138740642192545,-0.05474485724253908,0.07122496690352467,1,1,-0.04862472518190497,0.0017675645011450691,28,-0.037722398785269375,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,57,41000,41,-1.844507496580512,-0.16241528484103362,0.08092752065228512,1,1,-0.5527795922075915,-0.05577845739018317,37,0.09165675719358216,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_a0p001_1216,0,58,31000,31,-2.3209416951188437,-0.3031637935397633,0.11553033780464934,1,1,-1.372131525654508,-0.14681017936715346,28,0.096652938609688,0.09758305318051957,0.09758305318051957,0.09758305318051957
