seed,arm,arm_branch,arm_layer,arm_kind,arm_src,arm_delta,arm_reset,k,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc_end,full_ce_end,state_sha256,hash_match_prefix,acc_match_prefix,hash_match_resp_ee,acc_match_resp_ee,logits_equal_mb,nbar_neffT2,n_probe,probe_zero2_mean,probe_effbar2_first,probe_effbar2_last,probe_dmean2_first,probe_dmean2_last,probe_zarm2_first,probe_zarm2_last,shadow_online_acc,shadow_state_sha256,shadow_hash_match_prefix,shadow_acc_match_prefix,logits_equal_full,logit_maxdiff_full,g1_start,logg1_start,neff1_start,lowgate1_start,zbar1_start,sigma1_start,effbar1_start,pplus1_start,gtr1_start,zero1_start,deadunits1_start,neffT1_start,g2_start,logg2_start,neff2_start,lowgate2_start,zbar2_start,sigma2_start,effbar2_start,pplus2_start,gtr2_start,zero2_start,deadunits2_start,neffT2_start,mu2_start,pf_eps_w1,pf_zero_w1,pf_logrms_med_w1,pf_eps_w2,pf_zero_w2,pf_logrms_med_w2,pf_eps_w3,pf_zero_w3,pf_logrms_med_w3,field0_equal_fixed,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec
4,S2dyn_10r,2,2,dyn,10,,True,1,3,0.29022916666666665,2.5766959709028403,0.10833333333333334,13.013677787780761,0.4935833333333333,0.10916666666666666,True,0.20818794586269482,0.18021833927681047,0.172247842065417,0.15746285183316405,0.21759751189771728,0.4160161110727737,0.5876785714285714,0.8245,0.0,0.25987244897959183,0.3392,0.0,0.2504081632653061,0.3562,0.0,0.19830357142857144,0.2987,0.0,0.5516666769981384,1.3100965059270862,1180c3fdc67cbcc33f0ee273b577bbc2144c1485c31b889fa9b660b68b0d1515,False,False,,,True,0.007088576925058751,9,0.9604842592592592,-50.02436906261799,-56.89600826546969,-49.849015080895775,-60.70121653783371,-0.1753539817222161,3.8052082723640197,0.11771875,b0fe72e25cde6e974643acb2460f9d15738c8d32dd9447e710aea8dc9807887b,True,True,True,0.0,0.38868645026634985,-1.0368714471979772,0.5086666088261783,0.2544166666666667,-1.677452737943067,1.9293759547921505,-1.677452737943067,0.21715833333333337,0.38868645035674176,0.0,0.0,0.5086666089780211,0.004767500803692411,-10.441779680551218,0.005944032475236933,0.9937583333333333,-0.1753539817222161,1.8018238428148414,-50.02436906261798,0.004141666666666667,0.004767500349382559,0.9505500000000001,0.04,0.0058275956562477095,5.284709187628534,0.21413265306122448,0.20280612244897958,-6.8238488797525445,0.1352,0.04,-8.029585285948277,0.0,0.0,-1.9353764089099577,True,0.7548604468845238,-0.3188100106167897,0.7949204991878851,0.11104166666666668,1.448791717104757,3.1175577211741916,1.448791717104757,0.6710083333333333,0.7548604468892017,0.0,0.0,0.794920499183794,0.014554742251887938,-11.21287684446271,0.015980755987675642,0.9821083333333332,3.8052082723640193,10.381205709901037,-56.89600826546968,0.013141666666666668,0.014554741912583512,0.9305833333333333,0.08,0.015830968102485,24.94042078233321,24.357788801193237
4,S2dyn_10r,2,2,dyn,10,,True,2,4,0.30478125,1.9462474112808705,0.09333333333333334,3.007777067820231,0.4360833333333333,0.11416666666666667,True,0.1586208569330362,0.45071477594319725,0.12875853005425597,0.39868446241598576,0.21248970194089148,0.35117634998944897,0.19830357142857144,0.2987,0.0,0.19818877551020408,0.2986,0.0,0.19857142857142857,0.3117,0.0,0.19934948979591838,0.2799,0.0,0.4724999964237213,1.4833698819639645,0cb784280a5b76c3cb2062644e5424263a53654eba5e9b384f0f2cb73f70599b,False,False,,,,0.00619236008612928,9,0.9741333333333334,-56.89600826546969,-67.2213301934274,-60.70121653783371,-69.06887388284778,3.8052082723640197,1.8475436894203807,0.11170833333333334,4a9488859ae2ffa8cb4ed0fa1e2b3d53dd59183d4f33f357a1378ed95c98b064,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712754941530917,-0.3804144891416319,0.7528738114020287,0.14751666666666668,1.3469512193278295,3.6370847416569543,1.3469512193278295,0.6325500000000001,0.712754941460987,0.0003583333333333333,0.0,0.7528738112813165,0.009658106778843508,-12.973033247961894,0.010802261940257699,0.9881583333333332,1.847543689420381,13.028222008359064,-67.2213301934274,0.008783333333333332,0.00965810654759407,0.9586333333333334,0.2,0.010472480153037686,27.811740279825575,24.819481372833252
4,R2dyn_10,10,2,dyn,2,,False,1,11,0.7411458333333333,0.9651628768090935,0.0975,6.555787394841512,0.9873333333333333,0.11583333333333333,True,0.16640703988537098,0.6337493855971842,0.16858992488414515,0.5947944817792935,0.17498158133442607,0.5505540361627936,0.22096938775510205,0.0,0.0,0.2157780612244898,0.0,0.0,0.2120408163265306,0.0,0.0,0.21497448979591838,0.0,0.0,1.0,0.004366221199971904,69095b6a4d4f3fbfe24c19379c9c8cb4478a94d8a3ec803c6e867a2bfc99c143,False,False,,,True,0.24711399225332753,9,0.2018509259259259,-0.17535397963436594,-8.02423925360415,49.849015080895775,48.22743940363439,-50.02436906053014,-56.25167865723854,0.7598854166666666,0a878960ed52c7156c4d91d61b8ab8bd7e239c0d38ed4c69ac85a253f8a799e2,True,True,True,0.0,0.34887114010099374,-1.5516692106470813,0.37647328605826325,0.5523666666666667,-2.7497486051150055,5.705100447348086,-2.7497486051150055,0.3036,0.34887113949060444,0.05772499999999999,0.0,0.3764732844055498,0.6454925412434481,-0.47161652462355297,0.7408128441588121,0.07423333333333335,-50.024369060530134,18.663863163822874,-0.17535397963436747,0.4592833333333333,0.6454925412024062,0.0,0.0,0.7408128440859653,73.84624001269427,0.20841836734693878,0.20029336734693878,-3.248856820229054,0.0,0.0,-1.980360968791123,0.0,0.0,-2.482539763587013,True,0.3747538387601362,-1.3598144593042334,0.40305622455788126,0.5230999999999999,-2.113678268986494,5.999995390831949,-2.113678268986494,0.32718333333333327,0.37475383816758795,0.05478333333333334,0.0,0.4030562231015098,0.21993818225376224,-2.3340617961259698,0.24168050926533774,0.7016166666666667,-56.25167865723854,21.48013339062707,-8.024239253604149,0.18388333333333332,0.21993818099349735,0.1702333333333333,0.0,0.24168050536235877,80.51042214401814,26.68875789642334
4,R2dyn_10,10,2,dyn,2,,False,2,12,0.5988333333333333,1.3318316526892595,0.09333333333333334,6.169609330495199,0.9761666666666666,0.11333333333333333,True,0.14373345320564113,0.4134546027247173,0.1558634448920202,0.37343835312640294,0.2104544266864347,0.8346847797899196,0.21485969387755102,0.0,0.0,0.21322704081632654,0.0,0.0,0.21380102040816326,0.0,0.0,0.21593112244897958,0.0,0.0,0.9883333444595337,0.07825260442353112,3b72ca014a18918cf7255aa91a3d6bf3940c4a92ff5108be671ec61c75ad7781,False,False,,,,0.10782241220745685,9,0.4775824074074074,-8.02423925360415,-14.831420064862598,48.22743940363439,45.977342073835246,-56.25167865723854,-60.808762138697844,0.71109375,a3f5e69f6acc377e6d35acf77b045ed73fe53eadc454ad40b16549592189c97e,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4081739864620965,-1.1423364856666143,0.4373049825814714,0.4870333333333333,-1.2941807728067545,6.218206857333516,-1.2941807728067545,0.35727500000000006,0.4081739859431981,0.04301666666666666,0.0,0.4373049813929709,0.14708899069862974,-2.7787496039783135,0.15938709703439458,0.8072666666666665,-60.80876213869784,23.79526712180039,-14.8314200648626,0.12573333333333334,0.14708898901442688,0.4179,0.0,0.1593870898538868,86.31185760089014,29.61825203895569
4,S2ramp_r,2,2,ramp,,,True,1,3,0.6646458333333334,1.6197469829082645,0.10833333333333334,13.005523668924967,0.9688333333333333,0.10916666666666666,True,0.19997504146037196,0.19355601417676857,0.24106572356170847,0.29319203400518745,0.18291971107343366,0.4159897204954177,0.46996173469387753,0.0008,0.0,0.21283163265306124,0.0,0.0,0.1991326530612245,0.0,0.0,0.19886479591836734,0.0,0.0,0.9775000214576721,0.09239264345603239,3c61df07cd61780030b0287ed824ff4abe1817b59b532c26f0579a4eebd578e6,False,False,,,True,0.11586232362756964,9,0.28021759259259266,-10.175353981722216,-14.847173989113086,-10.0,-20.0,-0.1753539817222161,5.152826010886914,,,,,True,0.0,0.38868645026634985,-1.0368714471979772,0.5086666088261783,0.2544166666666667,-1.677452737943067,1.9293759547921505,-1.677452737943067,0.21715833333333337,0.38868645035674176,0.0,0.0,0.5086666089780211,0.0005020435626911365,-8.11259638515382,0.044896848162264476,0.998825,-0.1753539817222161,1.8018238428148414,-10.175353981722216,5e-05,0.0005020435045162837,0.0015333333333333332,0.0,0.04489678230501251,5.284709187628534,0.20330357142857142,0.19770408163265307,-8.485324040013898,0.0,0.0,-8.92750659764727,0.0,0.0,-1.9353764089099577,True,0.7119751377805477,-0.3673139100687722,0.755729178605923,0.13713333333333333,1.2106977946121866,3.6118933671021485,1.2106977946121866,0.6224833333333334,0.7119751377527913,0.00015833333333333332,0.0,0.7557291785696317,0.16088586659664358,-2.559643513322573,0.1701458296093664,0.8046499999999999,5.152826010886913,12.897840964654655,-14.847173989113086,0.14438333333333334,0.160885864675045,0.470175,0.0,0.17014426215191666,23.47242783704297,4.972187519073486
4,S2ramp_r,2,2,ramp,,,True,2,4,0.57425,1.2736099729016424,0.11416666666666667,4.644855082829793,0.86375,0.11416666666666667,True,0.1605662383978294,0.7118533959146589,0.1554504267496668,0.6190576536270479,0.20686643426840115,0.7825837757748861,0.19886479591836734,0.0,0.0,0.19840561224489797,0.0,0.0,0.19848214285714286,0.0,0.0,0.19973214285714286,0.0,0.0,0.8916666507720947,0.3785031817285389,3396f758a0e0cc0340eb41b4ec7aa8e26d18b2553f1740ed0fe7506adce68e2a,False,False,,,,0.05020982932623086,9,0.769137037037037,-14.847173989113086,-29.666352049408623,-20.0,-30.0,5.152826010886914,0.33364795059137786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6427800249935042,-0.4796964261580427,0.6837012818806921,0.2105666666666667,0.6946753006277916,4.391333407095467,0.6946753006277916,0.5627416666666667,0.6427800249119601,0.0014333333333333333,0.0,0.6837012817212677,0.05357344687150125,-4.170496467543363,0.05720819754323101,0.9326833333333333,0.33364795059137786,15.491937779815123,-29.66635204940862,0.047766666666666666,0.053573445821801825,0.7913000000000001,0.0,0.05720522673550407,23.14605820850917,4.904783010482788
4,S2dyn_5r,2,2,dyn,5,,True,1,3,0.69034375,1.5620120903253556,0.10833333333333334,13.010075333913168,0.9970833333333333,0.10916666666666666,True,0.16538454782797393,0.14998044969009547,0.19834663835475416,0.1457073265434398,0.1719972972781155,0.415065661072731,0.466875,0.0,0.0,0.2071173469387755,0.0,0.0,0.1980612244897959,0.0,0.0,0.1984311224489796,0.0,0.0,0.9900000095367432,0.05994397947497569,b9d2156239d7fe5ca30db22f0421635c1de52054c77bfcfcac4ec0f495853197,False,False,,,True,0.13816719214280043,9,0.3976611111111111,-7.954024803985073,-13.074128201077125,-7.778670822262857,-14.010793394960992,-0.1753539817222161,0.936665193883867,0.5375729166666666,ff7da137be67292bcc8067228801ea767b886f5f17a9eb5d801bb03790525c00,True,True,True,0.0,0.38868645026634985,-1.0368714471979772,0.5086666088261783,0.2544166666666667,-1.677452737943067,1.9293759547921505,-1.677452737943067,0.21715833333333337,0.38868645035674176,0.0,0.0,0.5086666089780211,0.1862140067783609,-2.1667180250899296,0.20920589346977012,0.7330833333333334,-0.1753539817222161,1.8018238428148414,-7.954024803985074,0.14819166666666667,0.18621400545984507,0.13729166666666667,0.0,0.20920588995771439,5.284709187628534,0.1988265306122449,0.19770408163265307,-4.3713816441348445,0.0,0.0,-3.5459748594174783,0.0,0.0,-1.9353764089099577,True,0.6294960496997707,-0.5369623993704031,0.6816223462625168,0.19165833333333332,0.09664796542350666,3.213686316322281,0.09664796542350666,0.5279916666666667,0.6294960496465365,0.00023333333333333333,0.0,0.6816223461879953,0.1822066020009569,-2.214182721223205,0.19399819749017533,0.7729416666666666,0.936665193883867,8.085821849794986,-13.074128201077121,0.16113333333333332,0.18220660031288863,0.3807,0.0,0.19399819203947438,15.580770507256096,31.1044979095459
4,S2dyn_5r,2,2,dyn,5,,True,2,4,0.5597395833333333,1.3075198987300198,0.09833333333333333,4.614779141743978,0.8903333333333333,0.11416666666666667,True,0.18262723144168072,0.5691921569329376,0.1853044758621157,0.55518987433364,0.22050366632902293,0.9207556714924673,0.1984311224489796,0.0,0.0,0.19829081632653062,0.0,0.0,0.19840561224489797,0.0,0.0,0.19936224489795917,0.0,0.0,0.9233333468437195,0.29719772893589624,a72dc6ac4fe817c1659341c8aa0f83a92dd9eaf63c0b0e075b10eefd5358b140,False,False,,,,0.05639878005270485,9,0.735625925925926,-13.074128201077125,-27.86179475543474,-14.010793394960992,-23.42884430448773,0.936665193883867,-4.432950450947011,0.32294791666666667,45638caec5b6a1d4e1589c30ffcac5f7e7ebd2252767180a9aa3e44105df851f,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6185269077490686,-0.5362086551154998,0.6634917650686413,0.22368333333333335,0.20927066255124127,3.9951521950704842,0.20927066255124127,0.5311250000000001,0.6185269076441725,0.0009749999999999998,0.0,0.6634917648898313,0.06742153290165899,-3.6407854832700393,0.0721018965645139,0.914875,-4.432950450947012,11.498035381898319,-27.86179475543474,0.059633333333333344,0.06742153160522381,0.7079750000000001,0.0,0.07210188128897503,19.92973998980439,30.360061645507812
4,S2dyn_20r,2,2,dyn,20,,True,1,3,0.25064583333333335,2.679297158976396,0.10833333333333334,13.01793556213379,0.3799166666666667,0.10916666666666666,True,0.2202960232305031,0.14183416419352093,0.12178522357726251,0.06864894574391656,0.21912268322436526,0.41597705373230076,0.5627295918367347,0.9801,0.0,0.40822704081632655,0.8458,0.0,0.3473341836734694,0.7808,0.0,0.20966836734693878,0.7108,0.0,0.41499999165534973,1.6250294614324756,c63e9bb05ccb48e1216ba95aaf8b35170293dd32a2be05d5fa75d19797d4262b,False,False,,,True,0.002868303456949454,9,0.9895796296296298,-106.11703321391425,-102.56647220739478,-105.94167923219204,-105.08238070160697,-0.1753539817222161,2.515908494212187,0.11070833333333334,b89a2c7572bd8d3f222df751b1509387aecc0b10619ca6b6786f73c960adb90e,True,True,True,0.0,0.38868645026634985,-1.0368714471979772,0.5086666088261783,0.2544166666666667,-1.677452737943067,1.9293759547921505,-1.677452737943067,0.21715833333333337,0.38868645035674176,0.0,0.0,0.5086666089780211,0.0007969438401857868,-31.10882930434776,0.0018546000411615376,0.9991333333333334,-0.1753539817222161,1.8018238428148414,-106.11703321391427,0.0007583333333333335,0.0007969438165426252,0.9961416666666668,0.73,0.0009993145655939207,5.284709187628534,0.30573979591836736,0.2614795918367347,-8.026575190116416,0.8314,0.73,-15.435361946419448,0.0,0.0,-1.9353764089099577,True,0.7513647841717703,-0.3296573904339195,0.7913588386131947,0.11345833333333331,1.6425543947396282,3.1411697172386135,1.6425543947396282,0.6696,0.7513647841756541,0.0,0.0,0.7913588385988268,0.005923037640223248,-25.922605437122737,0.007026030614517232,0.9933833333333334,2.515908494212187,9.323309422124504,-102.5664722073948,0.005608333333333333,0.005923037543396156,0.9793916666666668,0.6,0.00627438803230621,29.754809963546162,30.493658781051636
4,S2dyn_20r,2,2,dyn,20,,True,2,4,0.26640625,2.027929222981135,0.10083333333333333,2.8086059220631916,0.34,0.11416666666666667,True,0.15254590276360128,0.3949267212495518,0.08420286726535171,0.28472591579581297,0.2118943326374089,0.2963171507387112,0.20966836734693878,0.7108,0.0,0.2095280612244898,0.7017,0.0,0.21159438775510203,0.7052,0.0,0.20372448979591837,0.6403,0.0,0.3675000071525574,1.756686081423319,62f514b79273fb93bec11612455ec7c6d5106dd5cff79720f7bc8aa823384966,False,False,,,,0.0023090661831506425,9,0.9923935185185184,-102.56647220739478,-112.12778524433897,-105.08238070160697,-111.99551973124245,2.515908494212187,-0.13226551309651113,0.10835416666666667,00b8130c6e20817dcc1987f8914bf4af9ac172c1af6e88382352a6751fb4a03e,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7149537280508009,-0.37403481541753836,0.7573273221962482,0.1371416666666667,1.3361552820184581,3.483916463200421,1.3361552820184581,0.6305666666666667,0.7149537281041344,1.6666666666666667e-05,0.0,0.7573273222907209,0.002628463427955593,-26.743900265983896,0.0036031783900319697,0.9970749999999999,-0.13226551309651105,10.37844911626962,-112.12778524433895,0.0025083333333333333,0.0026284633835156764,0.9911083333333334,0.64,0.0028362212262114423,25.87148202044403,31.66985058784485
