arm,seed,acc_base,acc_late,L,Cov,NL_x,NL_u,gcorr,Gbar,N,Cov10,Cov50,Cov_abs,zbar,sigma,pos,hard_dead,g1,g1_cnorm,g1_n,Cov_chronic,n_chronic,R_c,L61,rho_w,R_c_src,acc_base_wsrc
R,0,0.9204000234603882,0.8938499987125397,2.655002474784851,0.818984375,0.060257072448730464,0.0885700328826904,0.625390181518221,0.181015625,6.467944098023445,0.818984375,0.818984375,0.818984375,-3.372495251209827,2.3755065997457994,0.181015625,38.0,0.0,0.0,600,0.03,3,0.6900012493133545,1.8999993801116943,0.6368413292467539,clamp_horizon_acts_0910,0.9204000234603882
R,1,0.9172000288963318,0.896699994802475,2.050003409385681,0.8256054687500001,0.056577873229980466,0.08804211959838867,0.6374764268663085,0.17439453124999998,6.5006302300972925,0.8256054687500001,0.8256054687500001,0.8256054687500001,-3.657808587499887,2.2843443434354036,0.17439453124999998,41.5,0.0,0.0,600,0.02,2,0.20500421524047852,1.6350030899047852,0.874615395832422,clamp_horizon_acts_0910,0.9172000288963318
R,2,0.9187999963760376,0.8932999968528748,2.549999952316284,0.8227734375,0.05942827224731445,0.08680015087127685,0.6531243663822166,0.17722656250000002,6.34144732540862,0.8227734375,0.8227734375,0.8227734375,-3.5598982724080406,2.3482450223305817,0.17722656250000002,44.0,0.0,0.0,600,0.02,2,0.7299989461898804,1.8000006675720215,0.5944451803039836,clamp_horizon_acts_0910,0.9187999963760376
LR03,0,0.9203000068664551,0.9067000150680542,1.359999179840088,0.0,0.06607183708218714,0.01594437363868529,0.49086085863322254,0.44630274380440826,7.61994951852404,0.0,0.79099609375,0.0,-2.3901926930761705,2.1546643886168058,0.20900390624999998,0.0,0.0,0.0,600,0.0,0,0.29000043869018555,1.0450005531311035,0.7224877653688642,gate_wclamp_0911,0.9203000068664551
LR03,1,0.9196000099182129,0.90625,1.335000991821289,0.0,0.06546601949875624,0.015472742766763714,0.49928212302433095,0.44656250942498443,7.583911404112501,0.0,0.790625,0.0,-2.4240116276384756,2.083386080359447,0.209375,0.0,0.0,0.0,600,0.0,0,0.20000338554382324,0.9900003671646118,0.797976453163711,gate_wclamp_0911,0.9196000099182129
LR03,2,0.9160000085830688,0.905100017786026,1.0899990797042847,0.0,0.0649561667252892,0.014398216434267013,0.4814785447091292,0.44345215791545345,7.596225187114037,0.0,0.7950683593750001,0.0,-2.377281130843918,2.1412085289575784,0.204931640625,0.0,0.0,0.0,600,0.0,0,-0.0849992036819458,0.6300002336502075,1.1349193208857435,gate_wclamp_0911,0.9160000085830688
LR,0,0.9254999756813049,0.9002000093460083,2.529996633529663,0.8368359375000001,0.06960486350852627,0.04025386763022387,0.49319276087498676,0.24684765749698273,8.073315887542755,0.0,0.8368359375000001,0.8368359375000001,-4.074038670223956,2.6702008908892285,0.16316406249999998,0.0,1.7763568394002505e-15,0.0,360,0.0,0,0.709998607635498,1.9699960947036743,0.6395939009501967,width_sink_clamp_0909,0.9254999756813049
LR,1,0.9241999983787537,0.9013999998569489,2.279999852180481,0.84224609375,0.06671501461825433,0.04052986286856777,0.5434695414684931,0.2419785168800445,8.081351204757512,0.0,0.84224609375,0.84224609375,-3.9333135426112515,2.4577125556710477,0.15775390625,0.0,1.7763568394002505e-15,0.0,360,0.0,0,0.48500001430511475,1.819998025894165,0.7335161866085903,width_sink_clamp_0909,0.9241999983787537
LR,2,0.9193000197410583,0.8986000120639801,2.0700007677078247,0.86583984375,0.06332647054683344,0.030519196485548558,0.4504953298091183,0.22074414191520192,8.132946583041901,0.0,0.86583984375,0.86583984375,-4.219180076680274,2.5570737150273857,0.13416015625,0.0,1.7763568394002505e-15,0.0,360,0.0,0,-0.034996867179870605,1.5950024127960205,1.0219415763255941,width_sink_clamp_0909,0.9193000197410583
LR001,0,0.9232000112533569,0.8957000076770782,2.7500003576278687,0.7832812499999999,0.07079467517616292,0.09628038417416312,0.6554932351232527,0.22455156232492302,7.940921899003246,0.7832812499999999,0.7832812499999999,0.7832812499999999,-4.441706133644338,3.1525980178655875,0.21671875000000002,0.0,0.0,0.0,600,0.0,0,1.205003261566162,2.2950023412704468,0.4749446482485472,gate_wclamp_0911,0.9232000112533569
LR001,1,0.9223999977111816,0.8941999971866608,2.8200000524520874,0.8299609375,0.062288117242329105,0.07719817171200963,0.6385798952081667,0.17833867168948928,8.030750416949662,0.8299609375,0.8299609375,0.8299609375,-5.570493151933202,3.103766804343352,0.1700390625,0.0,0.0,0.0,600,0.0,0,0.9099990129470825,2.1849989891052246,0.5835242865170684,gate_wclamp_0911,0.9223999977111816
LR001,2,0.9223999977111816,0.895550012588501,2.6849985122680664,0.817021484375,0.06338960062981988,0.08662508255673955,0.6691230051698838,0.19114873028613147,7.944815977529031,0.817021484375,0.817021484375,0.817021484375,-4.792660848065866,3.130418169927029,0.182978515625,0.0,0.0,0.0,600,0.0,0,0.8049994707107544,1.940000057220459,0.5850518314601909,gate_wclamp_0911,0.9223999977111816
ELU1,0,0.9218000173568726,0.9041000008583069,1.7700016498565674,0.712373046875,0.07979218753982721,0.07609063340280986,0.6671868496617862,0.2627997891890486,7.97000994391359,0.64091796875,0.763037109375,0.712373046875,-6.790671504965935,4.607906489670397,0.1940234375,0.0,1.7763568394002505e-15,0.0,360,0.1,10,0.0050008296966552734,1.0800033807754517,0.9953696166274363,width_sink_clamp_0909,0.9218000173568726
ELU1,1,0.9235000014305115,0.9049499928951263,1.8550008535385132,0.7250097656250001,0.07932694678106475,0.0748801634298075,0.6566900993224366,0.25271972761419237,8.104485021909603,0.652626953125,0.771884765625,0.7250097656250001,-6.228454669348764,3.8217521123094556,0.18626953125,0.0,1.7763568394002505e-15,0.0,360,0.07,7,0.07500052452087402,1.1299997568130493,0.9336278401223742,width_sink_clamp_0909,0.9235000014305115
ELU1,2,0.9254000186920166,0.9052000045776367,2.0200014114379883,0.70078125,0.08054904663920467,0.07896012470311498,0.6808567499002359,0.27529653931782916,7.929841295276838,0.6289453125,0.750439453125,0.70078125,-6.598811827791833,4.3633646623410955,0.202509765625,5.0,1.4210854715202004e-14,0.0,360,0.09,9,0.2600044012069702,1.5550017356872559,0.8327947839286125,width_sink_clamp_0909,0.9254000186920166
ELU03,0,0.9279999732971191,0.9009000062942505,2.7099967002868652,0.772080078125,0.0784723026866522,0.08435757723666308,0.6327883579785757,0.23818466849842423,7.9105051410665315,0.711396484375,0.78251953125,0.772080078125,-4.225358420853714,3.2024765392921095,0.21748046875,0.0,1.7763568394002505e-15,0.0,360,0.03,3,nan,nan,nan,,
