zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,gcorr,gcorr_degenerate,task,step,clamp,arm,seed
0.17123405829306898,0.7160196646995025,0.2598886886534717,0.55216796875,0.04946416814271647,0.2698217215091221,0.18945335105454306,0.5304052734375,0.017334261475770787,0.057412143344177144,-0.0019426434218016886,0.00039271672665580057,0.004220580788853714,0.9622658012376055,0.008214725722791628,0.030595693612079096,0.04844376787889606,0.44212126801631246,0.15107311379043387,0.699958494125415,0.9589553311956115,0.37811076641082764,0.9107000231742859,0.9589553303516004,0.4710506866127506,0.016573127979568537,0.48762381459232,8.326672684688674e-16,0.2405859375,0.2405859375,0.14943359375,0.34916015625,0.04717262387275696,0,0.0,2.0,0.044675513661570035,0,1,625,ref,SN15,1
-0.1252314843064297,0.8384942987417064,0.4848260859007441,0.4149609375,-0.03606255085496341,0.3589195140831163,0.28215175252302865,0.47713134765625,0.02571928136111721,0.10510058551283523,-0.0019966492842921116,-0.0003508475819619614,0.005151289332604452,1.2699512623255582,0.008236319432326127,0.036553028646867186,-0.02770373915724751,0.5293657061090804,0.14948365505469036,0.7242030748746495,0.9456688810174819,0.39132940769195557,0.8970000147819519,0.9456688784155994,0.48300665805621096,0.011396726017680749,0.4944033840738905,1.2212453270876722e-15,0.25232421875,0.25232421875,0.1583984375,0.36056640625,0.040736001729965214,0,0.0,2.0,0.015364424631945216,0,2,625,ref,SN15,1
-0.27585680783853866,0.8745985352927439,0.49583941037258084,0.35900390625,-0.12006469471077547,0.40761808210378336,0.32744451021743726,0.40998535156250004,0.029809135814218478,0.13785553334569578,-0.0015121683019475912,-0.0011573161810410233,0.005436797117449988,1.4610590048093315,0.007649239422753453,0.03831579421954616,-0.1109036977834251,0.5564906353530713,0.21641288269350717,0.7285774131272719,0.920500085974345,0.37735745310783386,0.8939999938011169,0.9205000822723377,0.4852139972065767,0.011542460220870177,0.49675645742744445,2.4424906541753444e-15,0.2657421875,0.2657421875,0.16501953125,0.380625,0.03844950199127197,0,0.0,2.0,0.016566823867694945,0,3,625,ref,SN15,1
-0.42896174375650203,0.9028694009731305,0.5360776166998508,0.32615234375,-0.2943436827607526,0.45193963644048185,0.3587802011375371,0.32865234374999996,0.03869058528678113,0.16675827204466873,-0.0011994223454949333,-0.00283008751101111,0.005665215000726243,1.6084426422396003,0.003873225293646101,0.041343895416495455,-0.2860347466825941,0.5818681318519919,0.20048577137739815,0.7418336291461581,0.9415869895892683,0.36666086316108704,0.9059000015258789,0.9415869891899638,0.48872765374413296,0.010388275378408212,0.49911592912254754,6.38378239159465e-15,0.25740234375,0.25740234375,0.16119140625,0.36708984375,0.04265269637107849,0,0.0,2.0,0.009082583224770579,0,4,625,ref,SN15,1
-0.37596507432928994,0.9154058185720574,0.5369449228500788,0.34423828125,-0.3346582553242747,0.49089327291434287,0.4383161350887538,0.332783203125,0.04542719961546289,0.1941314806317536,0.0014175251453390698,-0.0031911843603193357,0.006074793795142347,1.7329193787630643,0.004773015895189019,0.04339458576561726,-0.32212492719065716,0.6199599646058401,0.28856193511321354,0.7523042044105516,0.9362730092124548,0.36044010519981384,0.9031000137329102,0.9362730119714979,0.4875400038311825,0.007681838304477187,0.4952218421356621,2.4424906541753444e-15,0.25751953125,0.25751953125,0.1638671875,0.3681640625,0.03835866451263428,0,0.0,2.0,0.03911274722103999,0,5,625,ref,SN15,1
-0.3998370816472452,0.9608737676347087,0.5395156439410219,0.3477734375,-0.38087450520589156,0.5234239164394269,0.49403653077117027,0.32518554687499995,0.049490925902713416,0.2202050377070307,0.004276632691044014,-0.0034380048799484697,0.006283238404499983,1.8464715288923939,0.00309162050485611,0.04378103654858838,-0.34909007653184915,0.6392612128057781,0.350917199767097,0.7550321632510554,0.9348169503791723,0.3830135464668274,0.8935999870300293,0.9348169469076675,0.48957052804348195,0.006269259698908649,0.49583978774239024,3.3306690738754696e-16,0.2560546875,0.2560546875,0.16138671875,0.37056640625,0.042914682626724245,0,0.0,2.0,0.012400494390122925,0,6,625,ref,SN15,1
-0.45487875375178405,0.971195065135735,0.4091090471958894,0.3259375,-0.4066698826281079,0.538975004085928,0.4166624175464235,0.3124658203125,0.045221790530670145,0.2405855086498649,0.0046867558488910225,-0.0036394530841502557,0.005798986574630538,1.9448690078327582,0.002480621993308887,0.046237946259044635,-0.37033698828324174,0.5884341339413114,0.36820020829249234,0.7630208285805687,0.9566918167087715,0.3577267825603485,0.9042999744415283,0.9566918180929497,0.4882857769608996,0.006515753631647311,0.49480153059254606,8.326672684688674e-16,0.24619140625,0.24619140625,0.15322265625,0.3558203125,0.04372971057891846,0,0.0,2.0,0.01611980327750392,0,7,625,ref,SN15,1
-0.5162506302139726,0.9562855197758624,0.5655706390692323,0.3085546875,-0.46669174501692084,0.5649453171567342,0.5031962599884819,0.305712890625,0.056071310410742044,0.25841347973711726,0.004678421229463716,-0.004252626380835488,0.0063273149836399,2.0286469416705852,0.0020758401081548074,0.048462230916763965,-0.43355390096660246,0.6498667500509946,0.3731703542129736,0.7710790894728621,0.9461955152172595,0.41759467124938965,0.8934999704360962,0.9461955178168137,0.4909636981784432,0.006723534097251871,0.497687232275696,9.43689570931383e-16,0.252109375,0.252109375,0.156875,0.3641796875,0.03972292542457581,0,0.0,2.0,0.01713677390682029,0,8,625,ref,SN15,1
-0.3707989598031125,0.9755106240224721,0.4694509638460022,0.3674609375,-0.4288559835059123,0.586576395567592,0.5184349352544022,0.32529052734374997,0.054020232266551824,0.2865674085105954,0.003484227059920948,-0.0038197874804687805,0.006434513198480417,2.118927577211481,0.004892650493929978,0.04799910640178645,-0.38639802074305174,0.6578109043439709,0.39132066288321943,0.7842923857561778,0.9568058319855481,0.3503545820713043,0.901199996471405,0.9568058354384266,0.49178944758667015,0.005703970133077627,0.49749341771975153,3.774758283725532e-15,0.24654296875,0.24654296875,0.15638671875,0.35611328125,0.041701394319534305,0,0.0,2.0,0.021712313069828293,0,9,625,ref,SN15,1
-0.5170835288065565,0.9944364656376434,0.5678455068670342,0.32109375,-0.45767238835137247,0.6096453283058532,0.5417686759485586,0.31689208984375,0.0556235498265607,0.31172938499074376,0.004314491507847009,-0.004006769859251333,0.006449916499518781,2.204653529333965,0.005065157505159732,0.04998226797029539,-0.4053795794690952,0.6632656944959495,0.46545715578297453,0.788457392744774,0.96416303703445,0.44665709137916565,0.8888000249862671,0.9641630361380521,0.4941745677532473,0.005424583520648032,0.49959915127389465,6.661338147750939e-16,0.2444921875,0.2444921875,0.15392578125,0.35474609375,0.044225174188613894,0,0.0,2.0,0.015828593527769313,0,10,625,ref,SN15,1
-0.33935332603713625,1.026857249943912,0.7607333136887138,0.38203125,-0.48970025264805683,0.6247690511009937,0.4856194733850029,0.29655517578125,0.05407861569879212,0.3317834600643655,0.004474291450478386,-0.004349808586986663,0.006093719561140911,2.2821407018483235,0.006792228356353007,0.05269386460933883,-0.4387926452674323,0.630701385267176,0.44213828109383124,0.793109670352555,0.9693472611089237,0.4040617346763611,0.8845999836921692,0.9693472616106737,0.4914025107728227,0.005976388755467256,0.4973788995282892,7.771561172376096e-16,0.24126953125,0.24126953125,0.1506640625,0.35048828125,0.046913594007492065,0,0.0,2.0,0.016061397561873258,0,11,625,ref,SN15,1
-0.404258209892433,1.0235309829293726,0.6547598430068682,0.35875,-0.46751676978731943,0.6453731597260333,0.5333150829872296,0.31858886718749996,0.058589928445592104,0.3552307838479885,0.002685803001183358,-0.004140368880916479,0.006602099778555971,2.359068277942069,0.007219021619821433,0.052824309597932696,-0.4169113067993125,0.6825404902654787,0.4718665143802778,0.8001392158514049,0.9604161526588723,0.36695539951324463,0.8970999717712402,0.9604161494283471,0.4933178606685804,0.004527701477908266,0.49784556214649356,4.884981308350689e-15,0.24736328125,0.24736328125,0.15544921875,0.355859375,0.04574618339538575,0,0.0,2.0,0.022013080319555803,0,12,625,ref,SN15,1
-0.4793792850676366,1.0598896020530906,0.719833037108834,0.35548828125,-0.5071884467561998,0.666795896311871,0.481603718684874,0.31080322265625,0.059990057573081526,0.38635874978608653,-0.0017320400208167721,-0.004582090859534902,0.006417639668720795,2.4437072470966887,0.0087173393368721,0.05312371645122632,-0.4606620220186488,0.6604172267292739,0.45900602621582864,0.8080152277030104,0.9727992788038682,0.38923919200897217,0.8963000178337097,0.972799278292805,0.49241194692509366,0.004963629303764841,0.4973755762288586,1.1102230246251565e-16,0.24044921875,0.24044921875,0.1501171875,0.34759765625,0.046543771028518685,0,0.0,2.0,0.01043252710696583,0,13,625,ref,SN15,1
-0.6490827714288037,1.0841906659087244,0.880849726913426,0.32025390625,-0.5457129418106499,0.6917485057040065,0.530212993470744,0.30597412109375,0.06719940772808158,0.41499671950094064,-0.003680132085296247,-0.0050102932649933075,0.006674679321749244,2.5262722394037658,0.008295365878148005,0.05204833295148604,-0.5049481129220813,0.6826127404321988,0.475615007059097,0.8212059318431032,0.9812521227891557,0.3673843443393707,0.9007999897003174,0.9812521246110555,0.49553255685986597,0.0026602132339108523,0.4981927700937722,4.6074255521944e-15,0.23751953125,0.23751953125,0.14931640625,0.34369140625,0.04487466812133789,0,0.0,2.0,-0.010751055877483866,0,14,625,ref,SN15,1
