arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.9822583333,1,1,0,0,-1.956481934,16.8210907,-8.773367882,0.4937501252,72.03502524,0,0,-7.564565659,13.2348814,-16.43795776,0.3617500961,76.07417549,3.653212309,0.9934191704,1.275191903,1600,1700,1200,883
LR,std,0,0,0.001,2,none,0.9980854167,1,1,0,0,-2.363669395,19.61948586,-10.62116528,0.4982501268,73.30492263,0,0,-11.09038639,18.04674149,-25.98004532,0.3565000892,75.26696407,4.407177925,1.102859139,1.392160296,100,100,1200,928
LR,std,0,0,0.001,3,none,0.9983354167,1,1,0,0,-2.848353148,21.74258423,-11.83883286,0.4885001183,73.80827176,0,0,-14.33414555,22.19015121,-27.99348068,0.337000072,73.34475765,5.030076027,1.168219328,1.391169071,100,100,1200,964
LR,std,0,0,0.001,4,none,0.9983875,1,1,0,0,-3.324650526,24.32671928,-9.907776833,0.4855000973,74.01975812,0,0,-14.3819809,25.47177505,-35.58520126,0.3512500823,70.78681915,5.651848316,1.239091873,1.430707455,100,100,1200,731
LR,std,0,0,0.001,5,none,0.9968354167,1,1,0,0,-4.040072441,27.50381851,-11.16638088,0.4825001061,74.50312168,0,0,-23.98769951,31.24258804,-40.61565018,0.2867500484,67.23974332,6.613229752,1.364532828,1.409951329,100,100,1200,906
LR,std,0,0,0.001,6,none,0.9987208333,1,1,0,0,-3.999326229,28.77159691,-13.23961163,0.4862501025,75.26152773,0,0,-25.43458748,33.38873291,-44.60803604,0.283000052,65.90842946,7.118036747,1.423544049,1.41900456,100,100,1200,783
LR,std,0,0,0.001,7,none,0.99871875,1,1,0,0,-3.918908358,29.99903488,-12.42165852,0.487750113,75.23575211,0,0,-28.47367287,36.23178482,-50.06003952,0.2785000205,65.20412639,7.550113678,1.4790802,1.441465259,100,100,1200,780
LR,std,0,0,0.001,8,none,0.9987479167,1,1,0,0,-4.666962147,31.95487976,-13.24066257,0.4840001166,75.47447962,0,0,-31.89289093,40.23052597,-55.76541138,0.2740000188,63.28368919,8.007837296,1.538400531,1.444761992,100,100,1200,993
LR,std,0,0,0.001,9,none,0.9987625,1,1,0,0,-4.532961369,32.90781021,-14.55819702,0.491500169,75.88100308,0,0,-30.9615593,42.1571312,-57.24556732,0.2837500274,63.76445891,8.440144539,1.584852099,1.416789889,100,100,1200,950
LR,std,0,0,0.001,10,none,0.9988625,1,1,0,0,-5.054813862,36.90988159,-14.90899467,0.4885000587,73.56138825,0,0,-31.09926414,48.88670349,-81.09494019,0.3302500844,48.59568807,8.903896332,1.622945189,1.459782958,100,100,1200,825
LR,std,0,0,0.001,11,none,0.9980666667,1,1,0,0,-5.479556561,37.30994797,-16.06689453,0.4870001376,76.21206029,0,0,-35.97976685,48.46229553,-62.4836731,0.2867500484,60.5111171,9.62270546,1.713141441,1.464199305,100,100,1197,911
LR,std,0,0,0.001,12,none,0.9991333333,1,1,0,0,-5.76977253,37.80798721,-16.0410347,0.487000078,76.43426855,0,0,-39.56322479,52.92900085,-67.47012329,0.283000052,57.53242306,10.0035944,1.753140211,1.480019331,100,100,1200,874
LR,std,0,0,0.001,13,none,0.9990979167,1,1,0,0,-6.058795929,39.28649521,-13.37771606,0.4855000973,76.41433565,0,0,-39.94952393,54.98481369,-65.25980377,0.2860000432,61.1052877,10.33474064,1.798689365,1.508761883,100,100,1200,840
LR,std,0,0,0.001,14,none,0.9991708333,1,1,0,0,-5.471560001,39.625103,-17.08215332,0.4855000973,76.5084329,0,0,-43.35962677,55.6519165,-76.02742004,0.2770000398,61.96135081,10.6599493,1.829654455,1.51185739,100,100,1200,978
LR,std,0,0,0.001,15,none,0.99915,1,1,0,0,-5.396873474,40.18896103,-19.24113655,0.487000078,77.08128614,0,0,-43.55810547,58.29442215,-77.86777496,0.2920000553,62.80742459,11.06065559,1.889897585,1.56896472,100,100,1200,993
