environment,arm,activation,cell,seed,metric,window,calibration_first_task,calibration_last_task,heldout_first_task,heldout_last_task,late_first_task,late_last_task,first_source,last_source,reference_input_source,first_late_input_source,last_late_input_source
conda,LR_k1_X0Y0,LR,X0Y0,200,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t100.npz
conda,LR_k1_X0Y0,LR,X0Y0,200,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t400.npz
conda,LR_k1_X0Y0,LR,X0Y0,200,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t100.npz
conda,LR_k1_X0Y0,LR,X0Y0,200,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t400.npz
conda,LR_k1_X0Y0,LR,X0Y0,200,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t100.npz
conda,LR_k1_X0Y0,LR,X0Y0,200,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed200/t400.npz
conda,LR_k1_X0Y0,LR,X0Y0,201,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t100.npz
conda,LR_k1_X0Y0,LR,X0Y0,201,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t400.npz
conda,LR_k1_X0Y0,LR,X0Y0,201,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t100.npz
conda,LR_k1_X0Y0,LR,X0Y0,201,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y0/seed201/t400.npz
