metric,verdict,improved,decision_basis,layer,seed_values,arm_seed_levels,baseline_seed_levels,arm,baseline,contrast_type,pairing,main_verdict,split_side,pair_ok,censored,lop_signature,early_consistent_zero,floor_frac_late_arm,floor_frac_late_baseline,floor_frac_all_arm,floor_frac_all_baseline,point,studentized_ci_lo,studentized_ci_hi,percentile_ci_lo,percentile_ci_hi,se0,degenerate_se_fraction,studentized_width_ratio,ci_degenerate,boot_ok,sign_test_p,n_seed,statistic,numeric_divergence,divergent_arms,divergence_detected_step,divergence_events,centered,early_median,late_median
P1_unfit_late,INCONCLUSIVE_SPLIT,1,percentile,,"[-1.2549993530155397, -1.1213693972397445, -0.9920372740619712, -0.13482863139675993, -1.395730782070134, -0.8387272629063086, -0.6040567701170327, -1.1677229453334599, -0.05981369584671725, -0.6107312293618513]","[0.0292661191046313, 0.0286265454670234, 0.014298686977496453, 0.1063366574174717, 0.0036952440565052275, 0.01808775320178507, 0.018021482682447715, 0.012275196464618308, 0.053834711476100666, 0.025743247373309793]","[0.5264589202743646, 0.3785631524962374, 0.14038911389766848, 0.14504796362877456, 0.09191235825258075, 0.1247704916957048, 0.0724181271326913, 0.1806139942439023, 0.06178400908155269, 0.10504963779380963]",L2_A1,L2_none,baseline,paired,INCONCLUSIVE_SPLIT,P1_only,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-0.91538226848414,-7.989765852999729,-0.15744416147903606,-1.188184375127642,-0.3727799303793056,0.22996501673349384,0.3737,8.556339751359731,1,6263,0.001953125,10,median,,,,,,,
P2_eff_rank_late,INCONCLUSIVE_SPLIT,0,percentile,2,"[2.3193735006131577, 0.8598218439287328, -1.843256166542556, -2.5435417182680657, -2.861318603942089, -3.1851454547353355, -1.3166418929882262, -0.2603186250468452, -0.7021300378792148, -1.3549980475687224]","[5.893440407665987, 4.439995487605163, 4.640318626740739, 3.3762532064485065, 4.875817364875099, 3.568959141809033, 5.601878421360291, 4.071516927293469, 3.9591984192301277, 4.658824364457978]","[3.5740669070528295, 3.58017364367643, 6.483574793283295, 5.919794924716572, 7.737135968817188, 6.7541045965443685, 6.918520314348517, 4.331835552340314, 4.6613284571093425, 6.0138224120267]",L2_A1,L2_none,baseline,paired,INCONCLUSIVE_SPLIT,P1_only,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-1.3358199702784743,-1.410012264714879,-1.288848514793165,-2.5435417182680657,0.07884590302475902,0.05753423187074435,0.3757,0.09070365215191036,1,6243,0.109375,10,median,,,,,,,
P1_unfit_early,REPORT_ONLY,0,percentile,,"[8.935514976914323, 10.723839804734416, 9.612218695088268, 7.380684962890224, 9.290181901062544, 10.4640570544708, 10.433746502259867, 7.051442592404777, 9.565653937518144, 10.985094192722714]","[0.0009478076265361518, 0.0010541704232648343, 0.000902861435439674, 0.0010152147217920412, 0.001214527179515998, 0.0007912799553037433, 0.001241925261550809, 0.00046475046228150593, 0.001396408797071383, 0.0009956281551358605]","[1.099525287638192e-12, 1.9909989104561345e-14, 2.2049685936756093e-13, 4.225449775995844e-11, 6.226232543715446e-13, 2.7181480624765732e-14, 4.5745561085551995e-14, 4.128356925224369e-11, 3.7962835109541657e-13, 1.0303931828396441e-14]",L2_A1,L2_none,baseline,paired,INCONCLUSIVE_SPLIT,P1_only,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,9.588936316303206,-305157809428.1385,3915718567958.608,8.335433431976384,10.578793153497141,0.06984713635518601,0.1196,440181917801.4948,1,8804,0.001953125,10,median,,,,,,,
P1_late_minus_early,REPORT_ONLY,1,percentile,,"[-10.190514329929863, -11.84520920197416, -10.60425596915024, -7.515513594286984, -10.68591268313268, -11.30278431737711, -11.0378032723769, -8.219165537738236, -9.625467633364861, -11.595825422084566]",,,L2_A1,L2_none,baseline,paired,INCONCLUSIVE_SPLIT,P1_only,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-10.64508432614146,-10447983012866.746,15116788158588.002,-11.316814347230732,-9.20483993383405,0.12248507097366002,0.0365,2401556473223.4727,1,9635,0.001953125,10,median,,,,,,,
P1_unfit_trend_spearman,REPORT_ONLY,,report_only,,"[-0.35410272660593844, -0.45497790762247386, -0.3163267257406379, -0.16400661281389683, -0.2136812420020765, -0.3207268512929473, -0.3114729700364585, -0.3732171813506532, -0.36011753627737403, -0.3054010671946302]","[0.44282241591616966, 0.36645126397373057, 0.3632799092160224, 0.5713574619117754, 0.33372615109737547, 0.4362916676726948, 0.41972291571093995, 0.2996378298766207, 0.3649089021416327, 0.5172681749040249]","[0.7969251425221081, 0.8214291715962044, 0.6796066349566603, 0.7353640747256722, 0.547407393099452, 0.7570185189656421, 0.7311958857473985, 0.6728550112272739, 0.7250264384190067, 0.8226692420986551]",L2_A1,L2_none,baseline,paired,INCONCLUSIVE_SPLIT,P1_only,1,0,NO_LOP_PREVENTION_SIGNATURE,0,0.0,0.0,0.0,0.0,-0.3185267885167926,-0.3258385416057199,-0.2903011982868214,-0.36011753627737403,-0.26257710601926754,0.006600188328464096,0.3727,0.11156783228304518,1,6273,0.001953125,10,median,,,,,,,
P1_unfit_late,NUMERIC_DIVERGENCE,,numeric_divergence,,,,,L2_A2,L2_none,baseline,paired,NUMERIC_DIVERGENCE,,,,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,1,"[""L2_A2""]",141000,"{""L2_A2"": {""action"": ""arm_stopped_no_rescue"", ""arm"": ""L2_A2"", ""bad_seeds"": [7], ""contrast_policy"": ""any_involved_arm_is_numeric_divergence"", ""detected_step"": 141000, ""detected_task"": 15, ""detection"": ""nonfinite_training_state_at_probe"", ""elapsed_sec"": 102.91282820701599, ""nonfinite_tensors"": {""7"": [""net.Ws.1"", ""net.Ws.2"", ""net.bs.1"", ""net.bs.2"", ""net.v"", ""net.c"", ""running_mean.layer2""]}, ""partial_logs_excluded"": true, ""probe_every"": 1000, ""registered_seeds"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""registered_total_steps"": 5000000, ""rescue"": ""none"", ""status"": ""NUMERIC_DIVERGENCE""}}",,,
P2_eff_rank_late,NUMERIC_DIVERGENCE,,numeric_divergence,2,,,,L2_A2,L2_none,baseline,paired,NUMERIC_DIVERGENCE,,,,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,1,"[""L2_A2""]",141000,"{""L2_A2"": {""action"": ""arm_stopped_no_rescue"", ""arm"": ""L2_A2"", ""bad_seeds"": [7], ""contrast_policy"": ""any_involved_arm_is_numeric_divergence"", ""detected_step"": 141000, ""detected_task"": 15, ""detection"": ""nonfinite_training_state_at_probe"", ""elapsed_sec"": 102.91282820701599, ""nonfinite_tensors"": {""7"": [""net.Ws.1"", ""net.Ws.2"", ""net.bs.1"", ""net.bs.2"", ""net.v"", ""net.c"", ""running_mean.layer2""]}, ""partial_logs_excluded"": true, ""probe_every"": 1000, ""registered_seeds"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""registered_total_steps"": 5000000, ""rescue"": ""none"", ""status"": ""NUMERIC_DIVERGENCE""}}",,,
P1_unfit_early,NUMERIC_DIVERGENCE,,numeric_divergence,,,,,L2_A2,L2_none,baseline,paired,NUMERIC_DIVERGENCE,,,,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,1,"[""L2_A2""]",141000,"{""L2_A2"": {""action"": ""arm_stopped_no_rescue"", ""arm"": ""L2_A2"", ""bad_seeds"": [7], ""contrast_policy"": ""any_involved_arm_is_numeric_divergence"", ""detected_step"": 141000, ""detected_task"": 15, ""detection"": ""nonfinite_training_state_at_probe"", ""elapsed_sec"": 102.91282820701599, ""nonfinite_tensors"": {""7"": [""net.Ws.1"", ""net.Ws.2"", ""net.bs.1"", ""net.bs.2"", ""net.v"", ""net.c"", ""running_mean.layer2""]}, ""partial_logs_excluded"": true, ""probe_every"": 1000, ""registered_seeds"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""registered_total_steps"": 5000000, ""rescue"": ""none"", ""status"": ""NUMERIC_DIVERGENCE""}}",,,
P1_late_minus_early,NUMERIC_DIVERGENCE,,numeric_divergence,,,,,L2_A2,L2_none,baseline,paired,NUMERIC_DIVERGENCE,,,,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,1,"[""L2_A2""]",141000,"{""L2_A2"": {""action"": ""arm_stopped_no_rescue"", ""arm"": ""L2_A2"", ""bad_seeds"": [7], ""contrast_policy"": ""any_involved_arm_is_numeric_divergence"", ""detected_step"": 141000, ""detected_task"": 15, ""detection"": ""nonfinite_training_state_at_probe"", ""elapsed_sec"": 102.91282820701599, ""nonfinite_tensors"": {""7"": [""net.Ws.1"", ""net.Ws.2"", ""net.bs.1"", ""net.bs.2"", ""net.v"", ""net.c"", ""running_mean.layer2""]}, ""partial_logs_excluded"": true, ""probe_every"": 1000, ""registered_seeds"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""registered_total_steps"": 5000000, ""rescue"": ""none"", ""status"": ""NUMERIC_DIVERGENCE""}}",,,
P1_unfit_trend_spearman,NUMERIC_DIVERGENCE,,numeric_divergence,,,,,L2_A2,L2_none,baseline,paired,NUMERIC_DIVERGENCE,,,,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,1,"[""L2_A2""]",141000,"{""L2_A2"": {""action"": ""arm_stopped_no_rescue"", ""arm"": ""L2_A2"", ""bad_seeds"": [7], ""contrast_policy"": ""any_involved_arm_is_numeric_divergence"", ""detected_step"": 141000, ""detected_task"": 15, ""detection"": ""nonfinite_training_state_at_probe"", ""elapsed_sec"": 102.91282820701599, ""nonfinite_tensors"": {""7"": [""net.Ws.1"", ""net.Ws.2"", ""net.bs.1"", ""net.bs.2"", ""net.v"", ""net.c"", ""running_mean.layer2""]}, ""partial_logs_excluded"": true, ""probe_every"": 1000, ""registered_seeds"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""registered_total_steps"": 5000000, ""rescue"": ""none"", ""status"": ""NUMERIC_DIVERGENCE""}}",,,
