exp,width,period,enc,c,lr,seed,norm,run_id
B,100,10000,std,0.0,0.01,0,free,B_w100_K10000_c0.0_lr0.01_s0
B,100,10000,std,0.0,0.01,1,free,B_w100_K10000_c0.0_lr0.01_s1
B,100,10000,std,0.0,0.01,2,free,B_w100_K10000_c0.0_lr0.01_s2
B,100,10000,std,0.0,0.01,3,free,B_w100_K10000_c0.0_lr0.01_s3
B,100,10000,std,0.0,0.01,4,free,B_w100_K10000_c0.0_lr0.01_s4
B,100,10000,std,0.0,0.01,5,free,B_w100_K10000_c0.0_lr0.01_s5
B,100,10000,std,0.0,0.01,6,free,B_w100_K10000_c0.0_lr0.01_s6
B,100,10000,std,0.0,0.01,7,free,B_w100_K10000_c0.0_lr0.01_s7
B,100,10000,std,0.0,0.01,8,free,B_w100_K10000_c0.0_lr0.01_s8
B,100,10000,std,0.0,0.01,9,free,B_w100_K10000_c0.0_lr0.01_s9
B,100,10000,std,0.0,0.01,10,free,B_w100_K10000_c0.0_lr0.01_s10
B,100,10000,std,0.0,0.01,11,free,B_w100_K10000_c0.0_lr0.01_s11
B,100,10000,std,0.0,0.01,0,fixed,B_w100_K10000_c0.0_lr0.01_s0_nfix
B,100,10000,std,0.0,0.01,1,fixed,B_w100_K10000_c0.0_lr0.01_s1_nfix
B,100,10000,std,0.0,0.01,2,fixed,B_w100_K10000_c0.0_lr0.01_s2_nfix
B,100,10000,std,0.0,0.01,3,fixed,B_w100_K10000_c0.0_lr0.01_s3_nfix
B,100,10000,std,0.0,0.01,4,fixed,B_w100_K10000_c0.0_lr0.01_s4_nfix
B,100,10000,std,0.0,0.01,5,fixed,B_w100_K10000_c0.0_lr0.01_s5_nfix
B,100,10000,std,0.0,0.01,6,fixed,B_w100_K10000_c0.0_lr0.01_s6_nfix
B,100,10000,std,0.0,0.01,7,fixed,B_w100_K10000_c0.0_lr0.01_s7_nfix
B,100,10000,std,0.0,0.01,8,fixed,B_w100_K10000_c0.0_lr0.01_s8_nfix
B,100,10000,std,0.0,0.01,9,fixed,B_w100_K10000_c0.0_lr0.01_s9_nfix
B,100,10000,std,0.0,0.01,10,fixed,B_w100_K10000_c0.0_lr0.01_s10_nfix
B,100,10000,std,0.0,0.01,11,fixed,B_w100_K10000_c0.0_lr0.01_s11_nfix
B,100,10000,std,0.25,0.01,0,free,B_w100_K10000_c0.25_lr0.01_s0
B,100,10000,std,0.25,0.01,1,free,B_w100_K10000_c0.25_lr0.01_s1
B,100,10000,std,0.25,0.01,2,free,B_w100_K10000_c0.25_lr0.01_s2
B,100,10000,std,0.25,0.01,3,free,B_w100_K10000_c0.25_lr0.01_s3
B,100,10000,std,0.25,0.01,4,free,B_w100_K10000_c0.25_lr0.01_s4
B,100,10000,std,0.25,0.01,5,free,B_w100_K10000_c0.25_lr0.01_s5
B,100,10000,std,0.25,0.01,6,free,B_w100_K10000_c0.25_lr0.01_s6
B,100,10000,std,0.25,0.01,7,free,B_w100_K10000_c0.25_lr0.01_s7
B,100,10000,std,0.25,0.01,8,free,B_w100_K10000_c0.25_lr0.01_s8
B,100,10000,std,0.25,0.01,9,free,B_w100_K10000_c0.25_lr0.01_s9
B,100,10000,std,0.25,0.01,10,free,B_w100_K10000_c0.25_lr0.01_s10
B,100,10000,std,0.25,0.01,11,free,B_w100_K10000_c0.25_lr0.01_s11
B,100,10000,std,0.25,0.01,0,fixed,B_w100_K10000_c0.25_lr0.01_s0_nfix
B,100,10000,std,0.25,0.01,1,fixed,B_w100_K10000_c0.25_lr0.01_s1_nfix
B,100,10000,std,0.25,0.01,2,fixed,B_w100_K10000_c0.25_lr0.01_s2_nfix
B,100,10000,std,0.25,0.01,3,fixed,B_w100_K10000_c0.25_lr0.01_s3_nfix
B,100,10000,std,0.25,0.01,4,fixed,B_w100_K10000_c0.25_lr0.01_s4_nfix
B,100,10000,std,0.25,0.01,5,fixed,B_w100_K10000_c0.25_lr0.01_s5_nfix
B,100,10000,std,0.25,0.01,6,fixed,B_w100_K10000_c0.25_lr0.01_s6_nfix
B,100,10000,std,0.25,0.01,7,fixed,B_w100_K10000_c0.25_lr0.01_s7_nfix
B,100,10000,std,0.25,0.01,8,fixed,B_w100_K10000_c0.25_lr0.01_s8_nfix
B,100,10000,std,0.25,0.01,9,fixed,B_w100_K10000_c0.25_lr0.01_s9_nfix
B,100,10000,std,0.25,0.01,10,fixed,B_w100_K10000_c0.25_lr0.01_s10_nfix
B,100,10000,std,0.25,0.01,11,fixed,B_w100_K10000_c0.25_lr0.01_s11_nfix
B,100,10000,std,0.5,0.01,0,free,B_w100_K10000_c0.5_lr0.01_s0
B,100,10000,std,0.5,0.01,1,free,B_w100_K10000_c0.5_lr0.01_s1
B,100,10000,std,0.5,0.01,2,free,B_w100_K10000_c0.5_lr0.01_s2
B,100,10000,std,0.5,0.01,3,free,B_w100_K10000_c0.5_lr0.01_s3
B,100,10000,std,0.5,0.01,4,free,B_w100_K10000_c0.5_lr0.01_s4
B,100,10000,std,0.5,0.01,5,free,B_w100_K10000_c0.5_lr0.01_s5
B,100,10000,std,0.5,0.01,6,free,B_w100_K10000_c0.5_lr0.01_s6
B,100,10000,std,0.5,0.01,7,free,B_w100_K10000_c0.5_lr0.01_s7
B,100,10000,std,0.5,0.01,8,free,B_w100_K10000_c0.5_lr0.01_s8
B,100,10000,std,0.5,0.01,9,free,B_w100_K10000_c0.5_lr0.01_s9
B,100,10000,std,0.5,0.01,10,free,B_w100_K10000_c0.5_lr0.01_s10
B,100,10000,std,0.5,0.01,11,free,B_w100_K10000_c0.5_lr0.01_s11
B,100,10000,std,0.5,0.01,0,fixed,B_w100_K10000_c0.5_lr0.01_s0_nfix
B,100,10000,std,0.5,0.01,1,fixed,B_w100_K10000_c0.5_lr0.01_s1_nfix
B,100,10000,std,0.5,0.01,2,fixed,B_w100_K10000_c0.5_lr0.01_s2_nfix
B,100,10000,std,0.5,0.01,3,fixed,B_w100_K10000_c0.5_lr0.01_s3_nfix
B,100,10000,std,0.5,0.01,4,fixed,B_w100_K10000_c0.5_lr0.01_s4_nfix
B,100,10000,std,0.5,0.01,5,fixed,B_w100_K10000_c0.5_lr0.01_s5_nfix
B,100,10000,std,0.5,0.01,6,fixed,B_w100_K10000_c0.5_lr0.01_s6_nfix
B,100,10000,std,0.5,0.01,7,fixed,B_w100_K10000_c0.5_lr0.01_s7_nfix
B,100,10000,std,0.5,0.01,8,fixed,B_w100_K10000_c0.5_lr0.01_s8_nfix
B,100,10000,std,0.5,0.01,9,fixed,B_w100_K10000_c0.5_lr0.01_s9_nfix
B,100,10000,std,0.5,0.01,10,fixed,B_w100_K10000_c0.5_lr0.01_s10_nfix
B,100,10000,std,0.5,0.01,11,fixed,B_w100_K10000_c0.5_lr0.01_s11_nfix
B,100,10000,std,0.75,0.01,0,free,B_w100_K10000_c0.75_lr0.01_s0
B,100,10000,std,0.75,0.01,1,free,B_w100_K10000_c0.75_lr0.01_s1
B,100,10000,std,0.75,0.01,2,free,B_w100_K10000_c0.75_lr0.01_s2
B,100,10000,std,0.75,0.01,3,free,B_w100_K10000_c0.75_lr0.01_s3
B,100,10000,std,0.75,0.01,4,free,B_w100_K10000_c0.75_lr0.01_s4
B,100,10000,std,0.75,0.01,5,free,B_w100_K10000_c0.75_lr0.01_s5
B,100,10000,std,0.75,0.01,6,free,B_w100_K10000_c0.75_lr0.01_s6
B,100,10000,std,0.75,0.01,7,free,B_w100_K10000_c0.75_lr0.01_s7
B,100,10000,std,0.75,0.01,8,free,B_w100_K10000_c0.75_lr0.01_s8
B,100,10000,std,0.75,0.01,9,free,B_w100_K10000_c0.75_lr0.01_s9
B,100,10000,std,0.75,0.01,10,free,B_w100_K10000_c0.75_lr0.01_s10
B,100,10000,std,0.75,0.01,11,free,B_w100_K10000_c0.75_lr0.01_s11
B,100,10000,std,0.75,0.01,0,fixed,B_w100_K10000_c0.75_lr0.01_s0_nfix
B,100,10000,std,0.75,0.01,1,fixed,B_w100_K10000_c0.75_lr0.01_s1_nfix
B,100,10000,std,0.75,0.01,2,fixed,B_w100_K10000_c0.75_lr0.01_s2_nfix
B,100,10000,std,0.75,0.01,3,fixed,B_w100_K10000_c0.75_lr0.01_s3_nfix
B,100,10000,std,0.75,0.01,4,fixed,B_w100_K10000_c0.75_lr0.01_s4_nfix
B,100,10000,std,0.75,0.01,5,fixed,B_w100_K10000_c0.75_lr0.01_s5_nfix
B,100,10000,std,0.75,0.01,6,fixed,B_w100_K10000_c0.75_lr0.01_s6_nfix
B,100,10000,std,0.75,0.01,7,fixed,B_w100_K10000_c0.75_lr0.01_s7_nfix
B,100,10000,std,0.75,0.01,8,fixed,B_w100_K10000_c0.75_lr0.01_s8_nfix
B,100,10000,std,0.75,0.01,9,fixed,B_w100_K10000_c0.75_lr0.01_s9_nfix
B,100,10000,std,0.75,0.01,10,fixed,B_w100_K10000_c0.75_lr0.01_s10_nfix
B,100,10000,std,0.75,0.01,11,fixed,B_w100_K10000_c0.75_lr0.01_s11_nfix
B,100,10000,std,1.0,0.01,0,free,B_w100_K10000_c1.0_lr0.01_s0
B,100,10000,std,1.0,0.01,1,free,B_w100_K10000_c1.0_lr0.01_s1
B,100,10000,std,1.0,0.01,2,free,B_w100_K10000_c1.0_lr0.01_s2
B,100,10000,std,1.0,0.01,3,free,B_w100_K10000_c1.0_lr0.01_s3
B,100,10000,std,1.0,0.01,4,free,B_w100_K10000_c1.0_lr0.01_s4
B,100,10000,std,1.0,0.01,5,free,B_w100_K10000_c1.0_lr0.01_s5
B,100,10000,std,1.0,0.01,6,free,B_w100_K10000_c1.0_lr0.01_s6
B,100,10000,std,1.0,0.01,7,free,B_w100_K10000_c1.0_lr0.01_s7
B,100,10000,std,1.0,0.01,8,free,B_w100_K10000_c1.0_lr0.01_s8
B,100,10000,std,1.0,0.01,9,free,B_w100_K10000_c1.0_lr0.01_s9
B,100,10000,std,1.0,0.01,10,free,B_w100_K10000_c1.0_lr0.01_s10
B,100,10000,std,1.0,0.01,11,free,B_w100_K10000_c1.0_lr0.01_s11
B,100,10000,std,1.0,0.01,0,fixed,B_w100_K10000_c1.0_lr0.01_s0_nfix
B,100,10000,std,1.0,0.01,1,fixed,B_w100_K10000_c1.0_lr0.01_s1_nfix
B,100,10000,std,1.0,0.01,2,fixed,B_w100_K10000_c1.0_lr0.01_s2_nfix
B,100,10000,std,1.0,0.01,3,fixed,B_w100_K10000_c1.0_lr0.01_s3_nfix
B,100,10000,std,1.0,0.01,4,fixed,B_w100_K10000_c1.0_lr0.01_s4_nfix
B,100,10000,std,1.0,0.01,5,fixed,B_w100_K10000_c1.0_lr0.01_s5_nfix
B,100,10000,std,1.0,0.01,6,fixed,B_w100_K10000_c1.0_lr0.01_s6_nfix
B,100,10000,std,1.0,0.01,7,fixed,B_w100_K10000_c1.0_lr0.01_s7_nfix
B,100,10000,std,1.0,0.01,8,fixed,B_w100_K10000_c1.0_lr0.01_s8_nfix
B,100,10000,std,1.0,0.01,9,fixed,B_w100_K10000_c1.0_lr0.01_s9_nfix
B,100,10000,std,1.0,0.01,10,fixed,B_w100_K10000_c1.0_lr0.01_s10_nfix
B,100,10000,std,1.0,0.01,11,fixed,B_w100_K10000_c1.0_lr0.01_s11_nfix
B,100,10000,std,1.25,0.01,0,free,B_w100_K10000_c1.25_lr0.01_s0
B,100,10000,std,1.25,0.01,1,free,B_w100_K10000_c1.25_lr0.01_s1
B,100,10000,std,1.25,0.01,2,free,B_w100_K10000_c1.25_lr0.01_s2
B,100,10000,std,1.25,0.01,3,free,B_w100_K10000_c1.25_lr0.01_s3
B,100,10000,std,1.25,0.01,4,free,B_w100_K10000_c1.25_lr0.01_s4
B,100,10000,std,1.25,0.01,5,free,B_w100_K10000_c1.25_lr0.01_s5
B,100,10000,std,1.25,0.01,6,free,B_w100_K10000_c1.25_lr0.01_s6
B,100,10000,std,1.25,0.01,7,free,B_w100_K10000_c1.25_lr0.01_s7
B,100,10000,std,1.25,0.01,8,free,B_w100_K10000_c1.25_lr0.01_s8
B,100,10000,std,1.25,0.01,9,free,B_w100_K10000_c1.25_lr0.01_s9
B,100,10000,std,1.25,0.01,10,free,B_w100_K10000_c1.25_lr0.01_s10
B,100,10000,std,1.25,0.01,11,free,B_w100_K10000_c1.25_lr0.01_s11
B,100,10000,std,1.25,0.01,0,fixed,B_w100_K10000_c1.25_lr0.01_s0_nfix
B,100,10000,std,1.25,0.01,1,fixed,B_w100_K10000_c1.25_lr0.01_s1_nfix
B,100,10000,std,1.25,0.01,2,fixed,B_w100_K10000_c1.25_lr0.01_s2_nfix
B,100,10000,std,1.25,0.01,3,fixed,B_w100_K10000_c1.25_lr0.01_s3_nfix
B,100,10000,std,1.25,0.01,4,fixed,B_w100_K10000_c1.25_lr0.01_s4_nfix
B,100,10000,std,1.25,0.01,5,fixed,B_w100_K10000_c1.25_lr0.01_s5_nfix
B,100,10000,std,1.25,0.01,6,fixed,B_w100_K10000_c1.25_lr0.01_s6_nfix
B,100,10000,std,1.25,0.01,7,fixed,B_w100_K10000_c1.25_lr0.01_s7_nfix
B,100,10000,std,1.25,0.01,8,fixed,B_w100_K10000_c1.25_lr0.01_s8_nfix
B,100,10000,std,1.25,0.01,9,fixed,B_w100_K10000_c1.25_lr0.01_s9_nfix
B,100,10000,std,1.25,0.01,10,fixed,B_w100_K10000_c1.25_lr0.01_s10_nfix
B,100,10000,std,1.25,0.01,11,fixed,B_w100_K10000_c1.25_lr0.01_s11_nfix
B,100,10000,std,1.5,0.01,0,free,B_w100_K10000_c1.5_lr0.01_s0
B,100,10000,std,1.5,0.01,1,free,B_w100_K10000_c1.5_lr0.01_s1
B,100,10000,std,1.5,0.01,2,free,B_w100_K10000_c1.5_lr0.01_s2
B,100,10000,std,1.5,0.01,3,free,B_w100_K10000_c1.5_lr0.01_s3
B,100,10000,std,1.5,0.01,4,free,B_w100_K10000_c1.5_lr0.01_s4
B,100,10000,std,1.5,0.01,5,free,B_w100_K10000_c1.5_lr0.01_s5
B,100,10000,std,1.5,0.01,6,free,B_w100_K10000_c1.5_lr0.01_s6
B,100,10000,std,1.5,0.01,7,free,B_w100_K10000_c1.5_lr0.01_s7
B,100,10000,std,1.5,0.01,8,free,B_w100_K10000_c1.5_lr0.01_s8
B,100,10000,std,1.5,0.01,9,free,B_w100_K10000_c1.5_lr0.01_s9
B,100,10000,std,1.5,0.01,10,free,B_w100_K10000_c1.5_lr0.01_s10
B,100,10000,std,1.5,0.01,11,free,B_w100_K10000_c1.5_lr0.01_s11
B,100,10000,std,1.5,0.01,0,fixed,B_w100_K10000_c1.5_lr0.01_s0_nfix
B,100,10000,std,1.5,0.01,1,fixed,B_w100_K10000_c1.5_lr0.01_s1_nfix
B,100,10000,std,1.5,0.01,2,fixed,B_w100_K10000_c1.5_lr0.01_s2_nfix
B,100,10000,std,1.5,0.01,3,fixed,B_w100_K10000_c1.5_lr0.01_s3_nfix
B,100,10000,std,1.5,0.01,4,fixed,B_w100_K10000_c1.5_lr0.01_s4_nfix
B,100,10000,std,1.5,0.01,5,fixed,B_w100_K10000_c1.5_lr0.01_s5_nfix
B,100,10000,std,1.5,0.01,6,fixed,B_w100_K10000_c1.5_lr0.01_s6_nfix
B,100,10000,std,1.5,0.01,7,fixed,B_w100_K10000_c1.5_lr0.01_s7_nfix
B,100,10000,std,1.5,0.01,8,fixed,B_w100_K10000_c1.5_lr0.01_s8_nfix
B,100,10000,std,1.5,0.01,9,fixed,B_w100_K10000_c1.5_lr0.01_s9_nfix
B,100,10000,std,1.5,0.01,10,fixed,B_w100_K10000_c1.5_lr0.01_s10_nfix
B,100,10000,std,1.5,0.01,11,fixed,B_w100_K10000_c1.5_lr0.01_s11_nfix
B,100,10000,std,2.0,0.01,0,free,B_w100_K10000_c2.0_lr0.01_s0
B,100,10000,std,2.0,0.01,1,free,B_w100_K10000_c2.0_lr0.01_s1
B,100,10000,std,2.0,0.01,2,free,B_w100_K10000_c2.0_lr0.01_s2
B,100,10000,std,2.0,0.01,3,free,B_w100_K10000_c2.0_lr0.01_s3
B,100,10000,std,2.0,0.01,4,free,B_w100_K10000_c2.0_lr0.01_s4
B,100,10000,std,2.0,0.01,5,free,B_w100_K10000_c2.0_lr0.01_s5
B,100,10000,std,2.0,0.01,6,free,B_w100_K10000_c2.0_lr0.01_s6
B,100,10000,std,2.0,0.01,7,free,B_w100_K10000_c2.0_lr0.01_s7
B,100,10000,std,2.0,0.01,8,free,B_w100_K10000_c2.0_lr0.01_s8
B,100,10000,std,2.0,0.01,9,free,B_w100_K10000_c2.0_lr0.01_s9
B,100,10000,std,2.0,0.01,10,free,B_w100_K10000_c2.0_lr0.01_s10
B,100,10000,std,2.0,0.01,11,free,B_w100_K10000_c2.0_lr0.01_s11
B,100,10000,std,2.0,0.01,0,fixed,B_w100_K10000_c2.0_lr0.01_s0_nfix
B,100,10000,std,2.0,0.01,1,fixed,B_w100_K10000_c2.0_lr0.01_s1_nfix
B,100,10000,std,2.0,0.01,2,fixed,B_w100_K10000_c2.0_lr0.01_s2_nfix
B,100,10000,std,2.0,0.01,3,fixed,B_w100_K10000_c2.0_lr0.01_s3_nfix
B,100,10000,std,2.0,0.01,4,fixed,B_w100_K10000_c2.0_lr0.01_s4_nfix
B,100,10000,std,2.0,0.01,5,fixed,B_w100_K10000_c2.0_lr0.01_s5_nfix
B,100,10000,std,2.0,0.01,6,fixed,B_w100_K10000_c2.0_lr0.01_s6_nfix
B,100,10000,std,2.0,0.01,7,fixed,B_w100_K10000_c2.0_lr0.01_s7_nfix
B,100,10000,std,2.0,0.01,8,fixed,B_w100_K10000_c2.0_lr0.01_s8_nfix
B,100,10000,std,2.0,0.01,9,fixed,B_w100_K10000_c2.0_lr0.01_s9_nfix
B,100,10000,std,2.0,0.01,10,fixed,B_w100_K10000_c2.0_lr0.01_s10_nfix
B,100,10000,std,2.0,0.01,11,fixed,B_w100_K10000_c2.0_lr0.01_s11_nfix
