step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss,w_D_all,w_D_alive,n_alive,w_paircos_all,w_paircos_alive,w_rnorm_mean,w_rnorm_alive
0,B_w100_K10000_c0.0_lr0.01_s0,0,0,0,70.729,26.5819,0.501712,0,2.57959,0.985676,0.985676,100,0.00436739,0.00436739,1.38425,1.38425
0,B_w100_K10000_c0.0_lr0.01_s1,0,0,0,70.8659,27.3817,0.498624,0,1.14365,0.992267,0.992267,100,-0.0022899,-0.0022899,1.41165,1.41165
0,B_w100_K10000_c0.0_lr0.01_s2,0,0,0,71.0231,27.9228,0.499028,0,1.74287,0.990147,0.990147,100,-0.000148382,-0.000148383,1.43166,1.43166
0,B_w100_K10000_c0.0_lr0.01_s3,0,0,0,71.1167,27.447,0.499721,0,1.58119,0.991962,0.991962,100,-0.00198158,-0.00198158,1.40605,1.40605
0,B_w100_K10000_c0.0_lr0.01_s4,0,0,0,71.1609,27.5556,0.498855,0,3.2943,0.993553,0.993553,100,-0.00358898,-0.00358898,1.40882,1.40882
0,B_w100_K10000_c0.0_lr0.01_s5,0,0,0,70.6019,26.9981,0.503511,0,1.68651,0.979969,0.979969,100,0.0101323,0.0101323,1.41484,1.41484
0,B_w100_K10000_c0.0_lr0.01_s6,0,0,0,70.9754,26.9048,0.497749,0,3.73991,0.994019,0.994019,100,-0.00405937,-0.00405937,1.39831,1.39831
0,B_w100_K10000_c0.0_lr0.01_s7,0,0,0,70.7552,26.874,0.498201,0,1.31503,0.993261,0.993261,100,-0.00329383,-0.00329383,1.39327,1.39327
0,B_w100_K10000_c0.0_lr0.01_s8,0,0,0,71.3592,28.1154,0.49974,0,1.02992,0.992942,0.992942,100,-0.00297128,-0.00297128,1.40737,1.40737
0,B_w100_K10000_c0.0_lr0.01_s9,0,0,0,71.1896,27.6168,0.499788,0,1.9343,0.994026,0.994026,100,-0.00406692,-0.00406692,1.42048,1.42048
0,B_w100_K10000_c0.0_lr0.01_s10,0,0,0,70.8099,26.9228,0.500664,0,1.22352,0.988319,0.988319,100,0.00169765,0.00169765,1.4161,1.4161
0,B_w100_K10000_c0.0_lr0.01_s11,0,0,0,70.8523,27.3344,0.498846,0,5.22873,0.991446,0.991446,100,-0.00146069,-0.00146069,1.39221,1.39221
0,B_w100_K10000_c0.0_lr0.01_s0_nfix,0,0,0,71.0627,27.481,0.499692,0,6.01819,0.988764,0.988764,100,0.00124848,0.00124847,1.4081,1.4081
0,B_w100_K10000_c0.0_lr0.01_s1_nfix,0,0,0,70.4953,27.3905,0.504002,0,1.05554,0.98168,0.98168,100,0.00840412,0.00840412,1.39076,1.39076
0,B_w100_K10000_c0.0_lr0.01_s2_nfix,0,0,0,70.7009,26.9583,0.496681,0,2.08001,0.994058,0.994058,100,-0.00409941,-0.00409941,1.39991,1.39991
0,B_w100_K10000_c0.0_lr0.01_s3_nfix,0,0,0,71.0409,27.744,0.499452,0,1.51593,0.990235,0.990235,100,-0.000237623,-0.000237623,1.40773,1.40773
0,B_w100_K10000_c0.0_lr0.01_s4_nfix,0,0,0,71.0141,27.3421,0.499192,0,1.50446,0.991359,0.991359,100,-0.00137254,-0.00137254,1.44607,1.44607
0,B_w100_K10000_c0.0_lr0.01_s5_nfix,0,0,0,70.9674,27.7372,0.499163,0,3.7918,0.991358,0.991358,100,-0.00137161,-0.00137161,1.387,1.387
0,B_w100_K10000_c0.0_lr0.01_s6_nfix,0,0,0,70.7856,27.4831,0.498076,0,1.36932,0.991409,0.991409,100,-0.00142355,-0.00142355,1.40427,1.40427
0,B_w100_K10000_c0.0_lr0.01_s7_nfix,0,0,0,71.2366,27.8579,0.500212,0,1.52766,0.990198,0.990198,100,-0.000200137,-0.000200137,1.42361,1.42361
0,B_w100_K10000_c0.0_lr0.01_s8_nfix,0,0,0,70.6203,26.9166,0.499625,0,7.1229,0.98728,0.98728,100,0.00274738,0.00274738,1.42256,1.42256
0,B_w100_K10000_c0.0_lr0.01_s9_nfix,0,0,0,70.8349,27.0974,0.499769,0,2.32614,0.990031,0.990031,100,-3.1731e-05,-3.17306e-05,1.37715,1.37715
0,B_w100_K10000_c0.0_lr0.01_s10_nfix,0,0,0,70.6361,26.9016,0.499769,0,1.51084,0.992267,0.992267,100,-0.00228941,-0.00228941,1.42328,1.42328
0,B_w100_K10000_c0.0_lr0.01_s11_nfix,0,0,0,70.7592,27.8185,0.503492,0,2.71021,0.983784,0.983784,100,0.00627853,0.00627853,1.41655,1.41655
0,B_w100_K10000_c0.25_lr0.01_s0,0,0,0,70.9364,27.7047,0.502463,0,3.06462,0.987967,0.987967,100,0.00205322,0.00205321,1.42225,1.42225
0,B_w100_K10000_c0.25_lr0.01_s1,0,0,0,71.154,27.7397,0.497614,0,1.30976,0.994106,0.994106,100,-0.00414714,-0.00414714,1.385,1.385
0,B_w100_K10000_c0.25_lr0.01_s2,0,0,0,71.2486,28.1845,0.501318,0,0.884928,0.987041,0.987041,100,0.00298898,0.00298898,1.42369,1.42369
0,B_w100_K10000_c0.25_lr0.01_s3,0,0,0,71.0134,26.984,0.498942,0,1.15065,0.991581,0.991581,100,-0.00159733,-0.00159733,1.39432,1.39432
0,B_w100_K10000_c0.25_lr0.01_s4,0,0,0,71.1783,27.5862,0.499019,0,7.60075,0.994013,0.994013,100,-0.00405385,-0.00405385,1.41078,1.41078
0,B_w100_K10000_c0.25_lr0.01_s5,0,0,0,70.3934,26.248,0.499538,0,1.42208,0.988775,0.988775,100,0.00123742,0.00123742,1.40599,1.40599
0,B_w100_K10000_c0.25_lr0.01_s6,0,0,0,71.2764,27.8378,0.498547,0,3.07696,0.993974,0.993974,100,-0.00401379,-0.00401379,1.40187,1.40187
