analysis,role,outcome,group,stratum,rd,ci_lo,ci_hi,ci_halfwidth,equiv_margin,verdict,criterion,rule_order,n_boot,bootstrap_seed,n_boot_nonfinite,n_cell,weight,n_low,n_high,events_low,events_high,risk_low,risk_high,note
R1,primary,end_strict_dead,utility_nmse_tertile(作業6流用),cell_id x r_half,-0.31140144381669804,-0.35774266240746261,-0.28954178307741907,0.03410043966502177,0.050000000000000003,SPECIFIC,"CI が 0 を含まず点推定 <= -0.15 -> SPECIFIC / CI ⊂ [-0.05, +0.05] -> REDUCIBLE / 他 INCONCLUSIVE",SPECIFIC>REDUCIBLE>INCONCLUSIVE,10000,20260824,0,1664,2124,2639,2537,1413,553,0.53543008715422513,0.21797398502167914,
R1,secondary_not_main,end_dead_0_05,utility_nmse_tertile(作業6流用),cell_id x r_half,-0.32988072818581293,-0.37098387553263501,-0.31088441869838224,0.030049728417126387,0.050000000000000003,SPECIFIC,R1 と同じ規則を副次転帰へ適用 (主判定の差し替えに使わない),SPECIFIC>REDUCIBLE>INCONCLUSIVE,10000,20260824,0,1664,2124,2639,2537,1784,866,0.67601364153088295,0.34134804887662595,
R2,secondary_registered,end_strict_dead,r_tertile(cell_id 内),cell_id x u_half,0.031081509673326995,-0.00034038937029339796,0.072078756559268028,0.036209572964780716,0.050000000000000003,INCONCLUSIVE,"CI が 0 を含まず負 -> PROTECTIVE_R / CI ⊂ [-0.05, +0.05] -> NULL_R / 他 INCONCLUSIVE",PROTECTIVE_R>NULL_R>INCONCLUSIVE,10000,20260824,0,1656,2102,2621,2488,900,922,0.34338038916444108,0.37057877813504825,参考: 曝露保持率 0.5218 (G1 は R1 のみに掛かる規定)
R2,secondary_not_main,end_dead_0_05,r_tertile(cell_id 内),cell_id x u_half,0.024841420869013635,-0.0038651009409678507,0.06574587240173127,0.034805486671349563,0.050000000000000003,INCONCLUSIVE,R2 と同じ規則を副次転帰へ適用 (主判定の差し替えに使わない),PROTECTIVE_R>NULL_R>INCONCLUSIVE,10000,20260824,0,1656,2102,2621,2488,1244,1240,0.4746280045784052,0.49839228295819937,
R3_marginal_r,report,end_strict_dead,r_tertile(cell_id 内),cell_id のみ,0.016476179729395711,-0.0021735162954010828,0.044927883835723791,0.023550700065562438,0.050000000000000003,—,判定なし (spec §5 R3 は記述),—,10000,20260824,0,2839,4431,5023,4431,1366,1270,0.27194903444156876,0.28661701647483639,作業6 と同一層別で群だけ r に差し替えた周辺 RD
R3_marginal_r,report,end_dead_0_05,r_tertile(cell_id 内),cell_id のみ,0.011506861828459664,-0.0021651350241920766,0.042086760930341603,0.02212594797726684,0.050000000000000003,—,判定なし (spec §5 R3 は記述),—,10000,20260824,0,2839,4431,5023,4431,1998,1792,0.39777025681863426,0.40442338072669826,作業6 と同一層別で群だけ r に差し替えた周辺 RD
R3_spearman,report,-,"Spearman(utility_nmse, r)",seed 別,0.19808006774404754,0.13804251593271086,0.26041104178834706,,,—,判定なし (spec §5 R3)。rd 列=seed 中央値、ci 列=最小/最大,—,0,20260824,0,20,,,,,,0.17988465310900453,0.22291856140659588,risk_low/risk_high 列は seed 別 rho の四分位 (Q1/Q3)
