analysis,scope,seed,group,outcome,n,n_event,risk,value
R1,pooled,-1,low,end_strict_dead,2639,1413,0.53543008715422513,
R1,pooled,-1,mid,end_strict_dead,1527,609,0.3988212180746562,
R1,pooled,-1,high,end_strict_dead,2537,553,0.21797398502167914,
R1,seed,0,low,end_strict_dead,176,87,0.49431818181818182,
R1,seed,0,mid,end_strict_dead,91,33,0.36263736263736263,
R1,seed,0,high,end_strict_dead,147,26,0.17687074829931973,
R1,seed,1,low,end_strict_dead,161,92,0.5714285714285714,
R1,seed,1,mid,end_strict_dead,73,30,0.41095890410958902,
R1,seed,1,high,end_strict_dead,150,47,0.31333333333333335,
R1,seed,2,low,end_strict_dead,116,65,0.56034482758620685,
R1,seed,2,mid,end_strict_dead,73,32,0.43835616438356162,
R1,seed,2,high,end_strict_dead,110,24,0.21818181818181817,
R1,seed,3,low,end_strict_dead,124,67,0.54032258064516125,
R1,seed,3,mid,end_strict_dead,101,38,0.37623762376237624,
R1,seed,3,high,end_strict_dead,117,28,0.23931623931623933,
R1,seed,4,low,end_strict_dead,87,50,0.57471264367816088,
R1,seed,4,mid,end_strict_dead,47,22,0.46808510638297873,
R1,seed,4,high,end_strict_dead,83,17,0.20481927710843373,
R1,seed,5,low,end_strict_dead,94,44,0.46808510638297873,
R1,seed,5,mid,end_strict_dead,62,24,0.38709677419354838,
R1,seed,5,high,end_strict_dead,74,13,0.17567567567567569,
R1,seed,6,low,end_strict_dead,78,48,0.61538461538461542,
R1,seed,6,mid,end_strict_dead,51,29,0.56862745098039214,
R1,seed,6,high,end_strict_dead,76,22,0.28947368421052633,
R1,seed,7,low,end_strict_dead,173,72,0.41618497109826591,
R1,seed,7,mid,end_strict_dead,72,24,0.33333333333333331,
R1,seed,7,high,end_strict_dead,163,30,0.18404907975460122,
R1,seed,8,low,end_strict_dead,128,77,0.6015625,
R1,seed,8,mid,end_strict_dead,79,30,0.379746835443038,
R1,seed,8,high,end_strict_dead,123,40,0.32520325203252032,
R1,seed,9,low,end_strict_dead,142,78,0.54929577464788737,
R1,seed,9,mid,end_strict_dead,90,34,0.37777777777777777,
R1,seed,9,high,end_strict_dead,165,26,0.15757575757575756,
R1,seed,10,low,end_strict_dead,149,80,0.53691275167785235,
R1,seed,10,mid,end_strict_dead,76,26,0.34210526315789475,
R1,seed,10,high,end_strict_dead,145,34,0.23448275862068965,
R1,seed,11,low,end_strict_dead,171,102,0.59649122807017541,
R1,seed,11,mid,end_strict_dead,95,46,0.48421052631578948,
R1,seed,11,high,end_strict_dead,129,34,0.26356589147286824,
R1,seed,12,low,end_strict_dead,103,55,0.53398058252427183,
R1,seed,12,mid,end_strict_dead,81,31,0.38271604938271603,
R1,seed,12,high,end_strict_dead,130,31,0.23846153846153847,
R1,seed,13,low,end_strict_dead,133,69,0.51879699248120303,
R1,seed,13,mid,end_strict_dead,57,16,0.2807017543859649,
R1,seed,13,high,end_strict_dead,124,18,0.14516129032258066,
R1,seed,14,low,end_strict_dead,89,49,0.550561797752809,
R1,seed,14,mid,end_strict_dead,45,22,0.48888888888888887,
R1,seed,14,high,end_strict_dead,76,27,0.35526315789473684,
R1,seed,15,low,end_strict_dead,180,89,0.49444444444444446,
R1,seed,15,mid,end_strict_dead,103,42,0.40776699029126212,
R1,seed,15,high,end_strict_dead,192,26,0.13541666666666666,
R1,seed,16,low,end_strict_dead,102,69,0.67647058823529416,
R1,seed,16,mid,end_strict_dead,49,25,0.51020408163265307,
R1,seed,16,high,end_strict_dead,112,31,0.2767857142857143,
R1,seed,17,low,end_strict_dead,115,69,0.59999999999999998,
R1,seed,17,mid,end_strict_dead,90,40,0.44444444444444442,
R1,seed,17,high,end_strict_dead,107,20,0.18691588785046728,
R1,seed,18,low,end_strict_dead,167,82,0.49101796407185627,
R1,seed,18,mid,end_strict_dead,107,40,0.37383177570093457,
R1,seed,18,high,end_strict_dead,159,32,0.20125786163522014,
R1,seed,19,low,end_strict_dead,151,69,0.45695364238410596,
R1,seed,19,mid,end_strict_dead,85,25,0.29411764705882354,
R1,seed,19,high,end_strict_dead,155,27,0.17419354838709677,
R1,pooled,-1,low,end_dead_0_05,2639,1784,0.67601364153088295,
R1,pooled,-1,mid,end_dead_0_05,1527,812,0.53176162409954153,
R1,pooled,-1,high,end_dead_0_05,2537,866,0.34134804887662595,
R1,seed,0,low,end_dead_0_05,176,121,0.6875,
R1,seed,0,mid,end_dead_0_05,91,47,0.51648351648351654,
R1,seed,0,high,end_dead_0_05,147,51,0.34693877551020408,
R1,seed,1,low,end_dead_0_05,161,107,0.6645962732919255,
R1,seed,1,mid,end_dead_0_05,73,36,0.49315068493150682,
R1,seed,1,high,end_dead_0_05,150,66,0.44,
R1,seed,2,low,end_dead_0_05,116,74,0.63793103448275867,
R1,seed,2,mid,end_dead_0_05,73,43,0.58904109589041098,
R1,seed,2,high,end_dead_0_05,110,38,0.34545454545454546,
R1,seed,3,low,end_dead_0_05,124,85,0.68548387096774188,
R1,seed,3,mid,end_dead_0_05,101,49,0.48514851485148514,
R1,seed,3,high,end_dead_0_05,117,40,0.34188034188034189,
R1,seed,4,low,end_dead_0_05,87,61,0.70114942528735635,
R1,seed,4,mid,end_dead_0_05,47,28,0.5957446808510638,
R1,seed,4,high,end_dead_0_05,83,29,0.3493975903614458,
R1,seed,5,low,end_dead_0_05,94,57,0.6063829787234043,
R1,seed,5,mid,end_dead_0_05,62,32,0.5161290322580645,
R1,seed,5,high,end_dead_0_05,74,17,0.22972972972972974,
R1,seed,6,low,end_dead_0_05,78,58,0.74358974358974361,
R1,seed,6,mid,end_dead_0_05,51,33,0.6470588235294118,
R1,seed,6,high,end_dead_0_05,76,32,0.42105263157894735,
R1,seed,7,low,end_dead_0_05,173,102,0.58959537572254339,
R1,seed,7,mid,end_dead_0_05,72,37,0.51388888888888884,
R1,seed,7,high,end_dead_0_05,163,47,0.28834355828220859,
R1,seed,8,low,end_dead_0_05,128,98,0.765625,
R1,seed,8,mid,end_dead_0_05,79,40,0.50632911392405067,
R1,seed,8,high,end_dead_0_05,123,50,0.4065040650406504,
R1,seed,9,low,end_dead_0_05,142,101,0.71126760563380287,
R1,seed,9,mid,end_dead_0_05,90,48,0.53333333333333333,
R1,seed,9,high,end_dead_0_05,165,52,0.31515151515151513,
R1,seed,10,low,end_dead_0_05,149,101,0.67785234899328861,
R1,seed,10,mid,end_dead_0_05,76,36,0.47368421052631576,
R1,seed,10,high,end_dead_0_05,145,54,0.3724137931034483,
R1,seed,11,low,end_dead_0_05,171,125,0.73099415204678364,
R1,seed,11,mid,end_dead_0_05,95,56,0.58947368421052626,
R1,seed,11,high,end_dead_0_05,129,48,0.37209302325581395,
R1,seed,12,low,end_dead_0_05,103,67,0.65048543689320393,
R1,seed,12,mid,end_dead_0_05,81,49,0.60493827160493829,
R1,seed,12,high,end_dead_0_05,130,50,0.38461538461538464,
R1,seed,13,low,end_dead_0_05,133,92,0.69172932330827064,
R1,seed,13,mid,end_dead_0_05,57,26,0.45614035087719296,
R1,seed,13,high,end_dead_0_05,124,40,0.32258064516129031,
R1,seed,14,low,end_dead_0_05,89,58,0.651685393258427,
R1,seed,14,mid,end_dead_0_05,45,29,0.64444444444444449,
R1,seed,14,high,end_dead_0_05,76,32,0.42105263157894735,
R1,seed,15,low,end_dead_0_05,180,119,0.66111111111111109,
R1,seed,15,mid,end_dead_0_05,103,53,0.5145631067961165,
R1,seed,15,high,end_dead_0_05,192,46,0.23958333333333334,
R1,seed,16,low,end_dead_0_05,102,78,0.76470588235294112,
R1,seed,16,mid,end_dead_0_05,49,28,0.5714285714285714,
R1,seed,16,high,end_dead_0_05,112,42,0.375,
R1,seed,17,low,end_dead_0_05,115,83,0.72173913043478266,
R1,seed,17,mid,end_dead_0_05,90,49,0.5444444444444444,
R1,seed,17,high,end_dead_0_05,107,28,0.26168224299065418,
R1,seed,18,low,end_dead_0_05,167,106,0.6347305389221557,
R1,seed,18,mid,end_dead_0_05,107,55,0.51401869158878499,
R1,seed,18,high,end_dead_0_05,159,55,0.34591194968553457,
R1,seed,19,low,end_dead_0_05,151,91,0.60264900662251653,
R1,seed,19,mid,end_dead_0_05,85,38,0.44705882352941179,
R1,seed,19,high,end_dead_0_05,155,49,0.31612903225806449,
R2,pooled,-1,low,end_strict_dead,2621,900,0.34338038916444108,
R2,pooled,-1,mid,end_strict_dead,1504,660,0.43882978723404253,
R2,pooled,-1,high,end_strict_dead,2488,922,0.37057877813504825,
R2,seed,0,low,end_strict_dead,97,28,0.28865979381443296,
R2,seed,0,mid,end_strict_dead,85,37,0.43529411764705883,
R2,seed,0,high,end_strict_dead,199,67,0.33668341708542715,
R2,seed,1,low,end_strict_dead,144,51,0.35416666666666669,
R2,seed,1,mid,end_strict_dead,95,46,0.48421052631578948,
R2,seed,1,high,end_strict_dead,136,64,0.47058823529411764,
R2,seed,2,low,end_strict_dead,134,48,0.35820895522388058,
R2,seed,2,mid,end_strict_dead,62,25,0.40322580645161288,
R2,seed,2,high,end_strict_dead,94,42,0.44680851063829785,
R2,seed,3,low,end_strict_dead,138,47,0.34057971014492755,
R2,seed,3,mid,end_strict_dead,87,47,0.54022988505747127,
R2,seed,3,high,end_strict_dead,115,38,0.33043478260869563,
R2,seed,4,low,end_strict_dead,88,32,0.36363636363636365,
R2,seed,4,mid,end_strict_dead,48,27,0.5625,
R2,seed,4,high,end_strict_dead,80,32,0.40000000000000002,
R2,seed,5,low,end_strict_dead,87,31,0.35632183908045978,
R2,seed,5,mid,end_strict_dead,49,21,0.42857142857142855,
R2,seed,5,high,end_strict_dead,92,27,0.29347826086956524,
R2,seed,6,low,end_strict_dead,83,25,0.30120481927710846,
R2,seed,6,mid,end_strict_dead,41,25,0.6097560975609756,
R2,seed,6,high,end_strict_dead,92,46,0.5,
R2,seed,7,low,end_strict_dead,181,50,0.27624309392265195,
R2,seed,7,mid,end_strict_dead,90,30,0.33333333333333331,
R2,seed,7,high,end_strict_dead,110,34,0.30909090909090908,
R2,seed,8,low,end_strict_dead,121,59,0.48760330578512395,
R2,seed,8,mid,end_strict_dead,64,33,0.515625,
R2,seed,8,high,end_strict_dead,150,55,0.36666666666666664,
R2,seed,9,low,end_strict_dead,143,41,0.28671328671328672,
R2,seed,9,mid,end_strict_dead,97,41,0.42268041237113402,
R2,seed,9,high,end_strict_dead,138,42,0.30434782608695654,
R2,seed,10,low,end_strict_dead,132,50,0.37878787878787878,
R2,seed,10,mid,end_strict_dead,70,25,0.35714285714285715,
R2,seed,10,high,end_strict_dead,157,60,0.38216560509554143,
R2,seed,11,low,end_strict_dead,131,57,0.4351145038167939,
R2,seed,11,mid,end_strict_dead,91,44,0.48351648351648352,
R2,seed,11,high,end_strict_dead,163,76,0.46625766871165641,
R2,seed,12,low,end_strict_dead,94,38,0.40425531914893614,
R2,seed,12,mid,end_strict_dead,89,41,0.4606741573033708,
R2,seed,12,high,end_strict_dead,135,40,0.29629629629629628,
R2,seed,13,low,end_strict_dead,101,32,0.31683168316831684,
R2,seed,13,mid,end_strict_dead,51,17,0.33333333333333331,
R2,seed,13,high,end_strict_dead,160,52,0.32500000000000001,
R2,seed,14,low,end_strict_dead,85,29,0.3411764705882353,
R2,seed,14,mid,end_strict_dead,43,25,0.58139534883720934,
R2,seed,14,high,end_strict_dead,86,43,0.5,
R2,seed,15,low,end_strict_dead,268,92,0.34328358208955223,
R2,seed,15,mid,end_strict_dead,97,34,0.35051546391752575,
R2,seed,15,high,end_strict_dead,115,29,0.25217391304347825,
R2,seed,16,low,end_strict_dead,110,41,0.37272727272727274,
R2,seed,16,mid,end_strict_dead,64,32,0.5,
R2,seed,16,high,end_strict_dead,92,49,0.53260869565217395,
R2,seed,17,low,end_strict_dead,120,50,0.41666666666666669,
R2,seed,17,mid,end_strict_dead,69,34,0.49275362318840582,
R2,seed,17,high,end_strict_dead,129,43,0.33333333333333331,
R2,seed,18,low,end_strict_dead,205,52,0.25365853658536586,
R2,seed,18,mid,end_strict_dead,114,45,0.39473684210526316,
R2,seed,18,high,end_strict_dead,119,47,0.3949579831932773,
R2,seed,19,low,end_strict_dead,159,47,0.29559748427672955,
R2,seed,19,mid,end_strict_dead,98,31,0.31632653061224492,
R2,seed,19,high,end_strict_dead,126,36,0.2857142857142857,
R2,pooled,-1,low,end_dead_0_05,2621,1244,0.4746280045784052,
R2,pooled,-1,mid,end_dead_0_05,1504,859,0.57114361702127658,
R2,pooled,-1,high,end_dead_0_05,2488,1240,0.49839228295819937,
R2,seed,0,low,end_dead_0_05,97,48,0.49484536082474229,
R2,seed,0,mid,end_dead_0_05,85,57,0.6705882352941176,
R2,seed,0,high,end_dead_0_05,199,101,0.50753768844221103,
R2,seed,1,low,end_dead_0_05,144,67,0.46527777777777779,
R2,seed,1,mid,end_dead_0_05,95,54,0.56842105263157894,
R2,seed,1,high,end_dead_0_05,136,75,0.55147058823529416,
R2,seed,2,low,end_dead_0_05,134,60,0.44776119402985076,
R2,seed,2,mid,end_dead_0_05,62,35,0.56451612903225812,
R2,seed,2,high,end_dead_0_05,94,51,0.54255319148936165,
R2,seed,3,low,end_dead_0_05,138,66,0.47826086956521741,
R2,seed,3,mid,end_dead_0_05,87,55,0.63218390804597702,
R2,seed,3,high,end_dead_0_05,115,53,0.46086956521739131,
R2,seed,4,low,end_dead_0_05,88,44,0.5,
R2,seed,4,mid,end_dead_0_05,48,30,0.625,
R2,seed,4,high,end_dead_0_05,80,45,0.5625,
R2,seed,5,low,end_dead_0_05,87,39,0.44827586206896552,
R2,seed,5,mid,end_dead_0_05,49,27,0.55102040816326525,
R2,seed,5,high,end_dead_0_05,92,35,0.38043478260869568,
R2,seed,6,low,end_dead_0_05,83,40,0.48192771084337349,
R2,seed,6,mid,end_dead_0_05,41,29,0.70731707317073167,
R2,seed,6,high,end_dead_0_05,92,53,0.57608695652173914,
R2,seed,7,low,end_dead_0_05,181,80,0.44198895027624308,
R2,seed,7,mid,end_dead_0_05,90,46,0.51111111111111107,
R2,seed,7,high,end_dead_0_05,110,48,0.43636363636363634,
R2,seed,8,low,end_dead_0_05,121,70,0.57851239669421484,
R2,seed,8,mid,end_dead_0_05,64,40,0.625,
R2,seed,8,high,end_dead_0_05,150,82,0.54666666666666663,
R2,seed,9,low,end_dead_0_05,143,59,0.41258741258741261,
R2,seed,9,mid,end_dead_0_05,97,62,0.63917525773195871,
R2,seed,9,high,end_dead_0_05,138,59,0.42753623188405798,
R2,seed,10,low,end_dead_0_05,132,62,0.46969696969696972,
R2,seed,10,mid,end_dead_0_05,70,34,0.48571428571428571,
R2,seed,10,high,end_dead_0_05,157,84,0.53503184713375795,
R2,seed,11,low,end_dead_0_05,131,77,0.58778625954198471,
R2,seed,11,mid,end_dead_0_05,91,56,0.61538461538461542,
R2,seed,11,high,end_dead_0_05,163,89,0.54601226993865026,
R2,seed,12,low,end_dead_0_05,94,48,0.51063829787234039,
R2,seed,12,mid,end_dead_0_05,89,56,0.6292134831460674,
R2,seed,12,high,end_dead_0_05,135,62,0.45925925925925926,
R2,seed,13,low,end_dead_0_05,101,48,0.47524752475247523,
R2,seed,13,mid,end_dead_0_05,51,25,0.49019607843137253,
R2,seed,13,high,end_dead_0_05,160,75,0.46875,
R2,seed,14,low,end_dead_0_05,85,34,0.40000000000000002,
R2,seed,14,mid,end_dead_0_05,43,27,0.62790697674418605,
R2,seed,14,high,end_dead_0_05,86,53,0.61627906976744184,
R2,seed,15,low,end_dead_0_05,268,124,0.46268656716417911,
R2,seed,15,mid,end_dead_0_05,97,48,0.49484536082474229,
R2,seed,15,high,end_dead_0_05,115,43,0.37391304347826088,
R2,seed,16,low,end_dead_0_05,110,52,0.47272727272727272,
R2,seed,16,mid,end_dead_0_05,64,34,0.53125,
R2,seed,16,high,end_dead_0_05,92,59,0.64130434782608692,
R2,seed,17,low,end_dead_0_05,120,64,0.53333333333333333,
R2,seed,17,mid,end_dead_0_05,69,38,0.55072463768115942,
R2,seed,17,high,end_dead_0_05,129,61,0.47286821705426357,
R2,seed,18,low,end_dead_0_05,205,90,0.43902439024390244,
R2,seed,18,mid,end_dead_0_05,114,59,0.51754385964912286,
R2,seed,18,high,end_dead_0_05,119,59,0.49579831932773111,
R2,seed,19,low,end_dead_0_05,159,72,0.45283018867924529,
R2,seed,19,mid,end_dead_0_05,98,47,0.47959183673469385,
R2,seed,19,high,end_dead_0_05,126,53,0.42063492063492064,
R3_marginal_r,pooled,-1,low,end_strict_dead,5023,1366,0.27194903444156876,
R3_marginal_r,pooled,-1,mid,end_strict_dead,2965,1027,0.3463743676222597,
R3_marginal_r,pooled,-1,high,end_strict_dead,4431,1270,0.28661701647483639,
R3_marginal_r,seed,0,low,end_strict_dead,187,47,0.25133689839572193,
R3_marginal_r,seed,0,mid,end_strict_dead,165,57,0.34545454545454546,
R3_marginal_r,seed,0,high,end_strict_dead,344,90,0.26162790697674421,
R3_marginal_r,seed,1,low,end_strict_dead,273,76,0.2783882783882784,
R3_marginal_r,seed,1,mid,end_strict_dead,173,69,0.39884393063583817,
R3_marginal_r,seed,1,high,end_strict_dead,253,88,0.34782608695652173,
R3_marginal_r,seed,2,low,end_strict_dead,247,74,0.29959514170040485,
R3_marginal_r,seed,2,mid,end_strict_dead,134,49,0.36567164179104478,
R3_marginal_r,seed,2,high,end_strict_dead,176,60,0.34090909090909088,
R3_marginal_r,seed,3,low,end_strict_dead,288,75,0.26041666666666669,
R3_marginal_r,seed,3,mid,end_strict_dead,174,68,0.39080459770114945,
R3_marginal_r,seed,3,high,end_strict_dead,199,53,0.26633165829145727,
R3_marginal_r,seed,4,low,end_strict_dead,165,44,0.26666666666666666,
R3_marginal_r,seed,4,mid,end_strict_dead,94,43,0.45744680851063829,
R3_marginal_r,seed,4,high,end_strict_dead,140,42,0.29999999999999999,
R3_marginal_r,seed,5,low,end_strict_dead,195,52,0.26666666666666666,
R3_marginal_r,seed,5,mid,end_strict_dead,101,31,0.30693069306930693,
R3_marginal_r,seed,5,high,end_strict_dead,178,39,0.21910112359550563,
R3_marginal_r,seed,6,low,end_strict_dead,176,46,0.26136363636363635,
R3_marginal_r,seed,6,mid,end_strict_dead,85,48,0.56470588235294117,
R3_marginal_r,seed,6,high,end_strict_dead,157,53,0.33757961783439489,
R3_marginal_r,seed,7,low,end_strict_dead,369,70,0.18970189701897019,
R3_marginal_r,seed,7,mid,end_strict_dead,207,49,0.23671497584541062,
R3_marginal_r,seed,7,high,end_strict_dead,235,48,0.20425531914893616,
R3_marginal_r,seed,8,low,end_strict_dead,219,77,0.35159817351598172,
R3_marginal_r,seed,8,mid,end_strict_dead,138,51,0.36956521739130432,
R3_marginal_r,seed,8,high,end_strict_dead,244,69,0.28278688524590162,
R3_marginal_r,seed,9,low,end_strict_dead,294,75,0.25510204081632654,
R3_marginal_r,seed,9,mid,end_strict_dead,199,63,0.3165829145728643,
R3_marginal_r,seed,9,high,end_strict_dead,271,60,0.22140221402214022,
R3_marginal_r,seed,10,low,end_strict_dead,243,77,0.3168724279835391,
R3_marginal_r,seed,10,mid,end_strict_dead,147,46,0.31292517006802723,
R3_marginal_r,seed,10,high,end_strict_dead,243,83,0.34156378600823045,
R3_marginal_r,seed,11,low,end_strict_dead,246,96,0.3902439024390244,
R3_marginal_r,seed,11,mid,end_strict_dead,180,73,0.40555555555555556,
R3_marginal_r,seed,11,high,end_strict_dead,266,105,0.39473684210526316,
R3_marginal_r,seed,12,low,end_strict_dead,205,57,0.2780487804878049,
R3_marginal_r,seed,12,mid,end_strict_dead,152,57,0.375,
R3_marginal_r,seed,12,high,end_strict_dead,240,60,0.25,
R3_marginal_r,seed,13,low,end_strict_dead,190,51,0.26842105263157895,
R3_marginal_r,seed,13,mid,end_strict_dead,112,29,0.25892857142857145,
R3_marginal_r,seed,13,high,end_strict_dead,252,70,0.27777777777777779,
R3_marginal_r,seed,14,low,end_strict_dead,166,50,0.30120481927710846,
R3_marginal_r,seed,14,mid,end_strict_dead,82,29,0.35365853658536583,
R3_marginal_r,seed,14,high,end_strict_dead,153,61,0.39869281045751637,
R3_marginal_r,seed,15,low,end_strict_dead,470,126,0.26808510638297872,
R3_marginal_r,seed,15,mid,end_strict_dead,183,51,0.27868852459016391,
R3_marginal_r,seed,15,high,end_strict_dead,215,47,0.21860465116279071,
R3_marginal_r,seed,16,low,end_strict_dead,187,54,0.28877005347593582,
R3_marginal_r,seed,16,mid,end_strict_dead,121,50,0.41322314049586778,
R3_marginal_r,seed,16,high,end_strict_dead,157,64,0.40764331210191085,
R3_marginal_r,seed,17,low,end_strict_dead,221,68,0.30769230769230771,
R3_marginal_r,seed,17,mid,end_strict_dead,137,57,0.41605839416058393,
R3_marginal_r,seed,17,high,end_strict_dead,223,61,0.273542600896861,
R3_marginal_r,seed,18,low,end_strict_dead,367,83,0.22615803814713897,
R3_marginal_r,seed,18,mid,end_strict_dead,205,62,0.30243902439024389,
R3_marginal_r,seed,18,high,end_strict_dead,252,68,0.26984126984126983,
R3_marginal_r,seed,19,low,end_strict_dead,315,68,0.21587301587301588,
R3_marginal_r,seed,19,mid,end_strict_dead,176,45,0.25568181818181818,
R3_marginal_r,seed,19,high,end_strict_dead,233,49,0.21030042918454936,
R3_marginal_r,pooled,-1,low,end_dead_0_05,5023,1998,0.39777025681863426,
R3_marginal_r,pooled,-1,mid,end_dead_0_05,2965,1429,0.48195615514333895,
R3_marginal_r,pooled,-1,high,end_dead_0_05,4431,1792,0.40442338072669826,
R3_marginal_r,seed,0,low,end_dead_0_05,187,77,0.41176470588235292,
R3_marginal_r,seed,0,mid,end_dead_0_05,165,93,0.5636363636363636,
R3_marginal_r,seed,0,high,end_dead_0_05,344,145,0.42151162790697677,
R3_marginal_r,seed,1,low,end_dead_0_05,273,107,0.39194139194139194,
R3_marginal_r,seed,1,mid,end_dead_0_05,173,95,0.54913294797687862,
R3_marginal_r,seed,1,high,end_dead_0_05,253,110,0.43478260869565216,
R3_marginal_r,seed,2,low,end_dead_0_05,247,100,0.40485829959514169,
R3_marginal_r,seed,2,mid,end_dead_0_05,134,65,0.48507462686567165,
R3_marginal_r,seed,2,high,end_dead_0_05,176,75,0.42613636363636365,
R3_marginal_r,seed,3,low,end_dead_0_05,288,106,0.36805555555555558,
R3_marginal_r,seed,3,mid,end_dead_0_05,174,91,0.52298850574712641,
R3_marginal_r,seed,3,high,end_dead_0_05,199,75,0.37688442211055279,
R3_marginal_r,seed,4,low,end_dead_0_05,165,70,0.42424242424242425,
R3_marginal_r,seed,4,mid,end_dead_0_05,94,52,0.55319148936170215,
R3_marginal_r,seed,4,high,end_dead_0_05,140,61,0.43571428571428572,
R3_marginal_r,seed,5,low,end_dead_0_05,195,65,0.33333333333333331,
R3_marginal_r,seed,5,mid,end_dead_0_05,101,43,0.42574257425742573,
R3_marginal_r,seed,5,high,end_dead_0_05,178,54,0.30337078651685395,
R3_marginal_r,seed,6,low,end_dead_0_05,176,69,0.39204545454545453,
R3_marginal_r,seed,6,mid,end_dead_0_05,85,54,0.63529411764705879,
R3_marginal_r,seed,6,high,end_dead_0_05,157,68,0.43312101910828027,
R3_marginal_r,seed,7,low,end_dead_0_05,369,126,0.34146341463414637,
R3_marginal_r,seed,7,mid,end_dead_0_05,207,77,0.3719806763285024,
R3_marginal_r,seed,7,high,end_dead_0_05,235,74,0.31489361702127661,
R3_marginal_r,seed,8,low,end_dead_0_05,219,102,0.46575342465753422,
R3_marginal_r,seed,8,mid,end_dead_0_05,138,68,0.49275362318840582,
R3_marginal_r,seed,8,high,end_dead_0_05,244,112,0.45901639344262296,
R3_marginal_r,seed,9,low,end_dead_0_05,294,114,0.38775510204081631,
R3_marginal_r,seed,9,mid,end_dead_0_05,199,98,0.49246231155778897,
R3_marginal_r,seed,9,high,end_dead_0_05,271,92,0.33948339483394835,
R3_marginal_r,seed,10,low,end_dead_0_05,243,107,0.44032921810699588,
R3_marginal_r,seed,10,mid,end_dead_0_05,147,69,0.46938775510204084,
R3_marginal_r,seed,10,high,end_dead_0_05,243,118,0.48559670781893005,
R3_marginal_r,seed,11,low,end_dead_0_05,246,124,0.50406504065040647,
R3_marginal_r,seed,11,mid,end_dead_0_05,180,94,0.52222222222222225,
R3_marginal_r,seed,11,high,end_dead_0_05,266,125,0.46992481203007519,
R3_marginal_r,seed,12,low,end_dead_0_05,205,82,0.40000000000000002,
R3_marginal_r,seed,12,mid,end_dead_0_05,152,78,0.51315789473684215,
R3_marginal_r,seed,12,high,end_dead_0_05,240,99,0.41249999999999998,
R3_marginal_r,seed,13,low,end_dead_0_05,190,80,0.42105263157894735,
R3_marginal_r,seed,13,mid,end_dead_0_05,112,49,0.4375,
R3_marginal_r,seed,13,high,end_dead_0_05,252,103,0.40873015873015872,
R3_marginal_r,seed,14,low,end_dead_0_05,166,64,0.38554216867469882,
R3_marginal_r,seed,14,mid,end_dead_0_05,82,38,0.46341463414634149,
R3_marginal_r,seed,14,high,end_dead_0_05,153,76,0.49673202614379086,
R3_marginal_r,seed,15,low,end_dead_0_05,470,192,0.40851063829787232,
R3_marginal_r,seed,15,mid,end_dead_0_05,183,80,0.43715846994535518,
R3_marginal_r,seed,15,high,end_dead_0_05,215,69,0.32093023255813952,
R3_marginal_r,seed,16,low,end_dead_0_05,187,76,0.40641711229946526,
R3_marginal_r,seed,16,mid,end_dead_0_05,121,58,0.47933884297520662,
R3_marginal_r,seed,16,high,end_dead_0_05,157,81,0.51592356687898089,
R3_marginal_r,seed,17,low,end_dead_0_05,221,95,0.42986425339366519,
R3_marginal_r,seed,17,mid,end_dead_0_05,137,65,0.47445255474452552,
R3_marginal_r,seed,17,high,end_dead_0_05,223,87,0.39013452914798208,
R3_marginal_r,seed,18,low,end_dead_0_05,367,136,0.37057220708446864,
R3_marginal_r,seed,18,mid,end_dead_0_05,205,86,0.4195121951219512,
R3_marginal_r,seed,18,high,end_dead_0_05,252,90,0.35714285714285715,
R3_marginal_r,seed,19,low,end_dead_0_05,315,106,0.33650793650793653,
R3_marginal_r,seed,19,mid,end_dead_0_05,176,76,0.43181818181818182,
R3_marginal_r,seed,19,high,end_dead_0_05,233,78,0.33476394849785407,
R3_spearman,seed,0,all,-,846,,,0.13804251593271086
R3_spearman,seed,1,all,-,871,,,0.23202898703377958
R3_spearman,seed,2,all,-,699,,,0.21020735428718998
R3_spearman,seed,3,all,-,826,,,0.19512902239276925
R3_spearman,seed,4,all,-,543,,,0.18605245200973297
R3_spearman,seed,5,all,-,609,,,0.19263867696374903
